dataset,Sample,n_cells,size_bin,rate_exp,rate_sc,rate_df,rate_union,rate_inter,jaccard,ratio_sc,ratio_df,ratio_union,ratio_inter
GSE116256,AML870-D0,302,<1k,0.02,0.0033112582781457,0.0132450331125828,0.0165562913907285,0,0,0.165562913907285,0.662251655629139,0.827814569536424,0
GSE116256,AML420B-D0,351,<1k,0.02,0.00284900284900285,0.0113960113960114,0.0142450142450142,0,0,0.142450142450142,0.56980056980057,0.712250712250712,0
GSE116256,AML916-D0,622,<1k,0.02,0.00803858520900321,0.0128617363344051,0.0209003215434084,0,0,0.401929260450161,0.643086816720257,1.04501607717042,0
GSE116256,AML556-D31,1042,1-3k,0.02,0.00959692898272553,0.0163147792706334,0.0249520153550864,0.000959692898272553,0.0384615384615385,0.479846449136276,0.81573896353167,1.24760076775432,0.0479846449136276
GSE185991,GSM5628187_M40,1850,1-3k,0.032488,0.0189189189189189,0.0281081081081081,0.0448648648648649,0.00216216216216216,0.0481927710843374,0.582335598341508,0.865184317535955,1.38096727606701,0.0665526398104581
GSE185991,GSM6412454_M93,1954,1-3k,0.052568,0.0409416581371546,0.0440122824974411,0.0772773797338792,0.00767656090071648,0.0993377483443709,0.778832334065488,0.837244759120399,1.47004603054861,0.146031062637279
GSE227903,3904_Dg,3102,3-10k,0.03388,0.0209542230818827,0.0296582849774339,0.0444874274661509,0.0061250805931657,0.13768115942029,0.61848356203904,0.875392118578333,1.3130881778675,0.180787502749873
GSE289435,GSM8791438_MLL_28830,3968,3-10k,0.080136,0.0572076612903226,0.0708165322580645,0.116935483870968,0.0110887096774194,0.0948275862068965,0.713882166446074,0.883704355820911,1.45921288648008,0.138373635786904
GSE185381,Control4,4957,3-10k,0.046864,0.0328827920112972,0.0421625983457737,0.0718176316320355,0.0032277587250353,0.0449438202247191,0.701664220111326,0.899679889590595,1.53246909423087,0.0688750154710504
GSE227903,6323_MRD,9577,>10k,0.1,0.0587866764122377,0.0899028923462462,0.136159548919286,0.0125300198391981,0.0920245398773006,0.587866764122377,0.899028923462462,1.36159548919286,0.125300198391981
Chen2023,AML24,10721,>10k,0.1,0.0771383266486335,0.0870254640425334,0.141031620184684,0.0231321705064826,0.164021164021164,0.771383266486335,0.870254640425334,1.41031620184684,0.231321705064826
Petti2019,721214,11995,>10k,0.1,0.0766986244268445,0.088120050020842,0.147144643601501,0.0176740308461859,0.120113314447592,0.766986244268445,0.88120050020842,1.47144643601501,0.176740308461859
