hierarchy_bin,in_ccc_graph,dataset,n,false_pos,FPR,n_healthy
"",,GSE253355,905,621,0.6862,12
"",,GSE116256,436,178,0.4083,4
"",,Chen2023,1475,421,0.2854,4
"",,GSE185381,1009,170,0.1685,10
"",,E-MTAB-11536,285,30,0.1053,7
B_Plasma,TRUE,GSE116256,264,70,0.2652,4
B_Plasma,TRUE,GSE253355,17431,3122,0.1791,12
B_Plasma,TRUE,Chen2023,6600,575,0.0871,4
B_Plasma,TRUE,E-MTAB-11536,896,46,0.0513,7
B_Plasma,TRUE,GSE185381,7792,159,0.0204,10
Erythroid,TRUE,GSE116256,461,182,0.3948,4
Erythroid,TRUE,GSE253355,1460,189,0.1295,12
Erythroid,TRUE,Chen2023,1163,5,0.0043,4
Erythroid,TRUE,E-MTAB-11536,9,0,0,7
Erythroid,TRUE,GSE185381,82,0,0,10
HSC_MPP,TRUE,GSE116256,1504,708,0.4707,4
HSC_MPP,TRUE,GSE253355,2917,251,0.086,12
HSC_MPP,TRUE,Chen2023,2586,18,0.007,4
HSC_MPP,TRUE,E-MTAB-11536,25,0,0,7
HSC_MPP,TRUE,GSE185381,212,0,0,10
LMPP_GMP,TRUE,E-MTAB-11536,108,40,0.3704,7
LMPP_GMP,TRUE,GSE253355,3228,988,0.3061,12
LMPP_GMP,TRUE,GSE116256,713,131,0.1837,4
LMPP_GMP,TRUE,Chen2023,2873,92,0.032,4
LMPP_GMP,TRUE,GSE185381,153,2,0.0131,10
Megakaryocyte,TRUE,E-MTAB-11536,19,14,0.7368,7
Megakaryocyte,TRUE,GSE116256,11,5,0.4545,4
Megakaryocyte,TRUE,Chen2023,140,63,0.45,4
Megakaryocyte,TRUE,GSE185381,13,2,0.1538,10
Megakaryocyte,TRUE,GSE253355,231,17,0.0736,12
Mono_DC,TRUE,GSE253355,9570,7656,0.8,12
Mono_DC,TRUE,Chen2023,6732,1288,0.1913,4
Mono_DC,TRUE,GSE116256,1111,166,0.1494,4
Mono_DC,TRUE,E-MTAB-11536,1074,110,0.1024,7
Mono_DC,TRUE,GSE185381,15023,933,0.0621,10
Stromal,FALSE,GSE116256,2,2,1,4
Stromal,FALSE,GSE253355,22411,15326,0.6839,12
Stromal,FALSE,GSE185381,7,3,0.4286,10
Stromal,FALSE,Chen2023,1575,364,0.2311,4
T_NK,TRUE,GSE185381,13088,1158,0.0885,10
T_NK,TRUE,GSE116256,1075,93,0.0865,4
T_NK,TRUE,E-MTAB-11536,5207,206,0.0396,7
T_NK,TRUE,Chen2023,10241,313,0.0306,4
T_NK,TRUE,GSE253355,3843,95,0.0247,12
