dataset,sample,n_evaluable,n_false_pos,fpr,fpr_ccc_bins
GSE116256,BM5-34p38n,1223,924,0.7555,0.7598
GSE116256,BM5-34p,967,620,0.6412,0.6471
Petti2019,Normal_sorted_170607,1904,644,0.3382,0.3297
GSE185381,GSM5613770_2020-03-18-count-2,5230,1475,0.282,0.279
Chen2023,NBM2_Niche_Immune,2271,622,0.2739,0.0769
Petti2019,Normal_sorted_170531,2577,546,0.2119,0.201
Chen2023,NBM1_Niche_Immune,5179,1067,0.206,0.0727
Chen2023,NBM3_Niche_immune,3639,599,0.1646,0.0517
GSE185381,GSM5613775_2020-08-26-Control4003-c2,2197,358,0.1629,0.1633
Petti2019,ND_090617,5485,856,0.1561,0.1486
GSE185381,GSM5613757_2019-11-04-count-1,4225,632,0.1496,0.148
GSE185381,GSM5613774_2020-08-26-Control4003-c1,1014,144,0.142,0.1424
GSE185381,GSM5613776_2020-08-26-Control4003-c3,1952,272,0.1393,0.1373
Petti2019,ND_083017,4542,593,0.1306,0.1253
GSE185381,GSM5613751_2019-08-29-count-1,4744,595,0.1254,0.1265
GSE185381,GSM5613752_2019-08-29-count-2,4763,460,0.0966,0.0963
GSE116256,BM4,2992,251,0.0839,0.0791
GSE185381,GSM5613748_2019-08-01-count-2,5206,427,0.082,0.0751
Chen2023,NBM4_Niche_Immune,3132,256,0.0817,0.0417
GSE185381,GSM5613750_2019-08-01-count-4,4557,329,0.0722,0.0662
GSE185381,GSM5613749_2019-08-01-count-3,4455,319,0.0716,0.0688
GSE185381,GSM5613793_2020-03-18-82,1106,9,0.0081,0.0075
GSE185381,GSM5613791_2019-10-21-1-Control0004,12032,22,0.0018,0.0019
GSE185381,GSM5613795_2020-05-22-5prime_2,1347,2,0.0015,0.0015
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,1078,1,9e-04,9e-04
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,1416,1,7e-04,7e-04
