sample_id,dataset,n_total,n_singler_TB,n_ref,frac_ref,val_lineage_pos,val_blast_drop,method,decision,fallback,fallback_mode
AML103_CD34,Chen2023,769,3,0,0,1,3,singleR,fallback_external,TRUE,external
AML103_Niche_Immune,Chen2023,1234,277,277,0.224473257698541,0.996,0,singleR,autologous_ok,FALSE,external
AML103,Chen2023,2004,289,289,0.144211576846307,0.997,0,singleR,autologous_ok,FALSE,external
AML162_CD34,Chen2023,2275,1,0,0,1,1,singleR,fallback_external,TRUE,external
AML162_niche_immune,Chen2023,2358,1206,1206,0.511450381679389,0.898,0,singleR,autologous_ok,FALSE,external
AML162,Chen2023,4468,1284,1284,0.287376902417189,0.893,0,singleR,autologous_ok,FALSE,external
AML24_CD34,Chen2023,9610,4,0,0,1,4,singleR,fallback_external,TRUE,external
AML24_Niche_Immune,Chen2023,2170,1726,1726,0.795391705069124,0.999,0,singleR,autologous_ok,FALSE,external
AML24,Chen2023,11276,1742,1742,0.154487406881873,0.999,0,singleR,autologous_ok,FALSE,external
AML304_CD34,Chen2023,2668,35,0,0,0.971,35,singleR,fallback_external,TRUE,external
AML304_Niche_Immune,Chen2023,5574,1863,1862,0.334050950843201,0.885,1,singleR,autologous_ok,FALSE,external
AML304,Chen2023,7283,1775,1775,0.243718247974736,0.888,0,singleR,autologous_ok,FALSE,external
AML320_CD34,Chen2023,3222,150,146,0.0453134698944755,0.966,4,singleR,autologous_ok,FALSE,external
AML320_NICHE_IMMUNE,Chen2023,7100,2773,2770,0.390140845070423,0.965,3,singleR,autologous_ok,FALSE,external
AML320,Chen2023,5626,1631,1628,0.289370778528262,0.961,3,singleR,autologous_ok,FALSE,external
AML469_CD34,Chen2023,3324,4,0,0,1,4,singleR,fallback_external,TRUE,external
AML469,Chen2023,3177,13,0,0,1,13,singleR,fallback_external,TRUE,external
NBM1_CD34,Chen2023,8364,270,270,0.0322812051649928,0.878,0,singleR,autologous_ok,FALSE,external
NBM1_Niche_Immune,Chen2023,5179,3067,3067,0.592199266267619,0.935,0,singleR,autologous_ok,FALSE,external
NBM1,Chen2023,12222,3292,3292,0.269350351824579,0.934,0,singleR,autologous_ok,FALSE,external
NBM2_CD34,Chen2023,2641,57,57,0.0215827338129496,0.982,0,singleR,autologous_ok,FALSE,external
NBM2_Niche_Immune,Chen2023,2271,1401,1401,0.616908850726552,0.996,0,singleR,autologous_ok,FALSE,external
NBM2,Chen2023,3171,1311,1311,0.413434247871334,0.995,0,singleR,autologous_ok,FALSE,external
NBM3_CD34,Chen2023,8712,710,707,0.0811524334251607,0.857,3,singleR,autologous_ok,FALSE,external
NBM3_Niche_immune,Chen2023,3639,2602,2602,0.715031602088486,0.993,0,singleR,autologous_ok,FALSE,external
NBM3,Chen2023,12615,4149,4149,0.328894173602854,0.987,0,singleR,autologous_ok,FALSE,external
NBM4_CD34,Chen2023,5130,425,421,0.0820662768031189,0.95,4,singleR,autologous_ok,FALSE,external
NBM4_Niche_Immune,Chen2023,3132,2624,2624,0.837803320561941,0.998,0,singleR,autologous_ok,FALSE,external
NBM4,Chen2023,5377,2742,2741,0.509763808815325,0.995,1,singleR,autologous_ok,FALSE,external
AML1012-D0,GSE116256,913,10,0,0,0,10,singleR,fallback_external,TRUE,external
AML210A-D0,GSE116256,582,142,142,0.243986254295533,0.697,0,singleR,autologous_ok,FALSE,external
AML328-D0,GSE116256,586,124,124,0.21160409556314,0.677,0,singleR,autologous_ok,FALSE,external
