dataset,sample,malignant_frac,n_qc_cells,evidence_tier,med_nFeature,med_nCount
Chen2023,AML103_Niche_Immune,0.4481,1234,C_single,1956.5,5911
Chen2023,AML162_niche_immune,0.2417,2358,C_single,1459,4605.5
Chen2023,AML24_Niche_Immune,0.1571,2170,C_single,1429,4626
Chen2023,AML304_Niche_Immune,0.3541,5574,C_single,938,2239.5
Chen2023,AML320_NICHE_IMMUNE,0.3348,7100,C_single,1086,3016.5
Chen2023,NBM1_Niche_Immune,0.206,5179,C_single,862,2048
Chen2023,NBM2_Niche_Immune,0.2739,2271,C_single,1513,5005
Chen2023,NBM3_Niche_immune,0.1646,3639,C_single,1207,3110
Chen2023,NBM4_Niche_Immune,0.0817,3132,C_single,1306,3632.5
GSE116256,AML420B-D14,0.1525,938,C_single,706.5,1447.5
GSE116256,AML556-D0,0.7767,1554,C_single,940,2152.5
GSE116256,AML556-D15,0.0428,935,C_single,639,1347
GSE116256,AML556-D31,0.2708,1104,C_single,920,2318
GSE116256,AML707B-D0,0.2568,1215,C_single,1045,2455
GSE116256,AML707B-D113,0.0694,576,C_single,776.5,1796.5
GSE116256,AML707B-D18,0.0304,1413,C_single,685,1610
GSE116256,AML916-D0,0.9544,658,C_single,848,1658
GSE116256,AML921A-D0,0.0536,2909,C_single,999,2155
GSE116256,BM4,0.0839,2992,C_single,1023,2552.5
GSE116256,BM5-34p,0.6412,967,C_single,869,2017
GSE116256,BM5-34p38n,0.7555,1223,C_single,888,2248
GSE185381,GSM5613744_2019-07-01-count-1,0.1013,7592,C_single,1615,5484.5
GSE185381,GSM5613745_2019-07-01-count-2,0.1188,8352,C_single,1405,4499.5
GSE185381,GSM5613746_2019-07-01-count-3,0.0929,8497,C_single,1311,4102
GSE185381,GSM5613748_2019-08-01-count-2,0.082,5206,C_single,1299.5,3884
GSE185381,GSM5613749_2019-08-01-count-3,0.0716,4455,C_single,1371,4096
GSE185381,GSM5613750_2019-08-01-count-4,0.0722,4557,C_single,1463,4436
GSE185381,GSM5613751_2019-08-29-count-1,0.1254,4744,C_single,1143.5,2764
GSE185381,GSM5613752_2019-08-29-count-2,0.0966,4763,C_single,1110,2692
GSE185381,GSM5613756_2019-10-25-count-5,0.1974,4914,C_single,1347,3316.5
GSE185381,GSM5613757_2019-11-04-count-1,0.1496,4225,C_single,1037,2531
GSE185381,GSM5613758_2019-11-04-count-2,0.206,2995,C_single,1081,3312
GSE185381,GSM5613759_2019-11-04-count-3,0.1437,3522,C_single,840,1792.5
GSE185381,GSM5613760_2019-11-19-count-1,0.3946,7271,C_single,2091,5779
GSE185381,GSM5613761_2019-11-19-count-2,0.1842,7110,C_single,2318,6624
GSE185381,GSM5613762_2019-11-26-count-1,0.1042,8406,C_single,1832,5497.5
GSE185381,GSM5613763_2019-11-26-count-2,0.0999,7929,C_single,1303,3312
GSE185381,GSM5613764_2020-01-03-count-1,0.1096,7214,C_single,1987.5,6350.5
GSE185381,GSM5613765_2020-01-03-count-2,0.1286,7821,C_single,1784,5471
GSE185381,GSM5613766_2020-03-18-AML0048-c1,0.527,1888,C_single,1112,3007
GSE185381,GSM5613767_2020-03-18-AML0048-c2,0.5978,2004,C_single,1086,2973.5
GSE185381,GSM5613768_2020-03-18-AML3266,0.2275,1468,C_single,2052.5,6537.5
GSE185381,GSM5613769_2020-03-18-count-1,0.2934,5573,C_single,903,2074
GSE185381,GSM5613770_2020-03-18-count-2,0.282,5230,C_single,847,1850
GSE185381,GSM5613771_2020-03-18-count-3,0.237,5008,C_single,1010,2448.5
GSE185381,GSM5613774_2020-08-26-Control4003-c1,0.142,1014,C_single,978.5,2241
GSE185381,GSM5613775_2020-08-26-Control4003-c2,0.1629,2197,C_single,1063,2512
GSE185381,GSM5613776_2020-08-26-Control4003-c3,0.1393,1952,C_single,1021,2371
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,0.099,2617,C_single,1808,5254
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,0.1145,2663,C_single,1604,4353
GSE185381,GSM5613779_2020-09-15-AML0024,0.1045,4920,C_single,2264,8396
GSE185381,GSM5613780_2020-10-06-AML4897,0.0562,2439,C_single,1513,3827
GSE185381,GSM5613781_2020-10-06-count2,0.213,3817,C_single,1159,2270
GSE185381,GSM5613782_2020-10-06-count4_0.95,0.1119,2555,C_single,932,2314
GSE185381,GSM5613784_2021-03-09-AML0693,0.1816,2897,C_single,1065,2674
GSE185381,GSM5613785_2021-03-09-AML3948,0.1716,6754,C_single,1568,5259.5
GSE185381,GSM5613786_2021-03-09-AMLMS3730,0.2662,4680,C_single,2150,8248
GSE185381,GSM5613787_2021-03-09-count1_0.95,0.1992,2430,C_single,1228.5,2506.5
GSE185381,GSM5613788_2021-03-09-Z-1-1,0.1503,825,C_single,1023,2487
GSE185381,GSM5613789_2021-03-09-Z-1-2,0.101,970,C_single,1028.5,2577.5
GSE185381,GSM5613790_2021-03-09-Z-1-3,0.0934,1670,C_single,1812.5,5736.5
GSE185381,GSM5613791_2019-10-21-1-Control0004,0.0018,12032,C_single,993,2150
GSE185381,GSM5613793_2020-03-18-82,0.0081,1106,C_single,885.5,1924.5
GSE185381,GSM5613795_2020-05-22-5prime_2,0.0015,1347,C_single,939,2516
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,7e-04,1416,C_single,1192,3254.5
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,9e-04,1078,C_single,1390,4078.5
GSE185381,GSM5613800_2021-04-29-0102_cDNA,0.002,1479,C_single,1848,5010
GSE185381,GSM5613801_2021-04-29-0134_cDNA,0.0014,1435,C_single,1571,4248
GSE185381,GSM5613804_2021-04-29-2910_cDNA,0.0027,2197,C_single,870,2626
GSE185381,GSM5613805_2021-04-29-2975_cDNA,0.0013,786,C_single,1863,5329
GSE201966,GSM6085180_AML02M5_RE,3e-04,9910,C_single,2320,8676
GSE201966,GSM6085181_AML03M5_P,0.6125,7231,C_single,1008,2489
GSE201966,GSM6085182_AML03M5_RE,0.058,2844,C_single,1154,3033.5
GSE207356,GSM6284913_TS173_05_Sample_E,0.3253,6089,C_single,1890,7639
GSE207356,GSM6284914_TS173_06_Sample_F,0.3029,7462,C_single,2292,8039.5
GSE227903,1886_Dg,0.485,3270,B_multi_partial,2417,7117
GSE227903,1886_MRD,0.4283,2844,C_single,2567,9301
GSE227903,1886_R,0.1509,1743,B_multi_partial,4332,24501
GSE227903,3853_Dg,0.7654,1334,B_multi_partial,3628.5,13738
GSE227903,3853_R,0,528,C_single,4412.5,18144
GSE227903,3904_Dg,0.1443,3265,C_single,3243,10969
GSE227903,3904_MRD,0.4546,2301,C_single,2878,9995
GSE227903,3904_R,0.0387,9837,C_single,2119,6525
GSE227903,40389_Dg,0.0957,3114,C_single,2067.5,6055
GSE227903,40389_MRD,0.0662,3806,C_single,1613.5,4624.5
GSE227903,40389_R,0.1102,5471,C_single,1407,3671
GSE227903,4978_Dg,0.1038,2679,C_single,3721,14312
GSE227903,4978_MRD,0.1865,1732,C_single,2845.5,10076.5
GSE227903,4978_R,0.0211,2035,C_single,4482,20198
GSE227903,5143_Dg,0.1351,1103,C_single,3286,12713
GSE227903,5143_R,0.1136,2103,C_single,2968,9926
GSE227903,5750_Dg,0.03,4202,C_single,3387.5,13069
GSE227903,5750_MRD,0.2744,2223,C_single,3161,11250
GSE227903,5750_R,0.0329,5132,C_single,2234.5,8992.5
GSE227903,6323_Dg,0.5,604,B_multi_partial,4268,19823.5
GSE227903,6323_MRD,0.5272,10615,C_single,1601,4631
GSE227903,6323_R,0.0897,892,A_concordant,3216,12391
GSE227903,6323_R2,0.0418,3783,C_single,1914,6032
GSE239721,PT17A,0.0117,2475,C_single,2942,9086
GSE239721,PT20A,0.011,1002,C_single,1894,5477
GSE239721,PT21A,0.004,3473,C_single,2908,11469
GSE239721,PT22A,0.0108,1662,C_single,3250,10514.5
GSE239721,PT23A,0.0049,4451,C_single,1887,5767
GSE239721,PT26A,0.0017,1178,C_single,3474.5,14811.5
GSE239721,PT27A,0.2375,5191,C_single,2367,9141
GSE239721,PT28A,0.0084,7712,C_single,3126,11609
GSE239721,PT29A,0.1623,2193,C_single,3129,9725
GSE239721,PT30A,0.0376,612,C_single,2464,8393.5
GSE239721,PT32A,0.1455,1725,C_single,2098,6505
GSE289435,GSM8791432_MLL_14666,0.1451,9152,C_single,1889,8269.5
GSE289435,GSM8791433_MLL_16703,0.1102,7930,C_single,2196,8292
GSE289435,GSM8791434_MLL_17746,0.0571,5273,C_single,1378,2990
GSE289435,GSM8791435_MLL_17843,0.0704,13429,C_single,1027,2877
GSE289435,GSM8791436_MLL_17844,0.3254,13050,C_single,1510,3750.5
GSE289435,GSM8791437_MLL_28824,0.0292,4590,C_single,1619,5461
GSE289435,GSM8791438_MLL_28830,0.0712,5502,C_single,1020,2650
GSE289435,GSM8791439_MLL_28855,0.1231,4892,C_single,1090,2662.5
GSE289435,GSM8791441_MLL_29532,0.0067,5260,C_single,846,2558.5
GSE289435,GSM8791442_MLL_29538,0.2148,4632,C_single,1085,2688.5
GSE289435,GSM8791443_MLL_30862,0.4818,3111,C_single,1015,2219
GSE289435,GSM8791444_MLL_30886,0.0391,11881,C_single,1127,2388
Petti2019,508084,0.0781,9482,C_single,2288,7566.5
Petti2019,548327,0.1082,8705,C_single,1351,3451
Petti2019,721214,0.0167,13149,C_single,2232,6159
Petti2019,782328,0.3346,15148,C_single,1777,4918
Petti2019,809653,0.1587,15194,C_single,1517,4208.5
Petti2019,ND_083017,0.1306,4542,C_single,1131,3840.5
Petti2019,ND_090617,0.1561,5485,C_single,972,3293
Petti2019,Normal_sorted_170531,0.2119,2577,C_single,993,3199
Petti2019,Normal_sorted_170607,0.3382,1904,C_single,770,2384
