dataset,sample,n_cells,frac,healthy
Chen2023,AML103,11,0.0909090909090909,FALSE
Chen2023,AML162,108,0.240740740740741,FALSE
Chen2023,AML24,67,0.149253731343284,FALSE
Chen2023,AML304,676,0.143491124260355,FALSE
Chen2023,AML320,69,0.27536231884058,FALSE
Chen2023,AML469,123,0.40650406504065,FALSE
Chen2023,NBM1,855,0.0456140350877193,TRUE
Chen2023,NBM2,176,0.363636363636364,TRUE
Chen2023,NBM3,1561,0.0128122998078155,TRUE
Chen2023,NBM4,354,0.0706214689265537,TRUE
E-MTAB-11536,640C-BMA,20,0.15,TRUE
E-MTAB-11536,A35-BMA,5,0.4,TRUE
GSE116256,AML1012-D0,32,0.4375,FALSE
GSE116256,AML210A-D0,12,0.666666666666667,FALSE
GSE116256,AML328-D0,136,0.852941176470588,FALSE
GSE116256,AML328-D113,11,0.636363636363636,FALSE
GSE116256,AML328-D171,26,0.461538461538462,FALSE
GSE116256,AML328-D29,497,0.867203219315895,FALSE
GSE116256,AML329-D0,57,0.298245614035088,FALSE
GSE116256,AML329-D20,5,0.6,FALSE
GSE116256,AML371-D0,19,0.263157894736842,FALSE
GSE116256,AML419A-D0,58,0.689655172413793,FALSE
GSE116256,AML420B-D0,22,0.0454545454545455,FALSE
GSE116256,AML475-D0,2,0.5,FALSE
GSE116256,AML556-D0,3,0.333333333333333,FALSE
GSE116256,AML556-D15,5,0.2,FALSE
GSE116256,AML556-D31,9,0.111111111111111,FALSE
GSE116256,AML707B-D0,158,0.765822784810127,FALSE
GSE116256,AML707B-D113,4,0.75,FALSE
GSE116256,AML707B-D18,2,1,FALSE
GSE116256,AML916-D0,92,0.804347826086957,FALSE
GSE116256,AML921A-D0,287,0.909407665505226,FALSE
GSE116256,BM3,25,0.08,TRUE
GSE116256,BM4,325,0.132307692307692,TRUE
GSE116256,BM5-34p,325,0.0584615384615385,TRUE
GSE116256,BM5-34p38n,935,0.0181818181818182,TRUE
GSE147989,009SCRBL,631,0.164817749603803,FALSE
GSE147989,009C1D1BL,494,0.12753036437247,FALSE
GSE147989,007SCRBL,116,0.827586206896552,FALSE
GSE147989,007C1D1BL,329,0.911854103343465,FALSE
GSE185381,AML0612,2394,0.0618212197159566,FALSE
GSE185381,AML3762,3058,0.188031393067364,FALSE
GSE185381,AML0160,91,0.208791208791209,FALSE
GSE185381,AML0310,3,0,FALSE
GSE185381,AML3133,30,0.0333333333333333,FALSE
GSE185381,Control4,40,0.05,TRUE
GSE185381,Control2,27,0.185185185185185,TRUE
GSE185381,Control1,39,0.102564102564103,TRUE
GSE185381,Control3,34,0.0294117647058824,TRUE
GSE185381,Control5,16,0,TRUE
GSE185381,AML2910,365,0.342465753424658,FALSE
GSE185381,AML3050,11,0,FALSE
GSE185381,AML0361,62,0.0645161290322581,FALSE
GSE185381,PAWWEE,38,0,FALSE
GSE185381,AML2451,116,0.491379310344828,FALSE
GSE185381,Control0004,8,0,TRUE
GSE185381,Control0058,3,0,TRUE
GSE185381,PAXMIJ,2,0,FALSE
GSE185381,PAUMTZ,393,0.147582697201018,FALSE
GSE185381,AML038,148,0.148648648648649,FALSE
GSE185381,AML008,1,0,FALSE
GSE185381,AML043,14,0,FALSE
GSE185381,AML028,3,0,FALSE
GSE185381,AML056,3,0,FALSE
GSE185381,AML073,187,0.0320855614973262,FALSE
GSE185381,AML006,17,0.411764705882353,FALSE
GSE185381,AML025,347,0.210374639769452,FALSE
GSE185381,AML003,152,0.440789473684211,FALSE
GSE185381,AML012,115,0.773913043478261,FALSE
GSE185381,AML005,338,0.748520710059172,FALSE
GSE185381,AML055,100,0.55,FALSE
GSE185381,AML048,6,0.833333333333333,FALSE
GSE185381,AML0048,145,0.0344827586206897,FALSE
GSE185381,AML3266,3,0,FALSE
GSE185381,AML022,77,0.012987012987013,FALSE
GSE185381,Control0082,4,0,TRUE
GSE185381,AML052,18,0,FALSE
GSE185381,AML2123,133,0.225563909774436,FALSE
GSE185381,Control4003,24,0,TRUE
GSE185381,AML4340,120,0.0333333333333333,FALSE
GSE185381,AML0024,24,0.5,FALSE
GSE185381,AML4897,9,0,FALSE
GSE185381,AML009,330,0,FALSE
GSE185381,Control0005,39,0,TRUE
GSE185381,AML026,46,0.0652173913043478,FALSE
GSE185381,AML051,22,0,FALSE
GSE185381,AML001,23,0,FALSE
GSE185381,AML0693,387,0.00258397932816537,FALSE
GSE185381,AML3948,301,0.352159468438538,FALSE
GSE185381,AML3730,232,0.857758620689655,FALSE
GSE185381,AML0114,468,0.108974358974359,FALSE
GSE185991,GSM5628163_M03,250,0.452,FALSE
GSE185991,GSM5628164_M04,581,0.567986230636833,FALSE
GSE185991,GSM5628167_M07,52,0,FALSE
GSE185991,GSM5628168_M08,1228,0.00895765472312704,FALSE
GSE185991,GSM5628174_M24,1,0,FALSE
GSE185991,GSM5628175_M25,152,0.842105263157895,FALSE
GSE185991,GSM5628176_M26,172,0.267441860465116,FALSE
GSE185991,GSM5628177_M27,84,0.19047619047619,FALSE
GSE185991,GSM5628178_M28,152,0.315789473684211,FALSE
GSE185991,GSM5628180_M30,141,0.297872340425532,FALSE
