dataset,sample,timepoint,hierarchy_bin,in_ccc_graph,n_cells,n_evaluable,n_malignant,malignant_frac,frac_high_error
Chen2023,AML103_Niche_Immune,,HSC_MPP,TRUE,4,4,4,1,0.75
Chen2023,AML103_Niche_Immune,,LMPP_GMP,TRUE,2,2,0,0,0
Chen2023,AML103_Niche_Immune,,Mono_DC,TRUE,6,6,3,0.5,0.1667
Chen2023,AML103_Niche_Immune,,Erythroid,TRUE,7,7,3,0.4286,0.1429
Chen2023,AML103_Niche_Immune,,Megakaryocyte,TRUE,3,3,1,0.3333,0
Chen2023,AML103_Niche_Immune,,T_NK,TRUE,233,233,15,0.0644,0.03
Chen2023,AML103_Niche_Immune,,B_Plasma,TRUE,493,493,80,0.1623,0
Chen2023,AML103_Niche_Immune,,Stromal,FALSE,438,438,415,0.9475,0.0023
Chen2023,AML103_Niche_Immune,,Unassigned,FALSE,48,48,32,0.6667,0
Chen2023,AML162_niche_immune,,HSC_MPP,TRUE,16,16,6,0.375,0.5625
Chen2023,AML162_niche_immune,,LMPP_GMP,TRUE,87,87,14,0.1609,0.1494
Chen2023,AML162_niche_immune,,Mono_DC,TRUE,85,85,6,0.0706,0.0588
Chen2023,AML162_niche_immune,,Erythroid,TRUE,2,2,0,0,0
Chen2023,AML162_niche_immune,,Megakaryocyte,TRUE,0,0,0,,
Chen2023,AML162_niche_immune,,T_NK,TRUE,966,966,22,0.0228,0.0983
Chen2023,AML162_niche_immune,,B_Plasma,TRUE,735,735,130,0.1769,0.0027
Chen2023,AML162_niche_immune,,Stromal,FALSE,374,374,350,0.9358,0.0027
Chen2023,AML162_niche_immune,,Unassigned,FALSE,93,93,42,0.4516,0
Chen2023,AML24_Niche_Immune,,HSC_MPP,TRUE,0,0,0,,
Chen2023,AML24_Niche_Immune,,LMPP_GMP,TRUE,2,2,0,0,0
Chen2023,AML24_Niche_Immune,,Mono_DC,TRUE,5,5,1,0.2,0
Chen2023,AML24_Niche_Immune,,Erythroid,TRUE,43,43,17,0.3953,0
Chen2023,AML24_Niche_Immune,,Megakaryocyte,TRUE,13,13,9,0.6923,0
Chen2023,AML24_Niche_Immune,,T_NK,TRUE,1239,1239,19,0.0153,0.1493
Chen2023,AML24_Niche_Immune,,B_Plasma,TRUE,535,535,3,0.0056,0
Chen2023,AML24_Niche_Immune,,Stromal,FALSE,203,203,202,0.9951,0
Chen2023,AML24_Niche_Immune,,Unassigned,FALSE,130,130,90,0.6923,0
Chen2023,AML304_Niche_Immune,,HSC_MPP,TRUE,111,111,85,0.7658,0.5586
Chen2023,AML304_Niche_Immune,,LMPP_GMP,TRUE,57,57,7,0.1228,0.1404
Chen2023,AML304_Niche_Immune,,Mono_DC,TRUE,236,236,24,0.1017,0.0932
Chen2023,AML304_Niche_Immune,,Erythroid,TRUE,35,35,4,0.1143,0.0571
Chen2023,AML304_Niche_Immune,,Megakaryocyte,TRUE,30,30,23,0.7667,0
Chen2023,AML304_Niche_Immune,,T_NK,TRUE,1895,1895,57,0.0301,0.0765
Chen2023,AML304_Niche_Immune,,B_Plasma,TRUE,1090,1090,296,0.2716,9e-04
Chen2023,AML304_Niche_Immune,,Stromal,FALSE,1892,1892,1357,0.7172,0.0053
Chen2023,AML304_Niche_Immune,,Unassigned,FALSE,228,228,121,0.5307,0
Chen2023,AML320_NICHE_IMMUNE,,HSC_MPP,TRUE,52,52,12,0.2308,0.3654
Chen2023,AML320_NICHE_IMMUNE,,LMPP_GMP,TRUE,292,292,46,0.1575,0.0548
Chen2023,AML320_NICHE_IMMUNE,,Mono_DC,TRUE,16,16,16,1,0.125
Chen2023,AML320_NICHE_IMMUNE,,Erythroid,TRUE,134,134,1,0.0075,0.0299
Chen2023,AML320_NICHE_IMMUNE,,Megakaryocyte,TRUE,52,52,18,0.3462,0.0385
Chen2023,AML320_NICHE_IMMUNE,,T_NK,TRUE,1766,1766,24,0.0136,0.0708
Chen2023,AML320_NICHE_IMMUNE,,B_Plasma,TRUE,2752,2752,437,0.1588,0
Chen2023,AML320_NICHE_IMMUNE,,Stromal,FALSE,1642,1642,1620,0.9866,0.0018
Chen2023,AML320_NICHE_IMMUNE,,Unassigned,FALSE,394,394,203,0.5152,0
Chen2023,NBM1_Niche_Immune,,HSC_MPP,TRUE,5,5,2,0.4,1
Chen2023,NBM1_Niche_Immune,,LMPP_GMP,TRUE,6,6,1,0.1667,0.1667
Chen2023,NBM1_Niche_Immune,,Mono_DC,TRUE,39,39,8,0.2051,0
Chen2023,NBM1_Niche_Immune,,Erythroid,TRUE,2,2,1,0.5,0
Chen2023,NBM1_Niche_Immune,,Megakaryocyte,TRUE,3,3,2,0.6667,0
Chen2023,NBM1_Niche_Immune,,T_NK,TRUE,2639,2639,81,0.0307,0.0678
Chen2023,NBM1_Niche_Immune,,B_Plasma,TRUE,1471,1471,208,0.1414,0.0027
Chen2023,NBM1_Niche_Immune,,Stromal,FALSE,803,803,679,0.8456,0.0012
Chen2023,NBM1_Niche_Immune,,Unassigned,FALSE,211,211,85,0.4028,0
Chen2023,NBM2_Niche_Immune,,HSC_MPP,TRUE,2,2,2,1,1
Chen2023,NBM2_Niche_Immune,,LMPP_GMP,TRUE,0,0,0,,
Chen2023,NBM2_Niche_Immune,,Mono_DC,TRUE,18,18,10,0.5556,0
Chen2023,NBM2_Niche_Immune,,Erythroid,TRUE,2,2,2,1,0.5
Chen2023,NBM2_Niche_Immune,,Megakaryocyte,TRUE,8,8,8,1,0
Chen2023,NBM2_Niche_Immune,,T_NK,TRUE,1297,1297,54,0.0416,0.0254
Chen2023,NBM2_Niche_Immune,,B_Plasma,TRUE,390,390,56,0.1436,0
Chen2023,NBM2_Niche_Immune,,Stromal,FALSE,433,433,429,0.9908,0
Chen2023,NBM2_Niche_Immune,,Unassigned,FALSE,121,121,61,0.5041,0
Chen2023,NBM3_Niche_immune,,HSC_MPP,TRUE,1,1,0,0,1
Chen2023,NBM3_Niche_immune,,LMPP_GMP,TRUE,4,4,0,0,0
Chen2023,NBM3_Niche_immune,,Mono_DC,TRUE,15,15,1,0.0667,0
Chen2023,NBM3_Niche_immune,,Erythroid,TRUE,3,3,1,0.3333,0
Chen2023,NBM3_Niche_immune,,Megakaryocyte,TRUE,5,5,4,0.8,0
Chen2023,NBM3_Niche_immune,,T_NK,TRUE,2221,2221,68,0.0306,0.059
Chen2023,NBM3_Niche_immune,,B_Plasma,TRUE,829,829,85,0.1025,0
Chen2023,NBM3_Niche_immune,,Stromal,FALSE,382,382,356,0.9319,0
Chen2023,NBM3_Niche_immune,,Unassigned,FALSE,179,179,84,0.4693,0
Chen2023,NBM4_Niche_Immune,,HSC_MPP,TRUE,0,0,0,,
Chen2023,NBM4_Niche_Immune,,LMPP_GMP,TRUE,1,1,0,0,0
Chen2023,NBM4_Niche_Immune,,Mono_DC,TRUE,21,21,3,0.1429,0
Chen2023,NBM4_Niche_Immune,,Erythroid,TRUE,2,2,2,1,0
Chen2023,NBM4_Niche_Immune,,Megakaryocyte,TRUE,2,2,2,1,0
Chen2023,NBM4_Niche_Immune,,T_NK,TRUE,2153,2153,74,0.0344,0.0483
Chen2023,NBM4_Niche_Immune,,B_Plasma,TRUE,749,749,41,0.0547,0.0027
Chen2023,NBM4_Niche_Immune,,Stromal,FALSE,107,107,94,0.8785,0.0093
Chen2023,NBM4_Niche_Immune,,Unassigned,FALSE,97,97,40,0.4124,0
GSE116256,AML420B-D14,,HSC_MPP,TRUE,0,0,0,,
GSE116256,AML420B-D14,,LMPP_GMP,TRUE,0,0,0,,
GSE116256,AML420B-D14,,Mono_DC,TRUE,0,0,0,,
GSE116256,AML420B-D14,,Erythroid,TRUE,0,0,0,,
GSE116256,AML420B-D14,,Megakaryocyte,TRUE,0,0,0,,
GSE116256,AML420B-D14,,T_NK,TRUE,631,631,3,0.0048,0.0983
GSE116256,AML420B-D14,,B_Plasma,TRUE,218,218,126,0.578,0
GSE116256,AML420B-D14,,Stromal,FALSE,1,1,0,0,0
GSE116256,AML420B-D14,,Unassigned,FALSE,88,88,14,0.1591,0
GSE116256,AML556-D0,,HSC_MPP,TRUE,3,3,3,1,0.3333
GSE116256,AML556-D0,,LMPP_GMP,TRUE,131,131,80,0.6107,0.0229
GSE116256,AML556-D0,,Mono_DC,TRUE,1254,1254,964,0.7687,0.0231
GSE116256,AML556-D0,,Erythroid,TRUE,1,1,1,1,1
GSE116256,AML556-D0,,Megakaryocyte,TRUE,1,1,0,0,0
GSE116256,AML556-D0,,T_NK,TRUE,28,28,25,0.8929,0.1071
GSE116256,AML556-D0,,B_Plasma,TRUE,102,102,101,0.9902,0
GSE116256,AML556-D0,,Stromal,FALSE,2,2,2,1,0
GSE116256,AML556-D0,,Unassigned,FALSE,32,32,31,0.9688,0
GSE116256,AML556-D15,,HSC_MPP,TRUE,5,5,0,0,0.2
GSE116256,AML556-D15,,LMPP_GMP,TRUE,0,0,0,,
GSE116256,AML556-D15,,Mono_DC,TRUE,0,0,0,,
GSE116256,AML556-D15,,Erythroid,TRUE,1,1,0,0,0
GSE116256,AML556-D15,,Megakaryocyte,TRUE,0,0,0,,
GSE116256,AML556-D15,,T_NK,TRUE,827,827,3,0.0036,0.0967
GSE116256,AML556-D15,,B_Plasma,TRUE,60,60,35,0.5833,0
GSE116256,AML556-D15,,Stromal,FALSE,0,0,0,,
GSE116256,AML556-D15,,Unassigned,FALSE,42,42,2,0.0476,0
GSE116256,AML556-D31,,HSC_MPP,TRUE,9,9,0,0,0.2222
GSE116256,AML556-D31,,LMPP_GMP,TRUE,77,77,4,0.0519,0.0519
GSE116256,AML556-D31,,Mono_DC,TRUE,561,561,97,0.1729,0.0125
GSE116256,AML556-D31,,Erythroid,TRUE,15,15,1,0.0667,0.0667
GSE116256,AML556-D31,,Megakaryocyte,TRUE,24,24,5,0.2083,0
GSE116256,AML556-D31,,T_NK,TRUE,77,77,1,0.013,0.1169
GSE116256,AML556-D31,,B_Plasma,TRUE,244,244,171,0.7008,0.0041
GSE116256,AML556-D31,,Stromal,FALSE,1,1,1,1,0
GSE116256,AML556-D31,,Unassigned,FALSE,96,96,19,0.1979,0
GSE116256,AML707B-D0,,HSC_MPP,TRUE,161,161,38,0.236,0.2112
GSE116256,AML707B-D0,,LMPP_GMP,TRUE,447,447,62,0.1387,0.123
GSE116256,AML707B-D0,,Mono_DC,TRUE,20,20,2,0.1,0.1
GSE116256,AML707B-D0,,Erythroid,TRUE,538,538,189,0.3513,0.0446
GSE116256,AML707B-D0,,Megakaryocyte,TRUE,2,2,2,1,0
GSE116256,AML707B-D0,,T_NK,TRUE,25,25,9,0.36,0.2
GSE116256,AML707B-D0,,B_Plasma,TRUE,21,21,9,0.4286,0.1429
GSE116256,AML707B-D0,,Stromal,FALSE,0,0,0,,
GSE116256,AML707B-D0,,Unassigned,FALSE,1,1,1,1,0
GSE116256,AML707B-D113,,HSC_MPP,TRUE,4,4,0,0,0
GSE116256,AML707B-D113,,LMPP_GMP,TRUE,14,14,0,0,0
GSE116256,AML707B-D113,,Mono_DC,TRUE,99,99,13,0.1313,0.0303
GSE116256,AML707B-D113,,Erythroid,TRUE,8,8,1,0.125,0
GSE116256,AML707B-D113,,Megakaryocyte,TRUE,0,0,0,,
GSE116256,AML707B-D113,,T_NK,TRUE,355,355,15,0.0423,0.0761
GSE116256,AML707B-D113,,B_Plasma,TRUE,51,51,8,0.1569,0
GSE116256,AML707B-D113,,Stromal,FALSE,0,0,0,,
GSE116256,AML707B-D113,,Unassigned,FALSE,45,45,3,0.0667,0
GSE116256,AML707B-D18,,HSC_MPP,TRUE,2,2,0,0,0.5
GSE116256,AML707B-D18,,LMPP_GMP,TRUE,34,34,11,0.3235,0
GSE116256,AML707B-D18,,Mono_DC,TRUE,1,1,1,1,0
GSE116256,AML707B-D18,,Erythroid,TRUE,2,2,0,0,0.5
GSE116256,AML707B-D18,,Megakaryocyte,TRUE,1,1,0,0,0
GSE116256,AML707B-D18,,T_NK,TRUE,1272,1272,16,0.0126,0.0684
GSE116256,AML707B-D18,,B_Plasma,TRUE,11,11,0,0,0
GSE116256,AML707B-D18,,Stromal,FALSE,0,0,0,,
GSE116256,AML707B-D18,,Unassigned,FALSE,90,90,15,0.1667,0
GSE116256,AML916-D0,,HSC_MPP,TRUE,99,99,98,0.9899,0.2828
GSE116256,AML916-D0,,LMPP_GMP,TRUE,119,119,114,0.958,0.1765
GSE116256,AML916-D0,,Mono_DC,TRUE,17,17,16,0.9412,0.1765
GSE116256,AML916-D0,,Erythroid,TRUE,315,315,295,0.9365,0.0571
GSE116256,AML916-D0,,Megakaryocyte,TRUE,6,6,5,0.8333,0.1667
GSE116256,AML916-D0,,T_NK,TRUE,63,63,63,1,0.2063
GSE116256,AML916-D0,,B_Plasma,TRUE,39,39,37,0.9487,0.2051
GSE116256,AML916-D0,,Stromal,FALSE,0,0,0,,
GSE116256,AML916-D0,,Unassigned,FALSE,0,0,0,,
GSE116256,AML921A-D0,,HSC_MPP,TRUE,219,219,12,0.0548,0.2603
GSE116256,AML921A-D0,,LMPP_GMP,TRUE,676,676,15,0.0222,0.1391
GSE116256,AML921A-D0,,Mono_DC,TRUE,1244,1244,76,0.0611,0.0635
GSE116256,AML921A-D0,,Erythroid,TRUE,144,144,4,0.0278,0.1111
GSE116256,AML921A-D0,,Megakaryocyte,TRUE,3,3,0,0,0.3333
GSE116256,AML921A-D0,,T_NK,TRUE,287,287,19,0.0662,0.1742
GSE116256,AML921A-D0,,B_Plasma,TRUE,141,141,12,0.0851,0.0426
GSE116256,AML921A-D0,,Stromal,FALSE,0,0,0,,
GSE116256,AML921A-D0,,Unassigned,FALSE,195,195,18,0.0923,0
GSE116256,BM4,,HSC_MPP,TRUE,238,238,6,0.0252,0.1765
GSE116256,BM4,,LMPP_GMP,TRUE,435,435,13,0.0299,0.0483
GSE116256,BM4,,Mono_DC,TRUE,932,932,153,0.1642,0.0343
