dataset,sample,n_proj,n_cons,n_joined,join_rate
Chen2023,AML103_Niche_Immune,1234,1234,1234,1
Chen2023,AML162_niche_immune,2358,2358,2358,1
Chen2023,AML24_Niche_Immune,2170,2170,2170,1
Chen2023,AML304_Niche_Immune,5574,5574,5574,1
Chen2023,AML320_NICHE_IMMUNE,7100,7100,7100,1
Chen2023,NBM1_Niche_Immune,5179,5179,5179,1
Chen2023,NBM2_Niche_Immune,2271,2271,2271,1
Chen2023,NBM3_Niche_immune,3639,3639,3639,1
Chen2023,NBM4_Niche_Immune,3132,3132,3132,1
GSE116256,AML420B-D14,938,938,938,1
GSE116256,AML556-D0,1554,1554,1554,1
GSE116256,AML556-D15,935,935,935,1
GSE116256,AML556-D31,1104,1104,1104,1
GSE116256,AML707B-D0,1215,1215,1215,1
GSE116256,AML707B-D113,576,576,576,1
GSE116256,AML707B-D18,1413,1413,1413,1
GSE116256,AML916-D0,658,658,658,1
GSE116256,AML921A-D0,2909,2909,2909,1
GSE116256,BM4,2992,2992,2992,1
GSE116256,BM5-34p,967,967,967,1
GSE116256,BM5-34p38n,1223,1223,1223,1
GSE185381,GSM5613744_2019-07-01-count-1,7592,7592,7592,1
GSE185381,GSM5613745_2019-07-01-count-2,8352,8352,8352,1
GSE185381,GSM5613746_2019-07-01-count-3,8497,8497,8497,1
GSE185381,GSM5613748_2019-08-01-count-2,5206,5206,5206,1
GSE185381,GSM5613749_2019-08-01-count-3,4455,4455,4455,1
GSE185381,GSM5613750_2019-08-01-count-4,4557,4557,4557,1
GSE185381,GSM5613751_2019-08-29-count-1,4744,4744,4744,1
GSE185381,GSM5613752_2019-08-29-count-2,4763,4763,4763,1
GSE185381,GSM5613756_2019-10-25-count-5,4914,4914,4914,1
GSE185381,GSM5613757_2019-11-04-count-1,4225,4225,4225,1
GSE185381,GSM5613758_2019-11-04-count-2,2995,2995,2995,1
GSE185381,GSM5613759_2019-11-04-count-3,3522,3522,3522,1
GSE185381,GSM5613760_2019-11-19-count-1,7271,7271,7271,1
GSE185381,GSM5613761_2019-11-19-count-2,7110,7110,7110,1
GSE185381,GSM5613762_2019-11-26-count-1,8406,8406,8406,1
GSE185381,GSM5613763_2019-11-26-count-2,7929,7929,7929,1
GSE185381,GSM5613764_2020-01-03-count-1,7214,7214,7214,1
GSE185381,GSM5613765_2020-01-03-count-2,7821,7821,7821,1
GSE185381,GSM5613766_2020-03-18-AML0048-c1,1888,1888,1888,1
GSE185381,GSM5613767_2020-03-18-AML0048-c2,2004,2004,2004,1
GSE185381,GSM5613768_2020-03-18-AML3266,1468,1468,1468,1
GSE185381,GSM5613769_2020-03-18-count-1,5573,5573,5573,1
GSE185381,GSM5613770_2020-03-18-count-2,5230,5230,5230,1
GSE185381,GSM5613771_2020-03-18-count-3,5008,5008,5008,1
GSE185381,GSM5613774_2020-08-26-Control4003-c1,1014,1014,1014,1
GSE185381,GSM5613775_2020-08-26-Control4003-c2,2197,2197,2197,1
GSE185381,GSM5613776_2020-08-26-Control4003-c3,1952,1952,1952,1
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,2617,2617,2617,1
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,2663,2663,2663,1
GSE185381,GSM5613779_2020-09-15-AML0024,4920,4920,4920,1
GSE185381,GSM5613780_2020-10-06-AML4897,2439,2439,2439,1
GSE185381,GSM5613781_2020-10-06-count2,3817,3817,3817,1
GSE185381,GSM5613782_2020-10-06-count4_0.95,2555,2555,2555,1
GSE185381,GSM5613784_2021-03-09-AML0693,2897,2897,2897,1
GSE185381,GSM5613785_2021-03-09-AML3948,6754,6754,6754,1
GSE185381,GSM5613786_2021-03-09-AMLMS3730,4680,4680,4680,1
GSE185381,GSM5613787_2021-03-09-count1_0.95,2430,2430,2430,1
GSE185381,GSM5613788_2021-03-09-Z-1-1,825,825,825,1
GSE185381,GSM5613789_2021-03-09-Z-1-2,970,970,970,1
GSE185381,GSM5613790_2021-03-09-Z-1-3,1670,1670,1670,1
GSE185381,GSM5613791_2019-10-21-1-Control0004,12032,12032,12032,1
GSE185381,GSM5613793_2020-03-18-82,1106,1106,1106,1
GSE185381,GSM5613795_2020-05-22-5prime_2,1347,1347,1347,1
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,1416,1416,1416,1
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,1078,1078,1078,1
GSE185381,GSM5613800_2021-04-29-0102_cDNA,1479,1479,1479,1
GSE185381,GSM5613801_2021-04-29-0134_cDNA,1435,1435,1435,1
