MP,rank,gene,weight
MP1,1,JUN,1
MP2,1,S100A12,0.11014
MP2,2,S100A8,0.06341
MP2,3,VCAN,0.03516
MP2,4,RETN,0.03396
MP2,5,PLBD1,0.03231
MP2,6,FCN1,0.02835
MP2,7,G0S2,0.02781
MP2,8,CXCL8,0.02545
MP2,9,PADI4,0.02377
MP2,10,CD14,0.02142
MP2,11,THBS1,0.02045
MP2,12,NAMPT,0.0198
MP2,13,RBP7,0.01964
MP2,14,MCEMP1,0.01664
MP2,15,MNDA,0.01637
MP2,16,C5AR1,0.01582
MP2,17,FPR1,0.0156
MP2,18,CKAP4,0.01551
MP2,19,CYP1B1,0.01551
MP2,20,CDA,0.01493
MP2,21,VNN2,0.01404
MP2,22,SERPINA1,0.01378
MP2,23,BCL2A1,0.01327
MP2,24,NCF1,0.0123
MP2,25,SLC2A3,0.01193
MP2,26,MAFB,0.0116
MP2,27,QPCT,0.01157
MP2,28,MEGF9,0.01136
MP2,29,CD36,0.01105
MP2,30,RNASE2,0.01101
MP2,31,S100P,0.01064
MP2,32,LRRK2,0.01062
MP2,33,CR1,0.01035
MP2,34,ANPEP,0.01025
MP2,35,CLEC7A,0.01012
MP2,36,SLC11A1,0.00989
MP2,37,CES1,0.00988
MP2,38,IFI30,0.00938
MP2,39,ALOX5AP,0.00884
MP2,40,AQP9,0.0087
MP2,41,SELL,0.00847
MP2,42,TREM1,0.00832
MP2,43,RGS2,0.0082
MP2,44,PLAUR,0.00797
MP2,45,CD163,0.0078
MP2,46,CSTA,0.00744
MP2,47,MPEG1,0.00736
MP2,48,APOBEC3A,0.00709
MP2,49,FGL2,0.00705
MP2,50,MS4A6A,0.00646
MP2,51,KCTD12,0.00641
MP2,52,LUCAT1,0.00641
MP2,53,LILRA5,0.00635
MP2,54,CRISPLD2,0.00626
MP2,55,SGK1,0.00612
MP2,56,JAML,0.00612
MP2,57,ACSL1,0.00572
MP2,58,NCF2,0.00572
MP2,59,LGALS1,0.0056
MP2,60,CYBB,0.00544
MP2,61,GCA,0.00538
MP2,62,IGSF6,0.00536
MP2,63,CAPG,0.00528
MP2,64,EREG,0.00527
MP2,65,BASP1,0.00527
MP2,66,LILRB2,0.00511
MP2,67,SERPINB2,0.00507
MP2,68,CD93,0.00506
MP2,69,LGALS3,0.00505
MP2,70,CFD,0.00498
MP2,71,CD300E,0.00497
MP2,72,SLC7A7,0.00477
MP2,73,S100A10,0.00476
MP2,74,CREB5,0.00475
MP3,1,GNLY,0.13186
MP3,2,GZMB,0.06847
MP3,3,GZMA,0.06654
MP3,4,FGFBP2,0.06544
MP3,5,KLRB1,0.06184
MP3,6,KLRD1,0.06024
MP3,7,NKG7,0.05968
