malignant_MP,max_jaccard,nearest_normal_MP,sampleCoverage,silhouette,class
MP4,0.5357,MP2,0.603960396039604,0.108313776177434,normal_like
MP9,0.48,MP4,0.405940594059406,0.0667389607410041,normal_like
MP3,0.4516,MP5,0.633663366336634,0.371083884638256,normal_like
MP2,0.3415,MP3,0.702970297029703,0.035981796437931,normal_like
MP7,0.3333,MP6,0.425742574257426,0.126916662708604,normal_like
MP6,0.1818,MP3,0.455445544554456,0.0613733787869301,tumor_specific
MP10,0.1604,MP3,0.376237623762376,0.0201013555790026,tumor_specific
MP5,0.1529,MP3,0.475247524752475,0.0753158696330129,tumor_specific
MP8,0.1379,MP7,0.425742574257426,0.0440875785111101,tumor_specific
MP1,0.0345,MP4,0.97029702970297,-0.0309248520688144,tumor_specific
