malignant_MP,normal_MP,jaccard
MP1,MP1,0
MP1,MP10,0
MP1,MP2,0
MP1,MP3,0
MP1,MP4,0.0345
MP1,MP5,0
MP1,MP6,0
MP1,MP7,0
MP1,MP8,0
MP1,MP9,0
MP10,MP1,0
MP10,MP10,0
MP10,MP2,0
MP10,MP3,0.1604
MP10,MP4,0.0545
MP10,MP5,0
MP10,MP6,0
MP10,MP7,0.0056
MP10,MP8,0
MP10,MP9,0.01
MP2,MP1,0
MP2,MP10,0.01
MP2,MP2,0
MP2,MP3,0.3415
MP2,MP4,0.0098
MP2,MP5,0
MP2,MP6,0.0127
MP2,MP7,0
MP2,MP8,0
MP2,MP9,0
MP3,MP1,0
MP3,MP10,0
MP3,MP2,0
MP3,MP3,0
MP3,MP4,0
MP3,MP5,0.4516
MP3,MP6,0
MP3,MP7,0
MP3,MP8,0.4444
MP3,MP9,0
MP4,MP1,0
MP4,MP10,0
MP4,MP2,0.5357
MP4,MP3,0
MP4,MP4,0
MP4,MP5,0
MP4,MP6,0.05
MP4,MP7,0.0272
MP4,MP8,0
MP4,MP9,0
MP5,MP1,0.0161
MP5,MP10,0
MP5,MP2,0
MP5,MP3,0.1529
MP5,MP4,0.0225
MP5,MP5,0.0114
MP5,MP6,0
MP5,MP7,0.0685
MP5,MP8,0
MP5,MP9,0.0556
MP6,MP1,0
MP6,MP10,0
MP6,MP2,0
MP6,MP3,0.1818
MP6,MP4,0.0092
MP6,MP5,0
MP6,MP6,0
MP6,MP7,0.0479
MP6,MP8,0
MP6,MP9,0.0556
MP7,MP1,0
MP7,MP10,0
MP7,MP2,0.0227
MP7,MP3,0.08
MP7,MP4,0
MP7,MP5,0.0465
MP7,MP6,0.3333
MP7,MP7,0.0467
MP7,MP8,0.04
MP7,MP9,0
MP8,MP1,0
MP8,MP10,0
MP8,MP2,0.0185
MP8,MP3,0
MP8,MP4,0.0152
MP8,MP5,0
MP8,MP6,0
MP8,MP7,0.1379
MP8,MP8,0
MP8,MP9,0.1304
MP9,MP1,0
MP9,MP10,0
MP9,MP2,0
MP9,MP3,0.0125
MP9,MP4,0.48
MP9,MP5,0
MP9,MP6,0
MP9,MP7,0
MP9,MP8,0
MP9,MP9,0
