MP,biological_label,confidence,note,sampleCoverage,silhouette,numberGenes,jaccard_class,max_jaccard_vs_normal,top_genes
MP1,filler_cluster,drop,single-gene (JUN) fallback cluster; not a real program,0.97029702970297,-0.0309248520688144,1,tumor_specific,0.0345,JUN
MP2,Classical monocyte / neutrophil,normal,"S100A8/12, VCAN, FCN1, CD14",0.702970297029703,0.035981796437931,74,normal_like,0.3415,"S100A12, S100A8, VCAN, RETN, PLBD1, FCN1, G0S2, CXCL8, PADI4, CD14, THBS1, NAMPT"
MP3,NK / cytotoxic T,normal,"GNLY, GZMB, NKG7, PRF1 (lymphoid)",0.633663366336634,0.371083884638256,18,normal_like,0.4516,"GNLY, GZMB, GZMA, FGFBP2, KLRB1, KLRD1, NKG7, PRF1, CD247, CCL5, CST7, GZMM"
MP4,Cell cycle / proliferation,normal,"MKI67, TOP2A, TYMS, BIRC5 (generic)",0.603960396039604,0.108313776177434,57,normal_like,0.5357,"MKI67, TOP2A, TYMS, NUSAP1, ASPM, CENPF, MPO, TPX2, UBE2C, RRM2, STMN1, BIRC5"
MP5,Antigen presentation / HLA-II (monocytic AML),robust_tumor,"HLA-DQ/DP/DR, CIITA, CD74; 91% Mono_DC bin",0.475247524752475,0.0753158696330129,62,tumor_specific,0.1529,"HLA-DQA1, HLA-DQB1, HLA-DPA1, HLA-DPB1, LGALS2, HLA-DRB5, HLA-DMA, HLA-DRB1, FCER1A, HLA-DRA, CPVL, HLA-DMB"
MP6,Non-classical monocyte / IFN response,robust_tumor,"FCGR3A, MS4A7, IFITM3, LILRB1/2; 95% Mono_DC bin",0.455445544554456,0.0613733787869301,81,tumor_specific,0.1818,"CDKN1C, FCGR3A, MS4A7, APOBEC3A, IFITM3, HES4, LGALS2, TCF7L2, SERPINA1, RRAS, SIGLEC10, LILRB1"
MP7,Granulocytic progenitor (GMP-like),normal,"ELANE, MPO, PRTN3, AZU1",0.425742574257426,0.126916662708604,18,normal_like,0.3333,"ELANE, AZU1, PRTN3, CTSG, MPO, RNASE2, RNASE3, CLEC11A, CST7, CFD, RETN, PRSS57"
MP8,Plasma / B (Ig),likely_contaminant,"JCHAIN, MZB1, CD79; diffuse across bins, no dominant bin -> ambient/misassigned",0.425742574257426,0.0440875785111101,38,tumor_specific,0.1379,"JCHAIN, MZB1, IRF4, CD79B, ITM2C, BCL7A, UGCG, TCF4, SEC11C, IGLL1, LDLRAD4, CD79A"
MP9,Stress / immediate-early genes,normal,"JUN, FOS, EGR1, HSPA1A (technical IEG)",0.405940594059406,0.0667389607410041,45,normal_like,0.48,"JUN, EGR1, FOSB, HSPA1A, FOS, HSPA1B, ATF3, DNAJB1, RHOB, CXCL8, IER2, NFKBIZ"
MP10,Inflammatory / myeloid secretory,robust_tumor,"IL1B, CXCL2, CCL3/4, IL1RN; 97% Mono_DC bin; niche-inflammation program",0.376237623762376,0.0201013555790026,87,tumor_specific,0.1604,"CD300E, IL1B, CTSL, LUCAT1, AQP9, THBS1, IL1RN, CXCL2, S100A12, SERPINB2, LHFPL2, CXCL8"
