MP,n_studies,n_reproducing,SRRS,SRRS_discovery,SRRS_validation,SRRS_null_q95,above_null,cells_ge_0.6,n_cells,sampleCoverage,silhouette,code_class,hand_confidence
MP4,9,9,1,1,1,0,TRUE,16,16,0.603960396039604,0.108313776177434,normal_like,normal
MP2,9,8,0.888888888888889,0.75,1,0,TRUE,8,16,0.702970297029703,0.035981796437931,normal_like,normal
MP7,9,8,0.888888888888889,1,0.75,0,TRUE,16,16,0.425742574257426,0.126916662708604,normal_like,normal
MP9,9,8,0.888888888888889,1,0.75,0,TRUE,8,16,0.405940594059406,0.0667389607410041,normal_like,normal
MP3,9,7,0.777777777777778,0.75,0.75,0,TRUE,16,16,0.633663366336634,0.371083884638256,normal_like,normal
MP5,9,7,0.777777777777778,0.5,1,0,TRUE,8,16,0.475247524752475,0.0753158696330129,tumor_specific,robust_tumor
MP6,9,6,0.666666666666667,0.5,0.75,0,TRUE,7,16,0.455445544554456,0.0613733787869301,tumor_specific,robust_tumor
MP8,9,6,0.666666666666667,0.75,0.75,0,TRUE,8,16,0.425742574257426,0.0440875785111101,tumor_specific,likely_contaminant
MP1,9,4,0.444444444444444,0.75,0,0.333333333333333,TRUE,0,16,0.97029702970297,-0.0309248520688144,tumor_specific,drop
MP10,9,3,0.333333333333333,0.5,0.25,0,TRUE,4,16,0.376237623762376,0.0201013555790026,tumor_specific,robust_tumor
