MP,sig_len,tau,SRRS,passes
MP1,30,0.15,0.555555555555556,FALSE
MP10,30,0.15,0.666666666666667,TRUE
MP2,30,0.15,0.888888888888889,TRUE
MP3,30,0.15,0.777777777777778,TRUE
MP4,30,0.15,1,TRUE
MP5,30,0.15,0.777777777777778,TRUE
MP6,30,0.15,0.888888888888889,TRUE
MP7,30,0.15,1,TRUE
MP8,30,0.15,0.666666666666667,TRUE
MP9,30,0.15,1,TRUE
MP1,30,0.2,0.444444444444444,FALSE
MP10,30,0.2,0.222222222222222,FALSE
MP2,30,0.2,0.777777777777778,TRUE
MP3,30,0.2,0.777777777777778,TRUE
MP4,30,0.2,1,TRUE
MP5,30,0.2,0.777777777777778,TRUE
MP6,30,0.2,0.444444444444444,FALSE
MP7,30,0.2,0.888888888888889,TRUE
MP8,30,0.2,0.666666666666667,TRUE
MP9,30,0.2,0.888888888888889,TRUE
MP1,30,0.25,0.222222222222222,FALSE
MP10,30,0.25,0.222222222222222,FALSE
MP2,30,0.25,0.444444444444444,FALSE
MP3,30,0.25,0.777777777777778,TRUE
MP4,30,0.25,1,TRUE
MP5,30,0.25,0.222222222222222,FALSE
MP6,30,0.25,0.222222222222222,FALSE
MP7,30,0.25,0.888888888888889,TRUE
MP8,30,0.25,0.555555555555556,FALSE
MP9,30,0.25,0.555555555555556,FALSE
MP1,30,0.3,0.222222222222222,FALSE
MP10,30,0.3,0,FALSE
MP2,30,0.3,0.222222222222222,FALSE
MP3,30,0.3,0.777777777777778,TRUE
MP4,30,0.3,0.777777777777778,TRUE
MP5,30,0.3,0.111111111111111,FALSE
MP6,30,0.3,0.222222222222222,FALSE
MP7,30,0.3,0.888888888888889,TRUE
MP8,30,0.3,0.333333333333333,FALSE
MP9,30,0.3,0.222222222222222,FALSE
MP1,50,0.15,0.555555555555556,FALSE
MP10,50,0.15,0.777777777777778,TRUE
MP2,50,0.15,0.888888888888889,TRUE
MP3,50,0.15,0.777777777777778,TRUE
MP4,50,0.15,1,TRUE
MP5,50,0.15,0.888888888888889,TRUE
MP6,50,0.15,0.888888888888889,TRUE
MP7,50,0.15,0.888888888888889,TRUE
MP8,50,0.15,0.666666666666667,TRUE
MP9,50,0.15,1,TRUE
MP1,50,0.2,0.444444444444444,FALSE
MP10,50,0.2,0.333333333333333,FALSE
MP2,50,0.2,0.888888888888889,TRUE
MP3,50,0.2,0.777777777777778,TRUE
MP4,50,0.2,1,TRUE
MP5,50,0.2,0.777777777777778,TRUE
MP6,50,0.2,0.666666666666667,TRUE
MP7,50,0.2,0.888888888888889,TRUE
MP8,50,0.2,0.666666666666667,TRUE
MP9,50,0.2,0.888888888888889,TRUE
MP1,50,0.25,0.222222222222222,FALSE
MP10,50,0.25,0.222222222222222,FALSE
MP2,50,0.25,0.555555555555556,FALSE
MP3,50,0.25,0.777777777777778,TRUE
MP4,50,0.25,1,TRUE
MP5,50,0.25,0.333333333333333,FALSE
MP6,50,0.25,0.222222222222222,FALSE
MP7,50,0.25,0.888888888888889,TRUE
MP8,50,0.25,0.444444444444444,FALSE
MP9,50,0.25,0.555555555555556,FALSE
MP1,50,0.3,0.222222222222222,FALSE
MP10,50,0.3,0.222222222222222,FALSE
MP2,50,0.3,0.333333333333333,FALSE
MP3,50,0.3,0.777777777777778,TRUE
MP4,50,0.3,1,TRUE
MP5,50,0.3,0.222222222222222,FALSE
MP6,50,0.3,0.222222222222222,FALSE
MP7,50,0.3,0.888888888888889,TRUE
MP8,50,0.3,0.333333333333333,FALSE
MP9,50,0.3,0.222222222222222,FALSE
MP1,75,0.15,0.555555555555556,FALSE
MP10,75,0.15,0.777777777777778,TRUE
MP2,75,0.15,1,TRUE
MP3,75,0.15,0.777777777777778,TRUE
MP4,75,0.15,1,TRUE
MP5,75,0.15,0.888888888888889,TRUE
MP6,75,0.15,1,TRUE
MP7,75,0.15,0.888888888888889,TRUE
MP8,75,0.15,0.666666666666667,TRUE
MP9,75,0.15,1,TRUE
MP1,75,0.2,0.444444444444444,FALSE
MP10,75,0.2,0.333333333333333,FALSE
MP2,75,0.2,0.888888888888889,TRUE
MP3,75,0.2,0.777777777777778,TRUE
MP4,75,0.2,1,TRUE
MP5,75,0.2,0.777777777777778,TRUE
MP6,75,0.2,0.666666666666667,TRUE
MP7,75,0.2,0.888888888888889,TRUE
MP8,75,0.2,0.666666666666667,TRUE
MP9,75,0.2,0.888888888888889,TRUE
MP1,75,0.25,0.222222222222222,FALSE
MP10,75,0.25,0.222222222222222,FALSE
MP2,75,0.25,0.555555555555556,FALSE
MP3,75,0.25,0.777777777777778,TRUE
MP4,75,0.25,1,TRUE
MP5,75,0.25,0.333333333333333,FALSE
MP6,75,0.25,0.222222222222222,FALSE
MP7,75,0.25,0.888888888888889,TRUE
MP8,75,0.25,0.444444444444444,FALSE
MP9,75,0.25,0.555555555555556,FALSE
MP1,75,0.3,0.222222222222222,FALSE
MP10,75,0.3,0.222222222222222,FALSE
MP2,75,0.3,0.333333333333333,FALSE
MP3,75,0.3,0.777777777777778,TRUE
MP4,75,0.3,1,TRUE
MP5,75,0.3,0.222222222222222,FALSE
MP6,75,0.3,0.222222222222222,FALSE
MP7,75,0.3,0.888888888888889,TRUE
MP8,75,0.3,0.333333333333333,FALSE
MP9,75,0.3,0.222222222222222,FALSE
