MP,rank,gene,weight
MP1,1,CD74,1
MP2,1,TYMS,0.05199
MP2,2,MKI67,0.0323
MP2,3,NUSAP1,0.02678
MP2,4,TOP2A,0.02612
MP2,5,TK1,0.02501
MP2,6,MCM4,0.02358
MP2,7,CLSPN,0.02287
MP2,8,CENPF,0.02139
MP2,9,BIRC5,0.02107
MP2,10,HELLS,0.02031
MP2,11,RRM2,0.01995
MP2,12,DHFR,0.01976
MP2,13,CENPU,0.0188
MP2,14,CKS1B,0.01862
MP2,15,PCNA,0.01845
MP2,16,TPX2,0.01834
MP2,17,UBE2C,0.01768
MP2,18,STMN1,0.01762
MP2,19,GINS2,0.01748
MP2,20,ASPM,0.01692
MP2,21,CDT1,0.01607
MP2,22,CENPM,0.01511
MP2,23,ZWINT,0.0148
MP2,24,UHRF1,0.01467
MP2,25,RAD51AP1,0.01401
MP2,26,MCM3,0.01386
MP2,27,CDCA5,0.01357
MP2,28,DTL,0.01268
MP2,29,KIF11,0.01265
MP2,30,ORC6,0.01261
MP2,31,MYBL2,0.01249
MP2,32,CDK1,0.01239
MP2,33,NCAPG,0.01216
MP2,34,MCM7,0.01207
MP2,35,BRCA1,0.01142
MP2,36,MCM2,0.0113
MP2,37,CHEK1,0.01114
MP2,38,HIST1H3B,0.011
MP2,39,CCNA2,0.01097
MP2,40,CDKN3,0.01077
MP2,41,FEN1,0.01046
MP2,42,AURKB,0.01037
MP2,43,CCNB2,0.0103
MP2,44,HIST1H1B,0.01012
MP2,45,MCM6,0.00997
MP2,46,GTSE1,0.00988
MP2,47,PKMYT1,0.00985
MP2,48,MAD2L1,0.00973
MP2,49,HMMR,0.00955
MP2,50,CDC6,0.00947
MP2,51,UBE2T,0.00947
MP2,52,NCAPH,0.00935
MP2,53,MCM10,0.00922
MP2,54,MPO,0.00919
MP2,55,E2F1,0.00912
MP2,56,CDC45,0.00909
MP2,57,FOXM1,0.00905
MP2,58,ASF1B,0.00903
MP2,59,CENPW,0.00897
MP2,60,SMC2,0.00868
MP2,61,CTSG,0.00855
MP2,62,SKA3,0.00854
MP2,63,UNG,0.00837
MP2,64,CDCA7,0.00829
MP2,65,IGLL1,0.00829
MP2,66,CENPH,0.00821
MP2,67,KIFC1,0.00819
MP2,68,CDCA8,0.00805
MP2,69,NUF2,0.00803
MP2,70,MND1,0.00797
MP2,71,CENPK,0.00797
MP2,72,NPW,0.00789
MP3,1,S100A8,0.13145
MP3,2,S100A9,0.10007
MP3,3,S100A12,0.08452
MP3,4,VCAN,0.07058
MP3,5,FCN1,0.06544
MP3,6,LYZ,0.0344
MP3,7,SERPINA1,0.03091
MP3,8,IFI30,0.03085
MP3,9,MAFB,0.02927
MP3,10,MNDA,0.0259
MP3,11,CLEC7A,0.02486
MP3,12,NCF2,0.0213
MP3,13,CD36,0.02044
MP3,14,CDA,0.01862
MP3,15,RETN,0.01852
MP3,16,CSTA,0.01844
MP3,17,SLC11A1,0.01801
MP3,18,FGL2,0.01756
MP3,19,C5AR1,0.01745
MP3,20,MS4A6A,0.01721
MP3,21,THBS1,0.01668
MP3,22,CYBB,0.01603
MP3,23,CXCL8,0.0157
MP3,24,LGALS3,0.01485
MP3,25,CFD,0.01304
MP3,26,CD68,0.01278
MP3,27,RAB31,0.01256
MP3,28,SLC7A7,0.01226
MP3,29,IGSF6,0.01208
MP3,30,KCTD12,0.01205
MP3,31,TREM1,0.01199
MP3,32,LILRB2,0.01129
MP3,33,LILRB3,0.011
MP3,34,PILRA,0.01075
MP3,35,FCER1G,0.0106
MP3,36,LGALS2,0.01056
MP4,1,FOS,0.14535
MP4,2,JUN,0.11299
MP4,3,FOSB,0.0759
MP4,4,EGR1,0.07448
MP4,5,DUSP1,0.05302
MP4,6,HSPA1B,0.04557
MP4,7,DNAJB1,0.03586
MP4,8,ATF3,0.03485
MP4,9,CD69,0.03259
MP4,10,PPP1R15A,0.03012
MP4,11,CXCL8,0.0275
MP4,12,HSPA1A,0.02628
MP4,13,ZFP36,0.02552
MP4,14,IER2,0.0237
MP4,15,GADD45B,0.02321
MP4,16,NR4A2,0.02222
MP4,17,BTG2,0.0212
MP4,18,JUNB,0.0203
MP4,19,KLF6,0.01909
MP4,20,DUSP2,0.01852
MP4,21,NR4A1,0.01832
MP4,22,NFKBIZ,0.01776
MP4,23,RHOB,0.01763
MP4,24,NFKBIA,0.01663
MP4,25,CXCL2,0.01503
MP4,26,KLF2,0.01199
MP4,27,MYLIP,0.01191
MP4,28,SERTAD1,0.01124
MP4,29,TNFAIP3,0.0112
MP5,1,IL32,0.07404
MP5,2,GNLY,0.06597
MP5,3,CCL5,0.06327
MP5,4,CD3E,0.05776
MP5,5,CD3D,0.05416
MP5,6,GZMA,0.04398
MP5,7,IL7R,0.04382
MP5,8,CD3G,0.04138
MP5,9,GZMM,0.03954
MP5,10,BCL11B,0.03846
MP5,11,SYNE2,0.03466
MP5,12,KLRB1,0.03435
MP5,13,CD247,0.03408
MP5,14,GZMH,0.03255
MP5,15,CD2,0.03218
MP5,16,NKG7,0.0318
MP5,17,RORA,0.03111
MP5,18,KLRD1,0.03054
MP5,19,SPOCK2,0.0285
MP5,20,CD7,0.02691
MP5,21,FGFBP2,0.02678
MP5,22,CD8A,0.02618
MP5,23,KLRK1,0.02291
MP5,24,GZMB,0.02263
MP5,25,CST7,0.02169
MP5,26,GZMK,0.02083
MP5,27,ARL4C,0.0199
MP6,1,ELANE,0.24234
MP6,2,AZU1,0.23319
MP6,3,PRTN3,0.21845
MP6,4,MPO,0.16433
MP6,5,CTSG,0.0951
MP6,6,CFD,0.04659
MP7,1,SPINK2,0.07751
MP7,2,C1QTNF4,0.05246
MP7,3,SMIM24,0.05113
MP7,4,PRSS57,0.04486
MP7,5,CD34,0.04427
MP7,6,EGFL7,0.03561
MP7,7,NPR3,0.03236
MP7,8,TFPI,0.0272
MP7,9,BAALC,0.02524
MP7,10,ANGPT1,0.02482
MP7,11,IGLL1,0.0193
MP7,12,MPO,0.01897
MP7,13,PROM1,0.01806
MP7,14,HOPX,0.01522
MP7,15,CYTL1,0.01308
MP7,16,MAP7,0.01302
MP7,17,MDK,0.01269
MP7,18,CDK6,0.01202
MP7,19,ERG,0.012
MP7,20,STMN1,0.01152
MP7,21,SOX4,0.01149
MP7,22,TSC22D1,0.01107
MP7,23,GATA2,0.01072
MP7,24,TCF4,0.01068
MP7,25,MSRB3,0.01056
MP7,26,NPW,0.00984
MP7,27,MSI2,0.00963
MP7,28,HLA-DRA,0.00938
MP7,29,ITM2C,0.00925
MP7,30,KRT18,0.00893
MP7,31,NPDC1,0.00881
MP7,32,RAMP1,0.00876
MP7,33,GNAI1,0.00842
MP7,34,MZB1,0.00792
MP7,35,HLA-DPB1,0.00788
MP7,36,HOXA9,0.00784
MP7,37,JUP,0.00784
MP7,38,CPXM1,0.00731
MP7,39,SOCS2,0.00728
MP7,40,CPA3,0.00723
MP7,41,BCL11A,0.00716
MP7,42,MEST,0.00699
MP7,43,EBPL,0.00699
MP7,44,HLA-DPA1,0.00695
MP7,45,KIT,0.00673
MP7,46,MEIS1,0.00665
MP7,47,SSBP2,0.00652
MP7,48,ZBTB8A,0.00652
MP7,49,FLT3,0.00645
MP7,50,FHL1,0.00644
MP7,51,CLEC11A,0.00629
MP7,52,CTSW,0.00608
MP7,53,SERPING1,0.00587
MP7,54,ANKRD28,0.0058
MP7,55,CDCA7,0.00555
MP7,56,AKR1C3,0.00552
MP7,57,MAP1A,0.00524
MP7,58,IMPDH2,0.00524
MP7,59,CD69,0.00518
MP7,60,GNA15,0.00506
MP7,61,CD74,0.00502
MP7,62,IL18,0.00497
MP7,63,HLA-DRB1,0.00486
MP7,64,CMBL,0.00474
MP7,65,NUCB2,0.00464
MP7,66,CSF3R,0.00462
MP7,67,CDT1,0.00456
MP7,68,LAPTM4B,0.0045
MP7,69,NREP,0.00436
MP7,70,MIR181A1HG,0.00424
MP7,71,TUBB,0.00413
MP7,72,AIF1,0.0041
MP7,73,MYB,0.00407
MP7,74,H1F0,0.00406
MP7,75,FSCN1,0.00404
MP7,76,MTURN,0.00403
MP7,77,ZNRF1,0.004
MP7,78,DUT,0.004
MP7,79,IGFBP7,0.004
MP7,80,DDAH2,0.00392
MP7,81,HLA-DQB1,0.00369
MP7,82,HLA-DQA1,0.00365
MP7,83,HLA-DMA,0.00359
MP7,84,RNF125,0.00354
MP7,85,NME1,0.00353
MP7,86,CD52,0.00346
MP7,87,HOXA10,0.00345
MP7,88,IFITM3,0.00342
MP7,89,ITM2A,0.00341
MP7,90,HLA-DRB5,0.00324
MP7,91,AFF3,0.0032
MP7,92,CCDC171,0.00319
MP7,93,SNHG7,0.00318
MP7,94,RAB13,0.00318
MP8,1,GNLY,0.31047
MP8,2,FGFBP2,0.15104
MP8,3,GZMB,0.12223
MP8,4,GZMH,0.11169
MP8,5,NKG7,0.08993
MP8,6,KLRD1,0.07867
MP8,7,PRF1,0.06966
MP8,8,GZMA,0.06632
MP9,1,MS4A1,0.16308
MP9,2,CD79A,0.14927
MP9,3,BANK1,0.09234
MP9,4,LINC00926,0.08371
MP9,5,RALGPS2,0.07322
MP9,6,TNFRSF13C,0.07197
MP9,7,HLA-DQA1,0.06248
MP9,8,CD79B,0.05527
MP9,9,HLA-DRA,0.05286
MP9,10,HLA-DQB1,0.05035
MP9,11,CD22,0.04628
MP9,12,AFF3,0.03394
MP9,13,CD83,0.03392
MP9,14,ADAM28,0.03132
MP10,1,IL7R,0.16322
MP10,2,LEF1,0.10829
MP10,3,MAL,0.09698
MP10,4,CCR7,0.09405
MP10,5,TCF7,0.04861
MP10,6,CAMK4,0.04795
MP10,7,LTB,0.04789
MP10,8,RCAN3,0.04153
MP10,9,OXNAD1,0.03991
MP10,10,FLT3LG,0.03539
MP10,11,BCL11B,0.03128
MP10,12,TNFRSF25,0.02049
MP10,13,GIMAP7,0.0197
MP10,14,TRAT1,0.01836
MP10,15,CD27,0.01807
MP10,16,SELL,0.01744
MP10,17,PASK,0.01666
MP10,18,CD3D,0.01489
MP10,19,ACTN1,0.01452
MP10,20,SERINC5,0.01436
MP10,21,SOCS3,0.01423
MP10,22,AIF1,0.01391
MP10,23,CD3G,0.01292
MP10,24,IL32,0.0129
MP10,25,AQP3,0.01258
MP10,26,IL6ST,0.01231
MP10,27,PIK3IP1,0.01155
