MP,sampleCoverage,silhouette,meanSimilarity,numberGenes,numberPrograms
MP1,0.992248062015504,-0.0411936415979984,0.02,1,2117
MP2,0.75968992248062,0.148325539566879,0.178,72,551
MP3,0.635658914728682,0.168639623840599,0.188,36,429
MP4,0.550387596899225,0.104632701267427,0.126,29,292
MP5,0.511627906976744,0.187791844189846,0.307,27,298
MP6,0.503875968992248,0.201734926401308,0.228,6,270
MP7,0.503875968992248,0.0734209196448832,0.111,94,316
MP8,0.426356589147287,0.196063383821774,0.294,8,230
MP9,0.418604651162791,0.304004929341914,0.317,14,280
MP10,0.403100775193798,0.143820395410637,0.196,27,225
