sender_bin,receiver_bin,mean_weight,mean_n_lr_sig,n_samples
HSC_MPP,HSC_MPP,0.326450,7.5620,121
HSC_MPP,LMPP_GMP,0.298172,7.1570,121
HSC_MPP,Mono_DC,0.319359,8.7190,121
HSC_MPP,Erythroid,0.095545,3.4711,121
HSC_MPP,Megakaryocyte,0.018070,1.1488,121
HSC_MPP,T_NK,0.239579,6.1240,121
HSC_MPP,B_Plasma,0.194348,3.0496,121
LMPP_GMP,HSC_MPP,0.346159,6.6942,121
LMPP_GMP,LMPP_GMP,0.359531,7.6529,121
LMPP_GMP,Mono_DC,0.385694,9.5537,121
LMPP_GMP,Erythroid,0.084213,3.2645,121
LMPP_GMP,Megakaryocyte,0.019747,1.0579,121
LMPP_GMP,T_NK,0.271003,6.5868,121
LMPP_GMP,B_Plasma,0.246414,3.6777,121
Mono_DC,HSC_MPP,0.157074,5.0744,121
Mono_DC,LMPP_GMP,0.165004,6.0992,121
Mono_DC,Mono_DC,0.339702,12.2231,121
Mono_DC,Erythroid,0.063491,2.6446,121
Mono_DC,Megakaryocyte,0.016716,0.8347,121
Mono_DC,T_NK,0.210426,6.1157,121
Mono_DC,B_Plasma,0.145067,3.3719,121
Erythroid,HSC_MPP,0.162624,3.2314,121
Erythroid,LMPP_GMP,0.145505,3.3554,121
Erythroid,Mono_DC,0.218799,5.0992,121
Erythroid,Erythroid,0.065922,2.1405,121
Erythroid,Megakaryocyte,0.014836,0.7355,121
Erythroid,T_NK,0.139529,4.3306,121
Erythroid,B_Plasma,0.158071,2.0165,121
Megakaryocyte,HSC_MPP,0.038525,0.9174,121
Megakaryocyte,LMPP_GMP,0.039204,1.0331,121
Megakaryocyte,Mono_DC,0.059513,1.4628,121
Megakaryocyte,Erythroid,0.021573,0.6777,121
Megakaryocyte,Megakaryocyte,0.025066,1.1653,121
Megakaryocyte,T_NK,0.053485,1.4628,121
Megakaryocyte,B_Plasma,0.063525,0.7686,121
T_NK,HSC_MPP,0.106028,2.2231,121
T_NK,LMPP_GMP,0.098255,2.3636,121
T_NK,Mono_DC,0.137075,3.7769,121
T_NK,Erythroid,0.029747,1.0579,121
T_NK,Megakaryocyte,0.007981,0.3140,121
T_NK,T_NK,0.274246,5.3719,121
T_NK,B_Plasma,0.121858,1.6364,121
B_Plasma,HSC_MPP,0.046113,1.2975,121
B_Plasma,LMPP_GMP,0.048143,1.6281,121
B_Plasma,Mono_DC,0.147439,4.5124,121
B_Plasma,Erythroid,0.023521,0.8926,121
B_Plasma,Megakaryocyte,0.005171,0.2066,121
B_Plasma,T_NK,0.129794,3.6033,121
B_Plasma,B_Plasma,0.111884,1.7934,121
