sender_bin,receiver_bin,ligand,receptor,n_samples,frac_samples,mean_prob
LMPP_GMP,Mono_DC,MIF,CD74_CD44,89,0.7355,0.1858
LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,80,0.6612,0.1911
LMPP_GMP,T_NK,LGALS9,PTPRC,73,0.6033,0.0358
LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,72,0.5950,0.1272
HSC_MPP,B_Plasma,MIF,CD74_CXCR4,65,0.5372,0.1844
HSC_MPP,Mono_DC,MIF,CD74_CD44,65,0.5372,0.1807
LMPP_GMP,Mono_DC,LGALS9,PTPRC,63,0.5207,0.0279
LMPP_GMP,Mono_DC,LGALS9,CD44,62,0.5124,0.0353
LMPP_GMP,Mono_DC,LGALS9,P4HB,59,0.4876,0.0202
LMPP_GMP,T_NK,MIF,CD74_CXCR4,56,0.4628,0.1255
LMPP_GMP,B_Plasma,MIF,CD74_CD44,54,0.4463,0.1586
HSC_MPP,Mono_DC,MIF,CD74_CXCR4,52,0.4298,0.1267
HSC_MPP,T_NK,LGALS9,PTPRC,51,0.4215,0.0359
LMPP_GMP,T_NK,CD99,CD99,47,0.3884,0.1043
HSC_MPP,Mono_DC,MDK,NCL,47,0.3884,0.0244
LMPP_GMP,T_NK,LGALS9,CD44,46,0.3802,0.0249
HSC_MPP,T_NK,MDK,NCL,46,0.3802,0.0262
HSC_MPP,T_NK,MIF,CD74_CXCR4,46,0.3802,0.1215
LMPP_GMP,Mono_DC,PPIA,BSG,41,0.3388,0.0598
HSC_MPP,T_NK,CD99,CD99,41,0.3388,0.1274
LMPP_GMP,T_NK,CLEC2B,KLRB1,40,0.3306,0.0139
HSC_MPP,Mono_DC,APP,CD74,40,0.3306,0.0627
HSC_MPP,Mono_DC,LGALS9,CD44,40,0.3306,0.0355
HSC_MPP,B_Plasma,MDK,NCL,40,0.3306,0.0225
LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13C,39,0.3223,0.0120
HSC_MPP,Mono_DC,LGALS9,P4HB,39,0.3223,0.0227
HSC_MPP,B_Plasma,APP,CD74,37,0.3058,0.0589
HSC_MPP,B_Plasma,MIF,CD74_CD44,37,0.3058,0.1484
LMPP_GMP,Mono_DC,CD99,PILRA,37,0.3058,0.0272
LMPP_GMP,Mono_DC,CD99,CD99,36,0.2975,0.0987
HSC_MPP,Mono_DC,LGALS9,PTPRC,36,0.2975,0.0276
HSC_MPP,T_NK,CLEC2B,KLRB1,36,0.2975,0.0157
LMPP_GMP,B_Plasma,PTPRC,CD22,36,0.2975,0.0175
LMPP_GMP,T_NK,HLA-A,CD8A,35,0.2893,0.0475
HSC_MPP,T_NK,CD69,KLRB1,35,0.2893,0.0189
LMPP_GMP,B_Plasma,LGALS9,PTPRC,34,0.2810,0.0163
LMPP_GMP,T_NK,HLA-B,CD8A,34,0.2810,0.0466
LMPP_GMP,T_NK,HLA-C,CD8A,34,0.2810,0.0360
LMPP_GMP,T_NK,HLA-E,CD8A,34,0.2810,0.0260
LMPP_GMP,T_NK,MIF,CD74_CD44,34,0.2810,0.1394
LMPP_GMP,Mono_DC,APP,CD74,34,0.2810,0.0508
HSC_MPP,T_NK,MDK,ITGA4_ITGB1,34,0.2810,0.0083
HSC_MPP,Mono_DC,CD99,CD99,34,0.2810,0.1049
LMPP_GMP,Mono_DC,F11R,ITGAL_ITGB2,33,0.2727,0.0086
HSC_MPP,B_Plasma,PTPRC,CD22,33,0.2727,0.0221
HSC_MPP,Mono_DC,PPIA,BSG,32,0.2645,0.0640
HSC_MPP,Mono_DC,CD99,PILRA,32,0.2645,0.0307
LMPP_GMP,B_Plasma,APP,CD74,31,0.2562,0.0513
LMPP_GMP,T_NK,CD69,KLRB1,30,0.2479,0.0106
HSC_MPP,Mono_DC,F11R,ITGAL_ITGB2,30,0.2479,0.0092
HSC_MPP,T_NK,HLA-A,CD8A,30,0.2479,0.0477
HSC_MPP,T_NK,HLA-B,CD8A,30,0.2479,0.0480
HSC_MPP,T_NK,HLA-E,CD8A,30,0.2479,0.0317
LMPP_GMP,T_NK,HLA-E,KLRK1,29,0.2397,0.0256
LMPP_GMP,Mono_DC,LAIR1,LILRB4,28,0.2314,0.0108
HSC_MPP,T_NK,LGALS9,CD44,28,0.2314,0.0253
LMPP_GMP,Mono_DC,HLA-DRB1,CD4,28,0.2314,0.0177
LMPP_GMP,Mono_DC,LGALS9,HAVCR2,28,0.2314,0.0060
HSC_MPP,T_NK,HLA-C,CD8A,28,0.2314,0.0344
LMPP_GMP,Mono_DC,HLA-DMA,CD4,27,0.2231,0.0076
LMPP_GMP,Mono_DC,HLA-DRA,CD4,27,0.2231,0.0247
LMPP_GMP,B_Plasma,LGALS9,CD44,26,0.2149,0.0135
HSC_MPP,Mono_DC,MDK,ITGA4_ITGB1,26,0.2149,0.0067
HSC_MPP,T_NK,F11R,ITGAL_ITGB2,26,0.2149,0.0064
