dataset,sample,timepoint,hierarchy_bin,has_graph,n_cells,n_evaluable,n_malignant,frac_malignant,n_vg_eval,n_vg_mal,frac_malignant_vg,mean_cnv_burden,mean_stemness,mean_stemness_normal,mean_stemness_malignant,mean_cytotrace,mean_cytotrace_normal,mean_cytotrace_malignant,stemness_sig,stemness_available,vg_available,cytotrace_available,burden_available,n_vg_scored,n_vg_pos
Chen2023,AML103,Diagnosis,B_Plasma,TRUE,500,500,11,0.022,,,,0.000570614588750025,0.00016979134079795,0.000132958186545858,0.00180719247073187,0.0825668472594099,0.0825427813503681,0.0836366863068148,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML103,Diagnosis,Erythroid,TRUE,7,7,0,0,,,,0.000619506551140192,-0.0222103941938117,-0.0222103941938117,,0.386435062985038,0.386435062985038,,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML103,Diagnosis,HSC_MPP,TRUE,6,6,1,0.166666666666667,6,1,0.166666666666667,0.000702804479345074,0.0679759781214889,0.065929358103515,0.0782090782113582,0.360156999583589,0.410439195951434,0.108746017744363,LSC17,TRUE,TRUE,TRUE,TRUE,6,6
Chen2023,AML103,Diagnosis,LMPP_GMP,TRUE,55,55,10,0.181818181818182,,,,0.000834968160909049,-0.0139495748404492,-0.0178156414620656,0.00344772495682442,0.38158645608856,0.393166821564484,0.329474811446902,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML103,Diagnosis,Megakaryocyte,TRUE,3,3,0,0,,,,0.000650455770633262,0.0429755208155558,0.0429755208155558,,0.398341185898846,0.398341185898846,,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML103,Diagnosis,Mono_DC,TRUE,698,698,46,0.0659025787965616,,,,0.000672974753106285,-0.0061160058613677,-0.00654943571856927,2.73912450544498e-05,0.357183433012287,0.363444810534972,0.268435212473357,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML103,Diagnosis,T_NK,TRUE,244,244,6,0.0245901639344262,,,,0.000592006007985768,0.00709979047553612,0.00541230888402109,0.0740365602722987,0.020207468017842,0.0195816350224937,0.0450321768333239,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML162,Diagnosis,B_Plasma,TRUE,816,816,75,0.0919117647058824,,,,0.000632515004212928,-0.00106168412017096,-0.000888970411001191,-0.00276809556676824,0.10168072577633,0.10010641371809,0.117234928911738,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML162,Diagnosis,Erythroid,TRUE,140,140,21,0.15,,,,0.000908869509610514,0.00407734008886341,0.00150938276332858,0.0186290982668941,0.365604817789351,0.374653677856358,0.314327944076309,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML162,Diagnosis,HSC_MPP,TRUE,90,90,6,0.0666666666666667,90,24,0.266666666666667,0.000317931121892189,0.0228779418281587,0.0199981121681295,0.0631955570685674,0.475240770448192,0.494945881502331,0.199369215690255,LSC17,TRUE,TRUE,TRUE,TRUE,90,90
Chen2023,AML162,Diagnosis,LMPP_GMP,TRUE,641,641,58,0.0904836193447738,,,,0.000491681733895138,-0.0150963628620903,-0.0153586769952312,-0.0124596535582766,0.416300466770151,0.433615363722787,0.242255899125549,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML162,Diagnosis,Megakaryocyte,TRUE,33,33,6,0.181818181818182,,,,0.000828048083987222,0.00543868011394644,0.00610886581093355,0.00242284447750443,0.423909685931316,0.436773557156035,0.366022265420083,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML162,Diagnosis,Mono_DC,TRUE,1291,1291,102,0.0790085205267235,,,,0.000577105034486219,0.00015585773398093,-0.00037540456632078,0.00634870945024302,0.306355323118263,0.31846049625996,0.165246981299856,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML162,Diagnosis,T_NK,TRUE,968,968,13,0.0134297520661157,,,,0.000528360409057664,0.00357432908330344,0.00362298487187197,0,0.0526752290288315,0.0526780758155955,0.0524660996934757,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML24,Diagnosis,B_Plasma,TRUE,565,565,5,0.00884955752212389,,,,0.00010770337096056,-8.90704316536449e-05,-8.98657033648381e-05,0,0.0227310835938404,0.0225454046008798,0.0435271308054225,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML24,Diagnosis,Erythroid,TRUE,54,54,3,0.0555555555555556,,,,0.000141788188041168,-0.0304214017300027,-0.0316397621661286,-0.00970927431586167,0.452508040312046,0.45799456644432,0.359237096063382,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML24,Diagnosis,HSC_MPP,TRUE,62,62,0,0,62,10,0.161290322580645,4.61578641605106e-05,0.0459199712571429,0.0459199712571429,,0.52445475349174,0.52445475349174,,LSC17,TRUE,TRUE,TRUE,TRUE,62,62
Chen2023,AML24,Diagnosis,LMPP_GMP,TRUE,76,76,2,0.0263157894736842,,,,5.95145489394302e-05,-0.0146855311288198,-0.0150824373755446,0,0.456691489804185,0.464297166324778,0.175281458542266,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML24,Diagnosis,Megakaryocyte,TRUE,158,158,114,0.721518987341772,,,,0.000805110430735886,0.0100423768758399,0.0166428371895023,0.00749483078986496,0.217350873255489,0.317106956985099,0.178848525149323,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML24,Diagnosis,Mono_DC,TRUE,8952,8952,7683,0.858243967828418,,,,0.000563408066434214,-0.00139612125199883,-0.00262013268070139,-0.00119395146115885,0.139704669683229,0.230948652863879,0.124633914163738,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML24,Diagnosis,T_NK,TRUE,1109,1109,16,0.0144274120829576,,,,7.61926997468519e-05,0.00199032489401065,0.001895671397243,0.00845634189195049,0.0320015912027697,0.0320140433357582,0.0311509548679933,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML304,Diagnosis,B_Plasma,TRUE,1212,1212,229,0.188943894389439,,,,0.000732535282608734,0.00209190337786045,0.00132353536088912,0.00539018180878981,0.0421300889432979,0.0412597342539659,0.0458661529590767,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML304,Diagnosis,Erythroid,TRUE,5,5,1,0.2,,,,0.000458540084388405,0.00844222723750178,0.0105527840468772,0,0.401949433105002,0.455425307849918,0.188045934125337,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML304,Diagnosis,HSC_MPP,TRUE,578,578,14,0.0242214532871972,578,87,0.150519031141869,0.000190561939127213,0.069481293992103,0.0685723390698275,0.106099192289488,0.49469991208806,0.504598835040345,0.0959147302960272,LSC17,TRUE,TRUE,TRUE,TRUE,578,577
Chen2023,AML304,Diagnosis,LMPP_GMP,TRUE,134,134,17,0.126865671641791,,,,0.000431783532176109,-0.00836546849372476,-0.00870121299247865,-0.00605475635524212,0.359912033841351,0.383160209474706,0.199909883894144,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML304,Diagnosis,Megakaryocyte,TRUE,32,32,21,0.65625,,,,0.00195464348477967,0.030103665185978,0.0257043245596797,0.0324080817045151,0.108183765806303,0.0830851147470814,0.121330678265896,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML304,Diagnosis,Mono_DC,TRUE,1448,1448,26,0.0179558011049724,,,,0.000371478456874484,-0.00439220952531782,-0.00445266863413755,-0.00108556134294623,0.31245970390218,0.31477632603454,0.185758293432364,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML304,Diagnosis,T_NK,TRUE,1729,1729,63,0.0364372469635628,,,,0.000608309707222375,0.00623841640051855,0.00591857820560976,0.0146963597769955,0.052582600011867,0.0524140393570081,0.0570400928848023,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML320,Diagnosis,B_Plasma,TRUE,1141,1141,39,0.0341805433829974,,,,0.000519832800921884,-2.6909696727127e-05,-0.000156130918748998,0.00362441816655752,0.0758289676521497,0.0745046681604592,0.11324891739171,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML320,Diagnosis,Erythroid,TRUE,36,36,0,0,,,,0.000278413367767569,-0.0326918754970156,-0.0326918754970156,,0.449081105286491,0.449081105286491,,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML320,Diagnosis,HSC_MPP,TRUE,60,60,0,0,60,17,0.283333333333333,0.000244028386196765,-0.0211987313687969,-0.0211987313687969,,0.447593444320863,0.447593444320863,,LSC17,TRUE,TRUE,TRUE,TRUE,60,60
Chen2023,AML320,Diagnosis,LMPP_GMP,TRUE,2701,2701,105,0.0388744909292855,,,,0.000327090571232042,-0.0316579234463284,-0.0322962055116504,-0.0158771592408443,0.412475845247691,0.416140764402266,0.321865082149811,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML320,Diagnosis,Megakaryocyte,TRUE,43,43,26,0.604651162790698,,,,0.00375486615699651,-0.000741386136721625,-0.0048711617134391,0.00195885174036287,0.254206446091132,0.3566903171725,0.187197761153314,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML320,Diagnosis,Mono_DC,TRUE,127,127,47,0.37007874015748,,,,0.000982163442640267,-0.0171248505740839,-0.0205905944112771,-0.0112257121277977,0.334503774308187,0.392744837507782,0.235370049713132,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,AML320,Diagnosis,T_NK,TRUE,956,956,5,0.00523012552301255,,,,0.000511139659530882,0.000409170145201615,0.000319015088833969,0.0175566618663278,0.0751917003013755,0.0752151907350735,0.0707238198120132,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM1,Healthy,B_Plasma,TRUE,2812,2812,217,0.0771692745376956,,,,0.000607584291829765,0.00317811705291004,0.00182427861878538,0.0193680282812671,0.108946726609375,0.104936160190828,0.156907186775864,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM1,Healthy,Erythroid,TRUE,271,271,2,0.00738007380073801,,,,0.000192518895743104,-0.00607315891807606,-0.00570688226704197,-0.0553373684821615,0.398518980637171,0.399244568516423,0.300927410877758,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM1,Healthy,HSC_MPP,TRUE,762,762,0,0,762,36,0.047244094488189,0.000197275100200562,0.0114179977575458,0.0114179977575458,,0.459003679576178,0.459003679576178,,LSC17,TRUE,TRUE,TRUE,TRUE,762,762
Chen2023,NBM1,Healthy,LMPP_GMP,TRUE,1245,1245,12,0.00963855421686747,,,,0.000189020936127041,-0.0264459958533176,-0.026475057321776,-0.0234599299692132,0.467011095793094,0.467747686711588,0.391326378917877,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM1,Healthy,Megakaryocyte,TRUE,46,46,1,0.0217391304347826,,,,0.000262054065554316,0.0443787151028363,0.0453649087717882,0,0.381637777359591,0.386651163900477,0.156035383019736,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM1,Healthy,Mono_DC,TRUE,2795,2795,153,0.0547406082289803,,,,0.000563859065758842,-0.0011588343247523,-0.00107722650671348,-0.00256803599310906,0.218301235242848,0.222243593505728,0.150224695827619,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM1,Healthy,T_NK,TRUE,2710,2710,80,0.029520295202952,,,,0.000560168831932837,0.00664832146548558,0.00562550957956336,0.0402732622151784,0.0303804935173784,0.030360004583846,0.0310540672072576,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM2,Healthy,B_Plasma,TRUE,543,543,36,0.0662983425414365,,,,0.000562158514031521,0.0018139633172928,0.00100406561156791,0.0132200226729183,0.0765159584197708,0.0726883628275505,0.130421263010208,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM2,Healthy,Erythroid,TRUE,16,16,0,0,,,,0.000163119409418042,0.0115292029078287,0.0115292029078287,,0.527102386350636,0.527102386350636,,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM2,Healthy,HSC_MPP,TRUE,160,160,1,0.00625,160,59,0.36875,0.000278569108623213,0.0368076892190554,0.0366449528485974,0.0626827721218768,0.578365339700539,0.581030101209842,0.154668259721517,LSC17,TRUE,TRUE,TRUE,TRUE,160,160
Chen2023,NBM2,Healthy,LMPP_GMP,TRUE,130,130,5,0.0384615384615385,,,,0.000277009404458333,-0.0109391807379962,-0.00941362069575265,-0.0490781817940854,0.487812453295153,0.491943688218668,0.384531580207279,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM2,Healthy,Megakaryocyte,TRUE,21,21,20,0.952380952380952,,,,0.00185051070660503,0.0372247165429685,0.0468320127318502,0.0367443517335244,0.237737487625064,0.293857311813228,0.234931496415656,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM2,Healthy,Mono_DC,TRUE,547,547,75,0.137111517367459,,,,0.000713354362560324,-0.0010093338504194,-0.001119719783083,-0.000314638380856444,0.172641356010302,0.175911684500912,0.152060088709392,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM2,Healthy,T_NK,TRUE,1218,1218,36,0.0295566502463054,,,,0.000406015009527534,0.00223480458871674,0.00147271089570863,0.0272568808424829,0.0612956529674027,0.0616095731941013,0.050988605524132,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM3,Healthy,B_Plasma,TRUE,2297,2297,229,0.0996952546800174,,,,0.000587524308584697,0.0040200153168328,0.00217324530161892,0.0206973969389389,0.120942514351454,0.114112496224342,0.182621455342145,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM3,Healthy,Erythroid,TRUE,803,803,6,0.0074719800747198,,,,0.000306661890412613,-7.49268799027592e-05,-0.000199330622851524,0.0164500369751249,0.39210966634378,0.392792250621001,0.301439721519614,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM3,Healthy,HSC_MPP,TRUE,1429,1429,52,0.0363890832750175,1429,20,0.0139958012596221,0.000442167259033682,0.019570058798071,0.0193982669081412,0.0241192401910187,0.357092634806373,0.362051555449571,0.225776601620145,LSC17,TRUE,TRUE,TRUE,TRUE,1429,1429
Chen2023,NBM3,Healthy,LMPP_GMP,TRUE,1104,1104,70,0.0634057971014493,,,,0.000427614894123295,-0.0174426315696411,-0.0171759588251711,-0.021381768966527,0.449093886845808,0.453031521537028,0.390929397264076,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM3,Healthy,Megakaryocyte,TRUE,74,74,43,0.581081081081081,,,,0.00109443347359261,0.0459732986257794,0.037955202525477,0.051753786512044,0.24432305740166,0.340869303358981,0.174719949851033,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM3,Healthy,Mono_DC,TRUE,2691,2691,886,0.32924563359346,,,,0.000913056395189073,-0.000391133576553197,-0.000465405791553833,-0.000239822799943548,0.185696609016508,0.197431016921805,0.161790732866324,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM3,Healthy,T_NK,TRUE,3498,3498,120,0.0343053173241853,,,,0.000484939067644184,0.012657409382049,0.0126782008818781,0.0120721286618598,0.0429931780720256,0.0428726662609907,0.046385585552656,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM4,Healthy,B_Plasma,TRUE,1151,1151,107,0.0929626411815812,,,,0.000627372009441487,0.00803272301551029,0.00376385692536398,0.0496840893530126,0.141141516859614,0.127405193024783,0.275166956892914,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM4,Healthy,Erythroid,TRUE,108,108,0,0,,,,0.000180528491729638,0.000764306112190616,0.000764306112190616,,0.405996864094745,0.405996864094745,,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM4,Healthy,HSC_MPP,TRUE,312,312,0,0,312,25,0.0801282051282051,0.000195992377492878,0.0223049145007683,0.0223049145007683,,0.473385948745052,0.473385948745052,,LSC17,TRUE,TRUE,TRUE,TRUE,312,312
Chen2023,NBM4,Healthy,LMPP_GMP,TRUE,369,369,45,0.121951219512195,,,,0.000428853538623924,-0.0167374047848986,-0.0177749072747307,-0.00926738685810758,0.453402947304864,0.461903925543621,0.392195903985817,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
Chen2023,NBM4,Healthy,Megakaryocyte,TRUE,34,34,29,0.852941176470588,,,,0.00148759826401289,0.039218707283419,0.0336319204688997,0.0401819463893706,0.220700157751465,0.319931520848291,0.203591302045116,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
