dataset,sample,hierarchy_bin,n_cells,present
Chen2023,AML103_CD34,B_Plasma,3,FALSE
Chen2023,AML103_CD34,Erythroid,3,FALSE
Chen2023,AML103_CD34,HSC_MPP,8,FALSE
Chen2023,AML103_CD34,LMPP_GMP,30,TRUE
Chen2023,AML103_CD34,Megakaryocyte,0,FALSE
Chen2023,AML103_CD34,Mono_DC,690,TRUE
Chen2023,AML103_CD34,T_NK,0,FALSE
Chen2023,AML103_Niche_Immune,B_Plasma,493,TRUE
Chen2023,AML103_Niche_Immune,Erythroid,6,FALSE
Chen2023,AML103_Niche_Immune,HSC_MPP,1,FALSE
Chen2023,AML103_Niche_Immune,LMPP_GMP,2,FALSE
Chen2023,AML103_Niche_Immune,Megakaryocyte,3,FALSE
Chen2023,AML103_Niche_Immune,Mono_DC,5,FALSE
Chen2023,AML103_Niche_Immune,T_NK,226,TRUE
Chen2023,AML162_CD34,B_Plasma,0,FALSE
Chen2023,AML162_CD34,Erythroid,47,TRUE
Chen2023,AML162_CD34,HSC_MPP,80,TRUE
Chen2023,AML162_CD34,LMPP_GMP,522,TRUE
Chen2023,AML162_CD34,Megakaryocyte,35,TRUE
Chen2023,AML162_CD34,Mono_DC,1303,TRUE
Chen2023,AML162_CD34,T_NK,1,FALSE
Chen2023,AML162_niche_immune,B_Plasma,733,TRUE
Chen2023,AML162_niche_immune,Erythroid,2,FALSE
Chen2023,AML162_niche_immune,HSC_MPP,7,FALSE
Chen2023,AML162_niche_immune,LMPP_GMP,74,TRUE
Chen2023,AML162_niche_immune,Megakaryocyte,0,FALSE
Chen2023,AML162_niche_immune,Mono_DC,80,TRUE
Chen2023,AML162_niche_immune,T_NK,871,TRUE
Chen2023,AML24_CD34,B_Plasma,1,FALSE
Chen2023,AML24_CD34,Erythroid,3,FALSE
Chen2023,AML24_CD34,HSC_MPP,22,TRUE
Chen2023,AML24_CD34,LMPP_GMP,15,TRUE
Chen2023,AML24_CD34,Megakaryocyte,3,FALSE
Chen2023,AML24_CD34,Mono_DC,9127,TRUE
Chen2023,AML24_CD34,T_NK,2,FALSE
Chen2023,AML24_Niche_Immune,B_Plasma,535,TRUE
Chen2023,AML24_Niche_Immune,Erythroid,43,TRUE
Chen2023,AML24_Niche_Immune,HSC_MPP,0,FALSE
Chen2023,AML24_Niche_Immune,LMPP_GMP,2,FALSE
Chen2023,AML24_Niche_Immune,Megakaryocyte,13,TRUE
Chen2023,AML24_Niche_Immune,Mono_DC,5,FALSE
Chen2023,AML24_Niche_Immune,T_NK,1054,TRUE
Chen2023,AML304_CD34,B_Plasma,0,FALSE
Chen2023,AML304_CD34,Erythroid,2,FALSE
Chen2023,AML304_CD34,HSC_MPP,588,TRUE
Chen2023,AML304_CD34,LMPP_GMP,288,TRUE
Chen2023,AML304_CD34,Megakaryocyte,1,FALSE
Chen2023,AML304_CD34,Mono_DC,1531,TRUE
Chen2023,AML304_CD34,T_NK,39,TRUE
Chen2023,AML304_Niche_Immune,B_Plasma,1089,TRUE
Chen2023,AML304_Niche_Immune,Erythroid,33,TRUE
Chen2023,AML304_Niche_Immune,HSC_MPP,49,TRUE
Chen2023,AML304_Niche_Immune,LMPP_GMP,49,TRUE
Chen2023,AML304_Niche_Immune,Megakaryocyte,30,TRUE
Chen2023,AML304_Niche_Immune,Mono_DC,214,TRUE
Chen2023,AML304_Niche_Immune,T_NK,1750,TRUE
Chen2023,AML320_CD34,B_Plasma,21,TRUE
Chen2023,AML320_CD34,Erythroid,29,TRUE
Chen2023,AML320_CD34,HSC_MPP,64,TRUE
Chen2023,AML320_CD34,LMPP_GMP,2444,TRUE
Chen2023,AML320_CD34,Megakaryocyte,3,FALSE
Chen2023,AML320_CD34,Mono_DC,24,TRUE
Chen2023,AML320_CD34,T_NK,118,TRUE
Chen2023,AML320_NICHE_IMMUNE,B_Plasma,2752,TRUE
Chen2023,AML320_NICHE_IMMUNE,Erythroid,130,TRUE
Chen2023,AML320_NICHE_IMMUNE,HSC_MPP,33,TRUE
Chen2023,AML320_NICHE_IMMUNE,LMPP_GMP,276,TRUE
Chen2023,AML320_NICHE_IMMUNE,Megakaryocyte,50,TRUE
Chen2023,AML320_NICHE_IMMUNE,Mono_DC,14,TRUE
Chen2023,AML320_NICHE_IMMUNE,T_NK,1641,TRUE
Chen2023,AML469_CD34,B_Plasma,5,FALSE
Chen2023,AML469_CD34,Erythroid,28,TRUE
Chen2023,AML469_CD34,HSC_MPP,99,TRUE
Chen2023,AML469_CD34,LMPP_GMP,2833,TRUE
Chen2023,AML469_CD34,Megakaryocyte,0,FALSE
Chen2023,AML469_CD34,Mono_DC,1,FALSE
Chen2023,AML469_CD34,T_NK,0,FALSE
Chen2023,NBM1_CD34,B_Plasma,535,TRUE
Chen2023,NBM1_CD34,Erythroid,452,TRUE
Chen2023,NBM1_CD34,HSC_MPP,838,TRUE
Chen2023,NBM1_CD34,LMPP_GMP,1466,TRUE
Chen2023,NBM1_CD34,Megakaryocyte,122,TRUE
Chen2023,NBM1_CD34,Mono_DC,3880,TRUE
Chen2023,NBM1_CD34,T_NK,313,TRUE
Chen2023,NBM1_Niche_Immune,B_Plasma,1467,TRUE
Chen2023,NBM1_Niche_Immune,Erythroid,2,FALSE
Chen2023,NBM1_Niche_Immune,HSC_MPP,0,FALSE
Chen2023,NBM1_Niche_Immune,LMPP_GMP,5,FALSE
Chen2023,NBM1_Niche_Immune,Megakaryocyte,3,FALSE
Chen2023,NBM1_Niche_Immune,Mono_DC,39,TRUE
Chen2023,NBM1_Niche_Immune,T_NK,2460,TRUE
Chen2023,NBM2_CD34,B_Plasma,41,TRUE
Chen2023,NBM2_CD34,Erythroid,157,TRUE
Chen2023,NBM2_CD34,HSC_MPP,365,TRUE
Chen2023,NBM2_CD34,LMPP_GMP,399,TRUE
Chen2023,NBM2_CD34,Megakaryocyte,7,FALSE
Chen2023,NBM2_CD34,Mono_DC,1410,TRUE
Chen2023,NBM2_CD34,T_NK,99,TRUE
Chen2023,NBM2_Niche_Immune,B_Plasma,390,TRUE
Chen2023,NBM2_Niche_Immune,Erythroid,1,FALSE
Chen2023,NBM2_Niche_Immune,HSC_MPP,0,FALSE
Chen2023,NBM2_Niche_Immune,LMPP_GMP,0,FALSE
Chen2023,NBM2_Niche_Immune,Megakaryocyte,8,FALSE
Chen2023,NBM2_Niche_Immune,Mono_DC,18,TRUE
Chen2023,NBM2_Niche_Immune,T_NK,1264,TRUE
Chen2023,NBM3_CD34,B_Plasma,871,TRUE
Chen2023,NBM3_CD34,Erythroid,821,TRUE
Chen2023,NBM3_CD34,HSC_MPP,1205,TRUE
Chen2023,NBM3_CD34,LMPP_GMP,1227,TRUE
Chen2023,NBM3_CD34,Megakaryocyte,97,TRUE
Chen2023,NBM3_CD34,Mono_DC,2942,TRUE
Chen2023,NBM3_CD34,T_NK,549,TRUE
Chen2023,NBM3_Niche_immune,B_Plasma,829,TRUE
Chen2023,NBM3_Niche_immune,Erythroid,3,FALSE
Chen2023,NBM3_Niche_immune,HSC_MPP,0,FALSE
Chen2023,NBM3_Niche_immune,LMPP_GMP,4,FALSE
