dataset,sample,ccc_eligible,exclude_reason,Timepoint,study_role,sample_role,l2_capable,sorted_sublib,total_cells,n_nodes_present,lymphoid_cells,immune_recv,Study,Patient_ID,uid_patient,is_longitudinal,subtype_stratum,l2_val,l2_flag
Chen2023,AML103_Niche_Immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,736,2,719,724,Chen 2023 Blood Cancer Discovery,AML103,Chen2023:AML103,FALSE,NPM1,TRUE,TRUE
Chen2023,AML162_niche_immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,1767,4,1604,1684,Chen 2023 Blood Cancer Discovery,AML162,Chen2023:AML162,FALSE,NPM1,TRUE,TRUE
Chen2023,AML24_Niche_Immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,1652,4,1589,1594,Chen 2023 Blood Cancer Discovery,AML24,Chen2023:AML24,FALSE,NPM1,TRUE,TRUE
Chen2023,AML304_Niche_Immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,3214,7,2839,3053,Chen 2023 Blood Cancer Discovery,AML304,Chen2023:AML304,FALSE,NPM1,TRUE,TRUE
Chen2023,AML320_NICHE_IMMUNE,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,4896,7,4393,4407,Chen 2023 Blood Cancer Discovery,AML320,Chen2023:AML320,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM1_Niche_Immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,3976,3,3927,3966,Chen 2023 Blood Cancer Discovery,NBM1,Chen2023:NBM1,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM2_Niche_Immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,1681,3,1654,1672,Chen 2023 Blood Cancer Discovery,NBM2,Chen2023:NBM2,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM3_Niche_immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,2946,3,2919,2934,Chen 2023 Blood Cancer Discovery,NBM3,Chen2023:NBM3,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM4_Niche_Immune,TRUE,"",Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,FALSE,2822,3,2796,2817,Chen 2023 Blood Cancer Discovery,NBM4,Chen2023:NBM4,FALSE,NPM1,TRUE,TRUE
E-MTAB-11536,621B-BMA,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,536,3,515,535,Dominguez Conde 2022 Science,621B,E-MTAB-11536:621B,FALSE,"",TRUE,TRUE
E-MTAB-11536,637C-BLD,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,629,3,598,628,Dominguez Conde 2022 Science,637C,E-MTAB-11536:637C,FALSE,"",TRUE,TRUE
E-MTAB-11536,637C-BMA,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,1273,3,1166,1267,Dominguez Conde 2022 Science,637C,E-MTAB-11536:637C,FALSE,"",TRUE,TRUE
E-MTAB-11536,640C-BMA,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,1579,5,1276,1533,Dominguez Conde 2022 Science,640C,E-MTAB-11536:640C,FALSE,"",TRUE,TRUE
E-MTAB-11536,A29-BMA,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,1102,4,969,1078,Dominguez Conde 2022 Science,A29,E-MTAB-11536:A29,FALSE,"",TRUE,TRUE
E-MTAB-11536,A35-BLD,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,1166,3,739,1162,Dominguez Conde 2022 Science,A35,E-MTAB-11536:A35,FALSE,"",TRUE,TRUE
E-MTAB-11536,A35-BMA,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,1077,4,838,1052,Dominguez Conde 2022 Science,A35,E-MTAB-11536:A35,FALSE,"",TRUE,TRUE
E-MTAB-11536,A36-BLD,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,2419,4,1829,2399,Dominguez Conde 2022 Science,A36,E-MTAB-11536:A36,FALSE,"",TRUE,TRUE
E-MTAB-11536,A36-BMA,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,1011,5,612,984,Dominguez Conde 2022 Science,A36,E-MTAB-11536:A36,FALSE,"",TRUE,TRUE
E-MTAB-11536,A37-BMA,TRUE,"",Healthy,Healthy-control,Healthy-control,TRUE,FALSE,598,4,512,574,Dominguez Conde 2022 Science,A37,E-MTAB-11536:A37,FALSE,"",TRUE,TRUE
GSE116256,AML1012-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,846,4,7,327,van Galen 2019 Cell,AML1012,GSE116256:AML1012,TRUE,mixed,TRUE,TRUE
GSE116256,AML210A-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,507,6,176,434,van Galen 2019 Cell,AML210A,GSE116256:AML210A,TRUE,mixed,TRUE,TRUE
GSE116256,AML328-D113,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,1458,4,1396,1444,van Galen 2019 Cell,AML328,GSE116256:AML328,TRUE,mixed,TRUE,TRUE
GSE116256,AML328-D171,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,821,4,766,772,van Galen 2019 Cell,AML328,GSE116256:AML328,TRUE,mixed,TRUE,TRUE
GSE116256,AML328-D29,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,947,7,281,297,van Galen 2019 Cell,AML328,GSE116256:AML328,TRUE,mixed,TRUE,TRUE
GSE116256,AML329-D20,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,526,5,113,456,van Galen 2019 Cell,AML329,GSE116256:AML329,TRUE,mixed,TRUE,TRUE
GSE116256,AML419A-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,763,6,46,609,van Galen 2019 Cell,AML419A,GSE116256:AML419A,TRUE,mixed,TRUE,TRUE
