dataset,sample,ligand,n_edges,total_prob,primitive_sender_share,primitive_receiver_share,primitive_autocrine_share,immune_receiver_share,prim_to_immune_share,group
Chen2023,AML103_Niche_Immune,CD99,1,0.056262936828336,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,AML162_niche_immune,CD99,13,0.7773761976948976,0.43809512481288665,0.4558631138119995,0.19847302752743196,0.5441368861880006,0.23962209728545464,AML
Chen2023,AML162_niche_immune,LGALS9,24,0.3384331406008323,0.26328497030248926,0.2677304427291024,0.07035828122345576,0.7322695572708976,0.19292668907903351,AML
Chen2023,AML162_niche_immune,MIF,17,1.849535126352057,0.32845067740294803,0.12348416980635141,0.05776694245106418,0.8765158301936489,0.27068373495188386,AML
Chen2023,AML24_Niche_Immune,CD99,3,0.16864334998266062,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,AML24_Niche_Immune,LGALS9,6,0.0652287616093892,0.0,0.0,0.0,0.8259685317306916,0.0,AML
Chen2023,AML24_Niche_Immune,MIF,6,0.5598209986214082,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,AML304_Niche_Immune,CD99,17,0.6448175917231698,0.458046178852143,0.4580461788521429,0.21259935992160453,0.46650784392180106,0.2035377487953632,AML
Chen2023,AML304_Niche_Immune,LGALS9,39,0.3519495333813912,0.24877738786615977,0.22223321477083394,0.055229835680065044,0.6637973030619687,0.16525343565682155,AML
Chen2023,AML304_Niche_Immune,MIF,28,0.9332303319417671,0.3714239055926233,0.24017690299384506,0.09065636702306895,0.7220191011294094,0.26002971026873134,AML
Chen2023,AML320_NICHE_IMMUNE,CD99,24,0.31109033352807025,0.7201461384802859,0.6830758640224772,0.4679049476527949,0.13591538803122863,0.10112451071188462,AML
Chen2023,AML320_NICHE_IMMUNE,LGALS9,54,0.25629220553987664,0.5867398135516375,0.32473187155546246,0.19047154987476725,0.4926413314301098,0.28916108640028904,AML
Chen2023,AML320_NICHE_IMMUNE,MIF,22,1.1045665344926179,0.40981866921394905,0.45752338977491125,0.18882574191824208,0.5424766102250886,0.22099292729570696,AML
Chen2023,NBM1_Niche_Immune,CD99,4,0.11921848288309,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM1_Niche_Immune,MIF,6,0.3300879992627842,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM2_Niche_Immune,CD99,4,0.2706872091136566,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM2_Niche_Immune,MIF,12,1.0365617415701154,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM3_Niche_immune,CD99,1,0.122988032183251,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM3_Niche_immune,LGALS9,9,0.0962700029341172,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM3_Niche_immune,MIF,13,0.41717885810220595,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM4_Niche_Immune,CD99,4,0.21911263595057828,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM4_Niche_Immune,LGALS9,8,0.0923350702604868,0.0,0.0,0.0,1.0,0.0,AML
Chen2023,NBM4_Niche_Immune,MIF,6,0.16783404781479241,0.0,0.0,0.0,1.0,0.0,AML
E-MTAB-11536,621B-BMA,CD99,4,0.1294767075895104,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,621B-BMA,LGALS9,4,0.0635186372727345,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,621B-BMA,MIF,7,1.316072818315694,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,637C-BLD,CD99,4,0.30021381243133927,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,637C-BLD,LGALS9,10,0.44452712314404735,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,637C-BMA,CD99,4,0.32625974505541333,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,637C-BMA,LGALS9,14,0.4835477899477825,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,637C-BMA,MIF,10,1.471446267324415,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,640C-BMA,CD99,8,0.3737250249890436,0.12035530969071943,0.0,0.0,1.0,0.12035530969071943,healthy
E-MTAB-11536,640C-BMA,LGALS9,48,1.5244298653261845,0.48752897003820794,0.3114641459251858,0.1503715205097506,0.6885358540748142,0.33715744952845733,healthy
E-MTAB-11536,640C-BMA,MIF,20,4.261219712469683,0.6746059654709677,0.20304692266339264,0.1639856523624393,0.7969530773366074,0.5106203131085285,healthy
E-MTAB-11536,A29-BMA,CD99,5,0.2143123874144121,0.01828744589333775,0.0,0.0,1.0,0.01828744589333775,healthy
E-MTAB-11536,A29-BMA,LGALS9,25,0.8739774364917209,0.1980097946879364,0.188356845971116,0.04199581275596374,0.8116431540288838,0.15601398193197266,healthy
E-MTAB-11536,A29-BMA,MIF,10,2.5741591467066782,0.5562382818888519,0.0,0.0,1.0,0.5562382818888519,healthy
E-MTAB-11536,A35-BLD,CD99,4,0.2320760762082697,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A35-BLD,LGALS9,9,0.7526362363454043,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A35-BLD,MIF,11,1.8688902540564158,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A35-BMA,CD99,5,0.3134806469571406,0.12284385017367566,0.0,0.0,1.0,0.12284385017367566,healthy
E-MTAB-11536,A35-BMA,LGALS9,13,0.856768908934256,0.0,0.1596534890875665,0.0,0.8403465109124334,0.0,healthy
E-MTAB-11536,A35-BMA,MIF,15,3.013752621138705,0.4606697392710949,0.0,0.0,1.0,0.4606697392710949,healthy
E-MTAB-11536,A36-BLD,CD99,13,1.7882795386223982,0.0,0.0,0.0,0.64239680838179,0.0,healthy
E-MTAB-11536,A36-BLD,LGALS9,9,0.3891641463475159,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A36-BLD,MIF,7,1.130708675753248,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A36-BMA,CD99,11,1.131210404916493,0.024574391168832584,0.0,0.0,0.5386825595757492,0.024574391168832584,healthy
E-MTAB-11536,A36-BMA,LGALS9,13,0.3729756007708453,0.0,0.17123518280657063,0.0,0.807542926819842,0.0,healthy
E-MTAB-11536,A36-BMA,MIF,15,2.663409957880026,0.4702130545242248,0.0,0.0,1.0,0.4702130545242248,healthy
E-MTAB-11536,A37-BMA,CD99,6,0.3078774036075908,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A37-BMA,LGALS9,15,0.4938404704719507,0.1451062291479949,0.22823084356249537,0.047763898472761045,0.7717691564375047,0.09734233067523389,healthy
E-MTAB-11536,A37-BMA,MIF,10,2.3289173891012145,0.5987811636193857,0.0,0.0,1.0,0.5987811636193857,healthy
GSE116256,AML1012-D0,CD99,8,1.437951997256941,0.6613294955061467,0.6613294955061468,0.4283231559334989,0.0,0.0,AML
GSE116256,AML1012-D0,MIF,3,0.2604172849901979,0.6787412695225322,0.0,0.0,1.0,0.6787412695225322,AML
