ligand,n_present_AML,prevalence_AML,n_present_healthy,prevalence_healthy
MIF,118.0,0.9752066115702479,25.0,0.9259259259259259
CD99,116.0,0.9586776859504132,26.0,0.9629629629629629
PECAM1,106.0,0.8760330578512396,23.0,0.8518518518518519
LGALS9,97.0,0.8016528925619835,24.0,0.8888888888888888
PPIA,95.0,0.7851239669421488,19.0,0.7037037037037037
CD55,88.0,0.7272727272727273,22.0,0.8148148148148148
SELL,75.0,0.6198347107438017,16.0,0.5925925925925926
APP,68.0,0.5619834710743802,19.0,0.7037037037037037
MDK,67.0,0.5537190082644629,11.0,0.4074074074074074
F11R,65.0,0.5371900826446281,5.0,0.18518518518518517
TNFSF13B,58.0,0.4793388429752066,19.0,0.7037037037037037
NAMPT,55.0,0.45454545454545453,7.0,0.25925925925925924
ICAM2,53.0,0.4380165289256198,13.0,0.48148148148148145
HLA-E,53.0,0.4380165289256198,18.0,0.6666666666666666
CD69,52.0,0.4297520661157025,22.0,0.8148148148148148
