ligand,group,sender_bin,mean_sender_share
CD99,AML,HSC_MPP,0.28566662912914387
CD99,AML,LMPP_GMP,0.3117940219344277
CD99,AML,Mono_DC,0.13696814059761056
CD99,AML,Erythroid,0.047286120635770285
CD99,AML,Megakaryocyte,0.008780236426390073
CD99,AML,T_NK,0.1796414787391426
CD99,AML,B_Plasma,0.02986337253751495
CD99,healthy,HSC_MPP,0.11050444507571128
CD99,healthy,LMPP_GMP,0.16689473915916198
CD99,healthy,Mono_DC,0.1623930973551417
CD99,healthy,Erythroid,0.04399850909598283
CD99,healthy,Megakaryocyte,0.037529031367976244
CD99,healthy,T_NK,0.4540968368714615
CD99,healthy,B_Plasma,0.02458334107456443
LGALS9,AML,HSC_MPP,0.16056888491353627
LGALS9,AML,LMPP_GMP,0.32764145844580184
LGALS9,AML,Mono_DC,0.2823457411571268
LGALS9,AML,Erythroid,0.2073401753350354
LGALS9,AML,Megakaryocyte,0.0091271659545649
LGALS9,AML,T_NK,0.006281844549981897
LGALS9,AML,B_Plasma,0.006694729643952845
LGALS9,healthy,HSC_MPP,0.1428053316000579
LGALS9,healthy,LMPP_GMP,0.12313240668279068
LGALS9,healthy,Mono_DC,0.6281439878275222
LGALS9,healthy,Erythroid,0.08380573077714411
LGALS9,healthy,Megakaryocyte,0.0
LGALS9,healthy,T_NK,0.000658368023911836
LGALS9,healthy,B_Plasma,0.02145417508857325
MIF,AML,HSC_MPP,0.17344754381393493
MIF,AML,LMPP_GMP,0.32611027796493114
MIF,AML,Mono_DC,0.08971755084458025
MIF,AML,Erythroid,0.16467899085721768
MIF,AML,Megakaryocyte,0.04508543987978065
MIF,AML,T_NK,0.10458075195243276
MIF,AML,B_Plasma,0.09637944468712263
MIF,healthy,HSC_MPP,0.11597105716523444
MIF,healthy,LMPP_GMP,0.30087545635340895
MIF,healthy,Mono_DC,0.1383552940311018
MIF,healthy,Erythroid,0.12261979380559743
MIF,healthy,Megakaryocyte,0.00508008754119504
MIF,healthy,T_NK,0.19479135878134834
MIF,healthy,B_Plasma,0.12230695232211397
