level_pct,hierarchy_bin,n,beta_strat,p_strat
0,HSC_MPP,44,-0.0102953556583951,0.663433656634337
0,LMPP_GMP,57,0.000881471572538058,0.964003599640036
0,Mono_DC,64,0.00306668764194901,0.469053094690531
0,Erythroid,34,0.0120773769821231,0.490650934906509
0,T_NK,51,0.0213380621948061,0.0808919108089191
0,B_Plasma,29,0.0132923246879531,0.396060393960604
10,HSC_MPP,44,-0.0111345572898394,0.635136486351365
10,LMPP_GMP,56,0.00131189300815606,0.944405559444056
10,Mono_DC,64,0.00328699316234854,0.465353464653535
10,Erythroid,32,0.00884493964510592,0.652834716528347
10,T_NK,40,0.0229642932332494,0.13018698130187
10,B_Plasma,28,0.0108783516738422,0.513648635136486
20,HSC_MPP,43,-0.012403151074492,0.587041295870413
20,LMPP_GMP,56,0.00172692942501901,0.934606539346065
20,Mono_DC,63,0.00197920229853061,0.54954504549545
20,Erythroid,31,0.00401850814743988,0.838816118388161
20,T_NK,35,0.0246441189978725,0.144085591440856
20,B_Plasma,27,0.0136881785826794,0.442055794420558
30,HSC_MPP,43,-0.0140872150122632,0.531146885311469
30,LMPP_GMP,55,-0.000228317961862113,0.993000699930007
30,Mono_DC,63,0.00168262089853254,0.606939306069393
30,Erythroid,31,0.00383883489240056,0.832116788321168
30,T_NK,28,0.0241654140620664,0.24987501249875
30,B_Plasma,26,0.0143794212446518,0.380861913808619
40,HSC_MPP,42,-0.0177460386063394,0.448755124487551
40,LMPP_GMP,55,-0.00205736915217939,0.922307769223078
40,Mono_DC,63,0.00157444686323564,0.627937206279372
40,Erythroid,30,0.00319756515160492,0.864113588641136
40,T_NK,26,0.0343613411978247,0.113688631136886
40,B_Plasma,23,0.00638171952882302,0.782921707829217
50,HSC_MPP,41,-0.0240933274311105,0.293570642935706
50,LMPP_GMP,53,-0.00333834720153499,0.864413558644136
50,Mono_DC,60,0.00149990316133437,0.618038196180382
50,Erythroid,28,0.00460821657036576,0.78962103789621
50,T_NK,23,0.0425086961118238,0.117588241175882
50,B_Plasma,22,0.00390658048959256,0.860813918608139
