sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
AML328-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0561821764314396,0.01,46,11
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0654922061937136,0.05,11,11
AML328-D0,GSE116256,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.0677454134546919,0.01,14,11
AML328-D0,GSE116256,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CXCR4,0.0182095774251102,0.21,60,11
AML328-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.104138108946658,0,46,46
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.120381387047514,0.06,11,46
AML328-D0,GSE116256,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.124271888903307,0.01,14,46
AML328-D0,GSE116256,Diagnosis,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0349532581817912,0.43,60,46
AML328-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.105936137058299,0.01,46,11
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.122421543837542,0.11,11,11
AML328-D0,GSE116256,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.126368507480355,0.04,14,11
AML328-D0,GSE116256,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0356042285367402,0.51,60,11
AML328-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.144247725849416,0,46,103
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.16559083200787,0,11,103
AML328-D0,GSE116256,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CD44,0.170658946823769,0,14,103
AML328-D0,GSE116256,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.0499000411731751,0.1,60,103
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MDK,ITGA4_ITGB1,0.00585400420781596,0,11,46
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MDK,ITGA4_ITGB1,0.00476507635483417,0.01,11,11
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Erythroid,MDK,ITGA4_ITGB1,0.00473390530712978,0,11,14
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,T_NK,MDK,ITGA4_ITGB1,0.00385550258603273,0.01,11,60
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MDK,ITGA6_ITGB1,0.00231313799424974,0,11,46
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MDK,LRP1,0.00383303787627065,0,11,103
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MDK,NCL,0.0144987869850505,0,11,46
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MDK,NCL,0.0155461575264895,0,11,11
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MDK,NCL,0.00347934238711467,0.01,11,103
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Erythroid,MDK,NCL,0.0195524951245915,0,11,14
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,T_NK,MDK,NCL,0.00432843290673314,0.01,11,60
AML328-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,Mono_DC,ANXA1,FPR1,0.00837712106677411,0,46,103
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Mono_DC,ANXA1,FPR1,0.0110368383200899,0,11,103
AML328-D0,GSE116256,Diagnosis,cellchat,Mono_DC,Mono_DC,ANXA1,FPR1,0.0194513811290844,0,103,103
AML328-D0,GSE116256,Diagnosis,cellchat,Erythroid,Mono_DC,ANXA1,FPR1,0.0149266451979516,0,14,103
AML328-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,HSC_MPP,LGALS9,PTPRC,0.0546835703643275,0.15,46,46
AML328-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,LGALS9,PTPRC,0.0677938844513438,0.09,11,46
