sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.15655820192434,0.02,62,62
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.154251552312207,0.01,187,62
AML707B-D0,GSE116256,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.118125745557632,0.27,254,62
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.14296821333808,0.04,62,187
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.14082835995521,0,187,187
AML707B-D0,GSE116256,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.107446883648478,0.84,254,187
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,Erythroid,MIF,CD74_CD44,0.101745172599879,0.86,62,254
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MDK,ITGA4_ITGB1,0.107408487233153,0,62,62
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MDK,ITGA4_ITGB1,0.0459626584387049,0,187,62
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MDK,ITGA4_ITGB1,0.0599866848847397,0,62,187
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MDK,ITGA4_ITGB1,0.0249125589093219,0.26,187,187
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,Erythroid,MDK,ITGA4_ITGB1,0.0651324867685686,0,62,254
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Erythroid,MDK,ITGA4_ITGB1,0.0271364749704285,0.03,187,254
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MDK,NCL,0.130181298987157,0,62,62
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MDK,NCL,0.0565328110275202,0.13,187,62
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MDK,NCL,0.146468667114849,0,62,187
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MDK,NCL,0.0642868177239218,0,187,187
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,Erythroid,MDK,NCL,0.115878563053089,0,62,254
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,Erythroid,MDK,NCL,0.0498578650156264,0.2,187,254
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,HSC_MPP,LGALS9,PTPRC,0.00778284687629458,0.05,62,62
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,LGALS9,PTPRC,0.00822148677023976,0,187,62
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,LGALS9,PTPRC,0.00472161591987165,0.11,62,187
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,PTPRC,0.0049885928057142,0.02,187,187
AML707B-D0,GSE116256,Diagnosis,cellchat,HSC_MPP,HSC_MPP,LGALS9,CD44,0.00801468809570863,0.08,62,62
AML707B-D0,GSE116256,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,LGALS9,CD44,0.00846628302770856,0,187,62
