sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.102532471729899,0,139,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.148514852723199,0,642,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.0367404960185555,0.02,909,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.13402117605148,0,37,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0455643871557141,0.01,978,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.0604560848037289,0.04,33,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.0840197153720571,0,139,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.12283608501772,0,642,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.0297135190829215,0.03,909,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.110523137467919,0,37,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0369144302953999,0.01,978,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.0491245909656066,0.24,33,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.0573983785357831,0,139,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.0850579942920909,0,642,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,Mono_DC,MIF,CD74_CD44,0.0762029010339601,0,37,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.0248139072960234,0.02,978,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.0331593932397854,0.32,33,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CD44,0.031363753855275,0.21,139,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.0471045338584975,0.01,642,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.0106944095957871,0.94,909,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,B_Plasma,MIF,CD74_CD44,0.0420191828969656,0.2,37,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.0133495568941677,0.9,978,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.017910132639862,0.8,33,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,B_Plasma,TNFSF13B,TNFRSF17,0.0118616860211907,0,139,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF17,0.0366967245583878,0,642,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF17,0.0203341410219607,0,909,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,B_Plasma,TNFSF13B,TNFRSF17,0.010399003723504,0,37,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,B_Plasma,MDK,SDC1,0.00628244252167011,0,139,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,B_Plasma,MDK,SDC1,0.0169325385707627,0,33,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,HSC_MPP,MDK,ITGA4_ITGB1,0.00255211242913473,0,139,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,HSC_MPP,MDK,ITGA4_ITGB1,0.00692254680414349,0,33,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,LMPP_GMP,MDK,ITGA4_ITGB1,0.00235899584902169,0,139,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,LMPP_GMP,MDK,ITGA4_ITGB1,0.00640084470656519,0,33,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,Erythroid,MDK,ITGA4_ITGB1,0.00385059579164766,0,139,37
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,Erythroid,MDK,ITGA4_ITGB1,0.0104214207291385,0,33,37
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,HSC_MPP,MDK,NCL,0.0219774915360045,0,139,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,HSC_MPP,MDK,NCL,0.0576894647465749,0,33,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,LMPP_GMP,MDK,NCL,0.0259604315645169,0,139,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,LMPP_GMP,MDK,NCL,0.0676964416520757,0,33,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,Mono_DC,MDK,NCL,0.00575305860747288,0,139,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,Mono_DC,MDK,NCL,0.0155197504498409,0,33,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,Erythroid,MDK,NCL,0.0231688581619259,0,139,37
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,Erythroid,MDK,NCL,0.0606965810443868,0,33,37
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,T_NK,MDK,NCL,0.0159370705183232,0,139,978
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,T_NK,MDK,NCL,0.0422578516351065,0,33,978
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,B_Plasma,MDK,NCL,0.00617795787756061,0,139,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,B_Plasma,MDK,NCL,0.0166538983580058,0,33,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,HSC_MPP,LGALS9,PTPRC,0.0126501367451818,0,642,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,HSC_MPP,LGALS9,PTPRC,0.0123676160359698,0,37,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,PTPRC,0.00353896031794812,0,642,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,LMPP_GMP,LGALS9,PTPRC,0.0034592103497753,0.02,37,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,Mono_DC,LGALS9,PTPRC,0.0071768912618286,0,642,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,Mono_DC,LGALS9,PTPRC,0.00701573823117664,0.02,37,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,T_NK,LGALS9,PTPRC,0.0239215172434697,0,642,978
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,T_NK,LGALS9,PTPRC,0.0233932323438839,0,37,978
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,HSC_MPP,LGALS9,CD44,0.0140900651628163,0,642,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,HSC_MPP,LGALS9,CD44,0.0137758346260629,0,37,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,CD44,0.00977019261239713,0,642,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,LMPP_GMP,LGALS9,CD44,0.00955136867529578,0,37,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,Mono_DC,LGALS9,CD44,0.00659697058477186,0,642,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,Mono_DC,LGALS9,CD44,0.00644875476328179,0,37,909
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,B_Plasma,LGALS9,CD44,0.00188050042718623,0,642,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,B_Plasma,LGALS9,CD44,0.00183805467924586,0.02,37,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,P4HB,0.00329758310667757,0,642,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,LMPP_GMP,LGALS9,P4HB,0.0032232549448369,0,37,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,Erythroid,LGALS9,P4HB,0.00315102318231648,0,642,37
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,Erythroid,LGALS9,P4HB,0.00307998830118331,0,37,37
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,B_Plasma,LGALS9,P4HB,0.00859636613868548,0,642,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,B_Plasma,LGALS9,P4HB,0.0084036093919267,0,37,33
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,HSC_MPP,PPIA,BSG,0.0402454013727943,0.36,139,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,HSC_MPP,PPIA,BSG,0.0453963201112219,0.06,642,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,HSC_MPP,PPIA,BSG,0.0394288456919279,0.4,909,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,HSC_MPP,PPIA,BSG,0.039477559780621,0.33,37,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,HSC_MPP,PPIA,BSG,0.0278725818520988,0.87,978,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,HSC_MPP,PPIA,BSG,0.0145060932806781,0.92,33,139
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,LMPP_GMP,PPIA,BSG,0.0998662688853013,0,139,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,LMPP_GMP,PPIA,BSG,0.111759361332915,0,642,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,LMPP_GMP,PPIA,BSG,0.0979635136309773,0,909,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,LMPP_GMP,PPIA,BSG,0.0980771629246779,0,37,642
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,LMPP_GMP,PPIA,BSG,0.0705105645344,0,978,642
