sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
40389_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,TGFB1,TGFbR1_R2,0.00259287849456461,0.51,39,177
40389_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,TGFB1,TGFbR1_R2,0.00164275999996678,0.67,177,177
40389_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,LMPP_GMP,TGFB1,TGFbR1_R2,0.00236810372070276,0.63,741,177
40389_Dg,GSE227903,Diagnosis,cellchat,Erythroid,LMPP_GMP,TGFB1,TGFbR1_R2,0.00308281702565008,0.35,41,177
40389_Dg,GSE227903,Diagnosis,cellchat,T_NK,LMPP_GMP,TGFB1,TGFbR1_R2,0.00484789308691048,0.02,235,177
40389_Dg,GSE227903,Diagnosis,cellchat,B_Plasma,LMPP_GMP,TGFB1,TGFbR1_R2,0.000579680248188031,0.68,137,177
40389_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,Mono_DC,TGFB1,TGFbR1_R2,0.00571135818412401,0,39,741
40389_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,Mono_DC,TGFB1,TGFbR1_R2,0.00362267356704761,0.11,177,741
40389_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,TGFB1,TGFbR1_R2,0.00521765884871803,0,741,741
40389_Dg,GSE227903,Diagnosis,cellchat,Erythroid,Mono_DC,TGFB1,TGFbR1_R2,0.0067865410677188,0,41,741
40389_Dg,GSE227903,Diagnosis,cellchat,T_NK,Mono_DC,TGFB1,TGFbR1_R2,0.0106495423274119,0,235,741
40389_Dg,GSE227903,Diagnosis,cellchat,B_Plasma,Mono_DC,TGFB1,TGFbR1_R2,0.00127997445974115,0.94,137,741
40389_Dg,GSE227903,Diagnosis,cellchat,T_NK,Mono_DC,CCL5,CCR1,0.0219783083709791,0,235,741
40389_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,CCL3,CCR1,0.00400606081780956,0,741,741
40389_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CXCR4,0.0497317115836687,0.79,39,39
40389_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CXCR4,0.0577644488457237,0.62,177,39
40389_Dg,GSE227903,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CXCR4,0.0577620906967245,0.59,41,39
40389_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0666934109404264,0.52,39,177
40389_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0772431297962366,0.2,177,177
40389_Dg,GSE227903,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.0772400416444488,0.26,41,177
40389_Dg,GSE227903,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CXCR4,0.0454732853138037,0.98,235,177
40389_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.110403950665975,0,39,741
40389_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.12692758406531,0,177,741
40389_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0613118893713923,0.96,741,741
40389_Dg,GSE227903,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.12692278276684,0,41,741
40389_Dg,GSE227903,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.0764149462114307,0.19,235,741
40389_Dg,GSE227903,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0657781223956179,0.69,137,741
40389_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0832060403080822,0.12,39,235
40389_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.0960988175401891,0,177,235
40389_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.0455880076780211,0.99,741,235
40389_Dg,GSE227903,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.0960950540495356,0.01,41,235
40389_Dg,GSE227903,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.0570531927184595,0.89,235,235
40389_Dg,GSE227903,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0489685946778501,0.97,137,235
