sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,HSC_MPP,TGFB1,TGFbR1_R2,0.0053120378256299,0.03,30,30
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,HSC_MPP,TGFB1,TGFbR1_R2,0.00361864388028391,0.03,153,30
40389_R,GSE227903,Relapse,cellchat,Mono_DC,HSC_MPP,TGFB1,TGFbR1_R2,0.00370363661306734,0.03,510,30
40389_R,GSE227903,Relapse,cellchat,Erythroid,HSC_MPP,TGFB1,TGFbR1_R2,0.00386863690510128,0.03,28,30
40389_R,GSE227903,Relapse,cellchat,T_NK,HSC_MPP,TGFB1,TGFbR1_R2,0.00800093030675298,0.01,1508,30
40389_R,GSE227903,Relapse,cellchat,B_Plasma,HSC_MPP,TGFB1,TGFbR1_R2,0.00161955886052274,0.03,17,30
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.042215581370139,0.54,30,510
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0507142395425567,0,153,510
40389_R,GSE227903,Relapse,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.0584315578741242,0.02,28,510
40389_R,GSE227903,Relapse,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0299072728476601,0.76,17,510
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,Erythroid,MIF,CD74_CXCR4,0.0172026491886046,0.9,30,28
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,Erythroid,MIF,CD74_CXCR4,0.0207750356149142,0.97,153,28
40389_R,GSE227903,Relapse,cellchat,Erythroid,Erythroid,MIF,CD74_CXCR4,0.0240518596530877,0.79,28,28
40389_R,GSE227903,Relapse,cellchat,B_Plasma,Erythroid,MIF,CD74_CXCR4,0.0120949786458144,0.96,17,28
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0424667339655702,0.51,30,1508
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.0510132601276167,0,153,1508
40389_R,GSE227903,Relapse,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.0587732639850339,0.01,28,1508
40389_R,GSE227903,Relapse,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0300875000720753,0.74,17,1508
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.0903899462767997,0,30,17
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.107498361076213,0,153,17
40389_R,GSE227903,Relapse,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.0557929953373327,0.06,510,17
40389_R,GSE227903,Relapse,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.122739417191405,0,28,17
40389_R,GSE227903,Relapse,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.0639047598264192,0,1508,17
40389_R,GSE227903,Relapse,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.0649890418957655,0.06,17,17
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.12208050012285,0,30,30
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.144235969178613,0,153,30
40389_R,GSE227903,Relapse,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.0763723433806185,0.05,510,30
40389_R,GSE227903,Relapse,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.163730133746954,0,28,30
40389_R,GSE227903,Relapse,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.087199824863265,0,1508,30
40389_R,GSE227903,Relapse,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.0886419303338501,0.04,17,30
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.102420911996234,0,30,153
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.121502296799938,0,153,153
40389_R,GSE227903,Relapse,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.0635407559609895,0.35,510,153
40389_R,GSE227903,Relapse,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.138420890113565,0,28,153
40389_R,GSE227903,Relapse,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0726922475814005,0,1508,153
40389_R,GSE227903,Relapse,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.0739138555357825,0.14,17,153
40389_R,GSE227903,Relapse,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.129124587988331,0,30,510
40389_R,GSE227903,Relapse,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.152336611170686,0,153,510
40389_R,GSE227903,Relapse,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.0810224557916795,0,510,510
40389_R,GSE227903,Relapse,cellchat,Erythroid,Mono_DC,MIF,CD74_CD44,0.172704662004886,0,28,510
