sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.103729682147778,0,185,185
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.116946643633834,0,85,185
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.103226569991174,0,44,185
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0290125242775691,0.95,131,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.0999331840218673,0,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.112727247511778,0,85,85
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.0994464426040298,0.01,44,85
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0278656463355358,0.93,131,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,MDK,ITGA4_ITGB1,0.0118115539365459,0,185,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,MDK,ITGA4_ITGB1,0.0101841127494361,0,185,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,Erythroid,MDK,ITGA4_ITGB1,0.00926062564332532,0,185,44
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,T_NK,MDK,ITGA4_ITGB1,0.00739072318740728,0,185,131
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,MDK,NCL,0.0297523773074232,0,185,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,MDK,NCL,0.0331701327873402,0,185,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,Erythroid,MDK,NCL,0.0320776238161386,0,185,44
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,T_NK,MDK,NCL,0.00884879359297947,0,185,131
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,LGALS9,PTPRC,0.0500796366719653,0.01,185,185
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,HSC_MPP,LGALS9,PTPRC,0.0546555158481667,0,85,185
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,HSC_MPP,LGALS9,PTPRC,0.0078339027059753,0.55,44,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,LGALS9,PTPRC,0.0479016847782494,0.05,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,PTPRC,0.0522895144323882,0,85,85
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,LMPP_GMP,LGALS9,PTPRC,0.00747874331133967,0.57,44,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,Erythroid,LGALS9,PTPRC,0.0264503951359695,0.56,185,44
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,Erythroid,LGALS9,PTPRC,0.0289329831374171,0.47,85,44
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,Erythroid,LGALS9,PTPRC,0.00405256803288669,0.59,44,44
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,T_NK,LGALS9,PTPRC,0.0572946965265918,0,185,131
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,T_NK,LGALS9,PTPRC,0.0624864642583094,0,85,131
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,T_NK,LGALS9,PTPRC,0.00902034257287287,0.49,44,131
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,LGALS9,CD44,0.00642053291987382,0.05,185,185
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,HSC_MPP,LGALS9,CD44,0.00703674121589077,0.02,85,185
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,HSC_MPP,LGALS9,CD44,0.000966870207548891,0.54,44,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,LGALS9,CD44,0.00641486843437006,0.06,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,CD44,0.00703053693029337,0.06,85,85
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,LMPP_GMP,LGALS9,CD44,0.000966012512801428,0.49,44,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,APP,CD74,0.0400695010165009,0,185,185
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,HSC_MPP,APP,CD74,0.0400458162145951,0,85,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,APP,CD74,0.0370267874100052,0,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,APP,CD74,0.0370048318025493,0.01,85,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,Erythroid,APP,CD74,0.025979761287431,0,185,44
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,Erythroid,APP,CD74,0.0259641795672293,0.04,85,44
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,LMPP_GMP,CD48,CD244,0.00926523935362415,0,131,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,CD99,CD99,0.013196969003991,0.4,185,185
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,HSC_MPP,CD99,CD99,0.0301497722222127,0,85,185
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,HSC_MPP,CD99,CD99,0.0132539604737682,0.2,131,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,CD99,CD99,0.0301497722222127,0,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,CD99,CD99,0.0673928388099207,0,85,85
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,LMPP_GMP,CD99,CD99,0.00457057570162223,0.99,44,85
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,LMPP_GMP,CD99,CD99,0.0302777285224421,0.01,131,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,Erythroid,CD99,CD99,0.00457057570162223,0.99,85,44
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,T_NK,CD99,CD99,0.0132539604737682,0.2,185,131
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,T_NK,CD99,CD99,0.0302777285224421,0.01,85,131
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,T_NK,CD99,CD99,0.0133111947428045,0.34,131,131
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,F11R,F11R,0.00621312148822211,0.05,85,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,MPZL1,MPZL1,0.00343388848473482,0,85,85
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,LMPP_GMP,MPZL1,MPZL1,0.00306718929171264,0,44,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,Erythroid,MPZL1,MPZL1,0.00306718929171264,0,85,44
AML328-D29,GSE116256,On_treatment,cellchat,Erythroid,Erythroid,MPZL1,MPZL1,0.00273954164271031,0.03,44,44
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,PECAM1,PECAM1,0.00797423029960824,0,185,185
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,HSC_MPP,PECAM1,PECAM1,0.00702681221399484,0,85,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,PECAM1,PECAM1,0.00702681221399484,0,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,PECAM1,PECAM1,0.00619125433907871,0.13,85,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,HSC_MPP,SELL,CD34,0.025393410925802,0.35,185,185
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,HSC_MPP,SELL,CD34,0.0346880537617822,0.06,85,185
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,HSC_MPP,SELL,CD34,0.0642102914150924,0,131,185
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,SELL,CD34,0.0267569972080843,0.25,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,SELL,CD34,0.0365320392702305,0.02,85,85
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,LMPP_GMP,SELL,CD34,0.0675138902567335,0,131,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,Erythroid,SELL,CD34,0.0105367914665367,0.84,185,44
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,Erythroid,SELL,CD34,0.0144742893029115,0.49,85,44
AML328-D29,GSE116256,On_treatment,cellchat,T_NK,Erythroid,SELL,CD34,0.027279199158173,0.23,131,44
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,LMPP_GMP,PECAM1,CD38,0.00511463874098867,0,185,85
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,LMPP_GMP,PECAM1,CD38,0.00450542563721926,0,85,85
AML328-D29,GSE116256,On_treatment,cellchat,HSC_MPP,Erythroid,PECAM1,CD38,0.00915504648522403,0,185,44
AML328-D29,GSE116256,On_treatment,cellchat,LMPP_GMP,Erythroid,PECAM1,CD38,0.00806847670829838,0,85,44
