sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.0356112002395656,0,138,32
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.0526614928704563,0,641,32
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.0124859752698308,0,908,32
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.0503497193113081,0,37,32
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.014857734252896,0,978,32
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.0178232442293583,0,32,32
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.102886275141354,0,138,138
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.147229730396947,0,641,138
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.0377856182071244,0.02,908,138
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.14138611196243,0,37,138
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0447453869197506,0,978,138
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.053353211050745,0.24,32,138
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.0594582216276119,0,138,641
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.0868974261907154,0,641,641
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.0211874216925645,0.96,908,641
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.0832147549259874,0,37,641
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0251699251487448,0.02,978,641
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.0301307314925204,0.53,32,641
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.0582501431769486,0.01,138,908
GSM6085178_AML01M4_RE,GSE201966,Relapse,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.0851823274885561,0,641,908
