sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.173001190262485,0,49,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CXCR4,0.037751159475974,0.84,3170,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CXCR4,0.104824950945731,0.16,84,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CXCR4,0.0590011589348264,0.58,14,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.244667783598285,0,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.15349098084504,0,84,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0884961790706603,0.49,14,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.227109194961658,0,49,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.052229794946971,0.79,3170,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.141252056583591,0.02,84,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0809441947705887,0.48,14,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.350679691226226,0,49,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.0919708329319102,0,3170,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.232138434556739,0,84,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.139321966305164,0.16,14,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.176946409043811,0,49,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.0387566026994045,0.99,3170,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.10741738059915,0.26,84,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.0605369570470115,0.63,14,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.262236747573497,0,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.0624954779081696,0.11,3170,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.165951227910533,0,84,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.0962803184851474,0.48,14,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CD44,0.13068150459481,0.23,49,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CD44,0.0776173521646037,0.35,84,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CD44,0.0431144119674262,0.88,14,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.24237677465188,0,49,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.056601949375763,0.79,3170,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.151882055730215,0.1,84,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.0874981228541684,0.46,14,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13C,0.00593670157641606,0,49,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.0081874493815095,0,3170,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,ANXA1,FPR1,0.0328507310675464,0.47,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,Mono_DC,ANXA1,FPR1,0.0333811522250269,0,3170,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,Mono_DC,ANXA1,FPR1,0.0328622040865948,0.33,84,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,PTPRC,0.00386406924864449,0.55,49,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,LGALS9,PTPRC,0.0215226407487584,0.49,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.0254977674160319,0,3170,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,LGALS9,PTPRC,0.0349681428338488,0,49,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,PTPRC,0.0413217159816155,0,3170,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,B_Plasma,LGALS9,PTPRC,0.0185796700103338,0.38,49,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,B_Plasma,LGALS9,PTPRC,0.0220234785764326,0.51,3170,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,CD44,0.0135566377995699,0.55,49,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,LMPP_GMP,LGALS9,CD44,0.0160846682330501,0.99,3170,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,LGALS9,CD44,0.0240830725550248,0.49,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,CD44,0.0285173160239943,0,3170,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,LGALS9,CD44,0.00765280913688315,0.55,49,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,B_Plasma,LGALS9,CD44,0.0165465285743929,0.49,49,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,B_Plasma,LGALS9,CD44,0.0196210212387073,0.85,3170,14
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,CTSG,FPR1,0.0517916494577371,0,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,P4HB,0.0122740147692855,0,49,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,LMPP_GMP,LGALS9,P4HB,0.0145663946440555,0,3170,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,LGALS9,P4HB,0.00690405747384688,0.01,49,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,P4HB,0.00820183507862239,0,3170,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,CD99,PILRA,0.00465078659366473,0.01,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,Mono_DC,CD99,PILRA,0.00673491593802965,0,3170,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,Mono_DC,CD99,PILRA,0.0239217569289471,0,84,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,CD99,CD99,0.00474011274526985,0.93,49,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,LMPP_GMP,CD99,CD99,0.00686399524281215,0.94,3170,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,LMPP_GMP,CD99,CD99,0.0243721513194838,0.02,84,49
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,CD99,CD99,0.00686399524281215,0.94,49,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,Mono_DC,CD99,CD99,0.0349832850783192,0,84,3170
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,CD99,CD99,0.0243721513194838,0.02,49,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,T_NK,CD99,CD99,0.0349832850783192,0,3170,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,CD99,CD99,0.115849315320305,0,84,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,CLEC2D,KLRB1,0.0204788988120787,0,84,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,T_NK,CLEC2D,KLRB1,0.0144598709997561,0,14,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,CD69,KLRB1,0.0213078049559103,0,84,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,T_NK,CD69,KLRB1,0.0188401691010781,0,14,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,LCK,CD8 receptor,0.0305232702651814,0,84,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,HLA-A,CD8A,0.054250694609452,0,49,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,T_NK,HLA-A,CD8A,0.0729836157583784,0,3170,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,HLA-A,CD8A,0.0990872809766254,0,84,84
GSM6085181_AML03M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,T_NK,HLA-A,CD8A,0.0793592813147026,0,14,84
