sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,LMPP_GMP,TGFB1,TGFbR1_R2,0.0039654278496709,0.64,22,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,LMPP_GMP,TGFB1,TGFbR1_R2,0.00224198195496641,0.73,76,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,LMPP_GMP,TGFB1,TGFbR1_R2,0.00402085346793098,0.68,1065,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,LMPP_GMP,TGFB1,TGFbR1_R2,0.00546353106733978,0.39,11,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,LMPP_GMP,TGFB1,TGFbR1_R2,0.00504524687094659,0.58,158,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,Erythroid,TGFB1,TGFbR1_R2,0.00158311532587115,0.63,22,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,Erythroid,TGFB1,TGFbR1_R2,0.000894091406893579,0.63,76,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,Erythroid,TGFB1,TGFbR1_R2,0.00160509541366611,0.63,1065,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,Erythroid,TGFB1,TGFbR1_R2,0.00218272850857865,0.6,11,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,Erythroid,TGFB1,TGFbR1_R2,0.00201558607349612,0.63,158,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,LMPP_GMP,TGFB1,ACVR1B_TGFbR2,0.00342518520436401,0,22,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,LMPP_GMP,TGFB1,ACVR1B_TGFbR2,0.00193608202939829,0.01,76,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,LMPP_GMP,TGFB1,ACVR1B_TGFbR2,0.00347299067679658,0,1065,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,LMPP_GMP,TGFB1,ACVR1B_TGFbR2,0.00471990404018095,0,11,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,LMPP_GMP,TGFB1,ACVR1B_TGFbR2,0.00435853540312028,0,158,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,Erythroid,TGFB1,ACVR1_TGFbR,0.00160033632579379,0.11,22,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,Erythroid,TGFB1,ACVR1_TGFbR,0.000903868729031397,0.11,76,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,Erythroid,TGFB1,ACVR1_TGFbR,0.00154153090206224,0.11,1065,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,Erythroid,TGFB1,ACVR1_TGFbR,0.0020483193631518,0.1,11,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,Erythroid,TGFB1,ACVR1_TGFbR,0.00203743863643603,0.11,158,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,Erythroid,GDF11,TGFBR1_ACVR2B,0.00020942657113044,0,76,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,Erythroid,GDF11,TGFBR1_ACVR2B,0.0004531795084252,0,11,11
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,Mono_DC,VEGFA,FLT1,0.00276737476747181,0,1065,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,Mono_DC,VEGFA,FLT1,0.00103662111040484,0.72,11,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,Mono_DC,VEGFB,FLT1,0.00118528723375443,0,76,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,Mono_DC,VEGFB,FLT1,0.000513918611349867,0.16,11,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,Mono_DC,CCL5,CCR1,0.00313426393029274,0,158,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,Mono_DC,CCL3,CCR1,0.0765631892090044,0,1065,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,Mono_DC,CCL3L1,CCR1,0.0481548517936705,0,1065,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CXCR4,0.0389089606952033,0.5,22,22
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CXCR4,0.0465515880020631,0.37,76,22
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CXCR4,0.0230095895873028,0.99,1065,22
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,HSC_MPP,MIF,CD74_CXCR4,0.0479270637119568,0.32,11,22
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,HSC_MPP,MIF,CD74_CXCR4,0.0349023522700523,0.62,158,22
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0556912850893733,0.01,22,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0664025984603948,0,76,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CXCR4,0.0331708386570765,0.83,1065,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.0683225879253338,0,11,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,LMPP_GMP,MIF,CD74_CXCR4,0.0500465237040155,0.07,158,76
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.0453699324807399,0.02,22,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0542100629237355,0,76,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.0557985832048639,0,11,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.0407262049884151,0,158,1065
1886_MRD,GSE227903,Post_treatment_unspecified,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0641113131700096,0,22,158
