sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
1886_R,GSE227903,Relapse,cellchat,HSC_MPP,HSC_MPP,TGFB1,TGFbR1_R2,0.00976145414805734,0,102,102
1886_R,GSE227903,Relapse,cellchat,LMPP_GMP,HSC_MPP,TGFB1,TGFbR1_R2,0.00723592190006547,0.05,238,102
1886_R,GSE227903,Relapse,cellchat,Mono_DC,HSC_MPP,TGFB1,TGFbR1_R2,0.0143262657994043,0,29,102
1886_R,GSE227903,Relapse,cellchat,Erythroid,HSC_MPP,TGFB1,TGFbR1_R2,0.0103181115147515,0,13,102
1886_R,GSE227903,Relapse,cellchat,T_NK,HSC_MPP,TGFB1,TGFbR1_R2,0.0186624557974415,0,51,102
1886_R,GSE227903,Relapse,cellchat,HSC_MPP,LMPP_GMP,TGFB1,TGFbR1_R2,0.00660562797092319,0.05,102,238
1886_R,GSE227903,Relapse,cellchat,LMPP_GMP,LMPP_GMP,TGFB1,TGFbR1_R2,0.00489287654602604,0.46,238,238
1886_R,GSE227903,Relapse,cellchat,Mono_DC,LMPP_GMP,TGFB1,TGFbR1_R2,0.00970657786564892,0,29,238
1886_R,GSE227903,Relapse,cellchat,Erythroid,LMPP_GMP,TGFB1,TGFbR1_R2,0.0069837957517379,0.12,13,238
1886_R,GSE227903,Relapse,cellchat,T_NK,LMPP_GMP,TGFB1,TGFbR1_R2,0.0126648985871125,0,51,238
1886_R,GSE227903,Relapse,cellchat,HSC_MPP,Mono_DC,TGFB1,TGFbR1_R2,0.00801074365254176,0.14,102,29
1886_R,GSE227903,Relapse,cellchat,LMPP_GMP,Mono_DC,TGFB1,TGFbR1_R2,0.0059351005452413,0.39,238,29
1886_R,GSE227903,Relapse,cellchat,Mono_DC,Mono_DC,TGFB1,TGFbR1_R2,0.0117666928282694,0.01,29,29
1886_R,GSE227903,Relapse,cellchat,Erythroid,Mono_DC,TGFB1,TGFbR1_R2,0.00846878216095452,0.14,13,29
1886_R,GSE227903,Relapse,cellchat,T_NK,Mono_DC,TGFB1,TGFbR1_R2,0.0153449760735603,0,51,29
1886_R,GSE227903,Relapse,cellchat,B_Plasma,Mono_DC,TGFB1,TGFbR1_R2,0.00216560237876088,0.99,35,29
