sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,HSC_MPP,TGFB1,TGFbR1_R2,0.00665129806309813,0.97,140,140
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,TGFB1,TGFbR1_R2,0.00699277473868,0.96,1317,140
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,HSC_MPP,TGFB1,TGFbR1_R2,0.00754727329786906,0.86,191,140
5750_Dg,GSE227903,Diagnosis,cellchat,Erythroid,HSC_MPP,TGFB1,TGFbR1_R2,0.00691785185613408,0.95,196,140
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,HSC_MPP,TGFB1,TGFbR1_R2,0.00933929550104211,0.15,25,140
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,TGFB1,TGFbR1_R2,0.00770211087299092,0.96,140,1317
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,TGFB1,TGFbR1_R2,0.00809709637371739,0.97,1317,1317
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,LMPP_GMP,TGFB1,TGFbR1_R2,0.00873839254732236,0.06,191,1317
5750_Dg,GSE227903,Diagnosis,cellchat,Erythroid,LMPP_GMP,TGFB1,TGFbR1_R2,0.0080104368743449,0.81,196,1317
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,LMPP_GMP,TGFB1,TGFbR1_R2,0.0108101531648826,0,25,1317
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,Mono_DC,TGFB1,TGFbR1_R2,0.0145724936089839,0,140,191
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,Mono_DC,TGFB1,TGFbR1_R2,0.0153143736683157,0,1317,191
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,TGFB1,TGFbR1_R2,0.0165177648191987,0,191,191
5750_Dg,GSE227903,Diagnosis,cellchat,Erythroid,Mono_DC,TGFB1,TGFbR1_R2,0.0151516508845232,0,196,191
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,Mono_DC,TGFB1,TGFbR1_R2,0.0203959649491886,0,25,191
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,Erythroid,TGFB1,TGFbR1_R2,0.00836326748057015,0.46,140,196
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,Erythroid,TGFB1,TGFbR1_R2,0.00879185850671909,0.11,1317,196
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Erythroid,TGFB1,TGFbR1_R2,0.00948765404175747,0,191,196
5750_Dg,GSE227903,Diagnosis,cellchat,Erythroid,Erythroid,TGFB1,TGFbR1_R2,0.00869782849026045,0.25,196,196
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,Erythroid,TGFB1,TGFbR1_R2,0.0117349519577312,0.01,25,196
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,Mono_DC,CCL5,CCR1,0.000989886171182643,0,140,191
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,Mono_DC,CCL5,CCR1,0.00119637859854284,0,1317,191
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,CCL5,CCR1,0.00460937860102242,0,191,191
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,Mono_DC,CCL5,CCR1,0.0175930079313625,0,25,191
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,CCL3,CCR1,0.00578721764839239,0,191,191
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,CCL3L1,CCR1,0.00119493764542515,0,191,191
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CXCR4,0.0677220853673562,0.02,140,140
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CXCR4,0.0677653010187717,0.04,1317,140
5750_Dg,GSE227903,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CXCR4,0.0701969244869745,0,196,140
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,HSC_MPP,MIF,CD74_CXCR4,0.0594109799193384,0.71,25,140
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0626919556816882,0.47,140,1317
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0627321774353991,0.55,1317,1317
5750_Dg,GSE227903,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.064995789004986,0.08,196,1317
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CXCR4,0.0549617729717112,0.99,25,1317
5750_Dg,GSE227903,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.117238922723619,0,140,191
5750_Dg,GSE227903,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.117309760614231,0,1317,191
5750_Dg,GSE227903,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0895938365300321,0,191,191
5750_Dg,GSE227903,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.121287888469191,0,196,191
5750_Dg,GSE227903,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.103525741744531,0,25,191
