sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,HSC_MPP,VEGFB,FLT1,0.0043035517385277,0,214,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0325804526180861,0,49,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CXCR4,0.0268762229503551,0,214,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.0267412772371609,0,33,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,LMPP_GMP,MIF,CD74_CXCR4,0.00475213043650992,0.65,30,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CXCR4,0.00698297065827243,0.9,1089,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0603719500113666,0,49,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0500536995617487,0,214,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.0498083360653753,0,33,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,Mono_DC,MIF,CD74_CXCR4,0.00902725647265332,0.52,30,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0132383169208467,0.04,1089,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,Erythroid,MIF,CD74_CXCR4,0.0193531703889284,0.02,49,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Erythroid,MIF,CD74_CXCR4,0.0159266652318521,0,214,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,Erythroid,MIF,CD74_CXCR4,0.0158458021006933,0.12,33,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,Erythroid,MIF,CD74_CXCR4,0.00279023546883303,0.68,30,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Erythroid,MIF,CD74_CXCR4,0.00410388136079563,0.99,1089,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.0288793078317454,0,49,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.02380713299047,0,214,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.0236872221010135,0,33,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,T_NK,MIF,CD74_CXCR4,0.00419856769350285,0.68,30,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.030358657722557,0,49,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.0250333571120486,0,214,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.0249074276070689,0,33,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,B_Plasma,MIF,CD74_CXCR4,0.00441939388762784,0.68,30,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.0520228188714872,0,49,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.0430661274090634,0,214,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.0428534718195389,0,33,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,LMPP_GMP,MIF,CD74_CD44,0.00772048994945238,0.43,30,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.0113289350573665,0.1,1089,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.0771978382758873,0,49,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.0642003381983735,0,214,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CD44,0.0638902918518206,0,33,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,Mono_DC,MIF,CD74_CD44,0.0117217009203686,0.09,30,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.0171678984200502,0,1089,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CD44,0.0270559059428358,0,49,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CD44,0.0222966287637764,0,214,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CD44,0.0221841530319954,0,33,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,T_NK,MIF,CD74_CD44,0.00392717385338746,0.65,30,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CD44,0.00577299280605457,0.98,1089,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.0188039530444176,0,49,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.0154731532676965,0,214,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,B_Plasma,MIF,CD74_CD44,0.015394556694201,0,33,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Megakaryocyte,B_Plasma,MIF,CD74_CD44,0.0027097534687507,0.68,30,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13C,0.00262094971310741,0,49,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.00855037268571677,0,214,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,NAMPT,ITGA5_ITGB1,0.00295381971079052,0,49,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,HSC_MPP,NAMPT,ITGA5_ITGB1,0.00370257986537549,0,33,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,B_Plasma,MDK,SDC1,0.00207035733659511,0,33,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,HSC_MPP,MDK,NCL,0.00315989403049722,0,33,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,LMPP_GMP,MDK,NCL,0.0126398941599942,0,33,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,Mono_DC,MDK,NCL,0.0128071854494048,0,33,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,Erythroid,MDK,NCL,0.012324719756689,0,33,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,T_NK,MDK,NCL,0.00861486539097167,0,33,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,B_Plasma,MDK,NCL,0.00249635394669923,0,33,1089
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,PTPRC,0.00540315979108589,0,49,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,LMPP_GMP,LGALS9,PTPRC,0.00785643442527316,0,214,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,LMPP_GMP,LGALS9,PTPRC,0.00849209190561254,0,33,49
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,Mono_DC,LGALS9,PTPRC,0.00838478658952312,0,49,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.0121752799505589,0,214,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,Mono_DC,LGALS9,PTPRC,0.013155738111588,0,33,214
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,Erythroid,LGALS9,PTPRC,0.00524996296457833,0,49,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Erythroid,LGALS9,PTPRC,0.00763421333890644,0,214,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,Erythroid,LGALS9,PTPRC,0.00825204064292081,0,33,33
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,LMPP_GMP,T_NK,LGALS9,PTPRC,0.0154188907188719,0,49,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,PTPRC,0.022317709165934,0,214,1750
AML304_Niche_Immune,Chen2023,Diagnosis,cellchat,Erythroid,T_NK,LGALS9,PTPRC,0.0240950005940645,0,33,1750
