sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0344580531325231,0.04,15,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.0137772945378193,0.64,2090,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0109434563361121,0.87,829,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.0290988831111656,0.04,15,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.0884094833190972,0,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.0365751611855141,0,2090,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.0291908481782171,0,829,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.0599308548638657,0,15,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.0243475446896539,0,2090,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.0193822513830073,0.01,829,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CD44,0.0210834279686674,0.01,15,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CD44,0.00836024164348949,0,2090,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CD44,0.00663313766116389,0.77,829,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.0385850555822189,0,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.0154670634444257,0,2090,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.0122899896003605,0,829,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13B,0.00164534845235095,0,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.00413580050882737,0,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,RETN,CAP1,0.00893972694708833,0,15,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,RETN,CAP1,0.00216004809520029,0,15,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,RETN,CAP1,0.00124976687653877,0,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.0161914255426526,0.01,15,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,PTPRC,0.0270993321830929,0,15,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,LGALS9,PTPRC,0.0114479683416844,0.02,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,CD44,0.0103369086060189,0,15,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,CD44,0.0105888578923527,0,15,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,LGALS9,CD44,0.00340125907527471,0,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,P4HB,0.0122284681220109,0,15,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,P4HB,0.00271203349970142,0,15,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,LGALS9,P4HB,0.00226374967132878,0,15,829
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,PPIA,BSG,0.0283292011956719,0.26,15,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,PPIA,BSG,0.0236862908990963,0.41,2090,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,PPIA,BSG,0.0216661561086742,0.41,829,15
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,PPIA,BSG,0.0388629251829959,0,15,2090
NBM3_Niche_immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,PPIA,BSG,0.0325514637178758,0,2090,2090
