sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0128633918147413,0.5,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.0135108260546752,0.57,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0123719829514878,0.62,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.00741964083585829,0.82,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.0388439070049368,0.07,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.0407450063672784,0,2049,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.0373975885208739,0,747,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.027657554425829,0.09,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.0290277054998368,0,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.0266162158229917,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CD44,0.00741497324965424,0.82,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.016921700874824,0.18,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.0177697190770923,0,2049,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.0162778125267193,0,747,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,FLT3LG,FLT3,0.00322045792773008,0,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.0173256996935669,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,PTPRC,0.0244796504002708,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,LGALS9,PTPRC,0.0137278838921125,0,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,CD44,0.0103294345402827,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,CD44,0.0110648302310199,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,LGALS9,CD44,0.00341264185911111,0,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,P4HB,0.00908072327497114,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,LGALS9,P4HB,0.0029142063691518,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,PPIA,BSG,0.0782006016514424,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,PPIA,BSG,0.0654959575195066,0.01,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,PPIA,BSG,0.0651424692398788,0.01,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,PPIA,BSG,0.037818107318291,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,PPIA,BSG,0.0314502555304907,0,2049,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,PPIA,BSG,0.0312743659704348,0,747,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,APP,CD74,0.208298429218957,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,APP,CD74,0.0166470600300493,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,APP,CD74,0.227004616324432,0,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,PTPRC,CD22,0.0284554906175952,0,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,B_Plasma,PTPRC,CD22,0.0400178920709837,0,2049,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,B_Plasma,PTPRC,CD22,0.0225996403979627,0,747,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,CD6,ALCAM,0.00287495639817693,0,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,CD99,CD99,0.0707645461990569,0.01,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,CD99,CD99,0.0538067674590645,0,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,CD99,CD99,0.0538067674590645,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,CD99,CD99,0.0407345548333924,0,2049,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,ICAM1,SPN,0.00228207658849386,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,HLA-A,CD8B,0.0255685882323418,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,HLA-A,CD8B,0.0389414358797277,0,2049,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,HLA-A,CD8B,0.0283953308939473,0,747,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,HLA-B,CD8B,0.0468498347604414,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,HLA-B,CD8B,0.0508409262396328,0,2049,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,HLA-B,CD8B,0.0472054083283086,0,747,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,HLA-C,CD8B,0.0365981986745102,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,HLA-C,CD8B,0.0450994877358456,0,2049,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,HLA-C,CD8B,0.0368800688290221,0,747,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,HLA-E,CD8B,0.0290407716177828,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,HLA-E,CD8B,0.0454581935797612,0,2049,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,HLA-E,CD8B,0.0395249165629043,0,747,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,HLA-F,CD8B,0.00521064132750661,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,T_NK,HLA-F,CD8B,0.0174530792593198,0,2049,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,T_NK,HLA-F,CD8B,0.0061554361506527,0,747,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DPA1,CD4,0.102425893826911,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,HLA-DPA1,CD4,0.00991975030379197,0,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DPA1,CD4,0.107338884057531,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DPB1,CD4,0.0905316402539692,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,HLA-DPB1,CD4,0.0124117763048132,0.01,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DPB1,CD4,0.105079560134151,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DQA1,CD4,0.0333700945853072,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DQA1,CD4,0.0786253321346594,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DMA,CD4,0.052437627573679,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DMA,CD4,0.0648844580669261,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DMB,CD4,0.0265545036933905,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DMB,CD4,0.0141604452339769,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DQB1,CD4,0.054252363176046,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DQB1,CD4,0.0744600483221905,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DRA,CD4,0.109530163786526,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DRA,CD4,0.127138105184097,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,HLA-DRB1,CD4,0.111768168626092,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,HLA-DRB1,CD4,0.131713942746482,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,MPZL1,MPZL1,0.0021260424960609,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,PECAM1,PECAM1,0.0282590041149768,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,SELPLG,SELL,0.00965184998561437,0.01,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,SELPLG,SELL,0.010620325002353,0.01,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,SELPLG,SELL,0.00398196767316984,0.01,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,B_Plasma,SEMA4D,CD72,0.00417216226502222,0,21,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,B_Plasma,SEMA4D,CD72,0.00631769504099601,0,2049,747
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,CD55,ADGRE5,0.00408475423502353,0.06,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,T_NK,Mono_DC,CD55,ADGRE5,0.00474181030185827,0.04,2049,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,B_Plasma,Mono_DC,CD55,ADGRE5,0.00598092622129106,0,747,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,APP,SORL1,0.0162555311641815,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,T_NK,APP,SORL1,0.0238787211026672,0,21,2049
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,APP,TNFRSF21,0.0157382167455974,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,LAIR1,LILRB4,0.0290271385760863,0,21,21
NBM4_Niche_Immune,Chen2023,Diagnosis,cellchat,Mono_DC,Mono_DC,PECAM1,CD38,0.00799932764367635,0,21,21
