sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,IL1B,IL1R1_IL1RAP,0.0175113162451625,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,IL1B,IL1R2,0.0615659624448761,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,IL16,CD4,0.00133682641465707,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,Mono_DC,IL16,CD4,0.00193846721570577,0,580,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,Mono_DC,IL16,CD4,0.00641311835858046,0,18,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,TNF,TNFRSF1A,0.00521088956907603,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.0282747175905197,0,30,18
637C-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,T_NK,GZMA,F2R,0.0045570354823251,0,580,580
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,ANXA1,FPR2,0.0335663061902117,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,Mono_DC,ANXA1,FPR2,0.015120362753488,0,580,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,ANXA1,FPR1,0.167981437401569,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,Mono_DC,ANXA1,FPR1,0.0819315036545198,0,580,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,GRN,SORT1,0.010890934193563,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.0671217722175392,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,T_NK,LGALS9,PTPRC,0.0971628366935164,0,30,580
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,B_Plasma,LGALS9,PTPRC,0.0496681690231382,0,30,18
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,T_NK,LGALS9,HAVCR2,0.0129447146346272,0,30,580
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,LGALS9,CD44,0.0754827167759856,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,T_NK,LGALS9,CD44,0.0461137507132207,0,30,580
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,B_Plasma,LGALS9,CD44,0.0151205627945344,0,30,18
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,LGALS9,P4HB,0.0304536765566078,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,T_NK,LGALS9,P4HB,0.0416563223656976,0,30,580
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,B_Plasma,LGALS9,P4HB,0.00880260136918023,0,30,18
637C-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,Mono_DC,COL9A2,CD44,0.0199748036482573,0,18,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,T_NK,COL9A2,CD44,0.0119244077859908,0,18,580
637C-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,B_Plasma,COL9A2,CD44,0.00381800386240744,0.01,18,18
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,THBS1,CD36,0.0240183012480194,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,APP,CD74,0.0336876834902847,0,30,30
637C-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,Mono_DC,APP,CD74,0.040248415659634,0,18,30
