sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
A36-BLD,E-MTAB-11536,Healthy,cellchat,Megakaryocyte,Mono_DC,CCL5,CCR1,0.0237654443285178,0,18,570
A36-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,Mono_DC,CCL5,CCR1,0.00599206910577091,0,1678,570
A36-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,CCL3,CCR1,0.00549585383460677,0,570,570
A36-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,CCL3L1,CCR1,0.00220344962283645,0,570,570
A36-BLD,E-MTAB-11536,Healthy,cellchat,Megakaryocyte,Megakaryocyte,CCL5,CCR4,0.0390317720705508,0,18,18
A36-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,Megakaryocyte,CCL5,CCR4,0.00995768079878475,0,1678,18
A36-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.12423008046289,0,1678,1678
A36-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.111932876199134,0.96,151,1678
A36-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.123149999817899,0.14,570,151
A36-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.217480583653165,0,1678,151
A36-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.19804010435142,0,151,151
A36-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.17287689720337,0,1678,570
A36-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.156625479110832,0,151,570
A36-BLD,E-MTAB-11536,Healthy,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.137437482133825,0,1678,151
A36-BLD,E-MTAB-11536,Healthy,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.124018048837746,0,151,151
A36-BLD,E-MTAB-11536,Healthy,cellchat,Mono_DC,Mono_DC,IL16,CD4,0.00383679209271286,0.06,570,570
