sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
BM5-34p38n,GSE116256,Healthy,cellchat,LMPP_GMP,LMPP_GMP,CD99,CD99,0.0150048367216843,0,32,32
BM5-34p38n,GSE116256,Healthy,cellchat,T_NK,LMPP_GMP,CD99,CD99,0.0396004923447032,0,23,32
BM5-34p38n,GSE116256,Healthy,cellchat,LMPP_GMP,T_NK,CD99,CD99,0.0396004923447032,0,32,23
BM5-34p38n,GSE116256,Healthy,cellchat,T_NK,T_NK,CD99,CD99,0.100403300807378,0,23,23
BM5-34p38n,GSE116256,Healthy,cellchat,T_NK,T_NK,NEGR1,NEGR1,0.00157092821714034,0,23,23
BM5-34p38n,GSE116256,Healthy,cellchat,T_NK,T_NK,PECAM1,PECAM1,0.011518968049011,0,23,23
BM5-34p38n,GSE116256,Healthy,cellchat,HSC_MPP,LMPP_GMP,SELL,CD34,0.0897719616757486,0,809,32
BM5-34p38n,GSE116256,Healthy,cellchat,LMPP_GMP,LMPP_GMP,SELL,CD34,0.102325894173496,0,32,32
BM5-34p38n,GSE116256,Healthy,cellchat,Erythroid,LMPP_GMP,SELL,CD34,0.0345742555120075,0.01,45,32
BM5-34p38n,GSE116256,Healthy,cellchat,HSC_MPP,T_NK,SELL,CD34,0.0380904533926491,0,809,23
BM5-34p38n,GSE116256,Healthy,cellchat,LMPP_GMP,T_NK,SELL,CD34,0.0437646101644683,0,32,23
BM5-34p38n,GSE116256,Healthy,cellchat,Erythroid,T_NK,SELL,CD34,0.0141750682893288,0.4,45,23
