sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,CCL5,CCR1,0.0224686331290219,0,1207,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,CCL7,CCR1,0.00531277402788079,0,2029,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,LMPP_GMP,MIF,CD74_CXCR4,0.0858179324959359,0.14,20,1541
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.128196119625918,0,1320,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.131548758753444,0,1541,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0822589832445093,0,2029,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.167319900820467,0,264,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Mono_DC,MIF,CD74_CXCR4,0.208895633509861,0,20,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.102024783912561,0,1207,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0983438422078726,0,124,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,Erythroid,MIF,CD74_CXCR4,0.0992529003961822,0.08,1320,264
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Erythroid,MIF,CD74_CXCR4,0.101937110128279,0.07,1541,264
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,Erythroid,MIF,CD74_CXCR4,0.130869555808688,0,264,264
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Erythroid,MIF,CD74_CXCR4,0.165184831421119,0,20,264
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,T_NK,Erythroid,MIF,CD74_CXCR4,0.0784585803067092,0.45,1207,264
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,B_Plasma,Erythroid,MIF,CD74_CXCR4,0.0755563411578594,0.73,124,264
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,Megakaryocyte,MIF,CD74_CXCR4,0.0961699450117777,0.25,1320,20
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Megakaryocyte,MIF,CD74_CXCR4,0.0987799222243182,0.19,1541,20
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Mono_DC,Megakaryocyte,MIF,CD74_CXCR4,0.0609071444258832,0.83,2029,20
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,Megakaryocyte,MIF,CD74_CXCR4,0.12694293908684,0.02,264,20
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Megakaryocyte,MIF,CD74_CXCR4,0.160418654059696,0,20,20
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,T_NK,Megakaryocyte,MIF,CD74_CXCR4,0.0759670558479565,0.53,1207,20
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,B_Plasma,Megakaryocyte,MIF,CD74_CXCR4,0.0731496642840305,0.58,124,20
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.124798646144976,0,1320,1207
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.128075486256178,0,1541,1207
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.0799672723537748,0.02,2029,1207
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.163079518552894,0,264,1207
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,T_NK,MIF,CD74_CXCR4,0.203859557655416,0,20,1207
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.0992419515199973,0,1207,1207
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0956507167484103,0,124,1207
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.23932468935669,0,1320,124
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.244767642329746,0,1541,124
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.160916468763983,0,2029,124
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.300666889811813,0,264,124
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,B_Plasma,MIF,CD74_CXCR4,0.361011334006945,0,20,124
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.195555313935726,0,1207,124
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.189210924797103,0,124,124
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.174333489205735,0,1320,1320
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.178645481364899,0,1541,1320
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.223921236412548,0,264,1320
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,HSC_MPP,MIF,CD74_CD44,0.274917816088752,0,20,1320
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.135406161156008,0.98,124,1320
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.179669688544015,0,1320,1541
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.184084240433176,0,1541,1541
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.230351814207104,0,264,1541
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Megakaryocyte,LMPP_GMP,MIF,CD74_CD44,0.282280230469515,0,20,1541
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.139752507236427,0.97,124,1541
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.193264928726525,0,1320,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.197932922097232,0,1541,2029
GSM5613744_2019-07-01-count-1,GSE185381,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CD44,0.246629086105745,0,264,2029
