sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.0428420258346018,0.19,29,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0456345726400375,0.05,63,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0356073322059107,0.96,1260,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.0490840245656502,0,172,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Mono_DC,MIF,CD74_CXCR4,0.0603945359052078,0,11,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.0353605963590109,0.7,203,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0372188139183466,0.51,14,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0547340726474299,0.01,29,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.0582545944507223,0,63,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.0455868250210329,0,1260,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.0625954089256293,0,172,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,T_NK,MIF,CD74_CXCR4,0.0767680197526904,0,11,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.0452741840952933,0,203,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0476276439643056,0.11,14,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.16008184406317,0,29,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.169165741835553,0,63,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.135859126113901,0,1260,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.180189755023104,0,172,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,B_Plasma,MIF,CD74_CXCR4,0.214884231288416,0,11,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.135014965225893,0,203,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.141342741824358,0,14,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.0777237778261805,0.06,29,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.0825938044377221,0.02,63,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.0649986431089262,0.14,1260,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.0885776600504033,0.02,172,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,HSC_MPP,MIF,CD74_CD44,0.107955582962137,0.01,11,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0645618787708822,0.14,203,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.0678467086405195,0.14,14,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.0698104387147717,0.05,29,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.0742245349580943,0.03,63,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.0582989989495214,0.06,1260,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.0796546903017457,0.02,172,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,LMPP_GMP,MIF,CD74_CD44,0.0972889269317674,0.01,11,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0579044654736025,0.08,203,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.0608726161574805,0.2,14,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.0592121583408763,0.15,29,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.0630015155293019,0.01,63,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.0493556014861564,0.17,1260,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CD44,0.0676706279240633,0,172,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Mono_DC,MIF,CD74_CD44,0.0828907391543079,0,11,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.049018441241669,0.31,203,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.0515560260295174,0.46,14,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Erythroid,MIF,CD74_CD44,0.0271405900989285,0.98,29,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Erythroid,MIF,CD74_CD44,0.0289406246261265,0.99,63,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Erythroid,MIF,CD74_CD44,0.0385190547901067,0.82,11,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Erythroid,MIF,CD74_CD44,0.0235276054789046,0.95,14,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Megakaryocyte,MIF,CD74_CD44,0.00782118508858496,0.9,29,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Megakaryocyte,MIF,CD74_CD44,0.00835090506054196,0.9,63,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Megakaryocyte,MIF,CD74_CD44,0.00646051153906342,0.9,1260,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,Megakaryocyte,MIF,CD74_CD44,0.00900874060465314,0.9,172,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Megakaryocyte,MIF,CD74_CD44,0.011193340988514,0.89,11,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,Megakaryocyte,MIF,CD74_CD44,0.00641440102004871,0.9,203,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Megakaryocyte,MIF,CD74_CD44,0.00676214430744476,0.9,14,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CD44,0.0314067017649392,0.98,29,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CD44,0.0334799388427655,0.98,63,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,T_NK,MIF,CD74_CD44,0.0444919028405741,0.69,11,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CD44,0.0272417101837864,0.93,14,203
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CD44,0.123185624313162,0.01,29,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.130501137725685,0,63,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.103855514941315,0,1260,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,B_Plasma,MIF,CD74_CD44,0.139428338533208,0,172,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,B_Plasma,MIF,CD74_CD44,0.167881642053298,0,11,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.103186463463686,0,203,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.108209139063251,0,14,14
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,NAMPT,ITGA5_ITGB1,0.00634163467015171,0.85,29,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,NAMPT,ITGA5_ITGB1,0.0339983425793515,0,1260,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Mono_DC,NAMPT,ITGA5_ITGB1,0.00269086799910553,0.99,11,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,NAMPT,ITGA5_ITGB1,0.00776691019124593,0.75,14,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,LMPP_GMP,GZMA,F2R,0.0135444362803981,0,203,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,Erythroid,GZMA,F2R,0.0142939228000246,0,203,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,Megakaryocyte,GZMA,F2R,0.0220518786311979,0,203,11
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,PPIA,BSG,0.0195337789967421,0.2,29,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,PPIA,BSG,0.0194319877920385,0.19,63,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,HSC_MPP,PPIA,BSG,0.0153011755740038,0.44,1260,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,HSC_MPP,PPIA,BSG,0.0209779327338306,0.08,172,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,HSC_MPP,PPIA,BSG,0.0366815844443355,0,11,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,HSC_MPP,PPIA,BSG,0.0177272763750111,0.27,203,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,HSC_MPP,PPIA,BSG,0.0223669165044239,0.15,14,29
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,PPIA,BSG,0.0473872640381991,0,29,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,PPIA,BSG,0.0471473069057273,0,63,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,LMPP_GMP,PPIA,BSG,0.0373492388067191,0,1260,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,LMPP_GMP,PPIA,BSG,0.0507839966753069,0,172,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,LMPP_GMP,PPIA,BSG,0.0868211776815976,0,11,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,LMPP_GMP,PPIA,BSG,0.0431181259288181,0,203,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,LMPP_GMP,PPIA,BSG,0.0540375607355428,0,14,63
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,PPIA,BSG,0.0164663561580051,0.4,29,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,PPIA,BSG,0.0163802823546795,0.28,63,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,Mono_DC,PPIA,BSG,0.0176878230785471,0.07,172,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Mono_DC,PPIA,BSG,0.0310065686296488,0,11,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,PPIA,BSG,0.0149392093830339,0.62,203,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,PPIA,BSG,0.0188631604932977,0.23,14,1260
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Erythroid,PPIA,BSG,0.0457398496099434,0,29,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Erythroid,PPIA,BSG,0.0455078360528887,0,63,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Erythroid,PPIA,BSG,0.0360375938480786,0,1260,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Erythroid,Erythroid,PPIA,BSG,0.0490245722606926,0,172,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,Megakaryocyte,Erythroid,PPIA,BSG,0.0839236219412669,0,11,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,T_NK,Erythroid,PPIA,BSG,0.041612644529884,0,203,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Erythroid,PPIA,BSG,0.0521716112128404,0,14,172
GSM5613766_2020-03-18-AML0048-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Megakaryocyte,PPIA,BSG,0.049241005985515,0.06,29,11
