sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.163496591765643,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.152376932329581,0.02,534,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.134175389789755,0.44,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.255422628270323,0,314,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.239843527654895,0,534,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.213829735901187,0,74,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.206705887427392,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.193326674742469,0,534,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.171221743281277,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.126092551958689,0.52,314,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.117160500730087,0.75,534,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.102656120811156,0.94,74,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,IL16,CD4,0.0063527621454971,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.0250351684347149,0,314,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.0461869800472391,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,T_NK,LGALS9,PTPRC,0.0553687120323532,0,314,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,B_Plasma,LGALS9,PTPRC,0.0357498612183531,0,314,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,LGALS9,CD44,0.0375385814267609,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,T_NK,LGALS9,CD44,0.010794825016469,0,314,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,B_Plasma,LGALS9,CD44,0.00975280594646214,0,314,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,LGALS9,P4HB,0.00689222196593027,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,PPIA,BSG,0.0354923136643513,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,Mono_DC,PPIA,BSG,0.0277859062222176,0.01,534,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,PPIA,BSG,0.0263619763371512,0.01,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,FCER2,ITGAX_ITGB2,0.0189828736991001,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,B_Plasma,PTPRC,CD22,0.0515063593311449,0,314,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,B_Plasma,PTPRC,CD22,0.0616771766096385,0,534,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,B_Plasma,PTPRC,CD22,0.0399174981908435,0,74,74
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,CD99,PILRA,0.00619127245096305,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,Mono_DC,CD99,PILRA,0.0111386713499326,0,534,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,T_NK,CD99,CD99,0.0169342124164956,0,534,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,T_NK,CLEC2D,KLRB1,0.0155887411423999,0,534,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,T_NK,CLEC2B,KLRB1,0.0126377498402323,0,314,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,T_NK,CLEC2B,KLRB1,0.01849032259362,0,534,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,T_NK,CD69,KLRB1,0.0126709659374764,0,534,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,ICAM2,ITGAL_ITGB2,0.0100899512843503,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,T_NK,ICAM2,ITGAL_ITGB2,0.00745879308090569,0,314,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,Mono_DC,HLA-F,LILRB1,0.00806255421659658,0,534,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,T_NK,HLA-E,KLRK1,0.0562819454677049,0,314,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,T_NK,T_NK,HLA-E,KLRK1,0.0708568004707906,0,534,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,T_NK,HLA-E,KLRK1,0.0577039234358271,0,74,534
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,HLA-DPA1,CD4,0.0504977286811929,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,HLA-DPA1,CD4,0.0493886195824407,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,HLA-DPB1,CD4,0.0379668342564606,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,HLA-DPB1,CD4,0.0490105940683016,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,HLA-DQA1,CD4,0.0102935726527848,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,HLA-DQA1,CD4,0.0289798459900842,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,HLA-DMA,CD4,0.0186926655443997,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,HLA-DMA,CD4,0.024896063349028,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,HLA-DMB,CD4,0.00683038765128284,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,HLA-DMB,CD4,0.00920543112544238,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,HLA-DOB,CD4,0.00419488110103241,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,HLA-DQB1,CD4,0.0233538140738925,0,314,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,B_Plasma,Mono_DC,HLA-DQB1,CD4,0.0298018013653899,0,74,314
GSM5613774_2020-08-26-Control4003-c1,GSE185381,Healthy,cellchat,Mono_DC,Mono_DC,HLA-DRA,CD4,0.059149293963984,0,314,314
