sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,TGFB1,TGFbR1_R2,0.00113400779787044,0.03,42,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,TGFB1,TGFbR1_R2,0.00351266830738104,0.03,42,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,HSC_MPP,TGFB1,TGFbR1_R2,0.0065088156751448,0.03,288,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,HSC_MPP,TGFB1,TGFbR1_R2,0.0116158543316609,0.02,1806,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,B_Plasma,HSC_MPP,TGFB1,TGFbR1_R2,0.00567247524546848,0.03,134,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,TGFB1,TGFbR1_R2,0.00140916369108116,0,42,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,TGFB1,TGFbR1_R2,0.004362462200957,0,42,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,TGFB1,TGFbR1_R2,0.00807756981657346,0,288,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,TGFB1,TGFbR1_R2,0.0143976682833314,0,1806,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,TGFB1,TGFbR1_R2,0.00704108329795732,0,134,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,CCL5,CCR1,0.0262003121408494,0,1806,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.114570007145413,0.96,42,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.139097294138856,0.33,42,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.126668789937873,0.9,288,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.129562436506016,0.71,1806,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.112600250238079,0.98,42,1806
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.136770986748625,0.42,42,1806
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.124520276353555,0.98,288,1806
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.200834532197969,0,42,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.238847732519127,0,42,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.219781784299017,0,288,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.22425632206965,0,1806,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.146649971252809,0.13,134,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.0872280957719058,0.95,42,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.106606747583066,0.64,42,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.0967550416265282,0.85,288,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0990428307356073,0.85,1806,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.0918033959337361,0.91,42,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.11207369556497,0.47,42,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.101774332808386,0.81,288,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.104167116844654,0.68,1806,42
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.171398034497056,0,42,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.205270714103778,0,42,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.188222246863782,0,288,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.192212553694564,0,1806,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.123923833391586,0.03,134,288
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CD44,0.104999536096889,0.87,42,1806
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CD44,0.139168574064372,0,42,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.167962993083555,0,42,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.153414921966568,0,288,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.15680985618383,0,1806,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.0995488642992307,0.97,134,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,TNFSF13,TNFRSF13B,0.00252237311213423,0,288,134
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13B,0.00170149673772925,0,42,134
