sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.0842945620992311,0.65,156,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.084502980024201,0.77,294,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.0907517374039782,0.32,22,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0784559819647051,0.99,500,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0830770983479132,0.75,156,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.0832827798724663,0.83,294,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.0894501229918801,0.37,22,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0773157247149027,0.99,500,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.192720391448367,0,156,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.193140347884581,0,294,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.171328755752644,0,771,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.205618245788734,0,22,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.179278949796632,0,1645,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.180855055851235,0,500,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.189014157825202,0,156,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.189427933106757,0,294,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.167948322138122,0,771,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.201725952927466,0.02,22,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.175774926609595,0,1645,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.177326883358124,0,500,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.195581772748331,0,156,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.196006450506863,0,294,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.17394096228254,0,771,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.208621637544154,0.02,22,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.181985750814095,0,1645,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.183580330499426,0,500,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.150012284274884,0.27,156,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.150356509056215,0.21,294,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,Mono_DC,MIF,CD74_CD44,0.16062058148524,0.15,22,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.139036535547506,0.99,1645,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.140319343003904,0.9,500,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,Erythroid,MIF,CD74_CD44,0.153163995908582,0.32,156,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,Erythroid,MIF,CD74_CD44,0.153514146582482,0.31,294,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,Erythroid,MIF,CD74_CD44,0.135426485162371,0.81,771,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,Erythroid,MIF,CD74_CD44,0.163952179917342,0.25,22,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,T_NK,Erythroid,MIF,CD74_CD44,0.141996172895272,0.66,1645,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,Erythroid,MIF,CD74_CD44,0.143301742125189,0.61,500,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,T_NK,MIF,CD74_CD44,0.139544152152058,0.73,156,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,T_NK,MIF,CD74_CD44,0.139868308972946,0.84,294,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,T_NK,MIF,CD74_CD44,0.149542421568523,0.37,22,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,T_NK,MIF,CD74_CD44,0.130423815267539,0.99,500,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CD44,0.110287436691169,0.94,156,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,B_Plasma,MIF,CD74_CD44,0.118478111465059,0.71,22,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,Mono_DC,IL16,CD4,0.000798797907303559,0,500,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,B_Plasma,Erythroid,IL16,CD4,0.000915438812565369,0,500,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.0240781244465729,0,771,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,Mono_DC,RETN,TLR4,0.00750740446342853,0,771,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,HSC_MPP,RETN,CAP1,0.00890394071347548,0,771,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,LMPP_GMP,RETN,CAP1,0.0106478555352695,0,771,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,Mono_DC,RETN,CAP1,0.0357192144973273,0,771,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,Erythroid,RETN,CAP1,0.00965716614031933,0,771,22
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,T_NK,RETN,CAP1,0.0122481747185444,0,771,1645
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,B_Plasma,RETN,CAP1,0.0107778651535656,0,771,500
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,Mono_DC,ANXA1,FPR1,0.0155931768593901,0,294,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,Mono_DC,ANXA1,FPR1,0.075723606526509,0,771,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Erythroid,Mono_DC,ANXA1,FPR1,0.0171744782589092,0,22,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,HSC_MPP,LGALS9,PTPRC,0.0192690502448774,0.15,156,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,HSC_MPP,LGALS9,PTPRC,0.0278154506670804,0.05,294,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,HSC_MPP,LGALS9,PTPRC,0.0283829601463653,0,771,156
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,LMPP_GMP,LGALS9,PTPRC,0.016863989635092,0.15,156,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,PTPRC,0.0243701805354671,0.05,294,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,LMPP_GMP,LGALS9,PTPRC,0.0248691954421561,0,771,294
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,Mono_DC,LGALS9,PTPRC,0.0335928145584613,0.11,156,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,LMPP_GMP,Mono_DC,LGALS9,PTPRC,0.0481801299313216,0,294,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.0491421308094563,0,771,771
GSM5613781_2020-10-06-count2,GSE185381,Unknown,cellchat,HSC_MPP,Erythroid,LGALS9,PTPRC,0.0137871007479053,0.15,156,22
