sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CXCR4,0.248330756665332,0,187,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CXCR4,0.250082090747828,0,252,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CXCR4,0.170965623493416,0.08,3480,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,T_NK,HSC_MPP,MIF,CD74_CXCR4,0.174935765567997,0.06,228,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.247114951327337,0,187,252
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.248860549814123,0,252,252
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CXCR4,0.170042904845418,0.14,3480,252
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CXCR4,0.173996116774915,0.06,228,252
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.213588091048347,0,187,3480
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.215164541816207,0,252,3480
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.148433706603493,0.98,228,3480
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.25794370529422,0,187,228
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.259739407544284,0,252,228
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.178294112643841,0,3480,228
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.182396994155596,0.01,228,228
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.149776517974539,0.85,139,228
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.31189003461254,0,187,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.313902424588886,0,252,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.220533127708267,0,3480,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.225341450863426,0,228,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.1867953490677,0.01,139,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.22805052631941,0,187,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.229702542533797,0,252,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.228558282983301,0,187,252
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.23021288049575,0,252,252
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.256028610737759,0,187,3480
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.257815612892048,0,252,3480
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.180906053192766,0.61,228,3480
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CD44,0.201453518936216,0,187,228
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CD44,0.202963521965213,0,252,228
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CD44,0.202426139057405,0,187,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.203941570519649,0,252,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,TNFSF13B,TNFRSF13C,0.00752782621033472,0,187,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13C,0.012239820338076,0,252,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.0101712124889195,0,3480,139
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,NAMPT,ITGA5_ITGB1,0.00100072266288031,0,187,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,NAMPT,ITGA5_ITGB1,0.00126045207767366,0,252,187
GSM5613786_2021-03-09-AMLMS3730,GSE185381,Diagnosis,cellchat,Mono_DC,HSC_MPP,NAMPT,ITGA5_ITGB1,0.0127043731449273,0,3480,187
