sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,CCL5,CCR1,0.00169708102308893,0,190,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,CCL5,CCR1,0.00229977844292338,0,302,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,CCL5,CCR1,0.0357163832577912,0,423,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.132568187547949,0,190,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.140457584661829,0,302,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0766718718512672,0.12,103,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.119602097639753,0,272,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,Megakaryocyte,Mono_DC,MIF,CD74_CXCR4,0.115316909995098,0,31,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.0911954013712137,0.02,423,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0785236100791873,0.11,135,103
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0965418920138249,0,190,423
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.102540738321734,0,302,423
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.054874824547078,0.93,103,423
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.0867470462381778,0,272,423
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,Megakaryocyte,T_NK,MIF,CD74_CXCR4,0.0835273304633313,0,31,423
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.0655626395598626,0.05,423,423
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0562321925826992,0.89,135,423
GSM5613790_2021-03-09-Z-1-3,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.216823616637547,0,190,135
