sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CXCR4,0.172127566979011,0.06,16,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CXCR4,0.177379448568649,0,193,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CXCR4,0.0957594792496542,0.94,2334,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CXCR4,0.118512468144223,0.61,15,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,T_NK,HSC_MPP,MIF,CD74_CXCR4,0.0454600369311715,0.97,27,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CXCR4,0.0665066675082241,0.85,12,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.123331465717219,0.56,16,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.127323480347962,0.94,193,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.0833847115860456,0.73,15,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CXCR4,0.0459894897525783,0.95,12,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.234862760444458,0,16,2334
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.241470479792026,0,193,2334
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.165615795712964,0.17,15,2334
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,T_NK,Mono_DC,MIF,CD74_CXCR4,0.0656921504720514,0.83,27,2334
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0951717253179528,0.75,12,2334
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.255938412343208,0,16,27
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.262935317928887,0,193,27
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,T_NK,MIF,CD74_CXCR4,0.149081967765724,0.2,2334,27
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.181955221999872,0.1,15,27
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.0730361769725126,0.82,27,27
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.105439483673189,0.65,12,27
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.294802262985606,0,16,12
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.302429788690774,0,193,12
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.175548065074432,0.01,2334,12
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.212797772553442,0,15,12
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.0873885395569164,0.79,27,12
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.125298717116295,0.53,12,12
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.18952946208355,0.05,16,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.195187118755605,0,193,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.10643324488246,0.95,2334,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.131353968469077,0.52,15,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0508424493953189,0.97,27,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.0741873038601706,0.84,12,16
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.222694776517647,0,16,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.229062644639946,0,193,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.156302543255628,0.22,15,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0615832833688509,0.87,27,193
GSM6085179_AML02M5_P,GSE201966,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.089395413142555,0.81,12,193
