sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,Mono_DC,IL16,CD4,0.00155996232088222,0,15,241
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,HSC_MPP,NAMPT,ITGA5_ITGB1,0.00972278580322329,0.11,15,15
PT30A,GSE239721,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,NAMPT,ITGA5_ITGB1,0.00468355613155823,0.44,260,15
PT30A,GSE239721,Diagnosis,cellchat,Mono_DC,HSC_MPP,NAMPT,ITGA5_ITGB1,0.00508247870333434,0.37,241,15
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,NAMPT,ITGA5_ITGB1,0.0112016664113757,0.02,15,260
PT30A,GSE239721,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,NAMPT,ITGA5_ITGB1,0.00540012642444677,0.84,260,260
PT30A,GSE239721,Diagnosis,cellchat,Mono_DC,LMPP_GMP,NAMPT,ITGA5_ITGB1,0.00585972364952642,0.59,241,260
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,Mono_DC,NAMPT,ITGA5_ITGB1,0.0126162255010311,0,15,241
PT30A,GSE239721,Diagnosis,cellchat,LMPP_GMP,Mono_DC,NAMPT,ITGA5_ITGB1,0.00608657017985105,0.36,260,241
PT30A,GSE239721,Diagnosis,cellchat,Mono_DC,Mono_DC,NAMPT,ITGA5_ITGB1,0.00660420174782878,0.13,241,241
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MDK,ITGA4_ITGB1,0.00123361392572679,0.02,15,15
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MDK,ITGA4_ITGB1,0.00118675899756158,0.03,15,260
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,Mono_DC,MDK,ITGA4_ITGB1,0.00062367015379598,0.05,15,241
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MDK,NCL,0.00640181406304933,0.04,15,15
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MDK,NCL,0.00633709201213412,0.04,15,260
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,Mono_DC,MDK,NCL,0.00529261963011858,0.04,15,241
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,HSC_MPP,LGALS9,PTPRC,0.0848880371163145,0,15,15
PT30A,GSE239721,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,LGALS9,PTPRC,0.0617484765171641,0,260,15
PT30A,GSE239721,Diagnosis,cellchat,Mono_DC,HSC_MPP,LGALS9,PTPRC,0.0575929252389893,0,241,15
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,LGALS9,PTPRC,0.0441112685050289,0.08,15,260
PT30A,GSE239721,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,LGALS9,PTPRC,0.0317019496890849,0.76,260,260
PT30A,GSE239721,Diagnosis,cellchat,Mono_DC,LMPP_GMP,LGALS9,PTPRC,0.0295048832613811,0.97,241,260
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,Mono_DC,LGALS9,PTPRC,0.0452343272937688,0.05,15,241
PT30A,GSE239721,Diagnosis,cellchat,LMPP_GMP,Mono_DC,LGALS9,PTPRC,0.0325198195362592,0.45,260,241
PT30A,GSE239721,Diagnosis,cellchat,Mono_DC,Mono_DC,LGALS9,PTPRC,0.030267843394869,0.83,241,241
PT30A,GSE239721,Diagnosis,cellchat,HSC_MPP,HSC_MPP,LGALS9,CD44,0.114349379438183,0.04,15,15
PT30A,GSE239721,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,LGALS9,CD44,0.0839154007425311,0.15,260,15
