sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CXCR4,0.111635035166635,0,11,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CXCR4,0.138813570274332,0,36,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CXCR4,0.0271263028316111,0.05,2889,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CXCR4,0.0847332850134115,0,14,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0588242971202747,0.04,11,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0742197689380448,0,36,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CXCR4,0.0136782240777806,0.57,2889,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CXCR4,0.0440182647717997,0.1,14,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.0703844764880997,0.01,11,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0885209124759219,0,36,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,Mono_DC,MIF,CD74_CXCR4,0.0165220225219306,0.98,2889,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0528320883587122,0.03,14,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.13175056995182,0,11,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.162928232409954,0,36,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.0325725278941773,0.04,2889,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.100550048095012,0,14,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.189702981745115,0,11,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.230946802713207,0,36,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.0493811706961561,0.63,2889,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.147103652156385,0.04,14,11
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.164387169587494,0.01,11,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.201495681648446,0,36,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.126584618748058,0.12,14,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.19474709831552,0.01,11,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.236767133624171,0,36,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.151226468056323,0.03,14,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CD44,0.181348885104282,0,11,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.221272403608393,0,36,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CD44,0.0468492537586529,0.77,2889,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.140300714341365,0.04,14,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,B_Plasma,Mono_DC,IL16,CD4,0.00251192217852571,0,14,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,LMPP_GMP,TNF,TNFRSF1A,0.00375804559267563,0,2889,36
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,Mono_DC,TNF,TNFRSF1B,0.00879220867045367,0,2889,2889
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,B_Plasma,TNF,TNFRSF1B,0.00625390868596939,0.65,2889,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,B_Plasma,TNFSF13,TNFRSF13B,0.0167731392477234,0,36,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,HSC_MPP,B_Plasma,TNFSF13B,TNFRSF13B,0.00206071264635476,0,11,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13B,0.00825884107567853,0,36,14
GSM8791443_MLL_30862,GSE289435,Diagnosis,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13B,0.0421374846575237,0,2889,14
