sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
ND_083017,Petti2019,Healthy,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CXCR4,0.0344879370803144,0.82,45,45
ND_083017,Petti2019,Healthy,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CXCR4,0.0507822108756979,0.79,90,45
ND_083017,Petti2019,Healthy,cellchat,Erythroid,HSC_MPP,MIF,CD74_CXCR4,0.044244285480869,0.84,48,45
ND_083017,Petti2019,Healthy,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0414108377421143,0.82,45,90
ND_083017,Petti2019,Healthy,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0607700583443581,0.25,90,90
ND_083017,Petti2019,Healthy,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.053018075636595,0.62,48,90
ND_083017,Petti2019,Healthy,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.0483928826449344,0.79,45,755
ND_083017,Petti2019,Healthy,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0707751576770575,0,90,755
ND_083017,Petti2019,Healthy,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.0618309182892435,0.14,48,755
ND_083017,Petti2019,Healthy,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0708809766347931,0.02,45,2778
ND_083017,Petti2019,Healthy,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.102543464811872,0,90,2778
ND_083017,Petti2019,Healthy,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.089973223608172,0,48,2778
ND_083017,Petti2019,Healthy,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.150207974691646,0,45,443
ND_083017,Petti2019,Healthy,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.209322511104063,0,90,443
ND_083017,Petti2019,Healthy,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.186381192969761,0,48,443
ND_083017,Petti2019,Healthy,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.116908276802133,0,2778,443
ND_083017,Petti2019,Healthy,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.110437850183289,0,443,443
ND_083017,Petti2019,Healthy,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.0909608754009794,0,45,45
ND_083017,Petti2019,Healthy,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.130334794914619,0,90,45
ND_083017,Petti2019,Healthy,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.114793528487182,0,48,45
ND_083017,Petti2019,Healthy,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.0697181283411875,0,2778,45
ND_083017,Petti2019,Healthy,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.0656652873501778,0,443,45
ND_083017,Petti2019,Healthy,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.0637257963073687,0.02,45,90
