sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0629185426667724,0.03,36,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0820261347554548,0.01,73,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CXCR4,0.0141555648220706,0.99,617,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,T_NK,LMPP_GMP,MIF,CD74_CXCR4,0.019531803129485,0.82,928,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CXCR4,0.0202594020641235,0.67,120,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.0621622754389362,0.07,36,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0810600654130614,0,73,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,Mono_DC,MIF,CD74_CXCR4,0.0200049421144612,0.93,120,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.0617803745928569,0.06,36,928
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.0805720384003393,0.01,73,928
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,T_NK,MIF,CD74_CXCR4,0.0198765503158014,0.96,120,928
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.202946610261518,0,36,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.253093611270858,0,73,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.051639874395506,0,617,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.070238234697043,0,928,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.0727146620516868,0.02,120,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.099194355576845,0,36,36
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.127815839404314,0,73,36
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,HSC_MPP,MIF,CD74_CD44,0.0230072496827885,0.08,617,36
Normal_sorted_170607,Petti2019,Healthy,cellchat,T_NK,HSC_MPP,MIF,CD74_CD44,0.031637442352199,0.04,928,36
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,HSC_MPP,MIF,CD74_CD44,0.0328009141378702,0.03,120,36
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.063259458542855,0,36,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.082461471987543,0,73,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,LMPP_GMP,MIF,CD74_CD44,0.0142362788997778,0.45,617,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,T_NK,LMPP_GMP,MIF,CD74_CD44,0.0196425613683486,0.08,928,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,LMPP_GMP,MIF,CD74_CD44,0.0203742005321643,0.14,120,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CD44,0.105163384338444,0,36,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CD44,0.135248579131843,0,73,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,Mono_DC,MIF,CD74_CD44,0.0245164872389462,0,617,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,T_NK,Mono_DC,MIF,CD74_CD44,0.0336932824388509,0,928,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,Mono_DC,MIF,CD74_CD44,0.0349296309661825,0.05,120,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,T_NK,MIF,CD74_CD44,0.03174838121287,0.13,36,928
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,T_NK,MIF,CD74_CD44,0.0418123468740208,0.05,73,928
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CD44,0.041091194702387,0.06,36,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CD44,0.0539517302322931,0,73,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,T_NK,B_Plasma,MIF,CD74_CD44,0.0125542913984642,0.71,928,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,B_Plasma,B_Plasma,MIF,CD74_CD44,0.0130254170872041,0.72,120,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,HSC_MPP,B_Plasma,TNFSF13B,TNFRSF13C,0.000771952442520805,0,36,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13C,0.0143224493096476,0,73,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,B_Plasma,TNFSF13B,TNFRSF13C,0.00765472723648724,0,617,120
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,HSC_MPP,RETN,CAP1,0.00401072408769922,0.06,73,36
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,HSC_MPP,RETN,CAP1,0.0121632462527632,0,617,36
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,LMPP_GMP,RETN,CAP1,0.00489924402546984,0.08,73,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,LMPP_GMP,RETN,CAP1,0.0148309499707676,0,617,73
Normal_sorted_170607,Petti2019,Healthy,cellchat,LMPP_GMP,Mono_DC,RETN,CAP1,0.0100469984956835,0.02,73,617
Normal_sorted_170607,Petti2019,Healthy,cellchat,Mono_DC,Mono_DC,RETN,CAP1,0.0300985493222706,0,617,617
