dataset,sample,sender_bin,receiver_bin,reach,C_geo
Chen2023,AML103,HSC_MPP,HSC_MPP,0.18574549426542877,1.6833778526613608
Chen2023,AML103,HSC_MPP,LMPP_GMP,0.16264806833030396,1.8161665023687503
Chen2023,AML103,HSC_MPP,Mono_DC,0.3824327174735224,0.9612025432181298
Chen2023,AML103,HSC_MPP,Erythroid,0.035745494265428716,3.331331052318602
Chen2023,AML103,HSC_MPP,Megakaryocyte,0.03574549426542872,3.331331052318602
Chen2023,AML103,HSC_MPP,T_NK,0.09944471511333469,2.3081534162371358
Chen2023,AML103,HSC_MPP,B_Plasma,0.09823801628655168,2.3203620073100626
Chen2023,AML103,LMPP_GMP,HSC_MPP,0.009284543965046412,4.679404200618296
Chen2023,AML103,LMPP_GMP,LMPP_GMP,0.32964741262083375,1.1097316423211154
Chen2023,AML103,LMPP_GMP,Mono_DC,0.454395752849487,0.7887867583409559
Chen2023,AML103,LMPP_GMP,Erythroid,0.009284543965046412,4.679404200618296
Chen2023,AML103,LMPP_GMP,Megakaryocyte,0.009284543965046412,4.679404200618296
Chen2023,AML103,LMPP_GMP,T_NK,0.09271430951696476,2.378232454601878
Chen2023,AML103,LMPP_GMP,B_Plasma,0.09538889311757394,2.349793131649825
Chen2023,AML103,Mono_DC,HSC_MPP,0.00928454396504641,4.679404200618296
Chen2023,AML103,Mono_DC,LMPP_GMP,0.17990852258199305,1.7153067651511358
Chen2023,AML103,Mono_DC,Mono_DC,0.600663407603074,0.5097205552407328
Chen2023,AML103,Mono_DC,Erythroid,0.00928454396504641,4.679404200618296
Chen2023,AML103,Mono_DC,Megakaryocyte,0.00928454396504641,4.679404200618296
Chen2023,AML103,Mono_DC,T_NK,0.09843844285253173,2.318323871823606
Chen2023,AML103,Mono_DC,B_Plasma,0.09313599506726059,2.3736945414155164
Chen2023,AML103,Erythroid,HSC_MPP,0.03574549426542871,3.3313310523186024
Chen2023,AML103,Erythroid,LMPP_GMP,0.16264806833030396,1.8161665023687503
Chen2023,AML103,Erythroid,Mono_DC,0.38243271747352253,0.9612025432181295
Chen2023,AML103,Erythroid,Erythroid,0.18574549426542875,1.6833778526613608
Chen2023,AML103,Erythroid,Megakaryocyte,0.035745494265428716,3.331331052318602
Chen2023,AML103,Erythroid,T_NK,0.09944471511333469,2.3081534162371358
Chen2023,AML103,Erythroid,B_Plasma,0.09823801628655168,2.3203620073100626
Chen2023,AML103,Megakaryocyte,HSC_MPP,0.03574549426542871,3.3313310523186024
Chen2023,AML103,Megakaryocyte,LMPP_GMP,0.16264806833030396,1.8161665023687503
Chen2023,AML103,Megakaryocyte,Mono_DC,0.3824327174735224,0.9612025432181298
Chen2023,AML103,Megakaryocyte,Erythroid,0.035745494265428716,3.331331052318602
Chen2023,AML103,Megakaryocyte,Megakaryocyte,0.18574549426542875,1.6833778526613608
Chen2023,AML103,Megakaryocyte,T_NK,0.09944471511333468,2.3081534162371358
Chen2023,AML103,Megakaryocyte,B_Plasma,0.0982380162865517,2.320362007310062
Chen2023,AML103,T_NK,HSC_MPP,0.009284543965046414,4.679404200618295
Chen2023,AML103,T_NK,LMPP_GMP,0.16894016832964626,1.778210660296126
Chen2023,AML103,T_NK,Mono_DC,0.4886313126203078,0.7161470358011619
Chen2023,AML103,T_NK,Erythroid,0.009284543965046414,4.679404200618295
Chen2023,AML103,T_NK,Megakaryocyte,0.009284543965046414,4.679404200618295
Chen2023,AML103,T_NK,T_NK,0.2338601842253949,1.4530318455109537
Chen2023,AML103,T_NK,B_Plasma,0.08071470292951072,2.516834527866183
Chen2023,AML103,B_Plasma,HSC_MPP,0.009284543965046412,4.679404200618296
Chen2023,AML103,B_Plasma,LMPP_GMP,0.17301437184382432,1.7543806136930729
Chen2023,AML103,B_Plasma,Mono_DC,0.45845728311204315,0.779888158229945
Chen2023,AML103,B_Plasma,Erythroid,0.009284543965046412,4.679404200618296
Chen2023,AML103,B_Plasma,Megakaryocyte,0.009284543965046412,4.679404200618296
Chen2023,AML103,B_Plasma,T_NK,0.09560939546903734,2.3474841847890167
