,1216_Dg,1216_MRD,1216_R,1886_Dg,1886_MRD,1886_R,3853_Dg,3853_R,3904_Dg,3904_MRD,3904_R,40389_Dg,40389_MRD,40389_R,4978_Dg,4978_MRD,4978_R,508084,5143_Dg,5143_R,548327,5750_Dg,5750_MRD,5750_R,6323_Dg,6323_MRD,6323_R,6323_R2,637C-BMA,640C-BMA,721214,782328,809653,A29-BMA,A35-BMA,A36-BMA,A37-BMA,AML001,AML003,AML0048,AML005,AML006,AML009,AML0114,AML012,AML0160,AML022,AML025,AML026,AML028,AML0361,AML038,AML043,AML048,AML051,AML052,AML055,AML056,AML0612,AML0693,AML073,AML1012-D0,AML103,AML1371,AML162,AML210A-D0,AML2123,AML24,AML2451,AML2910,AML304,AML3133,AML320,AML3266,AML328-D0,AML328-D29,AML329-D0,AML329-D20,AML3730,AML3762,AML3948,AML419A-D0,AML4340,AML4897,AML556-D0,AML556-D31,AML707B-D0,AML707B-D113,AML916-D0,AML921A-D0,BM3,BM4,BM5-34p,Control0004,Control0005,Control0058,Control0082,Control1,Control2,Control3,Control4,Control4003,Control5,GSM6085177_AML01M4_P,GSM6085178_AML01M4_RE,GSM6085180_AML02M5_RE,GSM6085181_AML03M5_P,GSM6085182_AML03M5_RE,GSM6284912_TS173_04_Sample_D,GSM6284913_TS173_05_Sample_E,GSM6284914_TS173_06_Sample_F,GSM8791432_MLL_14666,GSM8791433_MLL_16703,GSM8791434_MLL_17746,GSM8791435_MLL_17843,GSM8791436_MLL_17844,GSM8791437_MLL_28824,GSM8791438_MLL_28830,GSM8791439_MLL_28855,GSM8791441_MLL_29532,GSM8791442_MLL_29538,GSM8791444_MLL_30886,NBM1,NBM2,NBM3,NBM4,PAUMTZ,PAXMIJ,PT10A,PT15A,PT16A,PT17A,PT21A,PT22A,PT23A,PT26A,PT27A,PT28A
1216_Dg,0.0,0.12448901066408712,0.11802161997544708,0.11101201097387284,0.12370854855160447,0.17711937747912906,0.1403535032887151,0.09703278457215948,0.1260948026559761,0.16025157758169414,0.12888266625308387,0.15206843611110016,0.09334026195659959,0.12404923456233273,0.10987702204747762,0.08655749847759142,0.2742945531173735,0.13510082217708344,0.13825553214544464,0.1672847252141029,0.12095579274440921,0.13382355699017515,0.1565398553981853,0.1666156658924712,0.1468305073443882,0.10069335337320669,0.12546146688951007,0.11392401270039561,0.12477019230184513,0.07612031935040654,0.16490492261181885,0.11295182562924119,0.15066658456614232,0.08319384074601091,0.08975552534116774,0.2413983335421601,0.0676825619994301,0.10857781822823537,0.15911778595678203,0.18273545418531514,0.12934938548934738,0.17128399328694952,0.1054717228719234,0.18703568455014372,0.11853434635135324,0.12003503910771944,0.10123929409823429,0.145422608406173,0.15747769235716255,0.11984659320727145,0.20212069200743485,0.09914971157486081,0.12095874327411052,0.14132843178637838,0.12494078667594088,0.24044832038126732,0.22428417945506496,0.12580334863387818,0.1388499958701831,0.27921264989805994,0.13567569490232037,0.2606083883852012,0.11040600655995107,0.13693029955099162,0.18362107011047205,0.17475910906430328,0.11912424363074894,0.1906158930492909,0.14181814689686317,0.1474166141957822,0.12848911502659305,0.13185097619979463,0.22788900746013482,0.08276335999982812,0.17280917801641743,0.17510530148403547,0.19751590570383828,0.1916716265915827,0.11980912997267484,0.26153126699073187,0.153202391486036,0.11106916477059442,0.07189977171895601,0.09279187448888458,0.12802613640948401,0.2794543957490502,0.2362945716518056,0.1299552969865475,0.19737993994554626,0.20558039187284333,0.1600176395674586,0.14035387548978978,0.16955577311452222,0.14026852688029368,0.07920762652028024,0.1353093554656293,0.13827914578215592,0.13815521427055263,0.11700547531498198,0.10933577811008008,0.07012192138073288,0.13422516638258183,0.1100080641265685,0.16118071175008655,0.207708745904795,0.19158245699073123,0.08205842539549524,0.09840936856901393,0.2165391397722076,0.19006193027113943,0.1323905283371674,0.13430536095185544,0.2235083396141891,0.157986562390418,0.202520189785654,0.21900402404869906,0.13636984471665492,0.09528910576674761,0.19786096597653044,0.2143647254246725,0.31361513874841757,0.18836050433079168,0.2304779182240938,0.13671460835835475,0.21278191411360922,0.23495621406122652,0.15472144908944643,0.1045141963568778,0.2748520529913686,0.2738816486950359,0.24431586572530614,0.1742661747523377,0.11848173239861728,0.13800908304904083,0.1911353387896983,0.17362562315613292,0.2855787456964461,0.2204308552551946
1216_MRD,0.12448901066408712,0.0,0.0810652140156056,0.10360374353299741,0.06497444711260884,0.12083216082379357,0.12736002005711552,0.08104710069854153,0.1420347690604394,0.1073889349738457,0.11736527458731438,0.0808286332750105,0.08879510981666153,0.07379187516570711,0.10381970717876561,0.13589937907089802,0.21515640069676223,0.0899114580325766,0.09643850831452119,0.12549357143394016,0.09682457634566498,0.03926775791245173,0.10642190755771613,0.11969132913173153,0.10361902244513028,0.10389815881444385,0.05569358211639236,0.09360494465584224,0.21927668451658497,0.11392073852618759,0.13665679710139886,0.12118945898826416,0.09030517246978682,0.18136858511366238,0.18892022413150084,0.29172004226918036,0.17437917442871437,0.17368591168801975,0.08770978036789011,0.1799719334610795,0.06488533609729395,0.11907072038564757,0.0819604156478283,0.13549285407284886,0.1210056892809121,0.1357243133039079,0.12527081994901537,0.08008392396371462,0.177451486987022,0.18322790751190904,0.1265552147411545,0.1122106663399121,0.07512840987744042,0.19455378363918133,0.08501463711879509,0.2650714356989338,0.1875140538286997,0.21845203362373783,0.10079930144347027,0.20866333110837754,0.08084445329871029,0.17524912739359175,0.16443726593168684,0.2228857752801689,0.11081486455636753,0.19172210689662136,0.10095702187872443,0.16474148297109525,0.1194986702777426,0.14393207506439237,0.09457248797771625,0.09690445840037515,0.18769575808969804,0.15797441370332369,0.09885174736106328,0.11310573671129999,0.16899266800479212,0.19617105964202625,0.11147912173601683,0.20080584239782345,0.11326220675448143,0.09340014092916941,0.10237191887679173,0.15098160533233992,0.21482675234657483,0.263057856003715,0.16807315596346947,0.1858192713071225,0.15022897081062506,0.17969749402646118,0.1401902137902608,0.1086565915350429,0.17457004451845035,0.22238341958854319,0.11221962851364672,0.21798444344296225,0.22296610573140851,0.10774685437143122,0.09496617651650549,0.1714913926188494,0.10286925409165326,0.17695568206039777,0.1396227288038787,0.11520851078826168,0.13447501830750103,0.14252531360480858,0.1762198860121558,0.17870343043692138,0.18649036298563207,0.16317368469309784,0.09941533803634751,0.1396301709753857,0.20132786659857896,0.14697527255336962,0.17504194934871734,0.23306230529995553,0.1393657652851386,0.12561617801952035,0.1438652789832845,0.15549364659598275,0.28042701872517306,0.12703858001295382,0.15380965684341838,0.0630861229210971,0.15534099123711725,0.17379589081120023,0.10331983832720211,0.18648185472619325,0.20978251543709964,0.2095113589366605,0.18248368899036962,0.10372447877111617,0.04702545902803808,0.07208709570268472,0.10593914916166755,0.08771255465166121,0.21596083465193522,0.13477040015990405
1216_R,0.11802161997544708,0.0810652140156056,0.0,0.05435882679671558,0.0741602834783393,0.10031981112241152,0.14519946502060183,0.11932418359080733,0.09902223545646677,0.07372203661733787,0.05994846041007822,0.07481715779271055,0.06872295113076625,0.0450130007542544,0.06396339584888885,0.12225917324736268,0.2109528358223925,0.06072783727803586,0.12449890976780037,0.1548654785885034,0.0527887582287453,0.08441250618389096,0.06865861837536072,0.08660377789423986,0.12958257413629373,0.0858403840068023,0.09649508577511112,0.0657215479180737,0.19732333037069139,0.06908864071069562,0.09787739141044102,0.08673807206081716,0.06137451491931489,0.1569823431987658,0.16023588149800236,0.2600459688691161,0.1579440008230271,0.16619010305681461,0.07660386107418365,0.14463836046486023,0.05035495518870193,0.08490414703465936,0.11630799711805677,0.1207985136511642,0.12525661106132976,0.12053424057216888,0.12162261492454739,0.07258789650848771,0.19488956388119769,0.15929194434775606,0.15168049202321138,0.09801216208373932,0.05360078608792178,0.19898247106543973,0.07621815579579301,0.2492505707327227,0.15257414232932054,0.19706555159817996,0.09240850442063098,0.20548918705266495,0.062264027695620464,0.17347686223831404,0.1749790740730102,0.19667026135215504,0.10940889771847032,0.1946539122635417,0.06655562311706781,0.13892325382580945,0.07922948339244862,0.12126742248770996,0.12096540120690918,0.08924535082442615,0.15005190488819106,0.1562169920042856,0.0951689851245748,0.11921655464021567,0.17014039772480927,0.19659690920981587,0.09831787101406707,0.1789438268154381,0.07723791016816432,0.09865016461278481,0.0851322329754844,0.12441746072730464,0.17626635220300835,0.2544063535560966,0.1670971245043279,0.1899372589103422,0.16209464571061938,0.17006481943775645,0.11795205814415595,0.10391439893827599,0.14062344407646576,0.19809145890051538,0.07334002933912884,0.1968075703032402,0.19880040020161804,0.12420829435326199,0.09303253254930494,0.1438702233947683,0.08013570628756297,0.15832320637143174,0.10975982040324313,0.08393722448944385,0.12610799168845313,0.1267653278191113,0.1582917573737247,0.16992103234790817,0.15107650278600945,0.12259689581097952,0.056035735497317704,0.11395466435457305,0.16241554396325536,0.1503693585055723,0.14085694028461904,0.2584409635434673,0.09926534549624927,0.09597311449293033,0.11485313539164022,0.131424099981244,0.28503573640520596,0.09177184292779841,0.1643924949942262,0.07511749498042566,0.14821155045004264,0.16022499210303776,0.08764667287585809,0.17513844694204705,0.20875440383191848,0.20950889803111,0.17690662265642854,0.13992255905194043,0.08580746462620874,0.09098270632059817,0.14520188822986496,0.13113259709037026,0.21035057866498008,0.1716686948391356
1886_Dg,0.11101201097387284,0.10360374353299741,0.05435882679671558,0.0,0.09507013337415123,0.10818170207864906,0.16791396574953635,0.1401458057962228,0.08855299535682933,0.0780132473374938,0.05926256150667223,0.09222959851088304,0.07942491623734325,0.056973260845695886,0.058879983659704885,0.11195637170804329,0.24210191721743426,0.07874269675799202,0.1430151638266347,0.1711340823111614,0.06954579027625364,0.10244108759462416,0.07538236964189474,0.10690423343482583,0.14243286678984132,0.08318952949811523,0.10636390343658088,0.0652379981982363,0.18410648607777297,0.06761700276500072,0.10208871173186354,0.10615365433939235,0.08780268629685174,0.14101242696968813,0.1441107533103332,0.250490047600082,0.14066032826965866,0.1534808396845735,0.1077678532454573,0.12972526159717507,0.06054500823447319,0.10457327730137027,0.13129166582132307,0.13935761684420395,0.13767373481903325,0.11868823586582695,0.1309867367130825,0.08475059591618707,0.193234912433219,0.1415568884369918,0.17436330839305428,0.0807968536757521,0.06237982010552038,0.19176164367777823,0.08855776972233545,0.24051560177065587,0.1723483762883079,0.1839674700080637,0.0907910278251155,0.21581263190233288,0.08461328050479018,0.20878960872188446,0.17637808935094426,0.18432565435485707,0.1336024607442852,0.19411825531122776,0.06772212802702483,0.13621776663983998,0.07757378821275288,0.1332033207830469,0.1395596185215087,0.09363373057769493,0.17239479147275885,0.14890122730396663,0.1071705089742515,0.14014057413053232,0.16184826062877888,0.19497064519330662,0.11082345971407899,0.19988950336097822,0.08940349302470543,0.09478586121628028,0.08595812451811058,0.11149282599821957,0.15498464938878004,0.2479278256899225,0.19774675248593818,0.1781232330253166,0.17227153259296837,0.19600568253732326,0.1189015044572429,0.10234589277648574,0.14419387691509294,0.19012636190713605,0.07060635806524843,0.1876918366148477,0.18589183339607018,0.12922494551128752,0.09979325316701426,0.13068954599309363,0.07458603258856236,0.14572154565289064,0.1069489266144269,0.10284589647531517,0.15516620921979848,0.16229552411346898,0.14710890709771,0.1660770474381521,0.167668213650153,0.1326722432891738,0.06631474692511374,0.11641146409197316,0.17768537831550196,0.16156841875831957,0.1581530191748257,0.25758200834204176,0.09257945514996044,0.09037721817189605,0.13473235192780492,0.1499703121895527,0.2871897461394644,0.11581814604791121,0.18056834542725433,0.10657032349273109,0.1719694208937319,0.17917993140840555,0.11085902454813076,0.163666820666667,0.2432769832706172,0.2426986450977301,0.2082432438124011,0.16799217843647352,0.10255586812712827,0.10867496275833854,0.16869945200821893,0.1603872449952385,0.24712234599689933,0.19266010328688252
1886_MRD,0.12370854855160447,0.06497444711260884,0.0741602834783393,0.09507013337415123,0.0,0.10834241210826819,0.14769947323869204,0.11092475648607979,0.09138429728516215,0.06541280603496386,0.08529752568992935,0.05360944165174549,0.08613314634156582,0.05500957618911248,0.09648174229659129,0.13112968182264428,0.20664356509497644,0.07749703461017501,0.12326928375346947,0.1359988988064547,0.08192236418992492,0.07918126609292216,0.06766572390982442,0.06602835643081345,0.13971361608450628,0.09194119022741161,0.10587896477159395,0.09500795056313696,0.21637392832932711,0.11141036047085372,0.12757885097802688,0.11268029058624926,0.052709164633490145,0.1790502181465119,0.1869524481320875,0.2894860014996871,0.1785690139132462,0.15721628135442564,0.05579311746287647,0.16603501412080873,0.06011040180074226,0.09679201504549124,0.09322981620107153,0.10485070699460178,0.10091093327984248,0.11237344710943258,0.12086600924044656,0.05885722108344114,0.17406789072854675,0.16815449826964457,0.1355650647745592,0.08993098012441629,0.05857860226665803,0.17162720381329402,0.0586802580822432,0.2644271132067,0.1450236381912781,0.2156187769307588,0.07400047601632757,0.1867597874261654,0.04421858274031308,0.1669133283814062,0.15463182145381557,0.22014270582729642,0.09734138809574998,0.1814924972709758,0.0996771977819978,0.1537101785274086,0.09708026046647353,0.13053150767616012,0.10616820055394474,0.07708064057045284,0.14971857099698702,0.16166076433962503,0.07860950684605475,0.09847570967343759,0.16800787194946765,0.18249772630641783,0.11051629987125164,0.16013021761196825,0.09969918448483615,0.09101850659785073,0.09351069662192313,0.14173548602747763,0.21167255390904968,0.26070204157587723,0.16146822483145684,0.1644173645549318,0.1464626219822301,0.16417952100481753,0.10771356347885344,0.07003586477988996,0.1674405435022825,0.21942856053822687,0.10753822816565745,0.21477387718910718,0.2181206478713696,0.07806110749008055,0.07789916412394422,0.1745567996292123,0.1013608142533531,0.16802045214064407,0.1324414554705067,0.092353594255568,0.10412113522513375,0.14381589279424645,0.17241115743428925,0.17941933009357616,0.13914509799044733,0.11835629442882106,0.0815709061436043,0.1168736945009391,0.18706305265232706,0.17095339368264384,0.1406498922463436,0.23581084557742882,0.12447666985351978,0.1269142117295544,0.1432886115439524,0.1331895284167427,0.2618847179416793,0.11396719672517155,0.1265315168309366,0.0416847167776845,0.16404616833021127,0.16535002532300594,0.07595010392253142,0.18595786112677218,0.1949730703180604,0.19546874877600698,0.19629006249523712,0.10624508345221202,0.09090369783381816,0.10325250982947318,0.12073234533275494,0.09643458677640979,0.2018419767874289,0.13159359804130638
1886_R,0.17711937747912906,0.12083216082379357,0.10031981112241152,0.10818170207864906,0.10834241210826819,0.0,0.2038099602839065,0.17653204644565945,0.14472870229496512,0.12141382541245957,0.12174645099145284,0.10437376819979048,0.13180526562845404,0.08782975519517167,0.11839630427467597,0.18404765310090804,0.2641103283361007,0.11586244681783311,0.17978541374177648,0.20433177798274585,0.11529972988904903,0.11992761595726269,0.11418964625387505,0.12662586779605528,0.18689142720582727,0.13300064839556022,0.1378175434425608,0.10951991288388592,0.26528426734919547,0.14571722690201286,0.06436664810015089,0.15581160692335777,0.10894265489646686,0.22257047783457623,0.22717650319676616,0.20847394443665923,0.22188180029580903,0.2191703883908524,0.11877060841535529,0.08473167670889348,0.08853513910210639,0.05808520450825667,0.1608220782642934,0.07222950571322298,0.1791887576500097,0.17254025168561743,0.18279227290023256,0.10883527239388935,0.22926767991527866,0.21802490392217125,0.1947122608078391,0.1439635272412016,0.09034924611845666,0.24600453343927878,0.12019606147520022,0.1884699204100565,0.19923788675304407,0.2646632903250187,0.1226672030068934,0.13719958843211047,0.10878743664647907,0.2162807867824752,0.22535105441298164,0.26511686498532966,0.05535969875809369,0.2202561097000844,0.11896792153825178,0.10086708591167295,0.1318828473735551,0.17817239940680882,0.1496069972125352,0.12481622221561245,0.18601523475646584,0.2160097866467791,0.12385058958121002,0.11987832672208587,0.19313363298005068,0.22515218165520284,0.15814780124411384,0.11331504514391073,0.1336183244807078,0.13117444508944487,0.1447242147742386,0.18541354190588186,0.24062233084763499,0.179921267142376,0.22439974018850267,0.23916127653191166,0.18615095363722034,0.22015677550222076,0.14413333082957955,0.135951158457187,0.19120061458392354,0.26439826369619396,0.14377015305638102,0.26399312579407536,0.26719362527780155,0.1552815756321119,0.13846971584330756,0.21630857870877937,0.1475445203307121,0.21870354448878482,0.1793851707657637,0.1438304128091327,0.1666932056373467,0.19032057143145575,0.22194746654352332,0.23213404695188142,0.19724852761014278,0.1699037920818882,0.11283224099596253,0.16555153889412932,0.13970611557684287,0.21035615884932668,0.19880958764854822,0.2986983706631174,0.15620657093918497,0.1539059315789178,0.0652896829821631,0.1735390256874425,0.20743901963382544,0.0470358727894497,0.10002275885011613,0.1192260422631204,0.10776768726909401,0.09303344659416456,0.13422079201179538,0.23216932136545146,0.2595978206524678,0.2606395225586531,0.23225338507840246,0.187794155165152,0.1310190002739658,0.14626181741692595,0.18238712912662622,0.17687680884469667,0.25968498433650516,0.19806720935188118
3853_Dg,0.1403535032887151,0.12736002005711552,0.14519946502060183,0.16791396574953635,0.14769947323869204,0.2038099602839065,0.0,0.06366263904335315,0.15111806133978023,0.17559378248822421,0.1561443338403568,0.15466281242251073,0.11148089361095587,0.1404465583114794,0.13447348308079507,0.1567005471429239,0.1995816352733612,0.1239341026653035,0.04730951022057728,0.09914324336083388,0.14442918859453335,0.1223804665580922,0.17675655150727207,0.15817820320347664,0.07541790506682435,0.13739825377643414,0.10777804995098023,0.14618356243652256,0.22921446594089545,0.12861081402079633,0.20432133187207366,0.07844003194502606,0.1488249298348284,0.179791106054279,0.18642133943576578,0.3179622386782446,0.17688287246515186,0.20793978421027573,0.13481574727071474,0.23474040262998677,0.15564382657945208,0.20634815564298373,0.12612196356740943,0.19154501896656936,0.13035460266121576,0.10166045584628683,0.13655702410299733,0.159787732792879,0.23079977548400682,0.17064216906060134,0.14044944150740737,0.16967624431844264,0.16051491478139446,0.19633837279037392,0.17831365719191697,0.31842111801666206,0.2043763877328546,0.23100123397147876,0.14682669419708377,0.2886768677838207,0.1474814721176805,0.2066702680432538,0.18061126126271432,0.22770643117817432,0.17499586265156328,0.23834561132955032,0.15124696783221228,0.19014872429788787,0.16618668054728855,0.07481680610499188,0.10477317001359533,0.16530609730992551,0.1990482381661483,0.14443337676498333,0.1662004799398641,0.16583474423750358,0.21381912323019442,0.24838793868869452,0.08677233833403018,0.2456804421432609,0.15571922197963167,0.17587391459175222,0.12603299106429636,0.19300603334301944,0.1959912547894111,0.31990862827305167,0.1436343435680825,0.178022086369768,0.13979706905320097,0.14989052565977964,0.18571854675018534,0.174627415370036,0.15426359414699803,0.23604235086325864,0.1168403588445231,0.23553661696599354,0.22997516263843568,0.15951219599245708,0.16393012973719526,0.1867194530301823,0.12079727479952844,0.21221056426174767,0.13080916162223022,0.13249358249060308,0.14942810392472639,0.1307165878934388,0.1577914431597038,0.16176360789728586,0.18567284063100548,0.16781693353343924,0.13700294162374443,0.10374382476612352,0.21619933420974544,0.11587511217720205,0.15236560749882558,0.2593960023335228,0.16075714732309082,0.14629217578470494,0.20591140819886822,0.17957501463727887,0.3335512856761568,0.1975059839289511,0.205018262820615,0.14034488785957544,0.19225357894642847,0.2383015297608577,0.17199722838184656,0.1573628285702691,0.18991308739314505,0.18700638731938046,0.14980042079278316,0.1633528568040998,0.09871592429188379,0.12184642150398549,0.1919445962555571,0.16727296350631693,0.23245927996469298,0.15758776793815807
3853_R,0.09703278457215948,0.08104710069854153,0.11932418359080733,0.1401458057962228,0.11092475648607979,0.17653204644565945,0.06366263904335315,0.0,0.15249833007392927,0.1604470276080955,0.1459194637458415,0.1406620397584284,0.07672166375030279,0.11841271208908062,0.13201495718089187,0.14934358334130968,0.21318690906003285,0.11566114060501237,0.04407127892741432,0.09184450714834323,0.13756315742167632,0.10353235785890491,0.1566701884488442,0.15594613218139958,0.058204569930596486,0.12589374542866777,0.08346226012334912,0.13663141793195274,0.19798237747626624,0.09594057315903078,0.1838112216438968,0.07482170346037358,0.1325559855817801,0.16407028038124674,0.1712302801972146,0.3089827074422782,0.15325812230329602,0.16303266186989024,0.12573327081627178,0.22257835702654646,0.1332207157767917,0.1777855762893332,0.0856444598918441,0.18025641824521793,0.09965370544278225,0.09698806287143409,0.10930963797946094,0.14785898468576658,0.19117527603348208,0.1711140767470109,0.13815146982932586,0.134344864856537,0.13642963372434538,0.17886029742052437,0.1382310327386283,0.3006066140127316,0.20683974946063344,0.19788066658285014,0.1360257098007044,0.27637934878299764,0.1319173381832145,0.19933443861754743,0.14768438981077583,0.2073556735081485,0.1568776277220046,0.22004958677167982,0.14610096256949517,0.1921069169703503,0.15050978788043473,0.08751143612773954,0.07601792419816251,0.15387053063576178,0.1988589790056345,0.1409352173158986,0.15624826229626718,0.15368481110116153,0.19296128454291836,0.2288384220621133,0.07773281587308735,0.24276241816007554,0.15721356493152105,0.13881684534974448,0.08928204920576284,0.17106781601514337,0.19762370672873583,0.3138920202015058,0.16308488766114337,0.17247924282643157,0.1800394125670234,0.16935981053326662,0.18021261141365483,0.15350602502473054,0.17316035150339315,0.20500795005595293,0.09819192754463696,0.19875485310205884,0.2001707954733968,0.13917536870750014,0.1295222678028083,0.1592359495755154,0.09390702802089497,0.16446290205817649,0.12911754563959763,0.12757242040270644,0.15151107655634777,0.14708202514376226,0.15749885843277855,0.15646478816168183,0.19169462182378746,0.1685112882229777,0.12202060564546525,0.10377353594166012,0.22743498088826494,0.135058823996243,0.16437105621615772,0.2226187519127048,0.17299834275362694,0.15094827606348163,0.1884040178900298,0.18220628901894667,0.33571353259848496,0.1752798300768979,0.19969665993200564,0.11128957373293775,0.19276023802517925,0.2307331099277609,0.1546738486524461,0.16584350182461646,0.21349696106492738,0.21251899739006727,0.16645085853491826,0.11712131800587018,0.07507082846363637,0.08708282371175197,0.1458252344633126,0.1293207592789624,0.2346127155806657,0.16915859070904518
3904_Dg,0.1260948026559761,0.1420347690604394,0.09902223545646677,0.08855299535682933,0.09138429728516215,0.14472870229496512,0.15111806133978023,0.15249833007392927,0.0,0.07983311663378823,0.06112729668166096,0.098764379845843,0.09692470158602692,0.09557728991540156,0.10207745510673143,0.12973198869073937,0.22719166521215708,0.10558256958415202,0.14158073717946135,0.15724769291725726,0.09994327005790732,0.1412746748256861,0.0856907194981611,0.09347684201037045,0.15866101342503555,0.09757765871439412,0.14732228704602934,0.11798666269978887,0.19627251687886565,0.09192747908735124,0.1387340263067683,0.11194925318597311,0.08819115569895222,0.14605690460395063,0.15093077837540603,0.2752891791414212,0.14477655460545125,0.1382259394384511,0.10884815833286876,0.15776749821998695,0.09824191919883242,0.12786795336680212,0.12888974687404908,0.12303419237263614,0.10991668507578557,0.09325317565529509,0.12793094493157323,0.09212021662996128,0.1726936086862673,0.1220770970748532,0.16249054911776717,0.07348694318863011,0.07995791812433957,0.16209835257580593,0.10320975170901478,0.27087965075847475,0.14366012580187532,0.19636391087595967,0.06294394945886363,0.21926759509504898,0.08061992181902386,0.2113230578503117,0.15853614425816373,0.19674239748114164,0.1388493967941626,0.1566539867754942,0.1106464376519355,0.16716103127237297,0.07858841275900949,0.13340388597233224,0.13365635895451736,0.08387069286436359,0.1427268781610289,0.15045714080591346,0.10410477729549468,0.11479055477528972,0.14839110954176649,0.16185620305428935,0.10400187785985368,0.19397480014716212,0.10616039181186541,0.11046642810024151,0.08052232968618639,0.10656341674981017,0.16221674303881667,0.2591982499262807,0.18924806662470806,0.13220427833999726,0.15088688006470724,0.16171338568383867,0.09226491042319986,0.08993982705631536,0.17692752421219635,0.20780343344116234,0.08478781391899433,0.1978907152870174,0.19482972193533568,0.09914442488871543,0.09107166850150891,0.1608140684553868,0.095117453291141,0.14656307869472043,0.09081124572108504,0.11221981020389554,0.14676486884512108,0.18910189190915305,0.14631176040528499,0.15737888028812622,0.12473078766446884,0.10463662966484046,0.08934669735877444,0.09782999602981299,0.1914481064716676,0.1771737665659247,0.14177318356501717,0.2580137228250037,0.10439401774553565,0.12539464288438032,0.1755761287572104,0.15557668581448744,0.25980016514089754,0.14478334241337681,0.16415320911478912,0.10272561643646956,0.20566518119504573,0.20380415824419698,0.10287207665206631,0.1504014549824031,0.22743020922850304,0.22577687065372345,0.22605404517991168,0.16875076064204755,0.14546272867246585,0.15746938132286328,0.18212062721765138,0.16108255644518304,0.24482950440334605,0.17166029019565138
3904_MRD,0.16025157758169414,0.1073889349738457,0.07372203661733787,0.0780132473374938,0.06541280603496386,0.12141382541245957,0.17559378248822421,0.1604470276080955,0.07983311663378823,0.0,0.06368401371927741,0.05832785837303846,0.10391800756493183,0.06559697242197987,0.09393557197908435,0.1410059957787415,0.2040437164654445,0.0872730866170758,0.15412098495454357,0.15640274547940866,0.0785738496646379,0.10807493736165176,0.02713305192461613,0.05712926420056929,0.15828044542681335,0.11718845546459009,0.12452812096588972,0.10092603697876378,0.2251818326052253,0.11545279937949493,0.11695884819420324,0.11850014284594966,0.04533247262692793,0.1880690052926005,0.19132989074078124,0.29008640648626755,0.18934933361317963,0.17440359705318456,0.07224068761852959,0.15995659239814897,0.062366647038247736,0.09312205836868219,0.13301094425343477,0.10706395383001378,0.12254833036629979,0.11228913078516833,0.13840563829659722,0.056403858332114726,0.190555086008552,0.166276598326958,0.13936406800547152,0.09145028621955922,0.06355959860887994,0.17806902716470022,0.07398232395475354,0.27442105567343245,0.12862600220368625,0.22486572027493343,0.07808021693465714,0.1775893141655438,0.05102520497863016,0.15945804971810898,0.1873739707968166,0.22441964327720018,0.11443871206230405,0.18714480568853248,0.0967607208344158,0.14183499605975775,0.07130430334678509,0.1356219533571533,0.14513617563903047,0.07310454098417192,0.13283502542643805,0.18481711096154246,0.06320296720759623,0.09938236793738744,0.15058200883189016,0.17661870353245238,0.11921796650496068,0.15111480055895932,0.09147363841490648,0.11102791661697171,0.11168113684440605,0.14410229747427364,0.1913323982008331,0.24946975541275054,0.16123607545363075,0.17035124346412864,0.16077346533053855,0.16714500184256384,0.09752011679540222,0.06622495096880779,0.17109814575045765,0.22943371117694522,0.10015938112901476,0.22536156602464968,0.22599530417252647,0.08852970696580541,0.08574961082783479,0.1794180464653892,0.1140221665110563,0.17118700834467884,0.12566631235331716,0.08831647591603718,0.10506081447888305,0.15125430612512603,0.185150865206743,0.18756161193390958,0.12285570960460364,0.10004084069592907,0.07592294680502866,0.11009811131651828,0.17487467648924146,0.1835350240119849,0.13341027498487876,0.2642824460819751,0.11846355194196051,0.1283786964900029,0.14710492916225873,0.12369976293114339,0.26253205948372643,0.11129216537130442,0.13066079804907366,0.0630380160890305,0.17152870234176162,0.17545870586385356,0.07177454666438202,0.20298037837451227,0.19388557704048986,0.1932196424369171,0.19587417968134976,0.1315499052879948,0.12409291343953746,0.13369562008743296,0.13984910764075273,0.1245285522657137,0.20197983394610308,0.1452629638805782
