,1216_Dg,1216_MRD,1216_R,1886_Dg,1886_MRD,1886_R,3853_Dg,3853_R,3904_Dg,3904_MRD,3904_R,40389_Dg,40389_MRD,40389_R,4978_Dg,4978_MRD,4978_R,508084,5143_Dg,5143_R,548327,5750_Dg,5750_MRD,5750_R,6323_Dg,6323_MRD,6323_R,6323_R2,637C-BMA,640C-BMA,721214,782328,809653,A29-BMA,A35-BMA,A36-BMA,A37-BMA,AML001,AML003,AML0048,AML005,AML006,AML009,AML0114,AML012,AML0160,AML022,AML025,AML026,AML028,AML0361,AML038,AML043,AML048,AML051,AML052,AML055,AML056,AML0612,AML0693,AML073,AML1012-D0,AML103,AML1371,AML162,AML210A-D0,AML2123,AML24,AML2451,AML2910,AML304,AML3133,AML320,AML3266,AML328-D0,AML328-D29,AML329-D0,AML329-D20,AML3730,AML3762,AML3948,AML419A-D0,AML4340,AML4897,AML556-D0,AML556-D31,AML707B-D0,AML707B-D113,AML916-D0,AML921A-D0,BM3,BM4,BM5-34p,Control0004,Control0005,Control0058,Control0082,Control1,Control2,Control3,Control4,Control4003,Control5,GSM6085177_AML01M4_P,GSM6085178_AML01M4_RE,GSM6085180_AML02M5_RE,GSM6085181_AML03M5_P,GSM6085182_AML03M5_RE,GSM6284912_TS173_04_Sample_D,GSM6284913_TS173_05_Sample_E,GSM6284914_TS173_06_Sample_F,GSM8791432_MLL_14666,GSM8791433_MLL_16703,GSM8791434_MLL_17746,GSM8791435_MLL_17843,GSM8791436_MLL_17844,GSM8791437_MLL_28824,GSM8791438_MLL_28830,GSM8791439_MLL_28855,GSM8791441_MLL_29532,GSM8791442_MLL_29538,GSM8791444_MLL_30886,NBM1,NBM2,NBM3,NBM4,PAUMTZ,PAXMIJ,PT10A,PT15A,PT16A,PT17A,PT21A,PT22A,PT23A,PT26A,PT27A,PT28A
1216_Dg,0.0,0.12273755292576993,0.11911377328371207,0.11674031359197812,0.12644375178776374,0.13181425671610444,0.15421300972529814,0.10920198842102771,0.1328012897920973,0.16943075713568823,0.13154939441782854,0.1513738743015353,0.10625754117316463,0.12563541486724775,0.11760865616321389,0.0966436450331703,0.2955614687961133,0.13858463874043467,0.15140697690563332,0.1863098201369887,0.12606444555047097,0.13138234109028923,0.16678606722411501,0.16969570252485366,0.16245316226149717,0.10649718293660382,0.12790271028212638,0.11795333253497003,0.1452593735126126,0.08388767348791148,0.13121318997252765,0.12694151457570477,0.15765468951433234,0.09958343822405974,0.10629568374228446,0.1285564684445141,0.07880516700495828,0.11890048978762001,0.16049594237398393,0.12503060351485898,0.12894787282387013,0.13853267568625238,0.11395208606084259,0.14452229626739566,0.13448763462026916,0.13435852099846546,0.122159535128009,0.1444027915759925,0.16978345443866605,0.13961315801389673,0.21041117393624878,0.1027561433891979,0.11711989761593435,0.16491495308721377,0.12428951575183922,0.16870466695210615,0.22986920631038824,0.1394942814551264,0.1398965808284953,0.19010636335363051,0.13811574476031066,0.26401104269701353,0.12537174478018578,0.17031301459234796,0.1420881976126854,0.18098059852106216,0.12313887952247936,0.16264472556123447,0.1496123676260858,0.16527291345066442,0.13126262023843185,0.13360794230245593,0.23021773994922853,0.09283438470637524,0.17742296990356637,0.15802318670863336,0.20326158390834,0.1969333996115199,0.13212941059313865,0.18553625363801285,0.1559249446364792,0.11277577747034925,0.08072758139453316,0.0978061130297304,0.15575687781763056,0.16983859049402206,0.25454690752929904,0.14659049155750506,0.1986532231922924,0.2230454367242401,0.15921782642756366,0.1467340417736897,0.18082846309191514,0.1608130222960027,0.09059271033769867,0.14828684144934023,0.1590625703770559,0.14198560842619776,0.12209545370957109,0.12395146340001728,0.08117726547318166,0.1472784204915465,0.12291110598405168,0.17025066037424813,0.21503577879659105,0.19992595783540157,0.09725303741669386,0.1302843505933155,0.2293066774790339,0.20273215959704055,0.13661837738634783,0.1500575713101339,0.18008314971866557,0.18099135701982128,0.21695876726506214,0.2708747794829281,0.14263344614041948,0.10256749007564386,0.14302598208133765,0.22062355544678164,0.18841623406125146,0.1487104535078156,0.17290191122367451,0.14106321490062695,0.1744541657769415,0.15944285252664642,0.1581052726495643,0.11367249951753741,0.2918762388011381,0.2907452983051726,0.25983591678059226,0.18343706604241283,0.12149671416394521,0.14540161206118685,0.18915434836010536,0.17660583438558294,0.2957915853884571,0.2263647211361397
1216_MRD,0.12273755292576992,0.0,0.08842902322556923,0.11416233295496088,0.07311296900132107,0.09074180971320013,0.13078031834357837,0.08295033067737569,0.1513181269347653,0.11931202061906275,0.12516769615254433,0.08855341766224811,0.08862295476101437,0.08183091393308095,0.11338698295360189,0.14362165707242003,0.23925501401486285,0.09854255988677506,0.09603639050777941,0.1330330339877542,0.107804758258101,0.04724849119952696,0.11954166627306768,0.1297612064646175,0.10412635152344454,0.10981889410798498,0.06345982639996321,0.10400848613169685,0.22885768924616567,0.11582577276354546,0.11905901257415492,0.12328197481360055,0.09931485982093814,0.18794519819591426,0.19566171294491794,0.20105567374598649,0.17935780823532788,0.17572187372494086,0.09430401920644091,0.13986966857147204,0.07316417259329189,0.10126967041334811,0.09005457987253454,0.1098845243910292,0.12641611573402445,0.13839535869800865,0.13235217200780025,0.08766845079039713,0.18842147711565557,0.19114326691526728,0.13762477477583054,0.11960348933374162,0.08216237045323387,0.20164631341038375,0.09179724357291069,0.20687054303824706,0.20161824815812396,0.22598578527695182,0.10958827527193832,0.13275678110066716,0.08834566968798853,0.18871967002494786,0.16903146073483408,0.24206067318555927,0.08554669719114756,0.20828034363423295,0.11128311661022941,0.14719858860413382,0.1307147608025481,0.14715388891027917,0.09065118591313397,0.10811343239833035,0.1950856736439616,0.1623470165401873,0.10838029111751797,0.10891694259196524,0.18262341532114104,0.20922523167119528,0.11133943604505625,0.14091629697178606,0.12530400290488972,0.10189008915986524,0.10277774283613215,0.1628906398201996,0.22840687059358813,0.16926860776691544,0.1857836180730031,0.1931110092521006,0.15756025705638899,0.1982766334902312,0.1520541726137923,0.12196782239064073,0.19367489949655622,0.2334856183461486,0.11157640562273465,0.22673072590092352,0.22918754096092428,0.11855615783958526,0.10396693954009306,0.1772763897086083,0.10177584930473482,0.18477620273447698,0.14666387535328018,0.12581420332997778,0.1475366007097078,0.1594953760609393,0.18210635220273436,0.1988973852327369,0.20417462319982616,0.17742934515628533,0.10439099545729566,0.14233129413166098,0.17267874902465233,0.16658363732148976,0.1916742284086813,0.26863679704760346,0.15448922420716363,0.13624170020534934,0.10673398438401413,0.16807570677884665,0.17529916795376088,0.10008016698021803,0.10989093822823467,0.0701040672275255,0.13075721963151696,0.11455370584359087,0.1133588842672962,0.18843836425190458,0.2323734818882311,0.23405065594366933,0.2030516204271829,0.11955318022843348,0.05067668361583949,0.07805486409119172,0.11062624332754424,0.09726729110551374,0.23554622560834473,0.14895540580351005
1216_R,0.11911377328371207,0.08842902322556924,0.0,0.0619010423289207,0.08021725674544515,0.06518679854581268,0.15647538671750713,0.12869713960577026,0.10527684498202787,0.0804794786283021,0.0646692107998936,0.07794590708015622,0.06985611721494979,0.05092441166127203,0.07168633506983652,0.13290483039281983,0.23429412410944,0.0695309965158985,0.1339286098079322,0.16911888732024594,0.06001169897501136,0.09114316119873998,0.0793529036322274,0.09129722873242362,0.1369753138727285,0.09284390419213345,0.10690823376853427,0.07424144431701503,0.20834460842324756,0.06740790914738244,0.07658162720534104,0.08888571185561435,0.06629628743408233,0.16431898769987616,0.16720991204857083,0.16647260856538243,0.16215984901364688,0.17112211318543302,0.08086508343888534,0.10084690991985865,0.053019828653958705,0.060275549995684054,0.13106761319831672,0.09208158818067547,0.13709813539956603,0.1306342341042806,0.1347276283292855,0.07663277748747942,0.20912657001929452,0.16434278308882766,0.1671234235624546,0.10455981105678204,0.05657226869416588,0.20847969674193761,0.0816917854769972,0.19128632632536147,0.160867761903383,0.20444027614923052,0.10089051400665866,0.12580130536927384,0.0679790049208871,0.17949517339597665,0.18728126222126795,0.21974409934440076,0.080292776707193,0.21075092689932068,0.07477864838390541,0.11590884877168665,0.09107460972064021,0.1284970439986205,0.12139302163103595,0.09959549792889132,0.1566122860885813,0.16462262795405586,0.10395433639638517,0.11623042205403894,0.18222306123447551,0.20597914805101433,0.1041400866160444,0.1108064307502099,0.08085747511072837,0.11096617689842514,0.08692191884026516,0.1367805002863943,0.19058279546524357,0.16229494516178736,0.1845448071628884,0.20314031950561398,0.16939190697066553,0.19183255576363045,0.12513306316108122,0.11018665544364464,0.1594530824573467,0.20941917116385012,0.07200887997845663,0.20361100259113094,0.20802168656747275,0.1352695336546782,0.10881203880059806,0.15075016736153365,0.07907744855131123,0.16709407296219617,0.11922296230233091,0.09322067068319353,0.13354609481442872,0.1355117816188599,0.16704585387738985,0.198559141294372,0.16523044874039536,0.13572028858221802,0.062348865403936075,0.11943409528980856,0.12660468963565247,0.1696064940707026,0.15743616985690773,0.29091377432630294,0.10789617251425784,0.10697058547747462,0.07182937843903217,0.13698647172386128,0.18057334186596213,0.058419237753760685,0.12067198192837715,0.08157269339225133,0.11805650705068015,0.09638997742143811,0.09645168634662027,0.18234167390884787,0.22699590708476625,0.22976067466739045,0.19377153244999862,0.15428551290971532,0.09679779212284116,0.10057904261253639,0.1502982670914739,0.1399231508018344,0.2248546721465085,0.18304464356844286
1886_Dg,0.1167403135919781,0.11416233295496094,0.06190104232892071,0.0,0.10586128380375379,0.06917608718654585,0.1862427996818979,0.15769077651853186,0.10131077253350025,0.08532366001226531,0.06898289313765116,0.09543387601803495,0.08525596457164465,0.06300528139436636,0.06437180490945488,0.12204909231978925,0.2687619163116779,0.09290035874735378,0.16000702130387598,0.1887238599971875,0.0780732543437111,0.1082299448310695,0.08598751282543349,0.11218437365458217,0.1545163072544616,0.09112163027244513,0.11696492333360807,0.0677693837913567,0.1954470072144651,0.07247028493662844,0.08057872072779863,0.11714058816997223,0.09792394644435304,0.14835350371484135,0.15126231913496488,0.1570726643841555,0.14623961791618834,0.1625507117914556,0.1152178999391059,0.08080751639998873,0.06168951372151087,0.08095993286885513,0.15139548840209124,0.1105306390203046,0.15301881873899142,0.13294086182813686,0.14926672904763924,0.08928187002671636,0.21235678194972488,0.14907824154417748,0.19341871612326086,0.09267280476775636,0.0656873932120404,0.2042101558716923,0.09707118271550566,0.1755704735356453,0.1829739194651285,0.1924778076851132,0.10201770690814763,0.13239826765732457,0.09492754390536799,0.2196046608229329,0.19384696732852155,0.20635056142683106,0.10531520359430237,0.21483155074120716,0.07277012082290871,0.11003176284475018,0.09840606691845516,0.1457456854500243,0.14621557264471627,0.1060922665968379,0.183728838938826,0.15586019727663872,0.11553124791844867,0.13926294077065962,0.17683848242840539,0.20887877554159168,0.12144826778492712,0.13324762331252027,0.09383109301049233,0.10891748281038695,0.09440677674091687,0.1260649134778004,0.16588943702827313,0.15221083303050306,0.21928106255283078,0.1949415203796792,0.18264702505020342,0.22270258333557433,0.1268098767571686,0.10898813320279924,0.16266468013490706,0.20266726648674496,0.07303162461870062,0.19803052820063646,0.19716847117073194,0.1398118042864394,0.12100190461821607,0.13785359014160475,0.07650813831611335,0.15796705352724663,0.12187823817977954,0.11342213848700246,0.16429382336302578,0.1733450757442654,0.15685149528288073,0.19462075128474013,0.18327032096218834,0.14778622913256523,0.07659855370621184,0.12489188107826023,0.14199901500424222,0.1805612402615248,0.17941411381636355,0.29517157182418796,0.10011207280967167,0.1014550865093301,0.0938216609251473,0.1561481430531446,0.181075777856155,0.08363225604917732,0.13632758348451884,0.11898529526533472,0.14038259228095945,0.11501725286715245,0.12209670904631333,0.1735744766609649,0.26426417102948196,0.26611307957659214,0.23079566188545186,0.18399021749999128,0.11623736969095544,0.12476908364520663,0.17532587713773162,0.1716139979764972,0.26537005383361045,0.20549739253543095
1886_MRD,0.12644375178776376,0.07311296900132108,0.08021725674544519,0.10586128380375376,0.0,0.07982304511982029,0.15285272890924362,0.1137985720688395,0.09716320771493712,0.07521604113258012,0.09009898330977774,0.05958537858613164,0.08541532124970985,0.06312134043610555,0.10793913204762388,0.14238665423377475,0.2284184386963058,0.08398618512416453,0.1268377381743297,0.14601903937039196,0.09285733922758348,0.09205013669876275,0.07851669641022094,0.06972291069741895,0.14387941942562135,0.09824962854556513,0.12067373987233893,0.10915952940530997,0.22775217875456938,0.11180210655455544,0.10905972527021703,0.11379467794884568,0.0589050783877979,0.18809408267841962,0.19579696841990846,0.20160525451169004,0.18560109464011917,0.15611101956638246,0.05905709075793488,0.12475959684515485,0.07089997859315152,0.07799290388808883,0.10274713449462664,0.07989919747778561,0.10804154921444052,0.11309139214487844,0.1283760490522665,0.06660569288140289,0.18580736209681373,0.17538084812387722,0.1481359276914009,0.09551429040774137,0.06649554635571452,0.17768458435324203,0.06273684051128495,0.20831447837946382,0.15498054092977118,0.22157481653590286,0.081938876127781,0.10941940529698156,0.05119526422137578,0.173814146207396,0.1604381585261785,0.24278331879439086,0.0693409684720496,0.20051167971631834,0.11365917531094036,0.13528034167602038,0.10440053034375997,0.1312280593912173,0.10463605217175144,0.09029971552669357,0.15696824752602012,0.17085778868784893,0.0884542341828711,0.09441569422517737,0.18406651229934032,0.19586500287242187,0.11504380080804633,0.09704349466337849,0.11036178176701536,0.10731498026094591,0.09338722606982627,0.15487181382167758,0.22830236264516182,0.17223077035036535,0.17847205751785264,0.17296575271245276,0.1543899625587176,0.1823311830390211,0.11748592471632772,0.07948983326973603,0.18906458981571372,0.23107628763904844,0.10986805442346846,0.2195734659346277,0.2251941323071556,0.08702775962131688,0.09290988411843983,0.1840977701931835,0.10259299583972414,0.17255689701740443,0.14183196880283822,0.10301457163109069,0.11101833513884626,0.16230669720593516,0.18187357296150294,0.20459782841946453,0.15090533206641676,0.12723085444244714,0.08548434493472414,0.11622392432280629,0.15802324860815126,0.1972404178626829,0.1533285855648717,0.2660099263458744,0.13879539849314476,0.14263071456409426,0.11051423618007834,0.14087462577829682,0.15724390818257242,0.08672360205561028,0.0817446396042095,0.04774006604806602,0.14366669837990528,0.1073986200209911,0.0838198939336121,0.19182734364104276,0.21127570071365928,0.21484980480360005,0.2145095989851578,0.11656548484578488,0.10233452297549818,0.11054733410763043,0.12826378372584685,0.10467431052036572,0.21641214019413052,0.14010523151721882
1886_R,0.13181425671610442,0.0907418097132001,0.06518679854581268,0.06917608718654582,0.07982304511982025,0.0,0.17087772492819495,0.1411059474579413,0.11201253138637297,0.09562209579951966,0.08871965747089668,0.0812895345626944,0.08952038426908364,0.05472685939783833,0.08026740321941543,0.14958118323795738,0.255009079803134,0.08646171535810397,0.14499880447687513,0.17557750682198767,0.08385346124637963,0.09417414626211051,0.08947972792575605,0.10253693388754911,0.15080074063999097,0.0985353304871193,0.10674244174785769,0.07590260887289939,0.22678195896346362,0.10294389009787884,0.06491083197106533,0.11666528938720042,0.08157843439660822,0.1800450039663168,0.18480476973558052,0.15582432318853212,0.17830785566051102,0.18040496226133945,0.09322396657068371,0.07792460410939592,0.058868869635929966,0.05410467569435209,0.1303008677864459,0.0786785441363362,0.14878193122981995,0.13785466265321894,0.14818217075572826,0.08414980266527364,0.20934766437583754,0.18005639548493013,0.17563958655200745,0.1096209736149165,0.06041885675549805,0.21287366975796224,0.09354741886955888,0.16823539479863983,0.18739147731297282,0.22668018327638403,0.09501820895352249,0.0995137499208403,0.08199503994384225,0.20306535933472997,0.1926163717838941,0.2365249555204285,0.058309688922351756,0.211638625124181,0.08723474866557986,0.10659976144259078,0.10771304818089643,0.1419252184240061,0.12341627019349045,0.10503398732830317,0.18021385720836242,0.18052838758389653,0.10725822180457456,0.11616723519119823,0.18004942573047256,0.2130933817176742,0.12195762701328447,0.09200015626472986,0.11220537175393093,0.10514893927564654,0.10188724333928478,0.15325125828035546,0.20562426396631278,0.12787577306627246,0.20434832626516689,0.20929053111527987,0.16899644380592957,0.21001200759096286,0.12916028491505266,0.11141187458895577,0.1712919559606105,0.22854091004926938,0.09968092714625305,0.22815348059063464,0.2285928524253026,0.13255962648168756,0.11633977834462764,0.17670360723614115,0.1037692781294744,0.18329108922859688,0.1488291964544447,0.11972070435165769,0.15112631629491546,0.17301851646863728,0.18134138776451147,0.2072615970237239,0.1869832880893909,0.15354183585682138,0.07973851408861406,0.12756022923595264,0.14700887335533988,0.18034744878095005,0.18070224233506316,0.29200268079761993,0.13303782732796524,0.12051924839921603,0.06315783111156119,0.15924965295852872,0.14434803361611503,0.05143529086536563,0.09705434766222615,0.0917124924039031,0.11605269383980084,0.07226330679848732,0.11327412244591697,0.1936327180129693,0.249879469494478,0.2512842692608422,0.21808700074693044,0.16816186685522838,0.09702305029837428,0.11293196991940886,0.1645488259726372,0.15532713095230524,0.2519897415469893,0.18208273962105306
3853_Dg,0.1542130097252981,0.1307803183435784,0.15647538671750716,0.18624279968189789,0.15285272890924362,0.17087772492819497,0.0,0.07017709564723254,0.16280995123705788,0.18457134200999603,0.16940153144152836,0.1598252729822604,0.1282270894442531,0.14968919507277142,0.1500006518489207,0.16938114917616076,0.2181877372658914,0.13109530390210325,0.05442124064177477,0.11440943476291884,0.15402123059085368,0.1279289929301915,0.18696465822729597,0.1642502618373775,0.09016371701060474,0.14817403186955524,0.11823970160195166,0.15954749142610186,0.25383365300281446,0.14599153024981346,0.18209577850076872,0.08920542228951364,0.15657966752443903,0.19963450198872354,0.20646620391671888,0.2110170807759102,0.19544619973898042,0.2175480507465531,0.1409255562680462,0.18895629216603263,0.16473936550563503,0.18520621356207465,0.131274104651872,0.1592784980463079,0.14714638750494632,0.11742118249999095,0.1535393197827131,0.16410032972047633,0.2377147568910856,0.18825005107400078,0.14897161270351622,0.17914957922695793,0.1674939658283375,0.21324102663438446,0.18252154567216522,0.25097871344960093,0.21037923823336147,0.2513836828909874,0.15535013179854698,0.20886597818002064,0.15289036691677263,0.2095089661345209,0.19481988472787276,0.26281626913619816,0.14265236442864168,0.24985116693781562,0.16339934558419392,0.16286602468394498,0.18103990807305975,0.08519511128137236,0.10718616981153158,0.16983554532697495,0.20021224775978416,0.15895371623564283,0.1702849103820901,0.15207533267736947,0.22785382165883833,0.2550197733920125,0.0972342923396259,0.18053007352465814,0.16416414488918382,0.18592113068088154,0.138549162379773,0.20642477142962026,0.22746301656373358,0.21588255708449763,0.15673822037374122,0.1920526023279905,0.1386949840487604,0.16776316366623747,0.19215960159280424,0.1774725508743832,0.16703363488674652,0.254494873516702,0.13471868790730596,0.2538895961470217,0.25673088078625744,0.16525996988452557,0.1739576140913032,0.21292497563226404,0.13671913962127547,0.2359820149538889,0.14994918002724927,0.14170435685268098,0.15600219986033406,0.14296361350080758,0.17718730292683063,0.1906983078151171,0.19722880103287208,0.17945744232815963,0.14742212967551,0.11997705078695219,0.17713333935326614,0.14113340979286354,0.1624518646564212,0.2949624464696351,0.17660554579625282,0.16181304696019497,0.1616215046254139,0.1847271759517775,0.2152470618831697,0.1683385475778861,0.15357457939966287,0.1448452458477587,0.15846244822796626,0.17340318485530934,0.18136641565941883,0.1758562893813311,0.2044413764185602,0.20231927257972612,0.16302383956750469,0.1755649850345677,0.10403102415887085,0.13047299405571838,0.1957194701842847,0.17387817873081077,0.24624475868714513,0.16457236382009133
3853_R,0.10920198842102768,0.08295033067737564,0.12869713960577023,0.15769077651853183,0.11379857206883945,0.14110594745794133,0.07017709564723251,0.0,0.16690813842847757,0.16878833369921303,0.15653808886103057,0.14478519969274584,0.0902478822028262,0.12608546013459154,0.14895262202778342,0.16906790755403303,0.23358411040164265,0.12103462321934419,0.048318119629350634,0.10433465473997734,0.14867604393573966,0.11228875735899205,0.16496950650904124,0.15995695184737324,0.0684148098086197,0.13683059471617876,0.0950774295283483,0.15068936379689363,0.22505427703567424,0.11243106972793161,0.1613591997725421,0.08340440813588622,0.13674189073068715,0.18943624832403674,0.19684023451097316,0.20463311181976038,0.17364440436130665,0.1733281785107098,0.12849384654913507,0.174039380988765,0.14096270283847387,0.1540601296985665,0.09303722445807107,0.14474965153151192,0.11391197466697783,0.1053946738219777,0.12938248556568824,0.15326465916666465,0.19785666136401386,0.1944250489069957,0.14619777833457737,0.14653401271377398,0.14276371104287683,0.1970874054887284,0.14084932527946145,0.23556021136010752,0.21215810982853223,0.2195704916597395,0.14349723700918277,0.1961657945490782,0.1357769823720323,0.1999931499525194,0.1602261674429725,0.24692297352792664,0.121764089383499,0.23052862252822423,0.15777816195793776,0.16557067980798934,0.16252564995141225,0.09897429597838434,0.07364445705578936,0.1619227573589241,0.19636150633151797,0.16019046346708038,0.16074786926002382,0.13806009213471346,0.20497358218178302,0.23507037613467108,0.08723156063916689,0.17588047351250075,0.16546750024584295,0.14527873473738961,0.10289363940459466,0.1874440145476213,0.2318643895513697,0.21292833035579942,0.17682160034879282,0.19031837332817417,0.17997790401973446,0.18822698838685198,0.18686073651080182,0.1587093782152002,0.189802896889103,0.22969692605183187,0.116073051924288,0.21951403184370868,0.22564358825037711,0.14472902626547426,0.13689645504144954,0.18508587954631703,0.1120187896643959,0.1885290843312092,0.1517847515105253,0.1365070107167813,0.15770246526765716,0.1627889327664097,0.18183203950871002,0.19195121693768344,0.2021337708923148,0.17774563170178298,0.12882425099489384,0.11671082308538189,0.19032748700749788,0.1636871047342648,0.1751228415123724,0.2586563531163797,0.18853239429446564,0.1695251682001321,0.14161107978761625,0.1869707732884076,0.21939077208437557,0.14151482370710042,0.147388103818135,0.11463477502481693,0.161616864488679,0.1630940945500613,0.16056227554374694,0.18411610312581478,0.22999366251581796,0.22949918607468967,0.17999624231822708,0.12140714268858563,0.08215260443977346,0.0942434696087055,0.1446099591609097,0.13099851126816184,0.24782866075918417,0.17609506680718442
3904_Dg,0.13280128979209724,0.15131812693476532,0.10527684498202787,0.10131077253350021,0.09716320771493708,0.11201253138637297,0.16280995123705783,0.16690813842847754,0.0,0.0862055483395341,0.06395547795155816,0.09993431529426841,0.10354334631413163,0.10029503483042303,0.1135164363023129,0.1463623565649698,0.24822046096583913,0.11168841254700423,0.15411634721650566,0.1734208035670427,0.10915552997085136,0.14727186529787611,0.09389791667934597,0.09409522661877327,0.17133364913827706,0.10730978031586545,0.16145935980478793,0.12942337953039532,0.21277086510325852,0.09604194077895369,0.11705858391391402,0.11956326202442058,0.09290791527827164,0.15759503180869439,0.16211793290652005,0.1825342474312843,0.1544673515800213,0.14283595497023144,0.11257706964659744,0.11071793380990219,0.10353587722808867,0.10541619224459993,0.14513736811570757,0.0891328022643777,0.11953939747212253,0.10283066122455953,0.14289627889776893,0.09304133140309252,0.18278612038417172,0.1345195499290182,0.1741630736774457,0.07945611456161061,0.08132914214200007,0.17708132942642457,0.1072201498813941,0.20688316860351388,0.1469552036428242,0.20769636559425525,0.06468697928719398,0.13663696573898865,0.08473818307964584,0.21821665516340116,0.16961642096057067,0.22352785818356696,0.1102868953890163,0.16930740350533205,0.12124386722601738,0.14590206421342006,0.08592198922939961,0.14242195129072513,0.13765357297253691,0.09241280023186614,0.1457086878379309,0.1630269860741221,0.10735264542156156,0.10438016863204058,0.15673916963260964,0.16654022642753868,0.11093059197614472,0.12979669214277537,0.10942125982727002,0.12229749286350143,0.08505801005986623,0.12046584243782195,0.18361326045996768,0.16276629678372895,0.20774600241954744,0.14366131543439586,0.15685525581149096,0.1806529724267311,0.09336299280356877,0.09462540424000365,0.1920144282717418,0.22561205047224256,0.09065503746994671,0.20589604063868597,0.20939191666518842,0.10130940733876355,0.10166002654897237,0.17643957225754436,0.10106704893912527,0.1548134341037112,0.10022748485903998,0.12138131459290542,0.15394927420222893,0.2001274812983312,0.16046678088633048,0.1854876551918372,0.13435118278771627,0.11235510413341321,0.09326826343724466,0.10363126667408959,0.15724844837726024,0.2000970123884877,0.15552299313913653,0.2931942098726281,0.11472329317810183,0.14085683310021246,0.13722008674014008,0.1611213182304424,0.14223279362681504,0.11567549806637314,0.11815471784478371,0.10902153166485933,0.17995986240314324,0.14361124375961629,0.10559905057596355,0.16097754228241282,0.2435828168337912,0.2435334404338855,0.24033202527123448,0.17975442812456113,0.159185952434164,0.16872716409094365,0.1867254320275156,0.16767651428396424,0.2587864670799771,0.17995894748409924
3904_MRD,0.16943075713568825,0.11931202061906279,0.08047947862830215,0.0853236600122653,0.0752160411325801,0.09562209579951969,0.18457134200999606,0.16878833369921306,0.08620554833953412,0.0,0.07050305696920518,0.06263253032837825,0.10508511444064617,0.07282100753020121,0.1029849099641656,0.15128492425807358,0.22643264042333472,0.09866796291064452,0.16130825382161423,0.1690718324694802,0.08870060095713615,0.12082223916856571,0.03203108625284264,0.06146839733987363,0.16530325543436006,0.12681177887348008,0.13687946966174863,0.11408968651129323,0.2359651475788151,0.12070600441628432,0.10085695272959055,0.11929607702075463,0.05392639543064955,0.19809265042111499,0.20008861213881074,0.20638281805988348,0.19935284220271068,0.1759573096648001,0.07849617853533425,0.1218125664313865,0.0689602769926023,0.073659838129541,0.14598706912490197,0.08496164844419328,0.13375372990301831,0.11322689489053349,0.14478068746883704,0.06248990291926276,0.2099575144068195,0.16913563073239601,0.15447887764547225,0.0976260920556674,0.0718741441915998,0.1841054002088972,0.08309773182103997,0.2192328716892386,0.13783512921895175,0.23215375475199446,0.0892646694646973,0.10057178927630266,0.060390180744941936,0.1664086535900683,0.19903518740765697,0.2473537320120718,0.0912890772437955,0.20893987429457675,0.11015024220796876,0.12194911322098109,0.08090714488032738,0.13540277341052206,0.14693448523810201,0.08511614201216545,0.14421283881758318,0.1951280108714213,0.0705602760332219,0.0994599828796538,0.16854016729438698,0.191405848501577,0.12494355011827717,0.08971564337625128,0.09954641191587511,0.13027675283421952,0.11482987007387255,0.1579991357167395,0.20120717682246525,0.15933340306513338,0.17872820363342018,0.1787206964293993,0.1724445120104159,0.19004709208167994,0.10768211489356316,0.07202080574149795,0.1933092025573482,0.24123976090942073,0.10179418021230217,0.23397869579416328,0.23232456884966476,0.09547486894437855,0.1011301477991493,0.1882232873210457,0.1150931900461172,0.17519241090369658,0.13572168930207046,0.09450873225012443,0.11196254442044924,0.16711963007125077,0.19626961723131991,0.21199336911221214,0.1380668400565367,0.11190089566800326,0.08152735773928514,0.11217989197226674,0.14704514127906754,0.20552413069013023,0.148383459156176,0.294730310985951,0.13462653129825256,0.14227403020281554,0.11673908951004852,0.13141226150477864,0.16435284423910862,0.08747681761859466,0.0911493322297773,0.07389166775971295,0.15112234526688242,0.11891442796345383,0.08411023556635404,0.21506017646433798,0.2117684878010716,0.21509628730921998,0.21193140292625973,0.14521654011882984,0.13832270054304466,0.14507563769542645,0.1513327501711441,0.13950648437319002,0.21853646415663922,0.1575556510090683
