,1216_Dg,1216_MRD,1216_R,1886_Dg,1886_MRD,1886_R,3853_Dg,3853_R,3904_Dg,3904_MRD,3904_R,40389_Dg,40389_MRD,40389_R,4978_Dg,4978_MRD,4978_R,508084,5143_Dg,5143_R,548327,5750_Dg,5750_MRD,5750_R,6323_Dg,6323_MRD,6323_R,6323_R2,637C-BMA,640C-BMA,721214,782328,809653,A29-BMA,A35-BMA,A36-BMA,A37-BMA,AML001,AML003,AML0048,AML005,AML006,AML009,AML0114,AML012,AML0160,AML022,AML025,AML026,AML028,AML0361,AML038,AML043,AML048,AML051,AML052,AML055,AML056,AML0612,AML0693,AML073,AML1012-D0,AML103,AML1371,AML162,AML210A-D0,AML2123,AML24,AML2451,AML2910,AML304,AML3133,AML320,AML3266,AML328-D0,AML328-D29,AML329-D0,AML329-D20,AML3730,AML3762,AML3948,AML419A-D0,AML4340,AML4897,AML556-D0,AML556-D31,AML707B-D0,AML707B-D113,AML916-D0,AML921A-D0,BM3,BM4,BM5-34p,Control0004,Control0005,Control0058,Control0082,Control1,Control2,Control3,Control4,Control4003,Control5,GSM6085177_AML01M4_P,GSM6085178_AML01M4_RE,GSM6085180_AML02M5_RE,GSM6085181_AML03M5_P,GSM6085182_AML03M5_RE,GSM6284912_TS173_04_Sample_D,GSM6284913_TS173_05_Sample_E,GSM6284914_TS173_06_Sample_F,GSM8791432_MLL_14666,GSM8791433_MLL_16703,GSM8791434_MLL_17746,GSM8791435_MLL_17843,GSM8791436_MLL_17844,GSM8791437_MLL_28824,GSM8791438_MLL_28830,GSM8791439_MLL_28855,GSM8791441_MLL_29532,GSM8791442_MLL_29538,GSM8791444_MLL_30886,NBM1,NBM2,NBM3,NBM4,PAUMTZ,PAXMIJ,PT10A,PT15A,PT16A,PT17A,PT21A,PT22A,PT23A,PT26A,PT27A,PT28A
1216_Dg,0.0,2.5568572281055246,1.8741323439617192,3.3490586692835733,1.9077458543276693,4.393950990997132,4.465125830163844,4.03270068074238,3.9020133504929873,2.3758818827414543,5.423265355737938,2.937459856150894,4.472477449684214,3.2124280043843707,2.8117065154455645,4.81077894284602,6.965784183134807,2.6806431610288963,3.6574113257550933,2.957143538888904,2.73076962716439,3.839420691789654,2.1459972136110443,2.4682794422511525,2.865175914264098,3.267493304570826,2.579105187324121,3.8832601464374736,7.105420032482242,4.651580989260098,7.409155413093701,3.1129299298666653,3.479906318048015,6.023872707440293,6.41061225342566,7.056881496512467,6.05944727971176,3.5864368617483025,2.3162566648768226,4.298202932438387,2.732142177121642,5.789883853132816,3.5887269789249747,4.769595415041521,3.952738245477898,2.8685768262504676,4.565465249698331,1.9045545596656623,3.0308508671142844,5.509303919255085,3.427872023877929,3.0978651665775834,3.808449770876802,5.15814741813795,4.9580367441317525,11.737320006328742,5.659156261331361,5.932122173742111,5.587719454700554,4.249949230415423,3.3125266110392912,5.622883754161176,5.211619215864706,6.663432000254362,4.120770035347144,3.799766754435664,4.935959321154317,5.379965920024576,2.808865148616119,2.813073589445617,5.565509563316184,3.330838005664225,5.444297494483857,4.843724585040601,3.7516585974092527,5.56141650819609,2.881409868284574,2.6164807900228326,3.5639321637666757,6.5752553643845655,2.0934074278333936,3.7860192996671347,3.7367431533036277,6.155263613107294,5.479035760585461,5.688431047306591,5.574938134182374,3.8520434209901957,5.59551451874539,1.883179362292803,2.312283360412468,2.737028590598428,5.810358116747415,6.06738772571627,5.069662670814054,8.040428225178026,7.808008425745972,4.315700858314437,4.349427729834365,6.696892893404305,5.7323308320067055,5.686133906333657,5.602344225607957,2.7846644283583717,1.7416522437025463,7.690828520197068,5.105967092009186,4.432538942547017,6.571649793421539,3.256296112101443,2.5258649086368217,3.014569629850556,9.203695827615245,3.045028539720251,8.485243338741135,6.115240468645306,5.503582102327058,1.700197474372515,5.477608525505325,7.839774913007456,4.932834947488254,6.0143402416193075,3.6401092896934446,4.316603043194,3.794008997483728,3.9110499301059325,3.101125604581193,4.001214452810226,7.576343691573721,10.67823510257033,7.071961575288462,5.903061601811423,3.597140750533404,4.492165213018912,4.555863756617934,6.163675753147277,9.467206051037524,6.993526625284526
1216_MRD,2.5568572281055246,0.0,3.9051246488650677,3.3499504734654444,1.7275625388169917,4.7463883111150045,5.106241308027917,4.482379960592317,5.304067237082683,2.106391348096521,6.788762341913728,2.7639009684692857,3.869587681071626,1.517276628577037,4.3139511074397445,4.420462325253715,7.456124505499483,4.2839488804691515,3.814382995402435,3.1509485050832344,4.9912497158624145,5.260121451633722,2.0791539310695604,3.6321645660395654,3.383315245101682,3.4060686641656357,2.836557668322711,3.751700976057611,6.190249490863058,4.455895423780394,7.78347546175019,3.680820159274726,3.8449336295394714,5.76214976798142,5.528455378525531,5.7567649589466425,5.6144560141178195,4.02134796944588,3.5916084966854953,2.8424592909916284,4.501083017790995,5.059314809812355,4.676579806972149,4.3673729592715285,4.743282108728782,3.715412893805328,4.466020854460424,3.7204734676267632,3.1694400856714573,5.573800124693377,3.140623792235344,3.18561038795416,3.8795831736243054,5.801859487886261,4.64299072398786,10.281485838016494,6.608980931171183,5.731341661825716,6.4193355945191435,4.623335414154237,4.164159375130039,5.522871980447666,4.806763466425531,5.852662088088507,3.8801309359576526,2.447887133082941,4.949970973541329,4.039187812320317,2.932113546412291,3.8447215647493143,5.113502257143001,3.6424124760410246,6.243580276732592,5.206475931706795,2.477938448113372,5.222486389090252,2.838776616879942,2.3043057446101187,3.794146061601502,6.2739575985296945,4.543652448019775,3.3820880752256404,3.9459291718085994,5.2681727706997865,5.772822106118913,5.139194462060382,6.1804596994921415,3.15682978196577,5.565338321442766,2.822429374238748,2.06482095760017,2.379051774578056,6.5290598547299625,4.799392959487422,4.631151945185338,7.241188271915705,7.225023061615392,3.5465075201880554,3.34249748128657,5.581527209759543,5.6623011719696335,4.8321859287979825,4.616618542892913,3.041341510108998,1.6208607336484662,8.501508184770692,4.989983502486213,4.202932059642597,7.371664436427983,3.186161367046895,2.7795629268237723,4.363476868864314,9.80616835058349,4.638702085136084,9.555310532060416,6.5301004611981694,6.135965542595003,3.2643734470846333,4.711898927878821,8.375117002392948,4.844160973491997,5.191776657950564,3.6263975557185493,3.8573631744486203,3.458281074632791,3.591476650879911,5.209761522035892,4.010579568120393,8.401227013613306,11.306558356379965,7.397904260808368,7.118488783350951,4.654353027981466,5.615846080872117,6.007668179121369,6.333973234920743,10.288774176310655,7.987584265963085
1216_R,1.8741323439617192,3.9051246488650677,0.0,4.0286397738255895,3.4348419027474577,4.799271056200504,4.692660787919154,4.562698541230925,2.548411050084277,3.937785612472032,3.8836914319294142,4.194869866856925,6.1181312090359565,4.582292240640797,2.069858613809812,5.009924100026784,6.278595617464261,3.4378900055294275,5.180816043491819,4.111008489946745,2.229528725991278,2.808795675893484,3.833312211117467,2.8214262458230923,4.0625532896325,4.734764523398916,3.0640438847597413,3.752701451115233,8.533682765377637,5.827945462124135,6.709573319174666,4.564477172879675,4.335516031741354,7.298683873797899,7.93775117869164,8.540174799508568,7.371549079954459,4.030615579135031,3.550259922343607,5.261366064065977,2.3648792812697206,6.708509651134225,3.5460510718341216,5.143243097731949,5.359413507971086,3.956755322191996,5.764971336963007,2.0458922973351172,3.9931690532008814,6.847496874887588,4.495177954014193,4.173661972344876,4.815536113176053,6.659286965815374,5.692049901439228,12.625399569795665,4.787643818408282,7.017875639414079,4.740634734193226,4.982276475253362,3.9733544138343544,5.757440674648387,6.5650744136170855,8.103779796724018,5.4352063383644635,4.992611738888243,5.214093646133756,6.858463006324566,4.272936235067865,3.9581423526849115,6.790795052598025,4.358427460972902,5.827016506939102,6.457573702085969,4.521462302177548,5.52536576236705,3.604845291664192,3.954036853483569,5.058116529476146,6.302927650344032,1.6178025709845483,4.656344021817101,4.783059968199782,7.257669371821541,7.076906970323262,6.972792325950713,4.826768535001361,4.9946174438550495,5.316857276758072,2.64868273422681,3.092215293633558,3.789025130516643,4.9773407479687215,7.357245564662339,6.407276222813031,9.162090514094327,9.121368947978054,5.595512737649586,5.702297461847406,7.915926679694247,6.824374147488713,6.847677499563851,7.043120931813513,3.5840255762694238,3.187498095895753,6.323284325142904,6.871129837329869,5.513013481472741,6.006886239888107,3.885667543314714,3.452886559739829,4.2862847034824005,8.51440360069301,2.5661827727513606,6.987346483464732,6.970369485078366,5.4779688790567915,2.4375711411886516,5.738120335983983,7.81217986666616,6.254737173207699,6.292969333436168,4.6112837696313775,5.467057963371716,4.492695397099097,4.829668077592744,2.9032171758970864,5.475130936392974,6.660768831041036,9.627422771263685,6.312444298604007,5.231037474518199,3.256023945451482,3.370975992129541,3.9106553225969716,6.10477581788135,8.570080882880408,6.16542399241104
1886_Dg,3.3490586692835733,3.3499504734654444,4.0286397738255895,0.0,3.529502524383212,3.0452138474939385,4.297483790703331,3.749921335333385,4.350355826523547,2.2788511689903967,5.896560400638289,2.887024667019597,5.896436742586681,3.975319167348377,3.885279140349293,5.729723280085297,5.450007306903901,4.371739399002067,4.944707980807785,3.8172171278503733,5.031479642809151,3.9900146564240546,2.6249508366095506,3.528969823088874,3.0956680841302835,5.147432852592546,2.045050455068761,3.698312707385426,8.003974338102616,6.027159448071732,5.692348458996655,3.9407023688450895,4.990366198985734,7.514262711787023,6.726374877365558,7.15807097983866,6.97282722404632,4.270726656289554,3.8205899600496274,3.106871176090974,3.701577362273934,5.524790579297169,5.2750649219879735,3.571001794094994,4.52683691789018,2.794617635744126,4.223457338065807,2.901497500280106,3.4891810478885,6.38345528516744,1.5261151263389583,1.2819602408315003,4.633339763932917,6.653682531769261,5.680457360976541,10.00430655922421,6.533382246439776,6.9112074542529776,6.0424382710982485,3.694447922666749,4.613849438450425,3.5500917659733022,5.500188266795017,7.949631593530858,3.9368312455895054,3.31003712578429,4.288508123066942,4.822153267156877,2.5983422469312716,3.737362287769207,5.390809389783918,5.251141253135526,5.971363297303923,6.58817470372923,2.3571170942880215,4.271360699677437,2.8158099667180343,3.5743918312844927,3.7785008941770926,5.019083735233602,3.987965280725779,1.4345305756915414,5.520987313646057,6.675669921242582,5.741984449017264,4.676466142119304,4.318736599981926,4.923766103004342,4.228582219558202,2.189675381777415,2.8887650185541736,2.5190228103407404,4.8093604073798355,6.738863582579074,6.005686960377287,9.05974735444389,8.625205212114176,4.704667947230755,3.8371936256664054,7.0861105060227025,6.9834711022024365,6.872485134989631,5.982457047819844,1.9660322098820882,2.9309042552983358,7.133639723942409,6.219635661795529,6.2971807631724195,7.327668789115168,1.4507546496297816,1.6935157818673305,4.533606268446241,8.849646701256859,3.8886026663819053,8.747791907204997,5.604947614856443,5.863886682853643,3.2591913093274383,3.8913509065317227,8.182091808444488,4.314058193781417,3.9909906600134577,3.4754919011031826,4.406277448216029,3.2089855866029993,3.9854714900889268,3.7113031099490983,4.061206437590594,6.108069634190823,8.949749304308229,5.587399564596595,4.693243566680534,3.892136231955269,4.075880543302418,4.068780302132032,3.5981345364885615,7.581054963417323,5.715111445842984
1886_MRD,1.9077458543276693,1.7275625388169917,3.4348419027474577,3.529502524383212,0.0,5.350353327614809,5.135020403480436,4.6959332366061535,5.415495314380368,1.8394933216560039,6.935413490717961,2.9835378628090368,3.966579284951662,2.930873479176387,4.363673424570631,4.755706843504063,7.952725759823715,3.2001380424771266,3.5939165734253833,3.2932987341133395,4.544111859451512,4.95529571956237,1.5316746232923595,3.876188183935987,3.158272828123496,2.222076211064145,3.263126743152634,4.783024013581016,6.718077841142106,4.528336814336142,8.482938051974706,2.4849096867800595,4.066281914390633,5.962375571508736,6.024209944110958,6.455561878478363,6.062854574619253,4.326041861287994,2.1448378431777155,3.7113815539008215,4.2863083684711025,5.663135439713457,4.822044055670601,5.377291477008244,3.8268202125776343,2.648735417674745,4.965317566277405,3.5374006415398878,2.7714060804106477,4.851107887233834,2.890528771547054,2.96428787318307,3.5100376980152648,5.1168560988118195,5.221411867256357,11.336105471781776,7.187086803297945,5.578158153222756,7.060189174729592,4.894857051022203,3.783514335754505,5.7974056073235465,4.872507475614082,6.168539228775888,4.281959037903747,3.443404310253266,5.873725940416033,4.426063597008018,2.193387049170246,2.6571492020604084,5.358799296628383,3.576837414289575,6.704402379319926,4.837851037439646,3.4683602675461085,6.358098166839671,3.5802406364444703,2.310962395738591,3.1399803148794305,7.3854985734681975,3.717993612788008,3.5710415431942235,4.040464420012945,5.933718882566887,5.19477925789842,5.5004964445455515,6.682321878807352,3.7200991367142118,6.425734669618124,2.568712025994809,2.4711868649854147,3.048035742135925,7.008916027721166,5.148157748299878,4.537473748977214,7.303129769305138,7.0700850751976025,3.7320483767140242,3.457391476947282,5.904916851309995,5.2647822351401405,4.75895123903394,4.849173936996666,2.9266215580011377,2.1425033786255963,8.828719898731586,4.119936962173173,4.76997129146337,7.8808713554821495,3.4082121591698615,2.8425604703153278,3.3745129308136663,10.649021268891303,4.290598830822294,9.997098922191688,5.8168676871903635,6.8721286302376825,2.0484666893568115,5.225299846175222,8.81967265754046,4.624869742523213,6.216226383776195,4.000794341773607,4.355396741865856,4.124835963432692,4.158562366152442,4.290844245180865,3.709600557845335,8.700419863895577,11.746669135093343,8.12786807190845,6.973491998503752,4.412501781964566,5.810808274652484,5.632920547800191,6.809872652232737,10.49264957805568,8.008245560289929
1886_R,4.393950990997132,4.7463883111150045,4.799271056200504,3.0452138474939385,5.350353327614809,0.0,5.113698143630636,4.272582332111504,4.276533976958629,4.142753422870489,5.7437188757634825,3.5012467938140093,6.023102447222611,4.438462230173398,3.9514504196923474,6.764410699492967,5.34342960953317,5.631866467776978,5.4494693966265215,4.54767286546669,4.641477248814682,5.299286143021583,4.380066225632321,2.8496482453683067,4.169975996251707,6.587755532709934,3.394258532010806,3.3532890030153695,7.4566012482276935,5.74406510187784,4.796998678622274,5.690030759584571,4.323966579076167,7.023364278657656,6.136774147094199,7.092655974222409,6.232839865319187,3.8115560754037134,5.39498955333252,4.696931130760883,3.3672090569834134,5.245142891392623,4.255526118645011,2.3335701441167522,5.412279637867139,4.715832971347855,3.183376486665572,3.041421919626723,4.873894685095111,7.282987704680538,4.313204607946548,3.819616229746019,5.385363411909904,6.7045876154682285,4.863509582070095,9.749570573171784,5.1612798624983975,6.998016428177416,4.559737870765918,2.3781853945612514,4.732131763703556,5.373544263053551,5.533415438320783,7.710646344453794,3.4154541493557207,4.0278120765102425,1.8673781272212024,5.646968330674254,4.540548777743675,5.237317931071482,4.890935399813377,5.176750253869319,3.6084684011727,6.5687449847793165,3.521927440410536,2.7295685108510734,2.831168032290463,4.70378399471404,4.770392299775763,3.79320533356772,4.659904601295161,3.6141070028459676,5.096436657087228,6.1181448208079,6.207743392012425,4.6278602147653665,3.94200657553556,4.909399701862521,3.3412027207737163,3.45983802076689,3.887870006825257,2.78993435357012,3.717333040036641,7.093034466016369,6.155951471037501,9.199232589582724,8.87028892226617,5.229088917124463,5.023306213087937,7.223991689004135,7.227473370232986,7.527619131494494,6.211333662599722,4.1888307659135755,3.6872262961652864,7.069965757861894,7.40047113466286,5.581833304232302,5.3426488275842,3.1196291246680787,3.1625472239250407,5.069914718892394,6.435273622690199,5.033681148096315,7.557839703133195,7.690855620984713,3.6984228402841626,4.925000736868034,5.335626856200868,6.003618428547788,5.194145217558327,4.214557808974688,2.9632026493132564,3.7925324858871705,2.8509696835820937,3.3945967659274294,4.608521877791712,5.012943033433115,5.939536123196093,8.549896638168493,4.602607960842639,5.380183800196229,5.294992374471957,4.057925674091685,5.313675501120518,3.63733464453237,7.5471530637448225,6.348803315468863
3853_Dg,4.465125830163844,5.106241308027917,4.692660787919154,4.297483790703331,5.135020403480436,5.113698143630636,0.0,1.109208729469242,4.429023913183375,4.941498832810899,5.689449233213946,6.135816456235708,7.076995582318932,5.544922168361533,3.2614231527257975,8.3025017559209,4.623617718028572,3.6183977537835106,4.365251175314441,2.6606665411626587,5.592316894694497,4.2576628313710945,4.817439244931102,5.446818326723421,2.7005819073713586,7.076956634188934,3.099541773185161,4.286717124607041,10.121862072367376,7.98701148238127,6.30727007960793,4.65569814162541,6.1018289904114384,9.609050627543247,8.787431720589318,9.882445346518095,9.281588994768798,7.156361445040705,5.768274840451252,6.530231895983,5.608933192208781,9.058948977230003,6.40816675874373,6.498551540056342,6.9722405925572435,5.211148864610634,6.8910952423285305,3.868634241816754,6.820887161129707,9.273113360784293,4.935006658516832,4.6011690024929806,7.781052847650483,8.09708918631718,8.349754975832228,13.452548379615383,7.394173032445026,9.850169671657861,5.428220829677122,6.411509736940978,7.261847675072684,6.0392290830122874,8.602797359917291,9.938490078209247,6.788433633652101,6.499392242883588,6.310364993234563,8.120514298380375,5.493841663668475,4.730476106091219,7.5084243798248576,7.225811834185687,7.516832202966516,7.672134728760169,5.385723632157459,5.620103854536245,5.513249169387936,6.368102594502488,5.6386775623146095,5.958076070469131,4.879425807320897,5.640740185700523,6.629303514141802,9.482740877872676,7.900656514300927,8.140727488478888,6.282581914807973,7.463921459618925,6.898815687541814,5.1379259727685165,5.711787795062214,5.44148260373099,6.796297080559591,9.124114199551968,8.385241315980188,11.696316814020888,11.466947239386933,7.84294735037884,7.306119367125194,9.726030610586351,9.360960399048826,9.304434213426992,8.714784087886375,4.7427123338299575,4.105543344207795,8.484689475818765,7.48007604120415,7.559347964592502,7.670021907366795,3.9907120223630335,3.4724558342330583,5.614543268228763,9.630406734323223,3.522375208711276,8.744442791214952,7.409380615367262,7.161211666031979,5.108197764585388,7.765152193237408,10.220496465557162,7.737270414512332,7.235315365850714,6.509701117402799,6.924840812804826,6.479217158156564,6.834483500455535,5.235986348308792,7.047172211654859,5.5590287486493,8.865252612936294,6.073481712294806,4.028573253023639,2.0957337089381056,4.297172271549849,4.068336998611011,4.479593714121179,7.5562008622584225,4.806516388401919
3853_R,4.03270068074238,4.482379960592317,4.562698541230925,3.749921335333385,4.6959332366061535,4.272582332111504,1.109208729469242,0.0,4.421142077661066,4.287523270561582,5.852351669773664,5.347247092239914,6.232589518099049,4.721291718503584,3.117168421103716,7.8806335232695135,4.840251990642316,3.5513818050073676,3.670917983001005,1.9510048529707864,5.2421551412767595,4.513752964197182,4.184761715381805,4.7660089518450635,2.0209026837482558,6.576683715358338,2.612065957597663,3.775384261341232,9.147793165464972,7.1746832799575815,6.1657020298236045,4.283191715742645,5.3379581214277545,8.723174197030444,7.772881831775723,8.919450236361262,8.31789669107305,6.441135570510012,5.369421303915233,5.886407272884794,5.143338569676599,8.192577185380268,5.8108074320844185,5.693101141062901,6.326783829542877,4.793385617444351,5.905325372808702,3.3858062780101488,6.2535570556575815,8.599964624928107,4.450769468878739,4.061182828943212,7.123422184522277,7.349233829592489,7.5055722829671945,12.588023185017263,6.997767305190646,9.067588270396952,5.166465318107122,5.554306177388052,6.628140810145393,5.847071279099314,7.723360685405842,9.036611812639293,5.833320992498251,5.6862614422752085,5.453364350751774,7.2695207400822826,4.904964845705596,4.379074336779709,6.605893688124756,6.50673712435565,6.656487561145246,6.878377267333261,4.706737514785302,4.960771923084856,4.762930709120312,5.7076063923425435,4.95214067534405,5.489150292736566,4.692920928003655,5.035538076909204,5.873028829841075,8.556869187420517,7.121238174007045,7.221900468478149,6.012002293195749,6.648080451028751,6.346064665202212,4.595871355745406,5.1094124243870604,4.629546959489984,6.4456857729155095,8.325871770967565,7.577591034371435,10.907516065528338,10.647884352125125,7.046043273622419,6.549820976647022,8.895887922364274,8.654774896805694,8.618412994797763,7.8404363413670035,4.323666248760587,3.3562492632214727,8.521940074896113,6.867887996139096,6.715452819678077,7.1793854807618125,3.4334358070121636,2.828461668235535,5.052171981769384,9.153517302757313,3.6553194983142716,8.762667127083088,7.22977984634032,6.427841446771225,4.81815276221625,7.2924849756060555,9.45684844632494,6.984149333242096,6.621337379225232,5.651984980385942,6.004546936600781,5.67667736658023,5.972362149194217,5.059134777600213,6.302549941760273,5.847089180523731,9.126016824201487,5.9190942797998805,4.436008950707621,2.641615049659781,4.322746030304985,4.371994426620271,4.225426286011268,7.85760288475425,5.323687647787471
3904_Dg,3.9020133504929873,5.304067237082683,2.548411050084277,4.350355826523547,5.415495314380368,4.276533976958629,4.429023913183375,4.421142077661066,0.0,5.358411242057878,1.9260606512109646,5.420558902057741,7.752455867022108,5.70047565047105,1.69175000512337,6.294671322725477,4.155819830730959,4.977649603940062,6.480894958572896,4.936674072739685,3.460055722068414,2.519109021444421,5.408353812819951,3.5602847446279373,4.915363234625296,7.029034622784272,3.311493834472186,2.97708571236459,9.921127633736907,7.368790735661933,4.487148403046607,6.252127554622075,5.447451300773646,8.895381079182526,9.112727529814006,9.784970096411097,8.664964415286335,4.995598883276443,5.634631106294666,6.082548988620277,3.0634080757144,7.642889020074545,4.299898007740114,4.867868498504127,7.067882764968603,5.4653074886151645,6.454895192993783,2.7318019039166908,5.659719111718944,8.832432281478686,5.467397676742458,5.068828330214436,6.555824937221521,8.472039291140852,6.678528639187578,12.752198163723943,3.8811657540441726,8.718447611436357,2.9747388411186675,5.3975121071057295,5.580600461993451,5.566965695559323,8.004145175986357,9.739553176086291,6.390711179762388,5.963812086567705,4.701016718460282,8.164380457107043,5.815375440014872,5.5996469783357075,7.702251415721941,6.088786495280978,5.868648489551273,8.22589404637023,4.98972178958087,4.281301892696434,4.216643754679896,5.641900109567715,6.506980529066147,4.604695153926197,3.289136221775267,5.32213538333611,6.190043724130041,8.42374065865011,8.61421881235219,7.841327461226708,3.2967638089607862,6.421668849931446,4.3275811318965935,3.9561194485019535,4.391777386329927,4.652420664524502,3.3951601649569016,8.890511889368165,8.050255933269261,10.880193484321207,10.919342123590331,7.110807510894837,7.077088160881158,9.32139604290597,8.635074327707073,8.698929221602103,8.539132620558973,4.546656797690945,4.399724856582737,4.7001205247758095,8.851537648161623,6.837637061720905,5.2093383998170975,4.209679125876954,4.110541404448473,5.992123212273383,6.755733003349711,2.957107874555811,4.943796305743377,8.146488097468046,4.947890248252945,4.456494257580793,6.137461449670764,7.709946588154049,7.533717841581096,5.882199888577408,5.464763434063314,6.401642464345903,5.062792528570086,5.686691415802345,3.9558457570598966,6.9711427588957475,4.417332996179551,7.2651163211237915,4.064479798234369,3.8559620272938484,3.2445805372067853,1.1478239419992928,3.4113029541723026,4.737864698009863,6.476420099826003,4.460061365606625
3904_MRD,2.3758818827414543,2.106391348096521,3.937785612472032,2.2788511689903967,1.8394933216560039,4.142753422870489,4.941498832810899,4.287523270561582,5.358411242057878,0.0,6.913649833331543,1.9012448695566369,4.1574824106657156,2.787241649077895,4.421558004557717,4.975248822183663,7.331180763576139,3.722674967950283,3.7144650137819295,3.2788952243004825,4.7073994481988315,4.868991652219969,0.5222111660891229,3.366779576004254,2.7678575821555196,3.10132172028083,2.7103011310879226,4.501625543708046,6.474464592609634,4.718139288768459,7.6337759480966305,2.6729500574084084,4.254160111589699,5.864117343826769,5.4674209754119065,5.754788561109583,5.554383214113708,3.8528146382455732,2.432088243129746,2.7926006632023865,3.923727634812658,4.879118033428523,5.012163599132785,4.323970744703211,3.0887088097237574,2.1651844141629315,3.651422054928784,3.155563704631279,2.3854321370204756,4.658334063132834,1.6427140943229264,1.472017238781465,3.40456986557696,4.932790505931017,4.970141725595183,10.085929406785366,6.972038402073739,5.5171696736008755,6.936388328773278,3.8944837428010706,3.7536370110106643,4.736178945546876,4.17739822722313,6.216904886959948,3.107407237807207,2.506237036063732,4.970212891321174,3.6120261704306964,1.0495246230186024,2.89928334702073,4.816264848446351,3.9211779795399053,5.887547812455516,4.68590575510931,2.850465385021483,5.58372698531084,2.6972596723008984,1.9520361708695961,2.66481299688755,6.613191235558324,3.812517353249925,2.145957700248242,4.420443180067523,5.584242794720543,4.24805313609832,4.038976055549528,5.891510612768442,3.658353911433307,5.52786867434289,1.9469674724866157,2.3490408047459157,2.1736887072436124,6.331057671345959,5.3986539744647075,4.580912432036626,7.596590370095558,7.029716923637141,3.390084332048236,2.710060701093545,5.939499196790545,5.589760839832734,5.3459973689029585,4.585903360930008,1.9151568250218938,2.003140384543645,8.515083742837348,4.1999928688168096,4.958099624074933,7.854776533115419,2.69046703491756,2.180416256021424,3.369538252094379,9.941110607656107,4.211434240922461,9.941610639849,4.999426133705694,6.132308473130034,2.5268847195451087,4.4947493417847335,8.369075897804633,3.255607799593814,5.065113727103381,3.1091179749385645,3.76280579420897,3.293350036342296,3.548147216614476,3.955660940957179,2.5060996735035435,8.061537693248974,11.041729981975266,7.471182818985917,6.337465620194717,4.545166045638533,5.5329660823845686,5.165165636643548,5.735436415901938,9.674439557979172,7.446608865184203
