,1216_Dg,1216_MRD,1216_R,1886_Dg,1886_MRD,1886_R,3853_Dg,3853_R,3904_Dg,3904_MRD,3904_R,40389_Dg,40389_MRD,40389_R,4978_Dg,4978_MRD,4978_R,508084,5143_Dg,5143_R,548327,5750_Dg,5750_MRD,5750_R,6323_Dg,6323_MRD,6323_R,6323_R2,637C-BMA,640C-BMA,721214,782328,809653,A29-BMA,A35-BMA,A36-BMA,A37-BMA,AML001,AML003,AML0048,AML005,AML006,AML009,AML0114,AML012,AML0160,AML022,AML025,AML026,AML028,AML0361,AML038,AML043,AML048,AML051,AML052,AML055,AML056,AML0612,AML0693,AML073,AML1012-D0,AML103,AML1371,AML162,AML210A-D0,AML2123,AML24,AML2451,AML2910,AML304,AML3133,AML320,AML3266,AML328-D0,AML328-D29,AML329-D0,AML329-D20,AML3730,AML3762,AML3948,AML419A-D0,AML4340,AML4897,AML556-D0,AML556-D31,AML707B-D0,AML707B-D113,AML916-D0,AML921A-D0,BM3,BM4,BM5-34p,Control0004,Control0005,Control0058,Control0082,Control1,Control2,Control3,Control4,Control4003,Control5,GSM6085177_AML01M4_P,GSM6085178_AML01M4_RE,GSM6085180_AML02M5_RE,GSM6085181_AML03M5_P,GSM6085182_AML03M5_RE,GSM6284912_TS173_04_Sample_D,GSM6284913_TS173_05_Sample_E,GSM6284914_TS173_06_Sample_F,GSM8791432_MLL_14666,GSM8791433_MLL_16703,GSM8791434_MLL_17746,GSM8791435_MLL_17843,GSM8791436_MLL_17844,GSM8791437_MLL_28824,GSM8791438_MLL_28830,GSM8791439_MLL_28855,GSM8791441_MLL_29532,GSM8791442_MLL_29538,GSM8791444_MLL_30886,NBM1,NBM2,NBM3,NBM4,PAUMTZ,PAXMIJ,PT10A,PT15A,PT16A,PT17A,PT21A,PT22A,PT23A,PT26A,PT27A,PT28A
1216_Dg,0.0,0.17547609146699464,0.17493025784975508,0.17600953835792071,0.18037175374625927,0.18860004483734555,0.2539184541264865,0.18213944638940704,0.21264221043497536,0.23684442867040797,0.20657185740901293,0.23194548051326952,0.16192067014327222,0.17858035989545637,0.19614920540322014,0.14108136826007914,0.5320672237171248,0.21319684604577926,0.23604874187105054,0.3024205675350553,0.19217436370607843,0.19544279395926123,0.23688835635308564,0.2595106618901146,0.25756905160278737,0.15750860406956335,0.20196474505285383,0.1974374410762381,0.24142191371026406,0.13862846704268705,0.20304933312732254,0.20678419433991907,0.22130152303975512,0.15576682433317304,0.16795358083000117,0.2133888075884849,0.12463774583292707,0.22215021599037202,0.24214934227815502,0.18842514347967304,0.1892659072501937,0.19823639595914058,0.1806356415776182,0.22017195247686563,0.22649538188045243,0.2300980185252015,0.22452004765186828,0.21673434047879642,0.32186783194165136,0.24895223151029777,0.3389418689799338,0.16993530700388496,0.1799343460949455,0.2925871869276676,0.18841005087763552,0.2522169651636429,0.33479242442104434,0.259774615101361,0.2191007567121438,0.2783433412441404,0.20545688361790096,0.3895227643858763,0.2089830374452236,0.32411823980226195,0.20436464344393596,0.3267923657751299,0.1979341060924211,0.23790555599817018,0.2287695225919122,0.2578457412798645,0.19745082367232872,0.20433628933477893,0.327031781924892,0.1709628886404763,0.25971931037442814,0.22929268928209492,0.3463040807663193,0.35490215594872443,0.2214687723088051,0.2752378115569219,0.23643410136822193,0.19073217756076996,0.13333621440526044,0.1490948217415254,0.2582800061414285,0.24820985466806617,0.3910506144807632,0.2539191062455653,0.30713141931684085,0.389558057943716,0.26611091626168865,0.21647140549854357,0.2937957901974851,0.3285183448851057,0.1524643196938346,0.32416735456232154,0.27336138801033205,0.23288283398826443,0.1939442618330228,0.21592717886939422,0.13156687578756127,0.2648721904474446,0.20585637088932635,0.253486238456851,0.3035396497818444,0.2960202831537162,0.15779179067868282,0.2961175302944615,0.3238463505135743,0.2915983195567543,0.20966513750535093,0.2424700277665867,0.27426935110273426,0.314988563191389,0.33306101368456675,0.6693611197676402,0.24071565424204372,0.177728191071416,0.20637576544205988,0.3070373129525397,0.27388642497740884,0.2125077522076607,0.2537130802115377,0.20275090616485078,0.2514387202123988,0.22322022426599467,0.24178354573024394,0.22900282998186378,0.4703395149293908,0.47197937703252757,0.40324947559957053,0.2675429487674279,0.17876592099081698,0.2116404437064708,0.28391467678943316,0.25641541040893956,0.4936826535763376,0.39348766845094996
1216_MRD,0.17547609146699464,0.0,0.12711232400170866,0.15648387938994635,0.09913162077069453,0.12314418168978991,0.21250763431877323,0.140117129756114,0.21036793174271687,0.16528998921481397,0.1770568826566167,0.1384104139288852,0.12988882131897303,0.1171930750233964,0.16635249679509173,0.20026452567797612,0.45526154270327707,0.1516135969869853,0.16414682321022728,0.21616105912463726,0.15613122109248392,0.07989614659456094,0.16461536976700972,0.1783777275985253,0.17666990851079328,0.16295189564036017,0.10555542662077329,0.15994366351180994,0.330509429057784,0.17106718687449618,0.16013544261444912,0.17195591443464514,0.13913829617442205,0.2769037284197724,0.28434589233296037,0.2715245702089193,0.25727619467754176,0.28092277443073205,0.14383574538430743,0.18662922381672095,0.11413213100038236,0.13854889217908467,0.14168535332060433,0.16196495444205541,0.18286875812021897,0.2059427152461766,0.21492023906806276,0.1318656680423233,0.34538057981564474,0.29313927742470675,0.2280672764249546,0.17732636101955965,0.12331236947727486,0.3068596025706993,0.13104789744252426,0.27129919681802195,0.2773091685443288,0.3370090401384404,0.17006493042252496,0.1980896022793525,0.12965835172678686,0.28957227172078515,0.26063361500543836,0.40731320569727986,0.1216687530408089,0.3405823939506373,0.1741393098422329,0.2119851131748595,0.18874733901069954,0.20486022944599777,0.13166647237001203,0.16563607529550223,0.2836825887107656,0.23759591102674768,0.16044540907123983,0.16114883304368366,0.29450580081706934,0.35402286876265837,0.1755549754684301,0.19661730885208836,0.18331702233124583,0.1526737913625367,0.15851976775804813,0.22742522202492943,0.3416449135725353,0.23679962843036942,0.30053484380629436,0.2973404218032173,0.2580778578547927,0.334612797018664,0.246826373164271,0.16479852047032062,0.2828294101233519,0.3883493025274402,0.16890524063648119,0.38841623318157065,0.343888603888977,0.170349799005473,0.1568273188130578,0.2550027889791098,0.153933504945778,0.28770452190319157,0.22095305112132813,0.1836565188923813,0.20334800367067044,0.23367114311916434,0.26845146199066705,0.372631442517423,0.28037141460668474,0.24455955144524438,0.15827414632736297,0.20434461136793008,0.24770632915024998,0.3291727440416886,0.2775242249525061,0.6834375033583012,0.23495452818575532,0.19165649230706056,0.15307921798643914,0.24043269310668455,0.2524488787224125,0.13943067115997318,0.16985092249909328,0.10749086044747852,0.20167781135475607,0.16901314269314371,0.16456003095598748,0.31120846132810537,0.3890854306454749,0.394559915109414,0.32343716562655195,0.18177059929360825,0.08700960374826548,0.13747145220982213,0.17440438262350372,0.15584817765612677,0.4166723895241823,0.3119006820869856
1216_R,0.17493025784975508,0.12711232400170866,0.0,0.08230146138664297,0.11720059367119905,0.09143808387648018,0.22496766057075504,0.1800612377765787,0.15637812854481864,0.1164795398420958,0.09320755652693616,0.11715404803463701,0.10099118493894306,0.0720819080060661,0.10203649148386773,0.17709433814811387,0.4242272904457874,0.10166525625810958,0.1857461264290931,0.23769425432225022,0.08565039813228335,0.12827008795363054,0.11299156733550841,0.1335596731601726,0.1845210622377176,0.1340200535140345,0.14759815191305448,0.10296733886024315,0.28736783255272047,0.09731161435404014,0.10261370004302306,0.12852043096859503,0.10288079596672633,0.2318849678182362,0.23315664753804197,0.23548836248424335,0.21785989216082166,0.2691304235485278,0.11979459142365324,0.1318774625299241,0.07601305609569624,0.08379880302100184,0.1823367382800433,0.13031874946564187,0.1915239427773433,0.17658136534829266,0.21103881403370595,0.11602486988176379,0.39569504231675773,0.25545052288233044,0.23857295492404848,0.14900190854927933,0.08179575887318603,0.32173724000835796,0.12361697811995677,0.24884335731343737,0.21395082658053907,0.3108331630112491,0.14203702836118465,0.1872814202828428,0.10374910874619284,0.25783199817771213,0.30318448792568353,0.36754623101100997,0.10603874162513824,0.3375613576060097,0.10300106193850048,0.1488123601681914,0.12936226109155444,0.17714697083945963,0.16792409761431681,0.14387610926189315,0.21032340990338605,0.24481811473327494,0.15102701998728457,0.16098558258533466,0.2743989337581564,0.3440823579409017,0.1452707735681196,0.15566137456991386,0.12621613605447218,0.16391111623167132,0.11825228232205581,0.18882142238552596,0.27597524372238386,0.21958136785209206,0.27375236032319666,0.30425024626827196,0.25350461508883404,0.3050148300248722,0.2013181422630137,0.15029949514935143,0.24138885067905813,0.37132945265568357,0.10063614925789378,0.37650715574911975,0.30332809669004146,0.1943591181241238,0.15169435767346798,0.20108539236970804,0.11598062036856589,0.24858640812615423,0.18245676009465708,0.13788106962002805,0.17901892912631331,0.19113212679221256,0.23183597982174498,0.36142345829716394,0.213806130753717,0.17350077015259782,0.08856622138034385,0.15678981182457247,0.17929316719479527,0.3136480654722036,0.22184907577489377,0.7323654328339166,0.15883126598476646,0.1552278175384077,0.10405622993303784,0.18272335570587273,0.23920181552486108,0.0849412585309996,0.1648108276803465,0.11883317932480941,0.15738468481935514,0.12785091929942177,0.1461542086287558,0.27912006902755976,0.35987992900556753,0.3777875530082799,0.2867739263456904,0.22104106928164138,0.12925045229712068,0.14686308302181142,0.21192675766594193,0.20572194713368802,0.37534324061952407,0.3336424895595072
1886_Dg,0.17600953835792071,0.15648387938994635,0.08230146138664297,0.0,0.14706028500725615,0.09825347154771545,0.25669393400753343,0.21584384746187693,0.1449268980499186,0.12476031518564933,0.09737249804983915,0.13764450435798822,0.11770112658670122,0.09043294453172328,0.09550670590784242,0.1667554092651512,0.45358450340525397,0.1298694549201506,0.21678194783275692,0.2674129998728051,0.1034324123220827,0.15246496410356253,0.12464351439983677,0.1608461836131964,0.20816645612665055,0.13321951069384194,0.16151236329723495,0.09804703630505637,0.28566195596740734,0.10728721408187132,0.10584711159146018,0.15605572882018962,0.13414134557318974,0.2209820763626527,0.2192691882883231,0.2310636389731143,0.20818008282811068,0.2679993854661062,0.1560931058710426,0.11561544309576517,0.08874807434898055,0.10239365941690441,0.20571035348121325,0.14966483056058605,0.21330287604398845,0.18524306050065653,0.23385033610985154,0.1328360485643555,0.40412464734106923,0.24617818431925373,0.27135413278465176,0.14484187142454572,0.09330302189937854,0.32129715197650893,0.14134370427379433,0.24057960950429538,0.23837562724404787,0.3120072478267233,0.14172493900368527,0.195022730205377,0.13048937184839177,0.3035892304857586,0.31587960672306425,0.36288845944095927,0.1349987115688258,0.3328632228552557,0.09923674142160512,0.1489552916816187,0.12849850217038478,0.19687762323432823,0.19294104075761637,0.15123717621096358,0.2306279597175842,0.2444021660488118,0.16865587047084318,0.18746411737268578,0.2644817124464438,0.3314083630672591,0.17050743435549656,0.1792121033100647,0.14365856832633064,0.16569894103424396,0.12516399860346877,0.18093349043831802,0.24872829376084082,0.21419240541191412,0.3140127578816498,0.30473558067881473,0.2652093859119992,0.3424079092126048,0.19468617723911186,0.15954303170873407,0.24138251684007578,0.37798989541794703,0.10933999636175941,0.37669647898147474,0.30017240906244164,0.20830366799552427,0.16784103648800827,0.19855294117590688,0.12238374591925176,0.24284420117458405,0.18359914960820745,0.16116386760806084,0.22110726627261273,0.22008971873738936,0.2276576185930073,0.36447753844036423,0.23326549534399663,0.19496104915428544,0.10637082371252034,0.16823025249556356,0.1918409201864169,0.3234888363627683,0.25129092225986677,0.7357111875966412,0.15162360588933327,0.1452646023288433,0.12440658310716993,0.21201721342627877,0.2376030236794304,0.10997365708383554,0.1893911005513989,0.1548643705357235,0.1765395155594766,0.1459283457324079,0.1683482218597864,0.27172550314171534,0.40366023011503765,0.4183271183157682,0.32135129728423595,0.2496545685174276,0.1548633462875378,0.17620833602742725,0.23304956431644835,0.22987925718448113,0.41182273346621323,0.3583535390239593
1886_MRD,0.18037175374625927,0.09913162077069453,0.11720059367119905,0.14706028500725615,0.0,0.1165250571216685,0.22147601709036566,0.1581108913288194,0.15216659012483189,0.1186945185388425,0.1377974325446846,0.11663019376548749,0.12194663278517211,0.10621856690467145,0.17149698404593586,0.19943306486645115,0.4409035975640059,0.1428195439313237,0.17756328920473843,0.2088627813785748,0.14344362246863426,0.1404724992290377,0.1204270171413167,0.13457156970152456,0.21155671763954184,0.1357072971799726,0.17463154977202744,0.17229175634644184,0.32375460703222714,0.15377025352852103,0.15668634784352317,0.1770960249809391,0.0967583994527741,0.27921005496193024,0.2856155225058554,0.26916890931487963,0.2586459640712911,0.2532411178311885,0.12475866230462328,0.16487016338439825,0.10901113497691454,0.11180216052039081,0.15076728637516007,0.12380604066472141,0.151728937880192,0.1790277061400569,0.21272827157662355,0.10474542483634348,0.3413441053756416,0.2629676746890492,0.2274094110186848,0.14706284489250082,0.09383017418187503,0.2826183797886391,0.09662092257078261,0.2767312007372824,0.22413324580392754,0.32072005602599823,0.13093015515685455,0.1765644117506061,0.08960796872408659,0.2756851942263811,0.2520372059305263,0.41600775049024113,0.10800161833998824,0.31804641481432916,0.1698908461258374,0.19406790497610638,0.158710559532002,0.20264120500972574,0.1380651227712821,0.12818248153423858,0.23349188021979883,0.2384710995874635,0.1374177960570685,0.13001005522735648,0.2845676832219946,0.3257874553203783,0.16861322528578934,0.16558035306750216,0.16397525539651328,0.14606049521301032,0.13400240153600163,0.21164505700358713,0.3311376084689086,0.2330038880314413,0.28118301547873914,0.26700198703509437,0.2488313442715186,0.3013702191895687,0.19929903681585828,0.11254197945844528,0.29701575908758365,0.379426084390003,0.15808485188813362,0.37053004995463334,0.3181485817428339,0.12477094061287232,0.13175314317096487,0.25888089886821436,0.14843258992836378,0.2620746215510446,0.20390886143592596,0.1667659364476232,0.16930055410803158,0.24079671518841625,0.270604623410788,0.3908023337950039,0.2219187761515655,0.1926906768056838,0.1401778472940159,0.18269659030713337,0.22792546768502464,0.365496506745076,0.23647365986873642,0.6718085540897064,0.20390158755854074,0.21436760717598774,0.15653996102065673,0.2074937297797051,0.228419619688395,0.1306296355235999,0.1416066897051844,0.07355658939322315,0.20916904250656904,0.15735478932548388,0.1283947980903051,0.28871528376450345,0.3535228086978702,0.35951584026600325,0.32923362466341743,0.16369652530747553,0.1497716339920856,0.1656066660088741,0.1792572520520745,0.14172352265956412,0.39574976069969214,0.2845490021858314
1886_R,0.18860004483734555,0.12314418168978991,0.09143808387648018,0.09825347154771545,0.1165250571216685,0.0,0.23579548087642047,0.18876368112764053,0.15753936351777342,0.1219072715912716,0.1152032434024228,0.11234516541093963,0.12287005206416293,0.08624163888520332,0.12388617536875117,0.1868104570493628,0.4442545496051056,0.11858745027819771,0.19424906836791855,0.24536103742000687,0.11443060618272954,0.12951020258433402,0.1206666213174291,0.1447797018953768,0.19477862799190054,0.1331670713803033,0.14883697757099335,0.11965773222777416,0.31639854277197543,0.1351289039721547,0.08544689805015279,0.15646353386676629,0.1118670406798799,0.2571456925857128,0.25953997736050416,0.20621489264980358,0.2389121420873274,0.278586261753095,0.1296164261500598,0.10350918364946413,0.08712845257402917,0.07461451171882318,0.18174223454953606,0.10611069247216869,0.19908951045875786,0.17939490027525973,0.22987187846491586,0.1201256764524786,0.3880448137814641,0.26551277218257097,0.2453267031490757,0.154726638757533,0.08655897326284427,0.31644320663285036,0.12589615891739944,0.22179335087679658,0.2283332861778562,0.3332539780532598,0.1371251838280548,0.1434311177854681,0.10996763929105925,0.28349577055850783,0.3011794225935949,0.3962074789488382,0.08118323822377117,0.32217870961431044,0.12215824241804067,0.1455753018955555,0.13728832274376415,0.19120798749760592,0.16741518315291412,0.13915870111810572,0.22417984000013547,0.25279893481758425,0.14629066573470276,0.15651017640108,0.26491447491763676,0.3267808078314438,0.16418971812647362,0.13199643607861933,0.14941876572974358,0.1452883888234637,0.1377128440923696,0.20122442565579027,0.29715287878724106,0.17283112625151398,0.296195228060652,0.3027487535886183,0.25019710197818457,0.3234200510196419,0.19508513718657192,0.14542999666512763,0.25430185985327397,0.39354600314810634,0.13807835160246446,0.394115280424565,0.3257177170761422,0.1864396438866593,0.15102214368560113,0.23627361722430967,0.14519109011352324,0.2699644732468937,0.20214847370052383,0.15840385621276692,0.19344961244837905,0.21759175366942882,0.2551286767669525,0.38032370685258393,0.22650499040789762,0.1907601667109418,0.10841032460585709,0.16867580414261366,0.18695692111346585,0.33492500565781685,0.2409567114764716,0.7258010398332246,0.17612610571019743,0.17008906235691806,0.08684631940804223,0.20098587276076957,0.19410363087711044,0.068532128498116,0.13899363597993417,0.1226592209117782,0.15512023940542152,0.09908807104905734,0.15271480667764534,0.2869825124540528,0.3792045530576935,0.39356178997513813,0.3091987146946255,0.221359588397683,0.1335906882003502,0.15740949006379212,0.2082485875586054,0.20238380627147537,0.40105249887775457,0.3326871943751056
3853_Dg,0.2539184541264865,0.21250763431877323,0.22496766057075504,0.25669393400753343,0.22147601709036566,0.23579548087642047,0.0,0.15839487886228049,0.2466305295578574,0.2557737525613439,0.23857909526653573,0.2230790226467661,0.1865676608109862,0.2126875658423479,0.21765061373275407,0.25211047528289376,0.4624203748042481,0.1901737770289647,0.10654582192327772,0.22129949151832765,0.2181570818475146,0.21023525159320017,0.25895677895898034,0.2340422298118164,0.16744780361699108,0.21571649871055262,0.2008326467139114,0.23316970484151184,0.3973907399621796,0.22878590648469807,0.2562572979267609,0.15244090783939943,0.21982448158362283,0.3217738062706217,0.33281613893822676,0.321508877558403,0.31255437066329383,0.36481348782354966,0.20418872395057824,0.2588202949727511,0.22912342528283888,0.25524353644031217,0.21617653673476034,0.22642861348745666,0.24215284372165494,0.1870130939405221,0.2635753403993955,0.23679094761068933,0.4613193611054929,0.3169132363298317,0.2634833038633375,0.27461010371255734,0.23589552345322873,0.36425926205819903,0.26790231133526743,0.35917701985337747,0.29984206583473344,0.4196364609966224,0.2340833870524729,0.2953061290975358,0.21765897949156632,0.36123674723317845,0.33503100756748605,0.4380979672381009,0.20666477365979705,0.4208984819561482,0.23073779866237817,0.2172022520585041,0.26032002282796746,0.143538538048053,0.17675299548113552,0.25172708461443843,0.2970548707689182,0.2634032680906808,0.2536810544446188,0.22824407643899092,0.38383947071901076,0.43686235959411446,0.16096126961062843,0.24367538394121502,0.22156209069734645,0.280460346519135,0.2151548042313694,0.3045083736576936,0.3602959904893555,0.30760449081675323,0.28216645761485787,0.3212727799871801,0.2209814226691198,0.32452657448917616,0.3115189213783881,0.262777411287577,0.25790779393195684,0.4649449101063919,0.2098274977747331,0.47119558029185377,0.40650957224721657,0.25553857892462395,0.26676922636595474,0.33464778742678997,0.21047653780738748,0.37555620554765623,0.25805757056201317,0.20344249151013583,0.2318911917452783,0.20431202790499697,0.28771195762478136,0.368992414767141,0.2814287483365626,0.2641183222295448,0.20966983544917714,0.18972289834399425,0.24075478253173632,0.2999392048986911,0.24328313314774214,0.7755563948066243,0.24378835459331602,0.24542658474738938,0.2280648201889329,0.25391849089718305,0.31187671922773474,0.22756444436106557,0.22476086006339838,0.21907673724196028,0.21592128195342905,0.22664528272724843,0.2620356409353669,0.3131699085870094,0.3591519964354206,0.34042558619977303,0.3059637792362307,0.2911067704343301,0.18016909799972944,0.23349400489339836,0.3178872194762365,0.2733144790216238,0.44981325457475285,0.3026104013448583
3853_R,0.18213944638940704,0.140117129756114,0.1800612377765787,0.21584384746187693,0.1581108913288194,0.18876368112764053,0.15839487886228049,0.0,0.23777182682483577,0.224812766510376,0.2170861442968007,0.2113418913221794,0.13255874926209252,0.17529660409418849,0.2165504126703285,0.23597891578573635,0.454642939052236,0.18698094063719795,0.1257060264685508,0.1954562233715738,0.2048065126367829,0.18313876072443178,0.22437711828716558,0.22962310546084008,0.15282872566696784,0.19722769447631466,0.16333983353670511,0.22055796623443202,0.33989389049740587,0.17767198188528602,0.22131340573777322,0.1533033221118679,0.19034037573389273,0.2874285546265825,0.29751977630804133,0.28950500649082966,0.2700944619976877,0.2886396342293767,0.2007280792327486,0.23219170179870208,0.19985248596886787,0.20207872482503594,0.15859444357234173,0.20502116471225637,0.18535649124329792,0.19878678692118798,0.22169001369302963,0.21434609036204727,0.3576980775249148,0.314360139460717,0.25750328976081505,0.21532273624778678,0.19886279108706267,0.32170151863169155,0.19843296898669535,0.3166924520378828,0.3075162960481043,0.34143043659085676,0.216333032632888,0.2711450528190651,0.18951991539464766,0.3301908671624645,0.2606391934366021,0.4115902986517695,0.1765836228244225,0.3835689898447003,0.22333892591155535,0.23579151162034265,0.23706426313846807,0.17842456929432501,0.11840502755591067,0.2217892014370408,0.29957974832880957,0.25492911922448613,0.23498721073681408,0.20082180692621016,0.34518693701450226,0.3988354915493292,0.1656487340526719,0.24172803548437077,0.23719986393153436,0.22094085246319387,0.16560399614955032,0.2614837483835183,0.36044061516202436,0.29363402284062384,0.30107707884391843,0.3119175327993536,0.29527790987019725,0.32955689060339366,0.2974263645794211,0.22296091973037518,0.2964436230551165,0.38702509366127097,0.18195340774494584,0.3859048124375302,0.35253610610621533,0.21749398453522692,0.19735874581950524,0.28018540054457525,0.17562560930740861,0.307432824196863,0.24598118331767163,0.20917234337040752,0.23857303585253078,0.24903409578233687,0.2782542565828611,0.3683104294333915,0.296814706482573,0.26061645265562616,0.19662142985690878,0.20156086801018486,0.2703414775853016,0.32886235102677774,0.2673937186162559,0.6680839000686922,0.2746006824688799,0.24475524008514027,0.19918467261309047,0.2750370730374892,0.30625915157150707,0.1950049881764401,0.2184397727157255,0.16427459337476655,0.23791873320865062,0.219851933062988,0.22864358387903486,0.3311295974734614,0.37844834766945046,0.38770558210293976,0.3165129855432875,0.20172254333224357,0.14494792423751504,0.1578861089999606,0.2368563626820989,0.20652461780532072,0.4366478829134673,0.3597619894050334
3904_Dg,0.21264221043497536,0.21036793174271687,0.15637812854481864,0.1449268980499186,0.15216659012483189,0.15753936351777342,0.2466305295578574,0.23777182682483577,0.0,0.12481690955004467,0.10194335277576946,0.1489374311459173,0.1539774885299483,0.15032358706172683,0.17240646264856668,0.20780361867598676,0.46452639972249654,0.15790024629448007,0.22087139974334105,0.2535600746482676,0.15170421304407888,0.21849772385654093,0.13846752826240463,0.1461341036539278,0.2485309428086911,0.14870724026472779,0.23925058114733602,0.18893305387648615,0.3349957456071476,0.1494602408110825,0.1650131584246711,0.18461099620486524,0.13544409257642293,0.2730874556666536,0.27512530986996087,0.2697249715311305,0.24935347176415382,0.2628792418419914,0.16862894247192348,0.14914201868209495,0.14604971288793042,0.14858626276102052,0.21681395999651823,0.12251483242322939,0.1827982305373101,0.15110153572397572,0.23023590040557984,0.13423498575481604,0.40276906800932877,0.23097801851288255,0.2638370612633113,0.1346042597762534,0.1209515917783611,0.30100135197120914,0.15543592409896448,0.29766092683043766,0.20873073640010126,0.344058961713416,0.09992483942980976,0.19629232290797724,0.11808426722492872,0.33138422361831216,0.30050912284361764,0.417574397427685,0.15877507304768723,0.28373842409487116,0.1654687996637794,0.1843294356956834,0.1315717421631181,0.21047500958633017,0.19946129841433147,0.12326803676835975,0.19962105901940305,0.24990511532961523,0.16099812949287823,0.15482538208240096,0.2582137554256299,0.28877086702956645,0.16210963551355775,0.17063724162231397,0.1555932646085952,0.17426320683664775,0.12781220912299016,0.1894114703951313,0.2799743876906829,0.23339775811393626,0.30488013360463523,0.24299550498285008,0.23631923972427601,0.31796433486359665,0.15037595898567735,0.14404171582680295,0.2919333435187373,0.4119139973192045,0.14685802046722035,0.39650317277983443,0.3125910856673617,0.16008002497028537,0.1530625370387013,0.27226937487424285,0.15321431631652702,0.25970495140196614,0.16404359879158978,0.16969974428814327,0.2183993832459765,0.26533810906066446,0.2641458670430503,0.3910707528483938,0.18544628037375468,0.16993601103493017,0.1356035371160045,0.1550308419048909,0.21094355808089602,0.3810467587850108,0.21847246805801418,0.7510655390223573,0.1615870716188,0.20762700883290067,0.18470493512135736,0.21264610814702237,0.21487783287456913,0.16049308503742785,0.17069428306532353,0.15459112024519048,0.22734710067873073,0.17985019407625263,0.15040733946399854,0.2363091035224804,0.3804623460550557,0.3711210125808398,0.35950814989655605,0.26396920700535514,0.2235129299456723,0.24328762011265997,0.26839865665690976,0.23959682273605196,0.43722953930014113,0.311176517090336
3904_MRD,0.23684442867040797,0.16528998921481397,0.1164795398420958,0.12476031518564933,0.1186945185388425,0.1219072715912716,0.2557737525613439,0.224812766510376,0.12481690955004467,0.0,0.09684428524018478,0.0922435772114494,0.1401796913440387,0.11090847843163731,0.16050995542619642,0.2176312535489125,0.4135903476087646,0.13547753079450076,0.21088795563070994,0.22924050618523117,0.1264878236863208,0.17486489944112307,0.04697465898716296,0.09589894581898224,0.22127599353386554,0.1684250249880318,0.20127423547305612,0.16892637606012725,0.34126622033226084,0.15965270939033285,0.13134673228017446,0.17379008238232674,0.07335592865735038,0.2937309037390441,0.29543365177218595,0.2766463447216764,0.27726453114675187,0.2745150222668084,0.11303036349904655,0.155983026988988,0.1049961377339003,0.09837516213120226,0.2011463410663188,0.11431621785577763,0.18101647209933952,0.16227492705939792,0.2180184268688678,0.09565796428385215,0.39968759057833764,0.24014401422152262,0.21751095310362384,0.14306734848909516,0.10090342597342061,0.297464028089682,0.1199485545371524,0.2924328823254689,0.18616162303554326,0.347433600125409,0.12486959931801717,0.1565353057839707,0.08141453759084974,0.24886289256925,0.3194560124180196,0.4258733223405611,0.12122298018564043,0.32264517856045594,0.1558111368993741,0.168424339237293,0.12135259267057524,0.18969638585097098,0.1857306947681282,0.11734883873812045,0.1949675100250935,0.2758847652149297,0.10341978747503976,0.13835750467813235,0.2496891256105373,0.31725451625452417,0.16233698712754868,0.12928648056223965,0.1394839923407399,0.17410893611784667,0.14938233779766483,0.2184027990156976,0.30416523645587606,0.22239126132920878,0.2594367198063836,0.28732399415891746,0.25297586659404,0.29942607132144067,0.1815675437314158,0.1072258166902393,0.2924793822348989,0.4026343438245125,0.15293133620429464,0.40214450839836663,0.32614849295731074,0.15286893856338282,0.14949695403568852,0.26397888052166285,0.15999811114515514,0.25177046032060063,0.19228609131477947,0.1308378271717878,0.1515095019129659,0.2299916675862539,0.28956914960826025,0.40797216878125897,0.1830402458355824,0.15396928351071854,0.11338286374621433,0.15177513671248063,0.20351947099822124,0.3771570069599134,0.20582543279020107,0.7434478873938491,0.18901332081397762,0.2122189763741872,0.14937365238696082,0.17621238475376966,0.22327405859092192,0.10943690957338736,0.13169995807848509,0.10668700518288445,0.20073365536647847,0.15005068181542267,0.11496845855617406,0.301492605987322,0.3420026096869641,0.3493412677324637,0.3098865922670484,0.22003040468526164,0.19178696033725895,0.20399959037977444,0.20602464022580572,0.19720085604883655,0.3762798809702917,0.3006320850054469
