,1216_Dg,1216_MRD,1216_R,1886_Dg,1886_MRD,1886_R,3853_Dg,3853_R,3904_Dg,3904_MRD,3904_R,40389_Dg,40389_MRD,40389_R,4978_Dg,4978_MRD,4978_R,508084,5143_Dg,5143_R,548327,5750_Dg,5750_MRD,5750_R,6323_Dg,6323_MRD,6323_R,6323_R2,637C-BMA,640C-BMA,721214,782328,809653,A29-BMA,A35-BMA,A36-BMA,A37-BMA,AML001,AML003,AML0048,AML005,AML006,AML009,AML0114,AML012,AML0160,AML022,AML025,AML026,AML028,AML0361,AML038,AML043,AML048,AML051,AML052,AML055,AML056,AML0612,AML0693,AML073,AML1012-D0,AML103,AML1371,AML162,AML210A-D0,AML2123,AML24,AML2451,AML2910,AML304,AML3133,AML320,AML3266,AML328-D0,AML328-D29,AML329-D0,AML329-D20,AML3730,AML3762,AML3948,AML419A-D0,AML4340,AML4897,AML556-D0,AML556-D31,AML707B-D0,AML707B-D113,AML916-D0,AML921A-D0,BM3,BM4,BM5-34p,Control0004,Control0005,Control0058,Control0082,Control1,Control2,Control3,Control4,Control4003,Control5,GSM6085177_AML01M4_P,GSM6085178_AML01M4_RE,GSM6085180_AML02M5_RE,GSM6085181_AML03M5_P,GSM6085182_AML03M5_RE,GSM6284912_TS173_04_Sample_D,GSM6284913_TS173_05_Sample_E,GSM6284914_TS173_06_Sample_F,GSM8791432_MLL_14666,GSM8791433_MLL_16703,GSM8791434_MLL_17746,GSM8791435_MLL_17843,GSM8791436_MLL_17844,GSM8791437_MLL_28824,GSM8791438_MLL_28830,GSM8791439_MLL_28855,GSM8791441_MLL_29532,GSM8791442_MLL_29538,GSM8791444_MLL_30886,NBM1,NBM2,NBM3,NBM4,PAUMTZ,PAXMIJ,PT10A,PT15A,PT16A,PT17A,PT21A,PT22A,PT23A,PT26A,PT27A,PT28A
1216_Dg,0.0,0.4253432207279178,0.40242482341732183,0.3881035260099355,0.4200447012262594,0.4576651314389745,0.5111004304871856,0.34991993805549715,0.4451483974152185,0.5606264658651321,0.44153969655354736,0.5139887811971935,0.3451368571287315,0.4288015099805461,0.38941332057289385,0.3205884668463321,0.9462881372658056,0.4684856962649047,0.49887959892160527,0.5925053173225914,0.4193617190836133,0.45528363442229225,0.5457331707777294,0.5591132816306297,0.5373156330221222,0.35817167873021627,0.4347132548287629,0.3926465771970082,0.46166694855537577,0.2772315440356007,0.44618211515072176,0.4206210353649875,0.52704991239058,0.30725889215689306,0.3279809585003388,0.4108587615411357,0.24927108080218077,0.4052749728373034,0.5401815008424988,0.4214278696432242,0.4396478209773131,0.4814436781557431,0.38494757207357133,0.5019807410316228,0.42774287254700494,0.43142669062702227,0.3936545645150401,0.49321582080007687,0.5550377857968227,0.4405696541214824,0.693634076051177,0.3491140049280452,0.4062930105225545,0.5217185604486527,0.4243325766309656,0.5336351700308896,0.7544269129841636,0.46166694855537577,0.47123657508649697,0.6641023510565964,0.46488547309892375,0.8626770436174613,0.4130917055871279,0.49846888711449444,0.4954549052603841,0.5991185919436485,0.4113316729126474,0.5379230513843544,0.4947494447789954,0.5429410594813744,0.427899390620626,0.4568123604638471,0.7577167950942234,0.309722830039063,0.5959990321873732,0.5357939148555783,0.6765714377571452,0.6403414290211648,0.4259253427532396,0.6517457688897178,0.5227164038572032,0.38572517469505335,0.27019355201692535,0.32576261726817046,0.4855296310144521,0.5637599736147125,0.8258352519245553,0.4832851758583496,0.6869331323327151,0.7094184949242103,0.5301784481319567,0.4862624623231073,0.5956365276156753,0.5256454155274604,0.29580536643734523,0.4936174870459822,0.510415252690317,0.46946462979395903,0.41417146069093563,0.40235213564930483,0.2657148082646619,0.49468008509716616,0.409586980365046,0.56850133673991,0.7089541000097579,0.6715466701149277,0.3059284351928485,0.3702745641480426,0.7531503449287636,0.656032946070894,0.46006982721518364,0.47958775466070536,0.6049050782709158,0.585485782240157,0.7138752808298134,0.8241727333110358,0.47099253079924586,0.34451178845401836,0.4891838050243692,0.7347312200075973,0.6589415861207822,0.5115157483554844,0.6053104190875889,0.4741825728144594,0.5892389420524736,0.5528771769139067,0.5215373845215777,0.3814024675920489,0.9462881372658056,0.9462881372658056,0.8572860609938096,0.5986286076507974,0.4131989602019319,0.498140571792427,0.6461999645715715,0.5935895938296503,0.9462881372658054,0.7489152400696362
1216_MRD,0.4253432207279178,0.0,0.2976403664921517,0.378921742150518,0.23859079601813632,0.30618635331578004,0.44501395197415816,0.2773715004636118,0.5149205547990893,0.3942102358128875,0.42778470494966425,0.28903013363108576,0.30167165890711756,0.27447409131498085,0.3790956770494959,0.4803346900905855,0.770894767061919,0.33484709860291134,0.33053206076562036,0.439601913345176,0.3543184957337127,0.14777842974090374,0.39234700105094034,0.4309165888231484,0.3556338435163926,0.36631089804385053,0.20343616732189904,0.3379610338184212,0.7588657331461153,0.39533872617583904,0.40081775119093127,0.42363530129600213,0.33353806084071586,0.6239715630386136,0.6491133415016123,0.6781903277178551,0.6045207710182912,0.6021705203720606,0.3141617593531836,0.473229430365928,0.236593833079188,0.34280360222645717,0.3003977521590094,0.37690912758787787,0.42654308826414017,0.4790658401922527,0.447983613623728,0.29011629704612607,0.6266360037178585,0.6374854597917055,0.453566403273499,0.40513003662734587,0.27374192379363155,0.6834141297162869,0.3149497439255622,0.6794076765368778,0.6674766025100561,0.7588657331461154,0.3630778821391498,0.44882684867310874,0.2988274374772446,0.6117734842384828,0.577012305416754,0.7654038201133763,0.2920960801606728,0.6932835701119066,0.359890201613754,0.4905944628684079,0.4412906474144876,0.5046519540622308,0.31202385049166714,0.3574945009002138,0.651285372000511,0.5560251960333548,0.35857405248193414,0.3668660276789764,0.6070017427819125,0.6858676081223908,0.38544267885597944,0.4900948302209898,0.4202721640418293,0.3512605812701428,0.3481314737300197,0.5393456577554387,0.7562371549456265,0.5597780619458773,0.6087337227312433,0.6511843690073266,0.5403569277394311,0.6464461969241975,0.5007033041872332,0.40587332112062463,0.634649320660354,0.7804053565628845,0.3848135420940849,0.7588657331461155,0.7588657331461153,0.39566256010652473,0.359126984583228,0.5974417577690743,0.3495183385223462,0.6207719119457022,0.49825536371088563,0.4264062698264358,0.4805749370535247,0.5254226462434208,0.6062304089139083,0.6256598161329919,0.6783412590201824,0.5896039590319307,0.35862666826084044,0.48832752703522786,0.591778699334267,0.5217171761796966,0.647851373004821,0.8447379880808009,0.5122910809983485,0.45295433997331325,0.3590908710408937,0.5554920842653996,0.598561008377506,0.3417386937020559,0.3795486534191819,0.23530296675083792,0.4238586462714531,0.3854398276196718,0.3754403077503097,0.6429390753870053,0.753545377321762,0.7617573804818669,0.6705854859495995,0.38531858243371925,0.16847267147234232,0.26652509968056787,0.3758030090438337,0.32559938238653363,0.7533720759728858,0.4766988786633056
1216_R,0.40242482341732183,0.2976403664921517,0.0,0.20297197297374636,0.2772824028540704,0.22082878886776158,0.5213302095356073,0.430847491959391,0.3614423285249855,0.2694029258998375,0.22525483959327278,0.26969985763389104,0.2391074295193382,0.17366880154893907,0.23944139127309544,0.44294014015991773,0.749403537357826,0.23443877672026725,0.44700732907157326,0.5535117402296694,0.18811817624860078,0.31019997576108255,0.2571968142485096,0.30816158143876077,0.46134395145573914,0.31477215877817,0.36067510246916235,0.24320730044584693,0.6843681672480217,0.23057845914036146,0.2578819516285486,0.30400496248715186,0.22537275546620084,0.5404566477322154,0.5497924984276517,0.5558961148477723,0.5436014904275255,0.58920517629824,0.27549004868607085,0.339476973507889,0.18046069775437754,0.2073035775420884,0.4381275454418744,0.3177017442605911,0.45456759305389305,0.4485814454822386,0.45318929345254866,0.263036527865245,0.6944535179591592,0.5516311648067747,0.5463910961562116,0.3599893796389372,0.19655158971167336,0.7041127179797061,0.28268027380196753,0.6291377598204798,0.5406644462907754,0.6843681672480217,0.34443028274607823,0.43477907565848156,0.23315589988956203,0.5861220691519176,0.6202704730993918,0.6843681672480219,0.27588222983664024,0.7015906003545641,0.23967285022008508,0.39094705159931137,0.3073923949893755,0.43562972886506135,0.4099142333672781,0.33708323527273554,0.5271314150599906,0.558667753453742,0.3541820734415806,0.39109542945863035,0.6144472550214447,0.6837776141801584,0.35336323866022085,0.38877421111722926,0.27437085132496736,0.36923930654554876,0.2964839641186965,0.44564936157633717,0.6206600368137571,0.5432926275452723,0.5996952299896159,0.6850994962719961,0.5811378903163624,0.6211804123727034,0.4201038121342977,0.38334202393169703,0.51996639884347,0.6925517774637185,0.2494950393368154,0.6849802847519645,0.6845863110050111,0.46149871207181675,0.3626315827821058,0.5041503583228969,0.27160894157972854,0.5668433481873292,0.4037712354022168,0.31394370464321,0.4487083793915386,0.45884420313866064,0.553775255860867,0.6115558830187761,0.5564863561249178,0.45416168580226485,0.21664188301584825,0.4096490567222679,0.43593703882101975,0.5340352187076706,0.5260882504097578,0.9224363229553266,0.3642985306456466,0.35172010667571557,0.2385951677614913,0.46690535978768954,0.6214955330636158,0.1976694564672897,0.4194590062537691,0.27947247946972664,0.3928450499070372,0.3222678474863894,0.31933633876744555,0.6139485768275852,0.737980449676421,0.7466471677502722,0.6392671055802136,0.5177951680573694,0.3203421989794443,0.3448424832712084,0.515104611299966,0.47665526456923196,0.7210168205282792,0.6126728867153423
1886_Dg,0.3881035260099355,0.378921742150518,0.20297197297374636,0.0,0.34998716236037547,0.23501725239205284,0.6118786205744052,0.5095063187930522,0.3380562678301763,0.2783998354555217,0.23078447948970582,0.3262748703518191,0.27939315983292645,0.21209392401876426,0.22101495060523452,0.4074361257514344,0.8597960082025479,0.29657363005189297,0.5200325821619158,0.6105758563584858,0.2613911567396374,0.3676954744039384,0.275462196150936,0.3701594180255803,0.508253241232528,0.3035238036845058,0.3941425506387147,0.23650953429786742,0.6531196455231179,0.24050240936484774,0.2738218445770276,0.3792414191592872,0.3229643917752342,0.4974392853057807,0.5076116151812293,0.5231158739699402,0.49233542828621374,0.5549928602124042,0.3848470631183055,0.27285721472042057,0.2129378663727233,0.27964438248840034,0.4991579156249696,0.3775294823215504,0.4979727244411132,0.4424712567292511,0.5020125951424199,0.30519275628629394,0.6871601448914446,0.49303300105189446,0.6285833618867986,0.31002004917004433,0.22491763603632253,0.6798328716257643,0.32344050317811684,0.5841162624601118,0.614539790305575,0.6531196455231176,0.33980272120572985,0.460713474153052,0.3175052999246804,0.7153589067161026,0.6279014048667544,0.6531196455231179,0.359341083182406,0.7156136653094939,0.24485725105964457,0.36883047673398056,0.31966639461545665,0.47507582465996845,0.48171722699357694,0.35720158793435214,0.6127646765760594,0.5294174053834775,0.3900242356560991,0.46665259155386585,0.5943952174425469,0.6915548176414457,0.39597944036943294,0.4580902518427908,0.3153472060063932,0.3528041691453972,0.3146176651054624,0.41260304666497555,0.552023969739039,0.5072291019299151,0.7081544248031929,0.6474363977841106,0.6139024195721657,0.7159209235030102,0.42995291364283844,0.36833400096470514,0.5355723901929521,0.6805104786290058,0.2502837175893196,0.6655145229262849,0.6575532033739832,0.471413534683265,0.3952640610302763,0.4740946880724826,0.2611381450323873,0.5409388929629335,0.40751078382544115,0.3738670964306617,0.544911803496222,0.5898130397827421,0.5283455362466916,0.6054248932603128,0.617503873143842,0.48410292107312036,0.24969399759439997,0.4148544416292659,0.48841725579260764,0.5828858701725227,0.587686991821706,0.9182638096847838,0.3423291106056721,0.3459687569238331,0.3125352378389041,0.5259508197375217,0.622210813783875,0.28359973654342135,0.46889303533514637,0.3986627593997987,0.4766776499419856,0.38728766822523947,0.40285432124721987,0.5774778699601183,0.8597960082025479,0.8660572846248547,0.7523461103362412,0.6102720782340281,0.384407339945399,0.4086793439676576,0.5931799959573538,0.5738144998938403,0.8556175937024446,0.6789128845604702
1886_MRD,0.4200447012262594,0.23859079601813632,0.2772824028540704,0.34998716236037547,0.0,0.26324592235549754,0.522990000839988,0.38933760218015817,0.32712002845269683,0.24132113246160677,0.3104036443443116,0.19203576512921958,0.2995995636175632,0.20482802917685464,0.35345236178872497,0.46596037811680496,0.7359518398335145,0.28686862240639815,0.43415496974719353,0.48290519254089714,0.300680773884551,0.2955055514575225,0.2521147236098942,0.23098738551435014,0.4953924658410406,0.3330940461233476,0.39362599366754064,0.3536550535496644,0.7449372065862371,0.3873025184929176,0.3652408835656933,0.39211673736444047,0.1984437160109453,0.6184564533507125,0.6419318185139108,0.6717232720941883,0.6212541523652166,0.5354689221744722,0.19968054912812694,0.41785060985308436,0.2301732898315744,0.25993872669862705,0.3396086962473698,0.2667696567375324,0.3597848606886014,0.3913355884912032,0.4338855649639081,0.22257373238498787,0.6211864680485711,0.5929702243098106,0.48837215576075943,0.32225331959626585,0.22180628114334,0.6048988250301252,0.21516714439712922,0.6811219468961389,0.5203348304963072,0.7449372065862372,0.27599046419653017,0.3635748843482505,0.1710274957342918,0.5747573889728007,0.5407625355763909,0.7595863587574501,0.23385646979018282,0.6669097105475267,0.36642925044109986,0.4441403142090356,0.35784911648920975,0.4563940894437899,0.3553082758323799,0.2979208834730908,0.5219520954030004,0.5826085480656977,0.298265504888712,0.32667679000104355,0.6216155753870428,0.6486343606506969,0.3928778270614621,0.3276759586945675,0.3780082431573222,0.35439214989581536,0.3187922241760289,0.5053648275510625,0.7543923974082736,0.5659542312856108,0.5888112486647947,0.5827980889552316,0.5333431160431088,0.5984139531338497,0.39766505617434,0.2659188343139726,0.6097189877546619,0.767191297367041,0.3765804788124538,0.7449372065862375,0.7449372065862372,0.2954858508047596,0.3052486128671629,0.6111305030089721,0.3495557435221024,0.5842533295646173,0.4867863948238426,0.34421092299102063,0.3693343567882371,0.5324757908153304,0.5984450112790992,0.6285153274818305,0.5057427463220006,0.42606167200467443,0.295876478552437,0.40455998976249674,0.5364199394866166,0.6106036643242299,0.5175079167796189,0.8449309855683605,0.4615605589269407,0.4658085433958742,0.3575728224556965,0.4810133447823503,0.5316987761704969,0.292679004624934,0.2770743369682296,0.16164735921756485,0.4626254354573289,0.3533638652625213,0.2853144932069646,0.6498522698919448,0.6961241474130088,0.7059309959605573,0.7180276305907506,0.3923358791193778,0.33480263298925006,0.37336923699727137,0.42756310031741196,0.3508254942817061,0.6968377890627819,0.4691448808650743
1886_R,0.4576651314389745,0.30618635331578004,0.22082878886776158,0.23501725239205284,0.26324592235549754,0.0,0.575865343426233,0.47179988597620875,0.3827336557951076,0.3150604662731513,0.3060869076068081,0.2721180297305704,0.3036062253619915,0.1810778228483113,0.2793760001415994,0.5116355377820639,0.8247228426859532,0.28711443740786896,0.48662483597989475,0.5797379147221438,0.2826354237902389,0.32369896864687697,0.2878141514097866,0.33510477804815864,0.5126459966388588,0.3345020265714374,0.36598512835426206,0.2610997719369514,0.7735604176199401,0.35486782443107584,0.22465361575099219,0.39504137098112535,0.2707089419278486,0.6223176910943369,0.6355503911473656,0.5280971759790503,0.6185981143149047,0.6184349474628391,0.31439766129629676,0.2652042891896029,0.20120166327905406,0.18342419736815033,0.4375102747047426,0.2710510798278019,0.4971762806728695,0.47086860521216695,0.5058212315102519,0.2858266531582965,0.6844248433541051,0.6076306202912104,0.5792852232555564,0.37167388643422056,0.20561714789938976,0.7181588622619685,0.31600524125918616,0.5532714219869784,0.6282170266271974,0.7735604176199402,0.319010360774472,0.3457838715127204,0.27740718897079913,0.661723272609646,0.6441491767815749,0.7735604176199402,0.19627635473291405,0.7105535842338905,0.29813074272298945,0.35731506865466156,0.36072001656391,0.4803427062252661,0.4163162258051992,0.3523209140983935,0.6037494835861927,0.6174744371807459,0.3575440323343079,0.38863618804470706,0.6052292773778212,0.7081025588748914,0.41330466873590077,0.318645678673451,0.383797387743343,0.3557493824620509,0.3464939619499778,0.5244862967304167,0.6959566904921326,0.41889880233657717,0.6697098130729389,0.7052581804091939,0.5737261562771191,0.6847279484466615,0.42778570390258175,0.3719965064950205,0.5764646644448932,0.7760977555720717,0.34538013721036503,0.7735604176199402,0.7735604176199403,0.449210163824303,0.3994141090122645,0.6116980462075104,0.35594354181392024,0.6263699529420571,0.5058504716947463,0.40182482432375227,0.49901794266503746,0.5899402314756312,0.6235350067170508,0.6748817480043854,0.6295508347818705,0.5088231553606753,0.26981380519559495,0.43531779368866413,0.5064073702286808,0.5915417680706953,0.6019057360262283,0.909663883962675,0.4550459785714274,0.4151683007447057,0.21423872271575456,0.5344561671888489,0.4957717119634156,0.1743033765396373,0.33423606508714393,0.3099049184822968,0.38909997654428863,0.24525739430892826,0.37754928913359365,0.6612261942939144,0.8185528233453447,0.8226865908780605,0.7213251508837323,0.5599406987399157,0.3274789382782137,0.38119211750169735,0.5593997811667467,0.525182360461443,0.8155239012285622,0.6016820384728732
3853_Dg,0.5111004304871856,0.44501395197415816,0.5213302095356073,0.6118786205744052,0.522990000839988,0.575865343426233,0.0,0.23336530222117538,0.538911369554912,0.6230042064186709,0.5628163748256378,0.5427515122425942,0.4197550197486793,0.5010412584561047,0.49112437175850665,0.5567664118698783,0.6980232166720474,0.4394874537572113,0.17163247928956685,0.3601411110346735,0.5106067148079835,0.4265897148029376,0.6254984277491732,0.5586996948001166,0.28306897522222757,0.4968365423804184,0.3950838760662686,0.526679493955706,0.8203149505076989,0.47277594431436976,0.6044590569411047,0.29409556345090804,0.5289602127976955,0.646687546545684,0.6664436137808839,0.6913340271412743,0.6371679454995721,0.7343050604200502,0.4744517525029043,0.6313232986049021,0.552748783250639,0.6252920293614532,0.43652088951777673,0.5385872002791529,0.4836240981754515,0.3884060088646183,0.49214296295406834,0.5588151084326086,0.8069064302171755,0.6147934902211839,0.48342238147408567,0.5949360250697032,0.5657952915408293,0.709646491933011,0.6203495348439773,0.8203149505076991,0.6986499440880961,0.8203149505076991,0.5175635732279847,0.7147695128787555,0.5179106338878697,0.694483434645825,0.6587495467915813,0.8203149505076991,0.4840280689349914,0.8216337138199489,0.5398047914620648,0.5385927573389675,0.5934556407013083,0.27059899672586096,0.3511432531744627,0.5691649727874234,0.6609585190946315,0.5339572814136163,0.5713180010063424,0.5064629419853944,0.7456046700181834,0.8337705300605364,0.3202213957701228,0.620036650678031,0.5537980272551343,0.6251474005212405,0.46208562484275983,0.6785542682193427,0.7246750530400498,0.7177564025672035,0.501025288516387,0.6383093487289744,0.47852610142941854,0.5310422036274675,0.6421584339186742,0.6058923570424586,0.5493787792841758,0.8381211951138821,0.4336298067313176,0.831636869508637,0.8203149505076992,0.5592288004322844,0.581740167919809,0.6818316529895287,0.43944539955922257,0.7606733277989901,0.4892798570004811,0.4780222424285056,0.5186112410477282,0.4594391002874872,0.5683180572129855,0.5899382764609253,0.6431945697820629,0.583333809420995,0.49042776334968435,0.38901456875507545,0.5913988500234095,0.43464063592696245,0.5352965568345331,0.9390333763867444,0.5772555433005886,0.525999801957062,0.5412619532369989,0.6181078105124438,0.7367973471314441,0.565405879074893,0.5313442468002039,0.4916409544827843,0.5325065671129068,0.589300643167224,0.6066682895831933,0.5764569832370694,0.6650045314563156,0.6650045314563154,0.5192930271000099,0.5780487361546415,0.34939031309680924,0.439751028092313,0.6665302983231551,0.5915133445544876,0.7958963558533735,0.5435527175107999
3853_R,0.34991993805549715,0.2773715004636118,0.430847491959391,0.5095063187930522,0.38933760218015817,0.47179988597620875,0.23336530222117538,0.0,0.5558533166025584,0.5732742385878173,0.5245330763640567,0.49006289264443054,0.29507842660417627,0.4190857197570854,0.48134717362117785,0.5509688992757436,0.7532580008796812,0.41102027039782646,0.1606201254960691,0.33700517307568684,0.4855654421025679,0.3678568946237329,0.5570508433004422,0.5502898204624773,0.22176677712959791,0.4546401955720395,0.30695665063281763,0.48983643449103265,0.7103985194094389,0.35993769641865436,0.530562450980254,0.2771576897816992,0.46892372023854645,0.6013636251223817,0.6220856914658275,0.668791714629168,0.5563567236944563,0.5775222491625945,0.4371999161220793,0.5794126535551518,0.46915319539089,0.5215271051194186,0.29987268635192993,0.49574308083331875,0.37764828111583126,0.3532413341406909,0.41296024077699983,0.5209791745003333,0.6684517531470722,0.6316685764838759,0.4877786010033024,0.4799929984581611,0.4798477923514768,0.652842540490941,0.4793569025323058,0.7595379804867808,0.7081316434606963,0.7103985194094392,0.48031891959100226,0.6686430912552954,0.46626534303937295,0.6620050005624425,0.542532926635078,0.7483868220648189,0.41183216501288344,0.7655960766714145,0.5152612770420111,0.5416604534487546,0.5391163718765116,0.3182383720072954,0.24793023182866555,0.5444594527946466,0.6558602851899409,0.5342958845798957,0.546507294526027,0.46996079272776736,0.6771935829470372,0.7751159331100863,0.28587538184256495,0.604521853834692,0.5568964471545289,0.493825862095626,0.33576564896195504,0.6146595317562799,0.7336292170293948,0.7022017079511295,0.5725225369844194,0.634398260121855,0.6277439449250425,0.6096955277066918,0.6264602349940559,0.5435758296561262,0.6178277527777912,0.7436680818052805,0.37466871302845556,0.710398519409439,0.7103985194094391,0.49222380293832557,0.4649738693213059,0.5922427098424469,0.3571768356779342,0.5946547116903762,0.5000545826270539,0.45111714927145086,0.518125743817288,0.5176351189107453,0.5802041914707976,0.575343162348583,0.6644950292641971,0.5857799640739519,0.431072740743094,0.37744490781675644,0.6385331285427767,0.5086934417320419,0.5796898434414218,0.8200857759945059,0.6194379304226716,0.5512484984608507,0.4703012254579337,0.6241426479542358,0.7549150005455977,0.47475588441701183,0.509730481050471,0.39227584442815416,0.5293674625998979,0.5526706127404094,0.5467101896189082,0.6058172100197778,0.7532580008796812,0.7532580008796812,0.5914149524350238,0.4040829551468798,0.2655705828546614,0.31675979402681115,0.49503707011196507,0.4516864470155769,0.804652752581438,0.5825410849631074
3904_Dg,0.4451483974152185,0.5149205547990893,0.3614423285249855,0.3380562678301763,0.32712002845269683,0.3827336557951076,0.538911369554912,0.5558533166025584,0.0,0.28730040079399827,0.21758599705564732,0.3425249372795081,0.34908010133730377,0.34526100099610635,0.38083162710193275,0.4891228814871617,0.7942626633977955,0.38309221966974555,0.5079150290995338,0.5645068950003546,0.36510788884275985,0.5038419399193446,0.3128977376995378,0.31285176634944234,0.5754690454002066,0.3691880913328039,0.543899377409611,0.43451896860005734,0.6943553742686178,0.3295145141376607,0.3985850777398334,0.39928774266915273,0.3144325038081918,0.514038892386703,0.5265955714052419,0.6011381088295663,0.5109315311445497,0.4878691773370575,0.37957712771250707,0.3708400180711906,0.3571572881562446,0.3623305633916731,0.48279715911429694,0.3063408851309705,0.38973171768883835,0.33300497147923447,0.48144486628488353,0.3231318879595563,0.6093831445705246,0.44130420814760146,0.5713690542466022,0.2735124433470883,0.28139011263160346,0.6007173879029188,0.3703546906216858,0.6857068943180341,0.48707210804069895,0.6950742540284672,0.22272340743409752,0.4698444444191202,0.2866272658761649,0.7216852856128186,0.5601793525629306,0.6923881793236155,0.37546227000414256,0.5663655685463642,0.40204998058732105,0.49670860506615966,0.2926494121552254,0.47681793011190143,0.4598712532591249,0.3111453950141962,0.4811510727912179,0.5479861528449557,0.3668594833655373,0.35318671842125565,0.5333759188403113,0.557473607153866,0.36836129182679944,0.4451762150339755,0.3802903251852646,0.40335633317850283,0.28249409632005673,0.38189579018344677,0.5988884381257046,0.5469178053331416,0.678149656570758,0.47684477700266303,0.5305427363313917,0.5728661989459692,0.3252174739594148,0.32211926938089513,0.6345521629187094,0.7503470422959225,0.3068608295266901,0.6884313390043649,0.6884313390043653,0.34767507776782447,0.3342860058097285,0.5820706237927434,0.34280122173244854,0.5253614713100012,0.33866808297714307,0.4103782747871808,0.5104801954970082,0.6826805024250643,0.5310846048127267,0.5535315735614499,0.43827738880879796,0.3636002485556318,0.32233693006172004,0.34442443562141556,0.5386357087750034,0.6326616738062775,0.5067404754456167,0.9307105666305124,0.3817330004415242,0.47334415728336865,0.4627219745479622,0.5436187586401392,0.4833380473776024,0.39473016356278623,0.4050929402765141,0.3671982860102733,0.610267997213334,0.49134863642931276,0.3568400186030737,0.5393375604775129,0.7942626633977956,0.7962416483110782,0.806396690467758,0.6107134012934496,0.5339848507793321,0.5788264058241112,0.6371386897911276,0.5723675520922528,0.8351925197888832,0.5964539879932547
3904_MRD,0.5606264658651321,0.3942102358128875,0.2694029258998375,0.2783998354555217,0.24132113246160677,0.3150604662731513,0.6230042064186709,0.5732742385878173,0.28730040079399827,0.0,0.23683237876805244,0.21053292185461212,0.3594390358374273,0.24172702350176953,0.3427718891269189,0.5005768740600338,0.7264521327984679,0.32858192076140574,0.5442148943996421,0.5579585841777406,0.28926319772747117,0.39678593952535474,0.1073577196208747,0.20604815113509903,0.5606989037258333,0.43365890790691114,0.45271671311151407,0.3766261009785374,0.7774005953773975,0.4093089343496777,0.3312258794804181,0.40818429689589314,0.17138850758978685,0.6544098336182183,0.6594247872731125,0.683101202612,0.6631301485512948,0.6049109094875414,0.26176260572252763,0.40401869334253737,0.23058101963563127,0.24073182423172204,0.4800501073903281,0.2790607590115518,0.438989004296617,0.3899500919957456,0.49244669195451224,0.21117894274952195,0.6852755006585237,0.5754439676806635,0.502232966836925,0.33001934718593123,0.23438980966852116,0.6269882330764288,0.2692533783129449,0.725367444710654,0.46848326106923616,0.7781194751372469,0.30093352398521367,0.3340428583945399,0.1948471079185042,0.5516591315012245,0.6497838720369716,0.77631245512123,0.302123877420517,0.6905786929019295,0.3564587735786142,0.4066356847813352,0.2705738903927574,0.46955822699387767,0.4959508775090152,0.2815362568157799,0.47468091673046037,0.6568245739979304,0.23960390358592812,0.32323631636876865,0.5678107975307833,0.6400358873144205,0.4171299537663901,0.2985933765941651,0.34228335339450855,0.41757900072892723,0.38873386938677795,0.5139740452682072,0.6677280963430038,0.5238233440229072,0.5849048494624055,0.5971716825576988,0.5851060258921306,0.614572912264024,0.37440388059376895,0.24814354906891856,0.6274839726186873,0.8002101444525662,0.342817850793839,0.7763124551212299,0.7763124551212299,0.3244246563872796,0.32321389895812935,0.6272292063797746,0.39068964516544036,0.5971599240702591,0.4553081295048266,0.3239198644206178,0.3711265883951591,0.5550883222596226,0.653301965043187,0.6470503737497058,0.4572412739384813,0.3697237077569332,0.280777400679733,0.3788236869527622,0.49924233541951685,0.6439412466738321,0.4897190734092319,0.9334300337795295,0.4459890134796315,0.46786070325799817,0.3812626613722319,0.4416322288675227,0.550498815989256,0.2913406677237024,0.29916336263675236,0.23128976864098427,0.4936901221968653,0.3971061646582611,0.2786193503328652,0.717643658385615,0.6938052483324652,0.6996515571057005,0.7049822242630747,0.48317954113411365,0.4541537549687196,0.4834281507451092,0.5048065286464767,0.4621841990193899,0.7060834440820799,0.5220159387205991
