edge,clr_beta_strat,clr_p_strat,clr_q_strat,clr_p_global,clr_q_global
B_Plasma->LMPP_GMP,-0.7999407756592546,0.0006999300069993001,0.0342965703429657,0.6942305769423057,0.8296902017115361
B_Plasma->Erythroid,-0.632506235908202,0.008099190080991902,0.11023897610238975,0.7907209279072093,0.8610072326100724
B_Plasma->HSC_MPP,-0.5813202827397206,0.0071992800719928,0.11023897610238975,0.8627137286271372,0.899424951121909
B_Plasma->Megakaryocyte,-0.6204842182842409,0.008999100089991,0.11023897610238975,0.553944605539446,0.7142969913534962
Erythroid->LMPP_GMP,-0.7719661237395631,0.0173982601739826,0.1420857914208579,0.8169183081691831,0.8701955891367384
T_NK->Megakaryocyte,-0.555620806854167,0.016798320167983202,0.1420857914208579,0.0776922307769223,0.2559273484416264
HSC_MPP->Erythroid,-0.7048367830685245,0.028597140285971403,0.20017998200179982,0.9014098590140985,0.9201892310768923
T_NK->B_Plasma,0.5681570865084322,0.0643935606439356,0.39441055894410554,0.0841915808419158,0.2559273484416264
LMPP_GMP->Erythroid,-0.5364126279836123,0.09979002099790021,0.5325767423257675,0.5183481651834817,0.7077070070770701
T_NK->Mono_DC,0.5143088475526396,0.10868913108689131,0.5325767423257675,0.15008499150084992,0.35019831350198316
Mono_DC->Erythroid,-0.4198980684225393,0.14188581141885812,0.5846748658467487,0.44445555444455553,0.7025265215413942
Erythroid->Megakaryocyte,-0.3594423241089836,0.1431856814318568,0.5846748658467487,0.6559344065593441,0.8035196480351965
LMPP_GMP->T_NK,0.43798059202444745,0.18348165183481652,0.6425357464253575,0.7662233776622338,0.8558553235585532
Mono_DC->Megakaryocyte,-0.30745424576113933,0.1835816418358164,0.6425357464253575,0.0887911208879112,0.2559273484416264
T_NK->Erythroid,-0.3368242179292635,0.1977802219778022,0.6460820584608205,0.3661633836616338,0.6023131020231312
Megakaryocyte->B_Plasma,0.4123448591996217,0.21997800219978003,0.6660451601898634,0.51994800519948,0.7077070070770701
Megakaryocyte->Erythroid,-0.32764830349619567,0.23107689231076892,0.6660451601898634,0.619038096190381,0.7777658131622734
Erythroid->HSC_MPP,-0.3620180911139974,0.24937506249375063,0.6788543367885435,0.5393460653934606,0.7142691136291777
LMPP_GMP->B_Plasma,0.28506884388120884,0.27957204279572045,0.6849515048495152,0.0552944705529447,0.2559273484416264
Megakaryocyte->Mono_DC,0.3736995864629926,0.27387261273872615,0.6849515048495152,0.36876312368763126,0.6023131020231312
Megakaryocyte->HSC_MPP,0.2695202409204449,0.43045695430456954,0.7077421290129052,0.17448255174482552,0.37960551770909867
T_NK->HSC_MPP,0.20963850980427445,0.42955704429557046,0.7077421290129052,0.0654934506549345,0.2559273484416264
Mono_DC->T_NK,0.2635496922875334,0.44445555444455553,0.7077421290129052,0.0822917708229177,0.2559273484416264
Mono_DC->Mono_DC,0.3051587400862791,0.32566743325667435,0.7077421290129052,0.12458754124587541,0.30523947605239476
Megakaryocyte->T_NK,0.25916606853283913,0.44375562443755623,0.7077421290129052,0.48175182481751827,0.7077070070770701
HSC_MPP->T_NK,0.31779520988703264,0.3351664833516648,0.7077421290129052,0.0231976802319768,0.19924674199246742
LMPP_GMP->Megakaryocyte,-0.23497324684182702,0.31186881311868814,0.7077421290129052,0.9579042095790421,0.9579042095790421
T_NK->T_NK,0.29507103858910366,0.39236076392360764,0.7077421290129052,0.46885311468853114,0.7077070070770701
Mono_DC->B_Plasma,0.29086281844305867,0.35526447355264473,0.7077421290129052,0.0038996100389961006,0.19108089191080893
B_Plasma->Mono_DC,0.25910046760904215,0.4477552244775522,0.7077421290129052,0.018098190180981903,0.19924674199246742
HSC_MPP->LMPP_GMP,-0.26450435121574184,0.42245775422457754,0.7077421290129052,0.09509049095090491,0.2588574475885745
HSC_MPP->Megakaryocyte,-0.15869026216967094,0.5110488951104889,0.7669960276699602,0.26587341265873415,0.5076646181535692
LMPP_GMP->LMPP_GMP,-0.21699988249681618,0.5165483451654834,0.7669960276699602,0.07839216078392161,0.2559273484416264
Megakaryocyte->Megakaryocyte,-0.12244572317124269,0.6135386461353864,0.8331815467101938,0.06209379062093791,0.2559273484416264
