edge,beta_global,p_global,q_global,beta_strat,p_strat,q_strat,sender_bin,receiver_bin,direction_global,concordant_sign,robust
Mono_DC->B_Plasma,0.12852774635638242,0.0115988401159884,0.5683431656834316,-0.011743011955739353,0.8314168583141686,0.9122887711228878,Mono_DC,B_Plasma,weaker_in_AML,False,False
B_Plasma->B_Plasma,0.09825938301541015,0.0658934106589341,0.6015509560155096,0.05279080949496216,0.47765223477652236,0.9122887711228878,B_Plasma,B_Plasma,weaker_in_AML,True,False
B_Plasma->T_NK,0.11610010305528912,0.0685931406859314,0.6015509560155096,0.059388178049857486,0.49195080491950804,0.9122887711228878,B_Plasma,T_NK,weaker_in_AML,True,False
B_Plasma->Mono_DC,0.12081651513314763,0.051394860513948606,0.6015509560155096,-0.03334894932696565,0.6797320267973203,0.9122887711228878,B_Plasma,Mono_DC,weaker_in_AML,False,False
HSC_MPP->T_NK,-0.09483050724032804,0.0978902109789021,0.6015509560155096,0.003601331722637413,0.9579042095790421,0.9778605472786054,HSC_MPP,T_NK,stronger_in_AML,False,False
LMPP_GMP->HSC_MPP,-0.08427380451035445,0.11048895110488952,0.6015509560155096,0.0168935156681006,0.8297170282971703,0.9122887711228878,LMPP_GMP,HSC_MPP,stronger_in_AML,False,False
HSC_MPP->Megakaryocyte,-0.05182680697743352,0.10028997100289971,0.6015509560155096,-0.060692736908232424,0.05649435056494351,0.4997500249975002,HSC_MPP,Megakaryocyte,stronger_in_AML,True,False
Megakaryocyte->HSC_MPP,-0.0710609300753362,0.10128987101289871,0.6015509560155096,-0.11376876807304831,0.044295570442955706,0.4997500249975002,Megakaryocyte,HSC_MPP,stronger_in_AML,True,False
HSC_MPP->LMPP_GMP,-0.10612470474605586,0.05849415058494151,0.6015509560155096,0.027157389346697456,0.7351264873512648,0.9122887711228878,HSC_MPP,LMPP_GMP,stronger_in_AML,False,False
HSC_MPP->HSC_MPP,-0.08616991841887225,0.14078592140785923,0.60523359428763,0.017751581762469458,0.8253174682531746,0.9122887711228878,HSC_MPP,HSC_MPP,stronger_in_AML,False,False
LMPP_GMP->B_Plasma,0.07526079164876716,0.1556844315568443,0.60523359428763,-0.01446144851486551,0.6891310868913109,0.9122887711228878,LMPP_GMP,B_Plasma,weaker_in_AML,False,False
LMPP_GMP->Mono_DC,0.062126005629429305,0.20527947205279473,0.60523359428763,-0.01879561464082129,0.5842415758424158,0.9122887711228878,LMPP_GMP,Mono_DC,weaker_in_AML,False,False
B_Plasma->Megakaryocyte,0.04026889720529386,0.20217978202179782,0.60523359428763,0.023122895876526477,0.4667533246675332,0.9122887711228878,B_Plasma,Megakaryocyte,weaker_in_AML,True,False
Erythroid->T_NK,-0.07102362536039958,0.20877912208779123,0.60523359428763,0.009526320428081025,0.8916108389161084,0.9497593718888981,Erythroid,T_NK,stronger_in_AML,False,False
Megakaryocyte->LMPP_GMP,-0.058206667395678174,0.20997900209979,0.60523359428763,-0.10286331198332561,0.12858714128587143,0.5250641602506416,Megakaryocyte,LMPP_GMP,stronger_in_AML,True,False
B_Plasma->LMPP_GMP,0.06887157280450808,0.14388561143885611,0.60523359428763,0.1723202836785243,0.0017998200179982,0.0881911808819118,B_Plasma,LMPP_GMP,weaker_in_AML,True,False
Mono_DC->Mono_DC,0.07146393958616998,0.18788121187881213,0.60523359428763,-0.03493494387625752,0.5573442655734426,0.9122887711228878,Mono_DC,Mono_DC,weaker_in_AML,False,False
Megakaryocyte->B_Plasma,-0.07081156899519944,0.2666733326667333,0.6255783512557835,-0.17284232800713686,0.055894410558944105,0.4997500249975002,Megakaryocyte,B_Plasma,stronger_in_AML,True,False
Erythroid->Megakaryocyte,-0.03165364381235535,0.2796720327967203,0.6255783512557835,-0.025799023009475886,0.40405959404059594,0.9122887711228878,Erythroid,Megakaryocyte,stronger_in_AML,True,False
Erythroid->Erythroid,-0.05452049656948238,0.23077692230776922,0.6255783512557835,-7.121699144935715e-05,0.9995000499950005,0.9995000499950005,Erythroid,Erythroid,stronger_in_AML,True,False
Mono_DC->Megakaryocyte,0.03461533017889541,0.28087191280871915,0.6255783512557835,-0.024739500461092533,0.48275172482751727,0.9122887711228878,Mono_DC,Megakaryocyte,weaker_in_AML,False,False
T_NK->HSC_MPP,-0.061225142599898294,0.24567543245675433,0.6255783512557835,-0.004614256546781489,0.9478052194780522,0.9778605472786054,T_NK,HSC_MPP,stronger_in_AML,True,False
LMPP_GMP->Megakaryocyte,-0.026239507088248747,0.41775822417758224,0.7151704184420268,-0.05290387945393795,0.101989801019898,0.4997500249975002,LMPP_GMP,Megakaryocyte,stronger_in_AML,True,False
Megakaryocyte->Erythroid,-0.026479004570107798,0.43345665433456654,0.7151704184420268,-0.010716584931151131,0.7741225877412259,0.9122887711228878,Megakaryocyte,Erythroid,stronger_in_AML,True,False
T_NK->Megakaryocyte,0.027052201159441097,0.40645935406459355,0.7151704184420268,0.008368077092119298,0.7877212278772123,0.9122887711228878,T_NK,Megakaryocyte,weaker_in_AML,True,False
Mono_DC->HSC_MPP,-0.037815242850915844,0.4390560943905609,0.7151704184420268,0.01886036534439411,0.7449255074492551,0.9122887711228878,Mono_DC,HSC_MPP,stronger_in_AML,False,False
T_NK->B_Plasma,0.037892013878699116,0.44425557444255576,0.7151704184420268,-0.07371196739074332,0.20767923207679231,0.6784188247841882,T_NK,B_Plasma,weaker_in_AML,False,False
Mono_DC->T_NK,0.054803556968815934,0.4046595340465953,0.7151704184420268,-0.03698083507923716,0.6459354064593541,0.9122887711228878,Mono_DC,T_NK,weaker_in_AML,False,False
T_NK->LMPP_GMP,-0.03729175752550527,0.45245475452454753,0.7151704184420268,0.03138921533007384,0.6319368063193681,0.9122887711228878,T_NK,LMPP_GMP,stronger_in_AML,False,False
T_NK->T_NK,0.06294910204628876,0.36836316368363164,0.7151704184420268,0.030589735183288058,0.7347265273472653,0.9122887711228878,T_NK,T_NK,weaker_in_AML,True,False
T_NK->Mono_DC,0.04577284645817949,0.42555744425557446,0.7151704184420268,-0.10128903157124401,0.15908409159084091,0.5996246529193234,T_NK,Mono_DC,weaker_in_AML,False,False
Megakaryocyte->T_NK,-0.04339976281042041,0.46785321467853214,0.7164002349765023,-0.133955354167599,0.07269273072692731,0.4997500249975002,Megakaryocyte,T_NK,stronger_in_AML,True,False
B_Plasma->HSC_MPP,0.020253875702326455,0.6297370262973703,0.9170877784016469,0.08249017531169271,0.09349065093490651,0.4997500249975002,B_Plasma,HSC_MPP,weaker_in_AML,True,False
LMPP_GMP->LMPP_GMP,-0.01836273284462311,0.6854314568543146,0.9170877784016469,0.09981576547560075,0.09399060093990601,0.4997500249975002,LMPP_GMP,LMPP_GMP,stronger_in_AML,False,False
LMPP_GMP->Erythroid,-0.020759639613726344,0.6654334566543346,0.9170877784016469,0.07478089125216149,0.23697630236976303,0.6997653175858884,LMPP_GMP,Erythroid,stronger_in_AML,False,False
LMPP_GMP->T_NK,-0.017452060418259502,0.7299270072992701,0.9170877784016469,-0.024791122513022023,0.6882311768823117,0.9122887711228878,LMPP_GMP,T_NK,stronger_in_AML,True,False
Megakaryocyte->Mono_DC,-0.024078212954801934,0.696030396960304,0.9170877784016469,-0.17014164940557272,0.055094490550944904,0.4997500249975002,Megakaryocyte,Mono_DC,stronger_in_AML,True,False
T_NK->Erythroid,-0.013416311347674074,0.71002899710029,0.9170877784016469,0.02525307142615359,0.5713428657134286,0.9122887711228878,T_NK,Erythroid,stronger_in_AML,False,False
Mono_DC->LMPP_GMP,0.01758782743352955,0.7225277472252775,0.9170877784016469,0.03200657754156076,0.5422457754224578,0.9122887711228878,Mono_DC,LMPP_GMP,weaker_in_AML,True,False
Erythroid->Mono_DC,0.01973586326854101,0.7689231076892311,0.9239758950934175,0.022756929325027257,0.7728227177282272,0.9122887711228878,Erythroid,Mono_DC,weaker_in_AML,True,False
HSC_MPP->B_Plasma,0.01779769711568786,0.7731226877312268,0.9239758950934175,0.06361814987922573,0.3267673232676732,0.8895332688953326,HSC_MPP,B_Plasma,weaker_in_AML,True,False
Erythroid->LMPP_GMP,0.01297451416825448,0.815018498150185,0.9508549145085491,0.10061522768452241,0.12238776122387761,0.5250641602506416,Erythroid,LMPP_GMP,weaker_in_AML,True,False
HSC_MPP->Mono_DC,-0.012550392004490233,0.8413158684131586,0.9587087802847621,0.016474828332764854,0.8378162183781622,0.9122887711228878,HSC_MPP,Mono_DC,stronger_in_AML,False,False
B_Plasma->Erythroid,0.0040559347628329355,0.9022097790220978,0.9653099907400563,0.045588210590601,0.24277572242775722,0.6997653175858884,B_Plasma,Erythroid,weaker_in_AML,True,False
Erythroid->HSC_MPP,-0.007707174706601704,0.8974102589741025,0.9653099907400563,0.05497045122943094,0.4737526247375263,0.9122887711228878,Erythroid,HSC_MPP,stronger_in_AML,False,False
Erythroid->B_Plasma,-0.007266556590389107,0.9062093790620938,0.9653099907400563,0.019325810784136848,0.7868213178682132,0.9122887711228878,Erythroid,B_Plasma,stronger_in_AML,False,False
Megakaryocyte->Megakaryocyte,-0.0037678387686178516,0.9348065193480652,0.9703071359530714,-0.055260260493277744,0.18538146185381463,0.6488351164883512,Megakaryocyte,Megakaryocyte,stronger_in_AML,True,False
Mono_DC->Erythroid,0.0027055476367334385,0.9505049495050495,0.9703071359530714,0.042690517487993046,0.3865613438656134,0.9122887711228878,Mono_DC,Erythroid,weaker_in_AML,True,False
HSC_MPP->Erythroid,-0.0015772544168460732,0.972002799720028,0.972002799720028,0.12627949000237537,0.06369363063693631,0.4997500249975002,HSC_MPP,Erythroid,stronger_in_AML,False,False
