sender_bin,receiver_bin,dC_real,direction,perm_p,n_concordant,q_bh,is_nominal,is_emergent
T_NK,Mono_DC,0.131049033486934,weaker_in_AML,0.0198980101989801,9,0.4189081091890811,True,False
T_NK,T_NK,0.14417106249482903,weaker_in_AML,0.0202979702029797,9,0.4189081091890811,True,False
Mono_DC,T_NK,0.12485419716238363,weaker_in_AML,0.0402959704029597,9,0.4189081091890811,True,False
Mono_DC,Mono_DC,0.11056529066168634,weaker_in_AML,0.048295170482951705,9,0.4189081091890811,True,False
B_Plasma,T_NK,0.1475241307223642,weaker_in_AML,0.049795020497950204,9,0.4189081091890811,True,False
HSC_MPP,LMPP_GMP,-0.10904237081696072,stronger_in_AML,0.051294870512948704,9,0.4189081091890811,False,False
T_NK,B_Plasma,0.11680013329801733,weaker_in_AML,0.06569343065693431,9,0.4336066393360664,False,False
B_Plasma,Mono_DC,0.13451343414422132,weaker_in_AML,0.07079292070792921,9,0.4336066393360664,False,False
Mono_DC,B_Plasma,0.10513348794646449,weaker_in_AML,0.09369063093690631,9,0.5100934351009344,False,False
HSC_MPP,Megakaryocyte,-0.07473507672155599,stronger_in_AML,0.14308569143085692,0,0.6894946868949469,False,False
HSC_MPP,HSC_MPP,-0.08375759753802486,stronger_in_AML,0.15478452154784522,8,0.6894946868949469,False,False
HSC_MPP,Erythroid,-0.07633085377683846,stronger_in_AML,0.19538046195380462,2,0.7978035529780355,False,False
B_Plasma,B_Plasma,0.09615215553403778,weaker_in_AML,0.2243775622437756,9,0.8457308115342312,False,False
Megakaryocyte,HSC_MPP,-0.07637301124789436,stronger_in_AML,0.24337566243375663,0,0.8518148185181482,False,False
Erythroid,Megakaryocyte,-0.045984280550621315,stronger_in_AML,0.30596940305969406,0,0.9605372796053727,False,False
B_Plasma,Erythroid,0.05482413288183535,weaker_in_AML,0.35966403359664034,9,0.9605372796053727,False,False
Megakaryocyte,T_NK,0.051960119480215144,weaker_in_AML,0.37746225377462256,9,0.9605372796053727,False,False
Erythroid,LMPP_GMP,-0.055908266502520565,stronger_in_AML,0.38716128387161286,2,0.9605372796053727,False,False
Megakaryocyte,LMPP_GMP,-0.051257551795610146,stronger_in_AML,0.39286071392860716,0,0.9605372796053727,False,False
Erythroid,HSC_MPP,-0.04874993350699425,stronger_in_AML,0.39716028397160286,2,0.9605372796053727,False,False
LMPP_GMP,T_NK,0.04692411839520261,weaker_in_AML,0.4116588341165883,5,0.9605372796053727,False,False
Megakaryocyte,Erythroid,-0.03789183534249829,stronger_in_AML,0.45135486451354867,0,0.9680301200649167,False,False
LMPP_GMP,B_Plasma,0.043487353839293696,weaker_in_AML,0.47655234476552344,2,0.9680301200649167,False,False
Erythroid,B_Plasma,0.03774185785674766,weaker_in_AML,0.49325067493250674,8,0.9680301200649167,False,False
LMPP_GMP,Mono_DC,0.03528671213063456,weaker_in_AML,0.5104489551044895,4,0.9680301200649167,False,False
Megakaryocyte,Mono_DC,0.03841424920929462,weaker_in_AML,0.5136486351364864,9,0.9680301200649167,False,False
Megakaryocyte,Megakaryocyte,-0.029896074076954215,stronger_in_AML,0.5638436156384361,0,0.9733693297336932,False,False
LMPP_GMP,Megakaryocyte,0.027497170706861696,weaker_in_AML,0.5727427257274272,9,0.9733693297336932,False,False
T_NK,Megakaryocyte,0.026786418553684355,weaker_in_AML,0.5763423657634237,9,0.9733693297336932,False,False
LMPP_GMP,LMPP_GMP,0.02942518797623453,weaker_in_AML,0.595940405959404,3,0.9733693297336932,False,False
Megakaryocyte,B_Plasma,0.02357317752596677,weaker_in_AML,0.6528347165283471,9,0.9819434723194348,False,False
Mono_DC,Megakaryocyte,0.019396144301744356,weaker_in_AML,0.6739326067393261,9,0.9819434723194348,False,False
HSC_MPP,B_Plasma,-0.019774856051190504,stronger_in_AML,0.7355264473552645,1,0.9819434723194348,False,False
HSC_MPP,Mono_DC,-0.017566999334243022,stronger_in_AML,0.7513248675132487,4,0.9819434723194348,False,False
Mono_DC,LMPP_GMP,-0.015922838552135388,stronger_in_AML,0.785921407859214,1,0.9819434723194348,False,False
Mono_DC,HSC_MPP,-0.013171453847523384,stronger_in_AML,0.8202179782021798,1,0.9819434723194348,False,False
LMPP_GMP,Erythroid,0.013790602046616113,weaker_in_AML,0.8424157584241576,9,0.9819434723194348,False,False
T_NK,Erythroid,0.011501403129846877,weaker_in_AML,0.8791120887911209,9,0.9819434723194348,False,False
T_NK,HSC_MPP,-0.007035854311296219,stronger_in_AML,0.9085091490850915,1,0.9819434723194348,False,False
B_Plasma,Megakaryocyte,-0.005710599344179057,stronger_in_AML,0.9163083691630837,0,0.9819434723194348,False,False
HSC_MPP,T_NK,-0.005806303569418414,stronger_in_AML,0.9165083491650835,3,0.9819434723194348,False,False
Erythroid,Mono_DC,-0.006586983788037959,stronger_in_AML,0.9246075392460754,2,0.9819434723194348,False,False
LMPP_GMP,HSC_MPP,-0.005322841123145655,stronger_in_AML,0.9301069893010699,6,0.9819434723194348,False,False
B_Plasma,LMPP_GMP,-0.007316324245708383,stronger_in_AML,0.9344065593440656,0,0.9819434723194348,False,False
B_Plasma,HSC_MPP,0.004170438991085379,weaker_in_AML,0.9471052894710529,9,0.9819434723194348,False,False
Erythroid,T_NK,0.004285239617941805,weaker_in_AML,0.9526047395260474,9,0.9819434723194348,False,False
T_NK,LMPP_GMP,-0.003364560278383444,stronger_in_AML,0.955004499550045,1,0.9819434723194348,False,False
Erythroid,Erythroid,-0.003672331803071416,stronger_in_AML,0.9619038096190381,0,0.9819434723194348,False,False
Mono_DC,Erythroid,-0.001135136717458629,stronger_in_AML,0.9869013098690131,0,0.9869013098690131,False,False
