arm,kind,edge,occupancy,median_within_pair_abs_dC,mean_within_pair_abs_dC,sd_between_patients_at_dx,snr
rank,Dx_to_Relapse,HSC_MPP->HSC_MPP,0.8108108108108109,0.10204081632653061,0.14471243042671614,0.19838047858075145,0.5143692416539591
rank,Dx_to_Relapse,HSC_MPP->LMPP_GMP,0.8108108108108109,0.08163265306122447,0.09090909090909091,0.20699223162634794,0.39437544307741784
rank,Dx_to_Relapse,HSC_MPP->Mono_DC,0.7837837837837838,0.08163265306122447,0.09647495361781075,0.17797807596609205,0.4586669038762781
rank,Dx_to_Relapse,HSC_MPP->Erythroid,0.5945945945945946,0.18367346938775508,0.16697588126159557,0.16403459760232356,1.119723961118513
rank,Dx_to_Relapse,HSC_MPP->Megakaryocyte,0.05405405405405406,0.010204081632653184,0.05102040816326529,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,HSC_MPP->T_NK,0.7837837837837838,0.04081632653061229,0.15769944341372913,0.19794101249730395,0.20620449504454377
rank,Dx_to_Relapse,HSC_MPP->B_Plasma,0.5405405405405406,0.0714285714285714,0.15306122448979592,0.2531277966178748,0.2821838311831116
rank,Dx_to_Relapse,LMPP_GMP->HSC_MPP,0.8108108108108109,0.10204081632653061,0.11317254174397035,0.19260887515673022,0.5297825255637763
rank,Dx_to_Relapse,LMPP_GMP->LMPP_GMP,0.9459459459459459,0.061224489795918324,0.09647495361781075,0.14104334903575028,0.43408278528893796
rank,Dx_to_Relapse,LMPP_GMP->Mono_DC,0.972972972972973,0.08163265306122447,0.10760667903525047,0.07429957667962261,1.09869607216232
rank,Dx_to_Relapse,LMPP_GMP->Erythroid,0.6486486486486487,0.10204081632653073,0.14935064935064937,0.13997219497032304,0.7290077600638145
rank,Dx_to_Relapse,LMPP_GMP->Megakaryocyte,0.08108108108108109,0.010204081632653184,0.06586270871985157,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,LMPP_GMP->T_NK,0.918918918918919,0.12244897959183676,0.1521335807050093,0.08993074714954034,1.361591930157367
rank,Dx_to_Relapse,LMPP_GMP->B_Plasma,0.7567567567567568,0.0714285714285714,0.1456400742115028,0.27258809064485934,0.26203848913425903
rank,Dx_to_Relapse,Mono_DC->HSC_MPP,0.7567567567567568,0.12244897959183665,0.12430426716141003,0.1672971553626057,0.7319250547113993
rank,Dx_to_Relapse,Mono_DC->LMPP_GMP,0.9459459459459459,0.061224489795918435,0.10760667903525047,0.07763885271262048,0.7885805580170064
rank,Dx_to_Relapse,Mono_DC->Mono_DC,0.9459459459459459,0.16326530612244905,0.16697588126159554,0.20410018468552107,0.7999272826431261
rank,Dx_to_Relapse,Mono_DC->Erythroid,0.5675675675675675,0.08163265306122447,0.101113172541744,0.14229946808222987,0.5736680126875233
rank,Dx_to_Relapse,Mono_DC->Megakaryocyte,0.08108108108108109,0.010204081632653184,0.08998144712430427,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Mono_DC->T_NK,0.8648648648648649,0.18367346938775508,0.2115027829313543,0.21158739315978173,0.8680737857054307
rank,Dx_to_Relapse,Mono_DC->B_Plasma,0.6756756756756757,0.061224489795918435,0.1400742115027829,0.22440966692731282,0.27282465427725666
rank,Dx_to_Relapse,Erythroid->HSC_MPP,0.5405405405405406,0.22448979591836737,0.24768089053803344,0.21842455859346807,1.0277681107104257
rank,Dx_to_Relapse,Erythroid->LMPP_GMP,0.6486486486486487,0.173469387755102,0.18367346938775508,0.23849467334108476,0.7273512038024161
rank,Dx_to_Relapse,Erythroid->Mono_DC,0.6486486486486487,0.12244897959183676,0.1799628942486086,0.25775246525679313,0.4750642422366107
rank,Dx_to_Relapse,Erythroid->Erythroid,0.43243243243243246,0.061224489795918324,0.08719851576994436,0.17095193921667465,0.3581386094621528
rank,Dx_to_Relapse,Erythroid->Megakaryocyte,0.05405405405405406,0.010204081632653184,0.05473098330241188,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Erythroid->T_NK,0.5405405405405406,0.20408163265306123,0.20593692022263452,0.26575173081574205,0.7679409350472319
rank,Dx_to_Relapse,Erythroid->B_Plasma,0.5675675675675675,0.061224489795918435,0.1187384044526902,0.23941370083374197,0.2557267590898445
rank,Dx_to_Relapse,Megakaryocyte->HSC_MPP,0.05405405405405406,0.010204081632653184,0.075139146567718,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Megakaryocyte->LMPP_GMP,0.08108108108108109,0.010204081632653184,0.0510204081632653,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Megakaryocyte->Mono_DC,0.08108108108108109,0.010204081632653184,0.11595547309833024,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Megakaryocyte->Erythroid,0.08108108108108109,0.010204081632653184,0.052875695732838575,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Megakaryocyte->Megakaryocyte,0.08108108108108109,0.010204081632653184,0.06029684601113173,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Megakaryocyte->T_NK,0.05405405405405406,0.010204081632653184,0.11410018552875695,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,Megakaryocyte->B_Plasma,0.05405405405405406,0.010204081632653184,0.08070500927643785,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,T_NK->HSC_MPP,0.7567567567567568,0.04081632653061229,0.06864564007421152,0.19794101249730398,0.20620449504454375
rank,Dx_to_Relapse,T_NK->LMPP_GMP,0.8378378378378378,0.061224489795918435,0.12337662337662338,0.18979691583116115,0.3225789498622954
rank,Dx_to_Relapse,T_NK->Mono_DC,0.918918918918919,0.12244897959183665,0.1280148423005566,0.18089006231800822,0.6769248571354295
rank,Dx_to_Relapse,T_NK->Erythroid,0.43243243243243246,0.04081632653061229,0.09090909090909091,0.11670997571636306,0.3497244025635568
rank,Dx_to_Relapse,T_NK->Megakaryocyte,0.08108108108108109,0.010204081632653184,0.05287569573283859,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,T_NK->T_NK,0.7297297297297297,0.30612244897959184,0.3200371057513915,0.2298895204760361,1.3316068011525664
rank,Dx_to_Relapse,T_NK->B_Plasma,0.5945945945945946,0.12244897959183665,0.17161410018552875,0.22689302271003453,0.5396771488576111
rank,Dx_to_Relapse,B_Plasma->HSC_MPP,0.43243243243243246,0.08163265306122447,0.10853432282003711,0.11035686516407475,0.7397152224273124
rank,Dx_to_Relapse,B_Plasma->LMPP_GMP,0.5945945945945946,0.04081632653061229,0.07050092764378481,0.13632703053911652,0.2994000996662272
rank,Dx_to_Relapse,B_Plasma->Mono_DC,0.7027027027027027,0.08163265306122458,0.0974025974025974,0.19671779540817488,0.4149734033560251
rank,Dx_to_Relapse,B_Plasma->Erythroid,0.35135135135135137,0.0714285714285714,0.09461966604823747,0.09332944778626119,0.7653379841285874
rank,Dx_to_Relapse,B_Plasma->Megakaryocyte,0.05405405405405406,0.010204081632653184,0.05658627087198515,0.09101882741125085,0.11210957032601648
rank,Dx_to_Relapse,B_Plasma->T_NK,0.6216216216216216,0.0714285714285714,0.18460111317254177,0.2910676582156753,0.24540195178828234
rank,Dx_to_Relapse,B_Plasma->B_Plasma,0.6756756756756757,0.08163265306122458,0.14935064935064937,0.20285811342779506,0.40241256157733496
rank,Dx_to_Treatment,HSC_MPP->HSC_MPP,0.8108108108108109,0.20408163265306123,0.3098330241187384,0.20253589013649295,1.0076319437287218
rank,Dx_to_Treatment,HSC_MPP->LMPP_GMP,0.8108108108108109,0.22448979591836737,0.26901669758812613,0.19510887188109582,1.1505873298020861
rank,Dx_to_Treatment,HSC_MPP->Mono_DC,0.7837837837837838,0.16326530612244894,0.2523191094619666,0.18191281471992993,0.8974920561468394
rank,Dx_to_Treatment,HSC_MPP->Erythroid,0.5945945945945946,0.17346938775510212,0.2142857142857143,0.18431654071076822,0.9411493243425852
rank,Dx_to_Treatment,HSC_MPP->Megakaryocyte,0.05405405405405406,0.1020408163265305,0.09925788497217064,0.09175424041745467,1.1121100873624472
rank,Dx_to_Treatment,HSC_MPP->T_NK,0.7837837837837838,0.22448979591836737,0.2894248608534323,0.18859616411670077,1.190320052211964
rank,Dx_to_Treatment,HSC_MPP->B_Plasma,0.5405405405405406,0.1428571428571429,0.24582560296846012,0.2528658950509863,0.5649521966113228
rank,Dx_to_Treatment,LMPP_GMP->HSC_MPP,0.8108108108108109,0.1428571428571428,0.24675324675324675,0.17480117385339056,0.8172550544595318
rank,Dx_to_Treatment,LMPP_GMP->LMPP_GMP,0.9459459459459459,0.061224489795918435,0.10204081632653059,0.18439869193918762,0.332022364974853
rank,Dx_to_Treatment,LMPP_GMP->Mono_DC,0.972972972972973,0.04081632653061229,0.08905380333951764,0.10050796735218762,0.4061004078173102
rank,Dx_to_Treatment,LMPP_GMP->Erythroid,0.6486486486486487,0.22448979591836737,0.23376623376623382,0.17478492763616568,1.2843773141907746
rank,Dx_to_Treatment,LMPP_GMP->Megakaryocyte,0.08108108108108109,0.1020408163265305,0.11038961038961036,0.09175424041745467,1.1121100873624472
